Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
adayroi.com,https://www.adayroi.com/ecco-bouillon-sandal-3-0-35783351052-p-1737763?offer=1737763_CEK,1737763,ECCO,Giày nữ,ECCO BOUILLON SANDAL 3.0,2.634.000đ,ECCO VIETNAM,"Sandals Nữ bệt ECCO,Sandal ECCO,Sandal nữ bệt,Sandal nữ quai chữ T","[Lưu ý: Không áp dụng chính sách đổi trả với sản phẩm này]. Chất liệu da nubuck. Kiểu quai chữ T. Đế dán keo với thành phần cao su bền, nhẹ. Xuất xứ: Thương hiệu Đan Mạch, sản xuất ở nước thứ 3 (Ấn Độ, Trung Quốc, Thái Lan…). Màu sắc Đen Chất liệu Da, cai su. Đôi sandal thời trang BOUILLON SANDAL 3.có quai chữ T được làm từ chất liệu da nubuck cao cấp, mềm mại có độ thoáng khí cao. Phần lót bên trong cũng được bọc da đem đến cấu trúc sang trọng và tổng thể hài hòa cho đôi giày. Quai có khóa cài tiện lợi. Đế dán keo với thành phần cao su bền, nhẹ cho cảm giác thoài mái khi di chuyển. Hướng dẫn bảo quản Bảo quản nơi khô ráo, thoáng mát Vệ sinh bằng bàn chải mềm Phơi trong bóng râm Không sử dụng các chất tẩy mạnh để lau, chùi sản phẩm Thông tin thương hiệu ECCO, thương hiệu Comfort nổi tiểng thế giới đã xây dựng tên tuổi của mình dựa trên nền tảng chất lượng và công nghệ tiên tiến. Triết lý thiết kế của ECCO bắt nguồn từ cách tiếp cận của người sáng lập vốn là một thợ đóng giày: Đôi giày phải tuân theo đôi chân. Kết hợp phong cách và sự thoải mái, những đôi giày ECCO được thiết kế, sản xuất khéo léo trên nền tảng phong cách Scandinavian: tính năng và chất lượng là ưu tiên hàng đầu. Được thành lập vào năm 1963 tại Đan Mạch, ECCO là một trong số ít các nhà sản xuất giày lớn trên thế giới sở hữu và quản lý chặt chẽ tất cả các bước quy trình sản xuất giày. Ngày nay, ngoài sản phẩm giày ECCO còn phát triển thị trường túi xách, các phụ kiện bằng da và dòng sản phẩm chăm sóc da. Thương hiệu ECCO có mặt tại 90 quốc gia với hơn 1.100 cửa hàng và 14.000 địa điểm bán hàng trên toàn thế giới. Tại Việt Nam, các sản phẩm của thương hiệu ECCO đang được phân phối độc quyền bởi công ty Cổ Phần Đầu Tư Thươn",""""""
adayroi.com,https://www.adayroi.com/giay-cao-got-sulily-g01-i18den-da-mo-tron-mau-den-got-nhon-p-1073208?offer=1073208_110027,1073208,Sulily,Giày nữ,Giày cao gót Sulily G01-I18DEN da mờ trơn màu đen gót nhọn,329.000đ,KIM TRANG,Giày cao gót Sulily,"Chất liệu: Da mờ nhưng bóng mỡ, rất sang. Đế pháp khắc tên thương hiệu. Gót 8cm, gót hiện đại, cá tính. Xuất xứ: Việt Nam. Độ cao gót 8cm Xuất xứ Việt Nam Giới tính Nữ Bảo hành 6 tháng Màu sắc Đen. Mẫu cao gót cơ bản nhưng form rất đẹp, phù hợp diện đi làm, dạo phố hay ngay cả khi dự tiệc. Thiết kế theo phong cách hiện đại, sang trọng, cao gót trơn da mờ là lựa chọn phù hợp cho bạn gái trong mọi tình huống. Chất liệu da mờ nhưng bóng mỡ, rấtsang. Đế pháp khắc tên thương hiệu,mặt đế in Sulily. Chất liệu lót làm từ da mềm với đệm cao su giúp nâng đỡ bàn chân. Thông tin bảo hành Bảo hành 6 tháng kể từ ngày mua. Hướng dẫn bảo quản Không dùng hóa chất hay bột giặt có hoạt tính tẩy rửa mạnh Không dùng bàn chải cứng để vệ sinh sản phẩm Không nên phơi sản phẩm trực tiếp dưới ánh nắng mặt trời Nên bảo quản sản phẩm nơi thoáng mát để có độ bền lâu Thông tin thương hiệu Thương hiệu Sulily đã được tạo ra theo trường phái đơn giản và trên cảm hứng từ những gót giày nhọn huyền thoại đầy mê hoặc và quyền lực - tôn vinh vẻ nữ tính và mang lại cho khách hàng cái họ cần để đẹp và tự tin mỗi ngày.Nhãn hiệuSulilychuyên giới thiệu và kinh doanh các sản phẩm giày được gia công trong nước.Sulilyam hiểu về những đôi giày,đam mê giày, yêu thích chúng - và hơn hếtSulilyhiểu được những yêu cầu và mong muốn về giày từ khách hàng.",""""""
adayroi.com,https://www.adayroi.com/giay-slip-on-bita-s-mau-do-do-phoi-hoa-tiet-cham-bi-p-PRI1085793?offer=PRI1085793_M-QZL,PRI1085793,Bita's,Giày nữ,Giày slip on Bita's màu đỏ đô phối họa tiết chấm bi,200.000đ,BÌNH TÂN,Giày mọi nữ Bita's,"Giày slip on Bita's màu đỏ đô phối họa tiết chấm bi​​. được sản xuất từ chất liệu cao cấp đảm bảo độ bền và đem đến cảm giác thoải mái cho người mang. Sản phẩm có thiết kế trẻ trung, năng động, dễ phối trang phục giúp bạn trông sành điệu hơn. . Thành phần 65% PVC, 25% vải, 10% EVA . Form giày ôm chân . Họa tiết chấm bi ấn tượng . Hai bên phối thun dễ mang . Đế giày có rãnh chống trơn trượt . Xuất xứ Việt Nam . Chất liệu PVC, vải, EVA Xuất xứ Việt Nam. Hướng dẫn bảo quản Không dùng hóa chất hay bột giặt có hoạt tính tẩy rửa mạnh Không dùng bàn chải cứng để vệ sinh sản phẩm Tránh phơi sản phẩm trực tiếp dưới ánh nắng mặt trời Nên bảo quản sản phẩm nơi thoáng mát để có độ bền lâu nhất Thông tin thương hiệu Công ty Sản xuất Hàng tiêu dùng Bình Tân được thành lập từ năm 1991 (với thương hiệu BITA’S) là một trong những Công ty hàng đầu trong lĩnh vực sản xuất kinh doanh giày dép chất lượng cao tại thị trường Việt Nam. Công ty đã sản xuất ra những sản phẩm phong phú về chủng loại, đa dạng về màu sắc, với thiết kế đẹp, phù hợp thị hiếu người tiêu dùng, như: dép, sandal, giày công sở, giày thể thao, giày dép siêu nhẹ và v.v... dành cho mọi lứa tuổi, giúp người tiêu dùng dễ dàng kết hợp với nhiều loại trang phục khác nhau. Chính vì những yếu tố đó, nên sản phẩm giày dép BITA’S rất được thị trường trong và ngoài nước yêu thích, ưa chuộng và tin dùng.",""""""
adayroi.com,https://www.adayroi.com/giay-the-thao-peak-motive-knit-e82858e-den-ghi-p-1676773?offer=1676773_R5U,1676773,Peak,Giày nữ,Giày thể thao Peak Motive Knit E82858E (Đen ghi),870.000đ,CÔNG TY CỔ PHẦN THỜI TRANG ALZADO,"Giày Sneakers Peak,Giày thể thao Peak Motive Knit,Giày thể thao,Peak Motive Knit E82858E,Peak,E82858E","Chất liệu: vải lưới. Xuất xứ: Trung Quốc. Sản phẩm được phân phối chính hãng tại Việt Nam. Bảo hành 6 tháng. Chất liệu Vải lưới Bảo hành (Tháng) 6tháng Xuất xứ Trung Quốc Màu sắc Ghi đen. Giày thể thao Peak Motive Knit E82858E sở hữuthiết kế và kiểu dáng đơn giản, phù hợp cho cả nam và nữ, những người trẻ ưa chuộng sự thoải mái, tối giản và năng động.Với phần đế màu trắng cơ bản kết hợp cùng phần thân được làm từ vải dệt kim vừa tạo sự mềm mại cho đôi giày màvẫn giữ được kiểu dáng thể thao, năng động. Peak Motive Knit E82858E ​sẽ là lựa chọn tối ưu cho các bạn trẻ muốn có một đôi giày đểvừa đi làm, vừa đi chơi. Thân:được làm từ chất liệu vải dệt kim thoáng mát, nhẹ, ôm chân Lót giày:bền, dày dặn, thoáng khí và khử mùi hiệu quả Đế:làm từ cao su mềm, nhẹ, bền, dễ vệ sinh Hướng dẫn bảo quản Lau hoặc giặt sạch vết bẩn với nước Không giặt máy, không dùng thuốc tẩy Không phơi sản phẩm nơi ánh nắng gắt Để sản phẩm nơi khô ráo khi không sử dụng Thông tin thương hiệu PEAK Sport là một trong những thương hiệu thời trang thể thao hàng đầu tại Trung Quốc với hệ thống hơn 6000 cửa hàng, được thành lập từ năm 1988. Hiện PEAK Sport đã trở thành thương hiệu thời trang quốc tế với việc có mặt tại trên 100 quốc gia. PEAK Sport là nhà tài trợ cho rất nhiều đội tuyển Olympic, và là đối tác chiến lược của rất nhiều liên đoàn thể thao như FIBA, WTA...",""""""
adayroi.com,https://www.adayroi.com/giay-bup-be-mui-nhon-carlo-rino-33320-b007-24-mau-hong-p-790175?offer=790175_O4X,790175,Carlo Rino,Giày nữ,Giày búp bê mũi nhọn Carlo Rino 33320-B007-24 màu hồng,595.000đ,FHG,Giày búp bê Carlo Rino,"Chất liệu: Da tổng hợp. Thiết kế phong cách, thu hút. Kết hợp được với nhiều trang phục khác nhau. Màu sắc Hồng pastel Chất liệu Da tổng hợp Xuất xứ Trung Quốc Bảo hành Không bảo hành. Hướng dẫn bảo quản Tránh dùng hóa chất hay bột giặt có hoạt tính tẩy rửa mạnh Không dùng bàn chải cứng để vệ sinh sản phẩm Phơi sản phẩm trong bóng râm Bảo quản sản phẩm nơi thoáng mát để có độ bền lâu nhất Thông tin thương hiệu Carlo Rino được thành lập vào năm 1986 bởi tập đoàn nổi tiếng về các sản phẩm phụ kiện của thế giới – Bonia Group. Carlo Rino cũng có nghĩa là up-to-date - thương hiệu luôn cho ra đời các sản phẩm trẻ trung, hiện đại, sáng tạo đi cùng xu thế. Với Carlo Rino thì yếu tố thời trang, nữ tính, linh hoạt và giúp các cô gái khẳng định được đẳng cấp luôn là yếu tố hàng đầu. Thương hiệu cho ra đời các dòng sản phẩm túi xách, phụ kiện, giày dép và ví dành cho nữ phong cách cổ điển, thời trang và đương đại. Ngày nay, thương hiệu Carlo Rino phát triển nhanh chóng và có mặt tại nhiều quốc gia như Singapore, Hong Kong, Trung Quốc, Nhật Bản, Malaysia, Saudi Arabia, Việt Nam, Thái Lan, Brunei, Indonesia, Nam Phi, Phần Lan và Oman.",""""""
adayroi.com,https://www.adayroi.com/giay-bup-be-mui-nhon-carlo-rino-33320-b007-08-mau-den-p-790163?offer=790163_O4X,790163,Carlo Rino,Giày nữ,Giày búp bê mũi nhọn Carlo Rino 33320-B007-08 màu đen,595.000đ,FHG,Giày búp bê Carlo Rino,"Chất liệu: Da tổng hợp. Thiết kế phong cách, thu hút. Kết hợp được với nhiều trang phục khác nhau. Màu sắc Đen sần Chất liệu Da tổng hợp Xuất xứ Trung Quốc Bảo hành Không bảo hành. Hướng dẫn bảo quản Tránh dùng hóa chất hay bột giặt có hoạt tính tẩy rửa mạnh Không dùng bàn chải cứng để vệ sinh sản phẩm Phơi sản phẩm trong bóng râm Bảo quản sản phẩm nơi thoáng mát để có độ bền lâu nhất Thông tin thương hiệu Carlo Rino được thành lập vào năm 1986 bởi tập đoàn nổi tiếng về các sản phẩm phụ kiện của thế giới – Bonia Group. Carlo Rino cũng có nghĩa là up-to-date - thương hiệu luôn cho ra đời các sản phẩm trẻ trung, hiện đại, sáng tạo đi cùng xu thế. Với Carlo Rino thì yếu tố thời trang, nữ tính, linh hoạt và giúp các cô gái khẳng định được đẳng cấp luôn là yếu tố hàng đầu. Thương hiệu cho ra đời các dòng sản phẩm túi xách, phụ kiện, giày dép và ví dành cho nữ phong cách cổ điển, thời trang và đương đại. Ngày nay, thương hiệu Carlo Rino phát triển nhanh chóng và có mặt tại nhiều quốc gia như Singapore, Hong Kong, Trung Quốc, Nhật Bản, Malaysia, Saudi Arabia, Việt Nam, Thái Lan, Brunei, Indonesia, Nam Phi, Phần Lan và Oman.",""""""
adayroi.com,https://www.adayroi.com/giay-sneaker-carlo-rino-33350-b001-08-mau-den-p-1208618?offer=1208618_O4X,1208618,Carlo Rino,Giày nữ,Giày sneaker Carlo Rino 33350-B001-08 màu đen,695.000đ,FHG,Giày Sneakers Carlo Rino,"Chất liệu da tổng hợp. Thiết kế phong cách, thu hút. Kết hợp được với nhiều trang phục khác nhau. Giới tính Nữ Chất liệu Da tổng hợp Xuất xứ Trung Quốc Màu sắc Đen. Hướng dẫn bảo quản Tránh dùng hóa chất hay bột giặt có hoạt tính tẩy rửa mạnh Không dùng bàn chải cứng để vệ sinh sản phẩm Phơi sản phẩm trong bóng râm Bảo quản sản phẩm nơi thoáng mát để có độ bền lâu dài Thông tin thương hiệu Carlo Rino được thành lập vào năm 1986 bởi tập đoàn nổi tiếng về các sản phẩm phụ kiện của thế giới - Bonia Group. Carlo Rino cũng có nghĩa là up-to-date - thương hiệu luôn cho ra đời các sản phẩm trẻ trung, hiện đại, sáng tạo đi cùng xu thế. Với Carlo Rino thì yếu tố thời trang, nữ tính, linh hoạt và giúp các cô gái khẳng định được đẳng cấp luôn là yếu tố hàng đầu. Thương hiệu cho ra đời các dòng sản phẩm túi xách, phụ kiện, giày dép và ví dành cho nữ phong cách cổ điển, thời trang và đương đại. Ngày nay, thương hiệu Carlo Rino phát triển nhanh chóng và có mặt tại nhiều quốc gia như Singapore, Hong Kong, Trung Quốc, Nhật Bản, Malaysia, Saudi Arabia, Việt Nam, Thái Lan, Brunei, Indonesia, Nam Phi, Phần Lan và Oman.",""""""
adayroi.com,https://www.adayroi.com/giay-boots-da-that-sulily-got-vuong-day-thun-u02-iv18den-mau-den-p-1850352?offer=1850352_110027,1850352,Sulily,Giày nữ,Giày boots da thật Sulily gót vuông dây thun U02-IV18DEN màu đen,712.000đ,KIM TRANG,Giày Boot Nữ Sulily,"Chất liệu: da bò thật. Chiều cao: 3cm. Màu sắc: đen. Size: 35,36,37,38,39. Xuất xứ: Việt Nam. Xuất xứ Việt Nam Màu sắc Đen Giới tính Nữ Độ cao gót 3cm Bảo hành (Tháng) 3tháng Chất liệu da thật Loại boot Boot cổ ngắn Loại đế Đế vuông. Giày boots da thật Sulily U02-IV18 là loại bốt gót vuông thấp 3cm, có bo thun co giãn ở hai bên, chiều cao cổ bốt đến mắt cá chân, mũi bốt tròn hơi vót nhọn tạo độ thanh của bàn chân. Khách hàng cũng có thể sử dụng thêm miếng lót chiều cao tối da 2.5cm trong giày để đạt được thêm chiều cao mong muốn nhưng vẫn thoải mái và không mất đi nét mạnh mẽ và cá tính. Tất cả các mẫu giày bốt Sulily đều được làm bằng da thật chất lượng xuất khẩu châu Âu. Mẫu mã giày bốt của chúng tôi sang trọng và đơn giản, tập trung vào vẻ đẹp của da thuộc và sự mềm mại của nó. Thông tin bảo hành SULILY® bảo hành 3 tháng kể từ ngày mua và được đổi trả do lỗi kỹ thuật của nhà sản xuất và được quyền từ chối bảo hành sản phẩm đối với các trường hợp: Sản phẩm hết hạn bảo hành. Những lỗi do bảo quản không đúng cách hoặc do người sử dụng gây ra. Sản phẩm không có hóa đơn mua hàng. Lưu ý: Chính sách bảo hành không áp dụng cho các sản phẩm khuyến mãi, giảm giá. Hướng dẫn bảo quản Không dùng hóa chất hay bột giặt có hoạt tính tẩy rửa mạnh Không dùng bàn chải cứng để vệ sinh sản phẩm Không nên phơi sản phẩm trực tiếp dưới ánh nắng mặt trời Không để bị ướt sản phẩm hoặc ngâm trong nước lâu Nên bảo quản sản phẩm nơi thoáng mát để có độ bền lâu Thông tin thương hiệu Thương hiệuSULILY®đã được tạo ra theo trường phái đơn giản và trên cảm hứng từ những gót giày nhọn huyền thoại đầy mê hoặc và quyền lực tôn vinh vẻ nữ tính và mang lại cho khách hàng cái họ cần để đẹp và tự tin mỗi ngày. SULILY® là nhãn hiệu chuyên giới thiệu và kinh doanh các sản phẩm giày được gia công trong nước. Chúng tôi am hiểu về những đôi giày, sống đam mê giày, yêu thích chúng và hơn hết chúng tôi hiểu được những yêu cầu và mong muốn về giày từ khách hàng.",""""""
adayroi.com,https://www.adayroi.com/giay-bup-be-nu-scorpion-383-40-mau-nau-p-PRI1190131?offer=PRI1190131_LVU,PRI1190131,Scorpion,Giày nữ,Giày búp bê nữ Scorpion 383.40 màu nâu,3.200.000đ,DO DA THAI,Giày búp bê Scorpion,"Giày búp bê nữ Scorpion 383.40 màu nâu được làm từ chất liệu da thật cao cấp, bền bỉ, thiết kế thời thượng mang đến cho phái đẹp nét kiêu kỳ và quyến rũ.. Chất liệu da thật mềm mại không lo đau chân . Dáng mũi vuông . Gót vuông chắc chắn, cao 2cm êm chân, dễ dàng di chuyển . Màu nâu nữ tính . Xuất xứ: Việt Nam . Chất liệu Da thật Xuất xứ Việt Nam Loại đế giày Đế vuông Độ cao gót 2cm. Giày búp bê nữ Scorpion 383.40 màu nâuđược làm từ chất liệu da thật cao cấp, bền bỉ, thiết kế thời thượng mang đến cho phái đẹp nét kiêu kỳ và quyến rũ. Hướng dẫn bảo quản Vệ sinh bằng khăn ẩm mềm Tránh tiếp xúc trực tiếp với môi trường xăng dầu, kiềm Sử dụng loại xi phù hợp với màu sắc, chất liệu da Thông tin thương hiệu Scorpion là thương hiệu đồ da cao cấp được sản xuất thủ công trên chất liệu da tự nhiên thuần túy. Mang đậm nét nghệ thuật và tinh tế trên từng chi tiết, sản phẩm đồ da Scorpion luôn đáp ứng được nhu cầu của từng khách hàng về tính thẩm mỹ cũng như chất lượng sản phẩm. Tiếp bước sự phát triển lớn mạnh của thương hiệu thời trang đồ da nổi tiếng Scorpion, từ năm 1995 công ty Scorpion Việt Nam đã hoàn toàn được chuyển giao công nghệ, dây chuyền sản xuất hiện đại, chính thức trở thành nhà phân phối độc quyền các sản phẩm giày, dép, đồ da mang thương hiệu Scorpion tại nhiều quốc gia trên thế giới. ",""""""
adayroi.com,https://www.adayroi.com/giay-bup-be-nu-scorpion-383-41-mau-den-p-PRI1190144?offer=PRI1190144_LVU,PRI1190144,Scorpion,Giày nữ,Giày búp bê nữ Scorpion 383.41 màu đen,3.200.000đ,DO DA THAI,Giày búp bê Scorpion,"Giày búp bê nữ Scorpion 383.41 màu đen được làm từ chất liệu da thật cao cấp, bền bỉ, thiết kế thời thượng mang đến cho phái đẹp nét kiêu kỳ và quyến rũ.. Chất liệu da thật, mềm mại không lo đau chân . Dáng mũi vuông . Gót vuông chắc chắn, cao 2cm êm chân, dễ dàng di chuyển . Màu đen trung tính dễ phối đồ . Xuất xứ: Việt Nam . Chất liệu Da thật Xuất xứ Việt Nam Loại đế giày Đế vuông Độ cao gót 2cm. Giày búp bê nữ Scorpion 383.41 màu đenđược làm từ chất liệu da thật cao cấp, bền bỉ, thiết kế thời thượng mang đến cho phái đẹp nét kiêu kỳ và quyến rũ. Hướng dẫn bảo quản Vệ sinh bằng khăn ẩm mềm Tránh tiếp xúc trực tiếp với môi trường xăng dầu, kiềm Sử dụng loại xi phù hợp với màu sắc, chất liệu da Thông tin thương hiệu Scorpion là thương hiệu đồ da cao cấp được sản xuất thủ công trên chất liệu da tự nhiên thuần túy. Mang đậm nét nghệ thuật và tinh tế trên từng chi tiết, sản phẩm đồ da Scorpion luôn đáp ứng được nhu cầu của từng khách hàng về tính thẩm mỹ cũng như chất lượng sản phẩm. Tiếp bước sự phát triển lớn mạnh của thương hiệu thời trang đồ da nổi tiếng Scorpion, từ năm 1995 công ty Scorpion Việt Nam đã hoàn toàn được chuyển giao công nghệ, dây chuyền sản xuất hiện đại, chính thức trở thành nhà phân phối độc quyền các sản phẩm giày, dép, đồ da mang thương hiệu Scorpion tại nhiều quốc gia trên thế giới.",""""""
