Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
adayroi.com,https://www.adayroi.com/loi-loc-nuoc-so-3-karofi-thay-the-cho-dong-may-ro-p-1725485?offer=1725485_021016,1725485,Karofi,Máy lọc nước,Lõi lọc nước số 3 Karofi (thay thế cho dòng máy RO),70.000đ,Hà Thy Mart,"Phụ kiện máy lọc nước Karofi,lõi số 3,lõi lọc nước máy RO,lõi lọc nước karofi","- Loại bỏ hoàn toàn các chất cặn bẩn, đất kích thước >1 micron. - Thời gian thay thế: 6 - 12 tháng/lần. - Dùng cho máy lọc nước Karofi đối với nguồn nước thông thường. . Bảo hành Không bảo hành Thông số kỹ thuật Thời gian thay thế: 6 - 12 tháng/lần (Nước cấp đầu vào khoảng 5.500 lít – 10.900 lít) Xuất xứ Đài Loan. Lõi lọc số 3 Karofi sử dụng nguyên liệu giống như lõi lọc số 1 Karofi. Nhưng lõi này được nén chặt hơn, tới mức kích thước khe hở chỉ 1 micron. Lõi lọc số 3 Karofi loại bỏ hoàn toàn các chất cặn bẩn, đất… có kích thước lớn hơn 1 micron. Nằm ở vị trí thứ 3, tính từ cốc lọc trong sang có chức năng Lọc các tạp chất hữu cơ, rỉ xét, bùn đất hay các chất lơ lửng trong nước có kích thước lớn hơn 1 micron. + Cấu tạo : Lõi số 3 Karofi được cấu tạo bởi sợi bông xốp của nhựa polyprolen, sau đó được nén chặt lại tới khi đạt kích thước khe hở chỉ 1 micron (0.001mm). + Chức năng : Lọc các tạp chất hữu cơ, rỉ xét, bùn đất hay các chất lơ lửng trong nước có kích thước lớn hơn 1 micron. + Thời gian thay thế : 6 - 12 tháng/lần (Nước cấp đầu vào khoảng 5.500 lít – 10.900 lít). + Dùng cho máy lọc nước Karofi đối với nguồn nước thông thường (Nước máy, nước mưa). #nguồn: Internet",""""""
adayroi.com,https://www.adayroi.com/loi-loc-nuoc-so-3-kangaroo-loi-dong-may-ro-p-1725456?offer=1725456_021016,1725456,Kangaroo,Máy lọc nước,Lõi lọc nước số 3 Kangaroo (lõi dòng máy RO),70.000đ,Hà Thy Mart,"Phụ kiện máy lọc nước Kangaroo,lõi lọc số 3,lõi lọc máy RO,lõi lọc nước số 3 kangaroo","- Nguyên liệu: Sợi PP tạo khe hở 1µm. - Lọc cặn, bùn đất, rỉ sét có kích thước > 1µm. - Tuổi thọ: 9 ~ 12 tháng. Bảo hành Không bảo hành Thông số kỹ thuật Tuổi thọ: 9 ~ 12 tháng Xuất xứ Đài Loan. Lõi lọc nước số 3 Kangaroo là phụ kiện thay thế cho lõi lọc của dòng máy lọc nước RO. Lõi lọc được làm bằng sợi PP tạo khe hở 1µm. Lõi lọc số 3 có công dụng lọc cặn, bùn đất, rỉ sét có kích thước lớn hơn 1µm trước khi đưa nước đi vào lõi lọc tiếp theo. Lõi số 3 có tuổi thọ 9 đến 12 tháng, cho khả năng lọc khoảng 36.000 lít nước.",""""""
adayroi.com,https://www.adayroi.com/da-khoang-cho-binh-loc-nuoc-dk-dpt-trang-p-PRI1190126?offer=PRI1190126_CAH,PRI1190126,Thương hiệu khác,Máy lọc nước,Đá khoáng cho bình lọc nước ĐK- ĐPT (Trắng),40.000đ,ĐẠI PHÁT TÀI,Phụ kiện máy lọc nước Thương hiệu khác,"- Tạo ra nước có vị ngọt, giữ lại khoáng chất trong cơ thể. - Sử dụng tiện lợi, dễ dàng thay thế. - Có lợi cho sức khỏe gia đình bạn. Màu sắc Trắng Thông số kỹ thuật Trọng lượng: 0,5 Kg Xuất xứ Việt Nam Kích thước 14.5 x 14.5 x 5 cm. Tạo ra nước có vị ngọt,giữ lại khoáng chất trong cơ thể Khoáng chất chủ yếu trong nước là Canxi và Magie. Loại nước khoáng có hàm lượng Canxi, Magie trên 150mg/l rất tốt cho cơ thể, giúp phòng ngừa bệnh loãng xương giúp duy trì tốt hoạt động của tim, cơ và hệ thần kinh. Đá khoáng cho bình lọc nước ĐK- ĐPT (Trắng) giúp bổ sung thêm các khoáng chất mất đi trong quá trình lọc. Đá khoáng cho bình lọc nước ĐK- ĐPT (Trắng) Có lợi cho sức khỏe gia đình bạn Hàng ngày cơ thể chúng ta cần bổ sung rất nhiều khoáng chất cho cơ thể, những khoáng chất tự nhiên trong nước như: Caxi, Magie... giúp cơ thể phòng ngừa một số bệnh: loãng xương, tim mạch, hệ thần kinh,... Sử dụng nước qua máy lọc nước chỉ cho nước trơ không giữ được khoáng chất tự nhiên trong nước. Vì vậy cần bổ sung thêm các loại tạo khoáng, tạo vị bằng đá khoáng cho bình lọc nước ĐK- ĐPT (Trắng).",""""""
adayroi.com,https://www.adayroi.com/loi-loc-nuoc-so-1-dung-cho-may-loc-nuoc-ro-dpt-ro1-trang-p-PRI1191110?offer=PRI1191110_CAH,PRI1191110,Thương hiệu khác,Máy lọc nước,Lõi lọc nước số 1 dùng cho máy lọc nước RO DPT-RO1 (Trắng),45.000đ,ĐẠI PHÁT TÀI,"Phụ kiện máy lọc nước Thương hiệu khác,Lõi lọc nước số 1 dùng cho máy lọc nước RO DPT-RO1,DPT-RO1,Lõi lọc nước số 1 dùng cho máy lọc nước RO","- Lõi lọc số 1 dùng cho các loại máy lọc nước RO​. - Loại bỏ tạp chất lớn hơn 5 Microm có trong nước. - Thời gian thay thế 3-4 tháng một lần, tùy vào độ sạch của nước đầu vào. Màu sắc Trắng Thông số kỹ thuật Trọng lượng: 0.5 Kg Xuất xứ Trung Quốc & Thái Lan Kích thước 5 x 13 x 10 cm. Lõi lọc số 1 dùng cho các loại máy lọc nước RO​ Lõi lọc nước số 1 dùng cho máy lọc nước RO DPT-RO1 (Trắng) là phụ kiện dành chomáylọc nước RO, giúp loại bỏ mùitrong nước máy, lọc các tạp chất, cặn bẩn chất gỉ sét, rong rêu có kích thước 5 micron.Thời gian thay thế 3-4 tháng một lần, tùy vào độ sạch của nước đầu vào. Lõi lọc nước số 1 dùng cho máy lọc nước RO DPT-RO1 (Trắng) Thành phần các lõi Máy lọc nước RO Lõi lọc thứ 1: Loại bỏ các cáu cặn và tạp chất có kich thước lớn hơn 5 micron. Lõi lọc thứ 2: Lõi này là hấp thụ các tạp chất như khử mùi clo và các chất hữu cơ hòa tan. Lõi lọc thứ 3: Lõi lọc resin có khả năng làm mềm nước, khử các kim loại nặng hòa tan trong nước. Lõi lọc thứ 4: Màng lọc membrane với những lỗ lọc siêu nhỏ giúp loại bỏ hoàn toàn các vi khuẩn, các kim loại hòa tan trong nước. Lõi lọc thứ 5: lõi này là khử mùi clo lần cuối và làm ngọt nước. Cách thay thế lõi lọc: Rút điện nguồn vào máy lọc nước Dùng tay hoặc dụng cụ tháo cốc lọc số 1 (cốc lọc đầu tiên từ nguồn nước cấp vào) Tháo lõi lọc cũ, vệ sinh cốc lọc, bóc lớp nilon bảo vệ lõi mới, thay lõi mới vào Chú ý: sau khi thay lõi mới vào, ta mở nguồn nước cho chảy đầy cốc lọc, rồi mới vặn chặt cốc lọc lại để cho hết không khí trong cốc lọc. Cắm điện cho máy chạy bình thường. ",""""""
adayroi.com,https://www.adayroi.com/loi-loc-nuoc-5-tang-dpt-5t-p-PRI1190225?offer=PRI1190225_CAH,PRI1190225,Thương hiệu khác,Máy lọc nước,Lõi lọc nước 5 tầng ĐPT-5T,55.000đ,ĐẠI PHÁT TÀI,"Phụ kiện máy lọc nước Thương hiệu khác,Lõi lọc nước,Lõi lọc nước 5 tầng,ĐPT-5T","- Lọc sạch cặn bẩn, tập chất, vi khuẩn. - Khử mùi lạ trong nước, cho nguồn nước sạch. - Bổ sung chất khoáng có lợi cho sức khỏe. - Thay bộ lõi lọc 6 tháng/lần đảm bảo nguồn nước sạch cho gia đình bạn. Màu sắc Trong suốt Thông số kỹ thuật Trọng lượng: 2 Kg Xuất xứ Việt Nam Kích thước 10 x 10 x 20 cm. Bổ sung chất khoáng có lợi cho sức khỏe​ Lõi lọc nước 5 tầng ĐPT-5T sẽ là phụ kiện quan trọng cho bình lọc nước của bạn. Lõi gồm 5 tầng với 5 lớp lọc, giúp loại bỏ hiệu quả những cặn bã và khử mùi nước, cho bạn nguồn nước sạch và tinh khiết, đảm bảo sức khỏe. Lõi lọc nước 5 tầng ĐPT-5T Khử mùi lạ trong nước, cho nguồn nước sạch Bộ lọc có 5 tầng gồm: hạt bio, đá, cát silica, hạt cation, carbon giúp lọc những cặn bã ra khỏi nguồn nước hiệu quả. Bộ lọc sẽ giúp khử mùi cho nước, cho bạn cónguồn nước tinh khiết lọc những cặn bã, mang lại cho bạn nguồn nước sạch, tinh khiết, đảm bảo sức khỏe cho gia đình. Thời gian thaythế bộ lọc trong bình lọc nước sau 6-8 tháng để đảm bảo nguồn nước tinh khiết. Cho bạn cónguồn nước tinh khiết",""""""
adayroi.com,https://www.adayroi.com/loi-loc-nuoc-6-tang-dpt-6t-p-PRI1190238?offer=PRI1190238_CAH,PRI1190238,Thương hiệu khác,Máy lọc nước,Lõi lọc nước 6 tầng ĐPT-6T,65.000đ,ĐẠI PHÁT TÀI,"Phụ kiện máy lọc nước Thương hiệu khác,Lõi lọc nước,Lõi lọc nước 6 tầng ĐPT-6T,ĐPT-6T,6 tầng","- Lọc sạch cặn bẩn, tập chất, vi khuẩn. - Khử mùi lạ trong nước, cho nguồn nước sạch. - Bổ sung chất khoáng có lợi cho sức khỏe. - Thay bộ lõi lọc 6 tháng/lần đảm bảo nguồn nước sạch cho gia đình bạn. Màu sắc Trong suốt Thông số kỹ thuật Trọng lượng: 2 Kg Xuất xứ Việt Nam Kích thước 10 x 10 x 20 cm. Bổ sung chất khoáng có lợi cho sức khỏe​ Lõi lọc nước 6 tầng ĐPT-6T sẽ là phụ kiện quan trọng cho bình lọc nước của bạn. Lõi gồm 6tầng với 6lớp lọc, giúp loại bỏ hiệu quả những cặn bã và khử mùi nước, cho bạn nguồn nước sạch và tinh khiết, đảm bảo sức khỏe. Lõi lọc nước 6 tầng ĐPT-6T Khử mùi lạ trong nước, cho nguồn nước sạch Bộ lọc có 6tầng giúp lọc những cặn bã ra khỏi nguồn nước hiệu quả. Bộ lọc sẽ giúp khử mùi cho nước, cho bạn cónguồn nước tinh khiết lọc những cặn bã, mang lại cho bạn nguồn nước sạch, tinh khiết, đảm bảo sức khỏe cho gia đình. Thời gian thaythế bộ lọc trong bình lọc nước sau 6-8 tháng để đảm bảo nguồn nước tinh khiết. Cho bạn cónguồn nước tinh khiết",""""""
adayroi.com,https://www.adayroi.com/loi-loc-nuoc-so-1-karofi-thay-the-cho-dong-may-ro-p-1725471?offer=1725471_021016,1725471,Karofi,Máy lọc nước,Lõi lọc nước số 1 Karofi (thay thế cho dòng máy RO),70.000đ,Hà Thy Mart,"Phụ kiện máy lọc nước Karofi,lõi lọc số 1,lõi lọc nước karofi,lõi lọc máy RO","- Cấu tạo bởi sợi bông xốp của nhựa polyprolen. - Lọc các tạp chất hữu cơ, rỉ sét, bùn đất hay các chất lơ lửng trong nước có kích thước lớn hơn 5 micron. - Dễ dàng thay thế và lắp đặt. Bảo hành Không bảo hành Thông số kỹ thuật Cấu tạo: Lõi được cấu tạo bởi sợi bông xốp của nhựa polyprolen, sau đó được nén chặt lại. Chức năng: Lọc các tạp chất hữu cơ, rỉ sét, bùn đất hay các chất lơ lửng trong nước có kích thước lớn hơn 5 micron. Xuất xứ Đài Loan. Lõi lọc số 1 Karofi nằm ở cốc lọc đầu tiên trong máy lọc nước Karofi. Nhận diện lõi lọc này rất đơn giản. Cốc trong suốt có thể nhìn thấy bên trong. Việc này để tiện theo dõi bằng mắt thường để biết lõi lọc đã bẩn, đến thời kỳ thay lõi lọc hay chưa. Lõi số 1 cấu tạo cơ bản từ sợi bông xốp nhựa Polyprolen, được nén chặt lại cho đến khi khe hở chỉ còn kích thước 5 micron (~0.005 mm) được đặt ở vị trí đầu tiên trong máy lọc nước Karofi để lọc đi toàn bộ các loại chất bẩn, chất rỉ sét, tạp chất hữu cơ, bùn đất,… nằm trong nước. Toàn bộ chất bẩn có kích thước lớn hơn 5 micron sẽ được giữ lại ở lõi lọc này. Do vậy, lõi lọc số 1 Karofi là lõi lọc được thay thế thường xuyên nhất, thời gian thay thế cũng ngắn nhất. Do vậy, Karofi đã đặt lõi này trong một cốc lọc trong suốt, có thể nhìn xuyên để tiện theo dõi tình trạng lõi lọc. Thời gian thay thế: + Đối với nguồn nước thông thường (Nước máy, nước mưa): Thời gian thay thế 3 – 6 tháng/lần (Nước cấp đầu vào khoảng 5.500 lít – 10.900 lít). + Đối với nguồn nước cứng, nước nhiễm đá vôi (Nước chứa Ca­­­­­­2+ & Mg2+), nước giếng khoan, giếng khơi hoặc nước đặc thù có thời gian thay thế 1.5 – 3 tháng/ lần (Nước cấp đầu vào khoảng3.100lít – 10.400lít). + Dùng cho mọi nguồn nước. #nguồn: Internet",""""""
adayroi.com,https://www.adayroi.com/loi-loc-nuoc-so-2-karofi-thay-the-cho-dong-may-ro-p-1725476?offer=1725476_021016,1725476,Karofi,Máy lọc nước,Lõi lọc nước số 2 Karofi (thay thế cho dòng máy RO),80.000đ,Hà Thy Mart,"Phụ kiện máy lọc nước Karofi,lõi lọc số 2,lõi lọc nước karofi,lõi lọc máy RO","- Hấp thụ mạnh các chất nhờn, mùi và hữu cơ hoàn tan. - Than hoạt tính xử lý chất phóng xạ, asen và amoni trong nước. - Thời gian thay thế 3 – 6 tháng/lần. Bảo hành Không bảo hành Thông số kỹ thuật Thời gian thay thế 3 – 6 tháng/lần (Nước cấp đầu vào khoảng 5.500 lít – 10.900 lít) Dùng cho nguồn nước thông thường (Nước máy, nước mưa) Xuất xứ Đài Loan. Lõi lọc số 2 Karofi sử dụng than hoạt tính dạng gáo dừa được hoạt hoá. Than được bao bọc bởi một lớp vỏ nhựa. Với cấu trúc xốp rỗng, các vết rỗng, nứt vi mạch có tính hấp thụ rất nhanh. Lõi lọc số 2 Karofi hấp thụ mạnh các chất nhờn, các chất gây mùi, chất hữu cơ hoà tan. Thời gian thay thế lõi lọc này khoảng từ 6-9 tháng. Thời gian thay thế tuỳ thuộc vào mức độ nhiễm mùi của nước đầu vào. Người tiêu dùng nên thay thế lõi lọc số 2 đúng hạn để nguồn nước không bị nhiễm mùi, các chất nhờn, chất hữu cơ gây hại cho cơ thể. Đối với các dòng máy lọc nước thông minh Karofi, người tiêu dùng sẽ bớt lo lắng phần nào đi bởi tính năng nhắc nhở thay thế lõi lọc đúng thời hạn. Việc thay lõi lọc tại nhà cực kỳ quan trọng bởi nó ảnh hưởng trực tiếp tới sức khoẻ người tiêu dùng. Do đó, bạn hãy thay lõi lọc đúng thời hạn.",""""""
adayroi.com,https://www.adayroi.com/loi-loc-nuoc-sunhouse-so-1-p-PRI214757?offer=PRI214757_KJU,PRI214757,Sunhouse,Máy lọc nước,Lõi lọc nước Sunhouse số 1,84.000đ,SUNHOUSE,Phụ kiện máy lọc nước Sunhouse,"- Được làm từ chất liệu đặc biệt chuyên dụng. - Loại bỏ các chất bẩn và độc hại trong nước. - Thiết kế tiêu chuẩn, phù hợp với nhiều loại bình lọc. . Lõi lọc nướcSunhouse số 1 được làm từ chất liệu đặc biệt chuyên dụng, siêu bền, cho thời gian sử dụng lâu dài. Sản phẩm được thiết kế để có thể tháo - lắp dễ dàng, giúp bạn có thể tự thao tác tại nhà mà không mất quá nhiều thời gian và công sức. Sản phẩm có chức năng chính là loại bỏ bùn đất, gỉ sét, các loại tạp chất thô, kim loại nặng, mang đến cho bạn nguồn nước sạch, đảm bảo an toàn cho sức khỏe người sử dụng. Lõi có kích thước tiêu chuẩn, phù hợp với nhiều loại bình lọc nước hiện nay. Trọng lượng:(160g) Xuất xứ:Việt Nam Màu sắc:Trắng Chất liệu:Cấu tạo từ sợi PP tạo khe hở 5µm Công dụng:Loại bỏ bùn đất, gỉ sét, kim loại nặng và các tạp chất khác ra khỏi nước ",""""""
adayroi.com,https://www.adayroi.com/loi-loc-nuoc-sunhouse-so-3-p-PRI214773?offer=PRI214773_KJU,PRI214773,Sunhouse,Máy lọc nước,Lõi lọc nước Sunhouse số 3,90.000đ,SUNHOUSE,Phụ kiện máy lọc nước Sunhouse,"- Được làm từ chất liệu đặc biệt chuyên dụng. - Loại bỏ các chất bẩn và độc hại trong nước. - Thiết kế tiêu chuẩn, phù hợp với nhiều loại bình lọc. . - Lõi lọc nướcSunhouse số 3 được làm từ chất liệu đặc biệt chuyên dụng, siêu bền, cho thời gian sử dụng lâu dài. Sản phẩm được thiết kế để có thể tháo - lắp dễ dàng, giúp bạn có thể tự thao tác tại nhà mà không mất quá nhiều thời gian và công sức. - Sản phẩm có chức năng chính là loại bỏ bùn đất, gỉ sét, các loại tạp chất thô, kim loại nặng, mang đến cho bạn nguồn nước sạch, đảm bảo an toàn cho sức khỏe người sử dụng. - Lõi có kích thước tiêu chuẩn, phù hợp với nhiều loại bình lọc nước hiện nay. Trọng lượng:(150g) Xuất xứ:Việt Nam Màu sắc:Trắng Công dụng:Loại bỏ bùn đất, gỉ sét, kim loại nặng và các tạp chất khác ra khỏi nước ",""""""
