Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
adayroi.com,https://www.adayroi.com/xeng-dao-goc-cay-1548-624-p-PRI1130107?offer=PRI1130107_CHK,PRI1130107,VinMart,"Ngoài trời, sân vườn",Xẻng đào gốc cây 1548-624, 38.000đ,VINMART - VINGROUP,Dụng cụ làm vườn VinMart,"- Chất liệu thép không gỉ. - Bề mặt láng bóng, dễ dàng làm sạch. - Cán cầm gỗ chống trơn trượt. Xuất xứ Trung Quốc Hướng dẫn bảo quản Vệ sinh sau khi sử dụng Chất liệu Thép Kích thước 28x8.5cm. Xẻng đào gốc cây 1548-624 được làm từ chất liệu thép sơn chống gỉ sét với độ bền chắc cao, chống ăn mòn và không bị oxy hóa ngay cả khi làm việc ở điều kiện ẩm ướt, cho giá trị sử dụng lâu dài theo thời gian. Sản phẩm với phần tay cầm được thiết kế chắc chắn, vừa vặn, hạn chế trơn trượt, thuận tiện khi cầm nắm và thao tác. Với Xẻng đào gốc cây 1548-624 bạn sẽ dễ dàng xới đất, làm tơi xốp đất mà không mất nhiều thời gian và công sức, bạn có thể dễ dàng tự tay chăm lo cho khu vườn của mình thêm phần xinh đẹp.",""""""
adayroi.com,https://www.adayroi.com/thang-rut-day-hop-kim-nhom-pal-ap-70-p-PRI788567?offer=PRI788567_PEI,PRI788567,Pal,"Ngoài trời, sân vườn",Thang rút dây hợp kim nhôm PAL AP-70, 10.500.000đ,NGOC LONG,"Thang nhôm rút Pal,Thang rút dây hợp kim nhôm PAL,Thang rút dây hợp kim nhôm PAL AP-70","Được làm từ chất liệu hợp kim nhôm nên có độ bền cao, ít bị oxi hóa . Thiết kế tiện lợi và sử dụng cho nhiều mục đích . Dễ dàng xếp gọn mà không chiếm quá nhiều diện tích . Trọng lượng 19kg Màu sắc Bạc Chất liệu Hợp kim nhôm Model AP-70 Hướng dẫn sử dụng Dùng cho các công việc sửa chữa hay lắp đặt đồ dùng trên cao Xuất xứ Đài Loan. Được sản xuất theo dây chuyền công nghệ Đài Loan tiên tiến đạt tiêu chuẩn quốc tế, Thang rút dây hợp kim nhôm PAL AP-70 là sự kết hợp hoàn mĩ giữa truyền thống và hiện đại, là 1 trong những loại thang nhôm được nhiều người tin dùng với chất lượng đảm bảo, tính tiện lợi và linh hoạt. Thang rút dây hợp kim nhôm PAL AP-70 làm bằng chất liệu hợp kim nhôm không gỉ, độ bền cao, ít bị oxi hóa, siêu nhẹ, công nghệ sơn tĩnh điện chân không và không phai màu theo thời gian. Thiết kế có thể gấp gọn được với trọng lượng nhẹ giúp việc di chuyển trở nên dễ dàng nên thang thường được sử dụng trong những công việc xây dựng, lắp đặt các thiết bị trên cao hoặc có thể sử dụng cho các công việc gia đình. Với chất lượng đạt tiêu chuẩn Châu Âu nên Thang rút dây hợp kim nhôm PAL AP-70 được người tiêu dùng tin tưởng và sử dụng với độ an toàn cao. Thông số kỹ thuật : Trọng lượng: 18,92kg Chiều cao tối đa: 7,2m Chiều dài rút gọn: 4,3m Tải trọng: 120kg. Thông tin thương hiệu Pal là thương hiệu thang nhôm đến từ Đài Loan đạt tiêu chuẩn hàng đầu quốc tế EN131 với thế mạnh về thang nhôm ghế, thang nhôm gấp 4 đoạn, thang chữ I, thang chữ A. Thang nhôm Pal là một trong những sản phẩm được người tiêu dùng ưa thích và bình chọn là dòng thương hiệu tốt nhất bởi chất lượng, kiểu dáng và giá cả thì vô cùng hợp lý. Sản phẩm đã có mặt trong Hội chợ Hàng tiêu dùng Việt Nam năm 2013, 2014, 2015.",""""""
adayroi.com,https://www.adayroi.com/thang-rut-telesteps-tcl-23-p-PRI788734?offer=PRI788734_PEI,PRI788734,Telesteps,"Ngoài trời, sân vườn",Thang rút Telesteps TCL-23, 10.800.000đ,NGOC LONG,"Thang nhôm rút Telesteps,Thang rút Telesteps TCL-23,Thang rút Telesteps,Telesteps","- Thiết kế hiện đại, tính năng linh hoạt, tiện lợi. - Kích thước nhỏ gọn, không tốn nhiều diện tích. - Dễ dàng sử dụng ở những nơi có không gian chật hẹp. Bảo hành 12tháng Trọng lượng 14.5kg Màu sắc Bạc Chất liệu Nhôm, nhựa Model TCL-23 Xuất xứ Thụy Điển. Thang rút Telesteps TCL-23 được thiết kế đặc biệt, là 1 trong những loại thang nhôm được nhiều người tin dùng với chất lượng đảm bảo, tính tiện lợi và linh hoạt. Ống thang được gia cường bằng một lớp siêu cứng anodised với cốt sợi thủy tinh, các chi tiết nhựa nguyên liệu ABS chống va đập giúp tăng độ bền bỉ của thang. Chân cao su được thiết kế tạo ra những rãnh nhỏ góc cạnh nhằm tối đa hóa ma sát trên bề mặt. Là loại thang chuyên dụng, đạt các tiêu chuẩn an toàn của Châu Âu và CH Liên Bang Đức Sản phẩm đa năng có thể kéo dài hay thu gọn tùy ý, chức năng Telescopic (rút gọn) sử dụng kết hợp 3 trong 1, khi không sử dụng, thang được rút gọn, không tốn diện tích, dễ dàng di chuyển. Hệ thống chốt an toàn tuyệt đối trong quá trình sử dụng, tăng giảm độ cao theo yêu cầu công việc. Với tính năng linh hoạt, gọn nhẹ và tiện lợi của thang giúp bạn thực hiện các công việc sửa chữa, lau chùi, vệ sinh… trên cao một cách dễ dàng. Sản phẩm được sử dụng nhiều trong các ngành viễn thông, điện lực, các công trình, công ty và ngay cả trong gia đình. Thông số kỹ thuật: - Số bậc: 6 + 2 bậc - Chiều dài rút gọn: 71cm - Chiều cao tối đa: 2,3m - Chiều rộng: 69cm - Tải trọng tối đa cho phép: 150kg",""""""
adayroi.com,https://www.adayroi.com/thang-cach-dien-hai-doan-nikawa-nkl-80-43-x-460-cm-vang-p-PRI598471?offer=PRI598471_OKY,PRI598471,Nikawa,"Ngoài trời, sân vườn",Thang cách điện hai đoạn Nikawa NKL-80 43 x 460 cm (Vàng), 11.400.000đ,MAXBUY,"Thang nhôm Nikawa,thang cách điện,Thang cách điện Nikawa NKL-80,thang cách điện Nikawa,thang cách điện hai đoạn,thang cách điện NKL-80","- Được làm từ chất liệu có độ bền cao. - Đạt tiêu chuẩn an toàn Châu Âu EN131. - Thiết kế thông minh, chắc chắn, hiện đại. Bảo hành 12tháng Trọng lượng 31kg Màu sắc Vàng Chất liệu Nhôm, sợi thủy tinh cách điện Model NKL-80 Kích thước 43 x 460 (cm) Xuất xứ Trung Quốc. Thang cách điện hai đoạn Nikawa NKL-80 43 x 460 cm (Vàng) được sản xuất theo công nghệ Nhật Bản, đạt tiêu chuẩn an toàn Châu Âu EN131. Thang được làm từ chất liệu nhôm bền nhẹ cùng sợi thủy tinh cách điện tuyệt đối, đảm bảo an toàn khi sử dụng để sửa chữa điện. Bên ngoài thang phủ lớp sơn chống gỉ sét, đảm bảo độ bền qua thời gian. Sản phẩm gồm 2 đoạn được xếp lồng vào nhau giúp tiết kiệm diện tích khi cất giữ và tạo sự linh hoạt khi di chuyển. Thang có các bậc được thiết kế chắc chắn, đảm bảo an toàn cho người sử dụng. Sản phẩm được sử dụng trong nhiều hoạt động như: gắn biển quảng cáo, vệ sinh, sửa chữa các vật dụng điện trên cao, sơn cửa… rất tiện lợi. Thiết kế 2 đoạn được xếp lồng vào nhau giúp tiết kiệm diện tích khi sử dụng Thang cách điện hai đoạn Nikawa NKL-80 43 x 460 cm (Vàng) còn có các nút bịt chân bằng nhựa ABS bền chắc, chống trượt giúp chân thang bám vào mặt đất dễ dàng hơn cũng như bảo vệ sàn nhà chống trầy xước khi tiếp xúc với kim loại. Thông số kỹ thuật: - Độ rộng chân thang: 43cm - Chiều cao bậc: 31cm - Chiều cao sử dụng Hmin: 460cm - Chiều cao sử dụng Hmax: 800cm ​- Tải trọng thang: 150kg",""""""
adayroi.com,https://www.adayroi.com/thang-gap-2-doan-khoa-tu-dong-pal-b2-125-p-PRI776594?offer=PRI776594_PEI,PRI776594,Pal,"Ngoài trời, sân vườn",Thang gấp 2 đoạn khoá tự động PAL B2-125, 2.450.000đ,NGOC LONG,"Thang gấp Pal,thang gấp,thang Đài Loan,thang khóa tự động","- Sản xuất theo công nghệ Đài Loan đáp ứng đầy đủ các tiêu chí kỹ thuật. - Làm bằng chất liệu nhôm bền nhẹ, chắc chắn, không gỉ sét. - Phù hợp sử dụng cho nhiều mục đích khác nhau. Bảo hành 24tháng Trọng lượng 9kg Cao 3.75m Màu sắc Bạc Chất liệu Nhôm, nhựa Model B2-125 Kích thước Cao chữ A: 1,8 (m) Tính năng Chịu tải 120kg Xuất xứ Đài Loan. Thang gấp 2 đoạn khoá tự động PAL B2-125 được làm bằng nhôm nhẹ, bền chắc với khả năng chịu lực tốt. Thang chống gỉ sét tuyệt đối và được sản xuất theo công nghệ tiên tiến của Đài Loan, đạt tiêu chuẩn Châu Âu EN131-1. Chốt khóa an toàn giúp cố định thang khi gấp, chống gập đổ, rất chắc chắn Khoảng cách giữa các bậc thang được các chuyên gia nghiên cứu và tính toán kỹ càng, đảm bảo việc bước trên đó luôn chắc chắn và thoải mái nhất. Nút bịt chân thang bằng nhựa chắc chắn, chống trượt, giúp chân thang bám vào mặt đất dễ dàng hơn cũng như bảo vệ sàn nhà không bị trầy xước khi tiếp xúc với kim loại. Thang còn có thể xếp gọn nhanh chóng, giúp tiết kiệm diện tích hiệu quả, tính cơ động cao. Thang có thiết kế chân chữ A rộng, giúp người sử dụng có thể đứng vững chắc mà không cần người giữ phía dưới. Thang gấp 2 đoạn khoá tự động PAL B2-125​ được sử dụng rộng rãi trong nhiều lĩnh vực như: kỹ thuật, siêu thị, quảng cáo, vệ sinh kính, sửa chữa bóng đèn, cắt tỉa cây, sử dụng trong khách sạn, ngành điện lực, ngành công nghiệp khai thác mỏ, các công việc khác…",""""""
adayroi.com,https://www.adayroi.com/o-lech-tam-leo-2-65-x-2-1-x-2-1-m-nau-p-PRI1140224?offer=PRI1140224_PBH,PRI1140224,Leo,"Ngoài trời, sân vườn","Ô lệch tâm LEO 2,65 x 2,1 x 2,1 m (Nâu)", 2.500.000đ,GIA PHAT,"Ô, dù Leo,LEO,Ô lệch tâm,Ô lệch tâm LEO","- Diện tích che nắng lớn, chịu gió tốt. - Thiết kế khung chắc chắn, an toàn. - Dễ dàng sử dụng mà không tốn nhiều sức. Trọng lượng 13kg Xuất xứ Việt Nam Chất liệu Hợp kim sơn tĩnh điện vải polyeser Kích thước 2,65 x 2,1 x 2,1 (m). Sử dụng tiện lợi trong đời sống Ô lệch tâm LEO là sản phẩm ô che nắng được sử dụng rộng rãi trên thị trường hiện nay, với những ưu điểm như: diện tích che nắng lớn, dễ bố trí, vững chãi, sức chụi gió tốt. Thiết kế dễ dàng bố trí, che chắn với diện tích lớn Chân ô nặng, vững chắc khi trời có gió to giúp ô không bị lật. Ô lệch tâm có nhiều ưu điểm hơn so với kiểu đúng tâm truyền thống bởi tán ô nằm ở một bên so với thân ô do đó việc bố trí bàn ghế hay vật dụng dưới tán ô trở nên thuận tiện hơn. Thiết kế khung chắc chắn, an toàn, diện tích che nắng lớn, chịu gió tốt Chất liệu bền bỉ, vững chắc Ô lệch tâm LEO được cấu tạo bởi hợp kim sơn tĩnh điện chắc chắn, chụp che nắng bằng vải acrylic fabric, chống nước, chống nắng, bền bỉ với thời gian. Nhờ kết cấu đặt biệt, thiết kế thông minh với cơ cấu nâng bằng cánh tay đòn trợ lực tối đa, bạn sẽ không phải tốn nhiều lực khi nâng ô để sử dụng.",""""""
adayroi.com,https://www.adayroi.com/thang-gap-2-doan-12-bac-hasegawa-rs2-0-18-p-PRI776411?offer=PRI776411_PEI,PRI776411,Hasegawa,"Ngoài trời, sân vườn",Thang gấp 2 đoạn 12 bậc Hasegawa RS2.0-18, 2.500.000đ,NGOC LONG,"Thang gấp Hasegawa,thang nhôm,thang Nhật Bản,thang Hasegawa,thang gấp","- Sản xuất theo công nghệ Nhật Bản, đạt tiêu chuẩn an toàn Châu Âu. - Làm bằng chất liệu nhôm bền nhẹ, chắc chắn, không gỉ sét. - Phù hợp sử dụng cho nhiều mục đích khác nhau. Bảo hành 24tháng Trọng lượng 8.4kg Cao 3.6m Màu sắc Bạc Chất liệu Nhôm, nhựa Model RS2.0-18 Kích thước Cao chữ A: 1,8 (m) Khoảng cách bậc: 29,8 (cm) Tính năng Chịu tải 100kg Xuất xứ Trung Quốc. Thang gấp 2 đoạn 12 bậc Hasegawa RS2.0-18 được làm bằng nhôm nhẹ, bền chắc với khả năng chịu lực tốt. Thang chống gỉ sét tuyệt đối và được sản xuất theo công nghệ tiên tiến của Nhật Bản, đạt tiêu chuẩn an toàn Châu Âu. Chốt khóa an toàn giúp cố định thang khi gấp, chống gập đổ, rất chắc chắn Khoảng cách giữa các bậc thang được các chuyên gia nghiên cứu và tính toán kỹ càng, đảm bảo việc bước trên đó luôn chắc chắn và thoải mái nhất. Nút bịt chân thang bằng nhựa chắc chắn, chống trượt, giúp chân thang bám vào mặt đất dễ dàng hơn cũng như bảo vệ sàn nhà không bị trầy xước khi tiếp xúc với kim loại. Thang còn có thể xếp gọn nhanh chóng, giúp tiết kiệm diện tích hiệu quả, tính cơ động cao. Thang có thiết kế chân chữ A rộng, giúp người sử dụng có thể đứng vững chắc mà không cần người giữ phía dưới. Thang gấp 2 đoạn 12 bậc Hasegawa RS2.0-18​ được sử dụng rộng rãi trong nhiều lĩnh vực như: kỹ thuật, siêu thị, quảng cáo, vệ sinh kính, sửa chữa bóng đèn, cắt tỉa cây, sử dụng trong khách sạn, ngành điện lực, ngành công nghiệp khai thác mỏ, các công việc khác…",""""""
adayroi.com,https://www.adayroi.com/thang-cach-dien-chu-a-nikawa-nkj-8c-55-x-231-cm-do-p-PRI982402?offer=PRI982402_M-QRP,PRI982402,Nikawa,"Ngoài trời, sân vườn",Thang cách điện chữ A Nikawa NKJ-8C 55 x 231 cm (Đỏ), 2.500.000đ,Nikawa Việt Nam,"Thang nhôm chữ A Nikawa,thang gấp,thang chữ A,Thang cách điện chữ A Nikawa NKJ-8C 55 x 231 cm","- Được làm từ chất liệu có độ bền cao. - Đạt tiêu chuẩn an toàn châu Âu EN131. - Thiết kế thông minh, chắc chắn, hiện đại. Trọng lượng 9.5kg Màu sắc Đỏ Chất liệu Nhôm, sợi thủy tinh cách điện, nhựa Model NKJ-8C Kích thước 55 x 231 (cm) Hướng dẫn sử dụng Lưu ý không ngồi, đứng lên bậc nhựa trên cùng của thang Xuất xứ Trung Quốc. Công nghệ Nhật Bản, tiêu chuẩn châu Âu Thang cách điện chữ A Nikawa NKJ-8C 55 x 231 cm (Đỏ) được sản xuất theo công nghệ Nhật Bản, đạt tiêu chuẩn an toàn châu Âu EN131. Thang làm từ chất liệu nhôm bền nhẹ cùng sợi thủy tinh cách điện tuyệt đối, đảm bảo an toàn khi sử dụng để sửa chữa điện. Bên ngoài thang phủ lớp sơn chống gỉ sét, đảm bảo độ bền qua thời gian. Thiết kế bền chắc, tiện dụng Sản phẩm có thiết kế rộng, cân bằng, giúp người sử dụng có thể đứng vững chắc mà không cần người giữ. Thang được sử dụng trong nhiều hoạt động như: gắn biển quảng cáo, vệ sinh kính, sửa chữa các vật dụng điện trên cao, sơn cửa… rất tiện lợi. Đồng thời, sản phẩm có thể xếp gọn giúp tiết kiệm diện tích và tạo sự linh hoạt khi sử dụng. Thang cách điện chữ A Nikawa NKJ-8C 55 x 231 cm (Đỏ) còn có các nút bịt chân bằng nhựa ABS bền chắc, chống trượt giúp chân thang bám vào mặt đất dễ dàng hơn cũng như bảo vệ sàn nhà chống trầy xước khi tiếp xúc với kim loại. Thông số kỹ thuật Số bậc: 8 bậc Chiều cao bậc: 28cm Độ rộng chân thang: 55cm Chiều cao A: 231cm Tải trọng thang: 110kg Thông tin thương hiệu Ra đời năm 1996, tập đoàn Nikawa của Nhật Bản đã xây dựng nhiều nhà máy sản xuất tại nhiều nước trong khu vực. Lĩnh vực hoạt động của Nikawa bao gồm các ngành hàng gia dụng, thiết bị và máy móc công nghiệp, đảm bảo các tiêu chuẩn chất lượng quốc tế cũng như tiêu chuẩn an toàn cho người tiêu dùng. Các sản phẩm Nikawa hiện nay đang được phân phối tại nhiều thị trường trên thế giới như châu Âu, châu Mỹ và các nước châu Á khác. Một số sản phẩm nổi tiếng của Nikawa được nhiều người tiêu dùng đón nhận như thang nhôm, xe đẩy hàng, thiết bị công nghiệp, công cụ - dụng cụ…",""""""
adayroi.com,https://www.adayroi.com/thang-ghe-inox-ameca-amg-4in-p-1765018?offer=1765018_OKY,1765018,Ameca,"Ngoài trời, sân vườn",Thang ghế inox Ameca AMG-4IN, 850.000đ,MAXBUY,"Thang ghế Ameca,Thang ghế inox Ameca,Thang ghế Ameca,Thang ghế","- Chất liệu bền bỉ, chống gỉ sét, an toàn vững chắc. - Phù hợp với nhiều công việc trong gia đình như sửa chữa, dọn dẹp nhà cửa. - Thiết kế thông minh, dễ sử dụng và bảo quản. Bảo hành 18tháng Khối lượng 4kg Chất liệu Inox 201 Model AMG-4IN Xuất xứ Trung Quốc. Chất liệu inox chắc chắn, bển bỉ Thang ghế Ameca AMG-4IN có kết cấu dạng thang ghế 4 bậc, khung thang được gia công chắc chắn từ chất liệu inox cao cấp mang lại độ bền cho sản phẩm. Thang chống gỉ sét tuyệt đối và được sản xuất theo công nghệ tiên tiến nên có hiệu suất kỹ thuật đạt đến trình độ cao. Thiết kế chắc chắn, kiểu dáng hiện đại sử dụng an toàn bền bỉ Cấu trúc thông minh, vững chắc Sản phẩm có các thanh trụ được làm từ inox, chân đế được bọc lớp vỏ cao su có tác dụng chống trơn trượt và bám đất hiệu quả. Bậc thang có thiết kế rộng, giúp người sử dụng có thể đứng vững chắc mà không cần người giữ. Hỗ trợ tốt cho cuộc sống hàng ngày Thang ghế Ameca được sử dụng trong nhiều hoạt động như: gắn biển quảng cáo, vệ sinh kính, sửa chữa các vật dụng điện trên cao, sơn cửa… rất tiện lợi. Khả năng xếp gọn khi không sử dụng còn giúp tăng tính tiện lợi của thang trong quá trình vận chuyển. Thông số kĩ thuật: ​– Số bậc: 04 – Kích thước mở: 142 x 73 x 50cm – Kích thước đóng: 151 x (52 + 36.5) x 6cm – Khoảng cách bậc: 23cm – Tải trọng: 150kg",""""""
adayroi.com,https://www.adayroi.com/thang-ghe-nikawa-nks-04-p-PRI982287?offer=PRI982287_M-QRP,PRI982287,Nikawa,"Ngoài trời, sân vườn",Thang ghế Nikawa NKS-04, 850.000đ,Nikawa Việt Nam,"Thang ghế Nikawa,thang ghế,thang ghế Nikawa,NKS-04,nikawa,Thang ghế Nikawa NKS-04","- Chất liệu bền bỉ, chống gỉ sét, an toàn vững chắc. - Đạt tiêu chuẩn an toàn Châu Âu EN131. - Thiết kế thông minh, dễ sử dụng và bảo quản. Trọng lượng 6.6kg Màu sắc Cam, bạc Chất liệu Nhôm, thép, nhựa Model NKS04 Kích thước 49 x 6 x 144 (cm) Hướng dẫn bảo quản Để nơi khô ráo, thoáng mát Xuất xứ Trung Quốc. Chất liệu chống ăn mòn, bền bỉ theo thời gian Thang ghế Nikawa NKS-04 có kết cấu chắc chắn từ chất liệu thép kết hợp nhôm cao cấp mang lại độ bền cho sản phẩm. Thang chống gỉ sét tuyệt đối và được sản xuất theo công nghệ tiên tiến của Nhật Bản, đạt tiêu chuẩn an toàn Châu Âu EN131 nên có hiệu suất kỹ thuật đạt đến trình độ cao. Thiết kế chắc chắn, kiểu dáng hiện đại sử dụng an toàn bền bỉ Thiết kế vững chắc, sử dụng an toàn Sản phẩm có các thanh trụ được làm từ thép sơn tĩnh điện và các bậc lên xuống bằng nhôm đáp ứng tiêu chuẩn EU. Thang có thiết kế rộng, giúp người sử dụng có thể đứng vững chắc mà không cần người giữ. Mang tính ứng dụng cao trong cuộc sống Thang ghế Nikawa NKS-04 được sử dụng trong nhiều hoạt động như: gắn biển quảng cáo, vệ sinh kính, sửa chữa các vật dụng điện trên cao, sơn cửa… rất tiện lợi. Ngoài ra sản phẩm còn có các nút bịt bằng nhựa ABS bền chắc, chống trượt giúp chân thang bám vào mặt đất dễ dàng hơn cũng như bảo vệ sàn nhà chống trầy xước khi tiếp xúc với kim loại. Thông số kĩ thuật Số bước: 4 Kích thước mở: 49 x 74 x 134 cm Kích thước gấp: 49 x 6 x 144 cm Chiều cao (không gian giữa các bước): 25cm Chiều cao từ chân thang lên tới mặt bậc trên cùng: 92cm Chiều cao từ chân thang lên tới tay vịn: 134cm Tải trọng tối đa: 150kg Thông tin thương hiệu Ra đời năm 1996, tập đoàn Nikawa của Nhật Bản đã xây dựng nhiều nhà máy sản xuất tại nhiều nước trong khu vực. Lĩnh vực hoạt động của Nikawa bao gồm các ngành hàng gia dụng, thiết bị và máy móc công nghiệp, đảm bảo các tiêu chuẩn chất lượng quốc tế cũng như tiêu chuẩn an toàn cho người tiêu dùng. Các sản phẩm Nikawa hiện nay đang được phân phối tại nhiều thị trường trên thế giới như châu Âu, châu Mỹ và các nước châu Á khác. Một số sản phẩm nổi tiếng của Nikawa được nhiều người tiêu dùng đón nhận như thang nhôm, xe đẩy hàng, thiết bị công nghiệp, công cụ - dụng cụ…",""""""
