Domain,Url,Product_id,Rating,Comment,Review Time,Bought Time
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-coca-cola-lon-330ml-p-PRI37178?offer=PRI37178_CHK,PRI37178,5,Có bán thùng ko vậy?,2015-11-20 17:22:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-coca-cola-lon-330ml-p-PRI37178?offer=PRI37178_CHK,PRI37178,5,mua lon mang đi uống cho tiện :D,2015-06-13 10:57:00,
adayroi.com,https://www.adayroi.com/tra-xanh-huong-chanh-wonderfarm-chai-345ml-p-PRI6752?offer=PRI6752_CHK,PRI6752,5,nước uống đóng chay tiện lợi quá,2015-06-17 10:25:00,
adayroi.com,https://www.adayroi.com/tra-o-long-tea-plus-chai-350ml-p-PRI183671?offer=PRI183671_CHK,PRI183671,5,"đã nhận hàng, ADR lần này giao hàng khá nhanh, túi đẹp chắc chắn",2018-10-24 10:12:00,
adayroi.com,https://www.adayroi.com/tra-o-long-tea-plus-chai-350ml-p-PRI183671?offer=PRI183671_CHK,PRI183671,5,"ADR giao hàng nhanh, đóng túi kỹ không sợ hỏng, chất lượng tốt - hàng date còn mới",2018-10-23 15:29:00,
adayroi.com,https://www.adayroi.com/tra-o-long-tea-plus-chai-350ml-p-PRI183671?offer=PRI183671_CHK,PRI183671,5,"nhà mình ai cũng thích trà này, uống vị ngọt dịu. Chất lượng ADR dạo này tốt",2018-10-23 15:20:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-coca-cola-lon-250ml-p-PRI532864?offer=PRI532864_CHK,PRI532864,5,,2018-10-15 06:11:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-tra-den-vi-chanh-lipton-lon-330ml-p-PRI83404?offer=PRI83404_CHK,PRI83404,5,Rat la ok vm adr,2017-08-27 10:40:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-vi-nho-xanh-ice-chai-490ml-p-PRI28661?offer=PRI28661_CHK,PRI28661,5,Bổ sung vitamin và khoáng chất cho cơ thể,2015-06-17 00:09:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-co-gas-pepsi-cola-lon-330ml-p-PRI291347?offer=PRI291347_CHK,PRI291347,5,Chat lượng tốt,2017-10-04 11:32:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-coca-cola-coffee-lon-330ml-p-363074?offer=363074_CHK,363074,5,"Ngon , mới uống thử một lần thấy khá hợp khẩu vị ... vì mình thích cà phê , vẫn chua nhẹ sau khi uống .",2018-11-20 15:16:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-coca-cola-coffee-lon-330ml-p-363074?offer=363074_CHK,363074,5,,2018-06-30 21:54:00,
adayroi.com,https://www.adayroi.com/thuc-uong-thien-nhien-pha-sua-vi-mang-cau-latte-chai-345ml-p-PRI28656?offer=PRI28656_CHK,PRI28656,5,Cũng ngon đó,2017-09-11 00:15:00,
adayroi.com,https://www.adayroi.com/thuc-uong-thien-nhien-pha-sua-vi-mang-cau-latte-chai-345ml-p-PRI28656?offer=PRI28656_CHK,PRI28656,5,Loại này uống ngon ghê,2015-06-13 09:39:00,
adayroi.com,https://www.adayroi.com/thuc-uong-thien-nhien-pha-sua-vi-dao-latte-chai-345ml-p-PRI28657?offer=PRI28657_CHK,PRI28657,4,thơm ngọt dịu,2015-06-13 11:40:00,
adayroi.com,https://www.adayroi.com/thuc-uong-thien-nhien-pha-sua-vi-hon-hop-dau-latte-chai-345ml-p-PRI28658?offer=PRI28658_CHK,PRI28658,5,Vị dâu này cũng ngon lắm,2015-06-13 09:41:00,
adayroi.com,https://www.adayroi.com/tra-xanh-vi-chanh-mat-ong-lipton-chai-350ml-p-PRI28286?offer=PRI28286_CHK,PRI28286,5,Tôi rất hài lòng về sản phẩm này,2018-09-10 19:20:00,
adayroi.com,https://www.adayroi.com/tra-xanh-vi-chanh-mat-ong-lipton-chai-350ml-p-PRI28286?offer=PRI28286_CHK,PRI28286,5,trà xanh mật ông có lợi cho sức khỏe,2015-06-17 10:33:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-it-calo-pepsi-light-khong-duong-lon-330ml-p-PRI291371?offer=PRI291371_CHK,PRI291371,5,Ăn kiêng uống cái này vẫn được nè,2015-11-20 18:02:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-co-gas-huong-cam-fanta-chai-1-5l-p-PRI6754?offer=PRI6754_CHK,PRI6754,5,nước cam tăng cường năng lượng,2015-06-17 11:02:00,
adayroi.com,https://www.adayroi.com/nuoc-uong-huong-vi-tao-pororo-chai-235ml-p-PRI4646?offer=PRI4646_CHK,PRI4646,5,sao không thể order nưaz,2017-05-20 18:06:00,
adayroi.com,https://www.adayroi.com/nuoc-uong-huong-vi-trai-cay-nhiet-doi-pororo-chai-235ml-p-PRI4647?offer=PRI4647_CHK,PRI4647,5,"Quá nhanh, quá tuyệt dzời kkkk",2017-01-23 14:44:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-zero-coca-cola-khong-duong-lon-330ml-p-PRI173727?offer=PRI173727_CHK,PRI173727,5,thứ thức uống ưa thích của mình,2015-12-04 11:11:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-coca-cola-zero-chai-nhua-1-5l-p-PRI1071569?offer=PRI1071569_CHK,PRI1071569,3,,2018-10-21 02:29:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-coca-cola-zero-chai-nhua-1-5l-p-PRI1071569?offer=PRI1071569_CHK,PRI1071569,5,"hàng giao nhanh, để trong bịch rất gọn.",2017-08-30 10:01:00,
adayroi.com,https://www.adayroi.com/tra-xanh-matcha-tea-plus-chai-350ml-p-PRI889697?offer=PRI889697_CHK,PRI889697,5,Trà cực kì ngon,2018-10-18 21:11:00,
adayroi.com,https://www.adayroi.com/tra-xanh-c2-huong-chanh-chai-500ml-p-PRI11146?offer=PRI11146_CHK,PRI11146,5,laoij này tiết kiệm hơn nè,2015-06-16 15:50:00,
adayroi.com,https://www.adayroi.com/tra-xanh-c2-huong-chanh-chai-500ml-p-PRI11146?offer=PRI11146_CHK,PRI11146,4,"Chai to, giá rẻ , đã khát",2015-06-13 09:34:00,
adayroi.com,https://www.adayroi.com/tra-bi-dao-wonderfarm-lon-310ml-p-PRI28651?offer=PRI28651_CHK,PRI28651,5,trời nóng mà làm 1 lon trà bí đao thì đã khát lắm nha,2015-11-26 11:41:00,
adayroi.com,https://www.adayroi.com/tra-bi-dao-wonderfarm-lon-310ml-p-PRI28651?offer=PRI28651_CHK,PRI28651,5,Thanh mát dễ uống. Ngày nào cũng phải 1 lon cho đã khát.,2015-11-24 15:14:00,
adayroi.com,https://www.adayroi.com/tra-bi-dao-wonderfarm-lon-310ml-p-PRI28651?offer=PRI28651_CHK,PRI28651,5,"mùi vị thơm ngon dễ uống, để tủ lạnh uống ngon hơn nữa",2015-06-15 16:24:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-coca-cola-chai-2-25l-p-PRI11263?offer=PRI11263_CHK,PRI11263,5,ms đọc đc tin tức đau dạ dày uống nc có gas ko vấn đề gì nhé :) :)),2017-04-25 22:26:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-coca-cola-chai-2-25l-p-PRI11263?offer=PRI11263_CHK,PRI11263,5,Mình bị nghiện Coca toàn mua chai to này uống cho đã,2015-11-24 14:37:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-co-gas-pepsico-chai-1-5l-p-PRI28485?offer=PRI28485_CHK,PRI28485,1,,2018-11-19 14:17:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-co-gas-pepsico-chai-1-5l-p-PRI28485?offer=PRI28485_CHK,PRI28485,2,Ok lắm tôi mua,2018-08-13 19:51:00,
adayroi.com,https://www.adayroi.com/tra-sua-anh-quoc-teabreak-kirin-chai-345ml-p-PRI71533?offer=PRI71533_CHK,PRI71533,4,thơm mùi như uống trà sữa ý,2015-06-13 10:58:00,
adayroi.com,https://www.adayroi.com/tra-sua-anh-quoc-teabreak-kirin-chai-345ml-p-PRI71533?offer=PRI71533_CHK,PRI71533,5,Ngậy mà béo,2015-06-13 10:30:00,
adayroi.com,https://www.adayroi.com/nuoc-suong-sam-wonderfarm-lon-310ml-p-PRI8166?offer=PRI8166_CHK,PRI8166,5,Mát cực đã cho mùa hè.,2015-06-13 10:18:00,
adayroi.com,https://www.adayroi.com/tra-o-long-tea-plus-suntory-chai-455ml-p-PRI262768?offer=PRI262768_CHK,PRI262768,5,giá wa rẻ lun,2017-07-30 16:29:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-huong-chanh-sprite-chai-390ml-p-PRI8610?offer=PRI8610_CHK,PRI8610,5,Chai nhựa vừa nhẹ vừa tiện hơn chai thủy tinh. Cầm đi du lịch cũng dễ hơn.,2015-11-24 17:14:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-co-gas-coca-cola-chai-390ml-p-PRI11265?offer=PRI11265_CHK,PRI11265,5,"Nhân viên giao hàng nhiệt tình, rất chuyên nghiệp. 
Mình rất thích mua hàng tại adayroi.
Sẽ ủng hộ dài dài ạ.",2017-06-17 22:55:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-co-gas-coca-cola-chai-390ml-p-PRI11265?offer=PRI11265_CHK,PRI11265,5,Chai nhỏ nhỏ tiện hơn.,2015-11-24 15:48:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-co-gas-coca-cola-chai-390ml-p-PRI11265?offer=PRI11265_CHK,PRI11265,5,Rẻ hơn ngoài tạp hóa lun nè,2015-06-16 15:47:00,
adayroi.com,https://www.adayroi.com/nuoc-giai-khat-co-gas-coca-cola-chai-390ml-p-PRI11265?offer=PRI11265_CHK,PRI11265,5,Coca - cola là ngon nhất.,2015-06-16 15:31:00,
