Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
adayroi.com,https://www.adayroi.com/day-sen-xe-dap-kmc-8-7-6-speed-xam-p-PRI1061187?offer=PRI1061187_M-QWI,PRI1061187,KMC,Phụ kiện xe đạp,"Dây sên xe đạp KMC 8,7,6 speed (Xám)",240.000đ,CITI BIKE,"Phụ tùng xe đạp KMC,Phụ tùng xe đạp,Dây sên,KMC","- Dễ dàng sử dụng và lắp đặt. - Chất liệu cao cấp. - Phụ kiện không thể thiếu của xe đạp. Chất liệu Thép Màu sắc Xám Xuất xứ Đài Loan Trọng lượng 335g. Chất liệu bền bỉ Dây sên xe đạp KMC 8, 7, 6 speed ​ được làm từ chất liệu thép bền bỉ, phục vụ cho nhu cầu sử dụng xe đạp của bạn một cách tiện dụng và an toàn nhất. Chất liệu bền bỉ cho độ bền cao Phù hợp nhiều loại xe đạp Sên phù hợp với các loại xe đạp cuộc, xe đạp leo núi, xe touring, xe đạp địa hình xài đề. Mắc sên chắc chắn Thiết kế tiện dụng Dây sên xe đạp KMC tiện lợi, dễ dàng sử dụng và lắp đặt. Là phụ kiện không thể thiếu của xe đạp. Thông tin kỹ thuật: Gồm CL571R Mắc sên: 116 Độ dài chốt 7,1mm Tốc độ: 8-7-6",""""""
adayroi.com,https://www.adayroi.com/gang-tay-xe-may-cut-ngon-giant-size-l-do-den-p-PRI1040989?offer=PRI1040989_M-QYP,PRI1040989,Giant,Phụ kiện xe đạp,"Găng tay xe máy cụt ngón Giant size L (Đỏ, đen)",98.000đ,MY SPORT S,"Phụ kiên xe đạp khác Giant,Găng tay,zeco,găng tay cụt ngón,giant","- Chất liệu vải có độ co dãn đàn hồi tốt, ôm sát bàn tay của bạn, giúp bạn cử động dễ dàng. - Thiết kế cụt ngón tay, chống nắng, chống gió tốt, dễ dàng thao tác. - Khóa dán cổ tay chắc chắn, có thể chỉnh kích cỡ tùy theo cỡ cổ tay của mỗi người. Trọng lượng 50g Chất liệu Vải Xuất xứ Trung Quốc Kích thước 11 x 2 x 16 (cm). Bảo vệđôi tay bạn khi đi motor, xe máy Găng tay xe máy cụt ngón Giant cóchất liệu vải có độ co dãn đàn hồi tốt, ôm sát bàn tay của bạn, giúp bạn cử động dễ dàng và linh hoạt nhất. Găng tay giúp bảo vệđôi tay bạn khi đi motor, xe máy, đồng thời khẳng định ấn tượng,phong cách thời trang của người sử dụng. ​ Thiết kế mạnh mẽ, cá tính Thiết kếdễ dàng thao tác Thiết kế cụt ngón tay, chống nắng, chống gió tốt, dễ dàng thao tác. Khóa dán cổ tay chắc chắn, có thể chỉnh kích cỡ tùy theo cỡ cổ tay của mỗi người. Đệm lòng bàn tay mềm và mặt trước găng tay có lỗ thoáng khí, đảm bảo không gây bí tay. Chất liệu thông thoáng, tạo độ bám tốt Găng tay có thiết kế mạnh mẽ, cá tính với các đường may kỹ lưỡng và chắc chắn.Chất liệu thông thoáng, tạo độ bám tốt khi điều khiển xe,có khả năng chịu lực va chạm và độ bền cao. Chất liệu thông thoángvà độ bền cao Tạocảm giác êm và dễ chịu khi đeo Sản phẩm cho cảm giác êm và dễ chịu khi đeo, giúp bảo vệ mu bàn tay và các khớp ngón tay tối ưu. Bạn có thể điều chỉnh nới rộng hoặc thu hẹp phần cổ tay cho vừa tay mình.",""""""
adayroi.com,https://www.adayroi.com/den-coc-truoc-sau-my-sport-den-p-PRI1118787?offer=PRI1118787_M-QYP,PRI1118787,MY SPORT,Phụ kiện xe đạp,Đèn cóc trước sau MY SPORT (Đen),28.000đ,MY SPORT S,"Đèn xe đạp MY SPORT,phụ kiện xe,My Sport Shop,Đèn cóc","- Gắn trên tay lái hoặc trên cọc yên. - Chất liệu nhựa cao cấp. - Không thấm nước và độ sáng cao. Xuất xứ Trung Quốc Kích thước 10 x 5 x 15 (cm) Chất liệu Nhựa cao cấp Trọng lượng 150g. Chất liệu nhựa cao cấp Đèn cóc trước sau MY SPORT được sản xuất từ chất liệu nhựa cao cấp, giúp gia tăng sự an toàn khi phải di chuyển vào ban đêm. Sản phẩm có thiết kế đẹp mắt, chắc chắn,dễ dàng lắp đặt vàsử dụng. Sản phẩm dễ dàng lắp đặt và phát sáng tốt Không thấm nước và độ sáng cao Đèn dùng gắn trên tay lái hoặc trên cọc yên, bền bỉ trong mọi thời tiết. Sản phẩm không thấm nước và cho độ sáng cao. Phụ kiện trang trí ngoại thất đẹp cho xe của bạn Đèn vanMY SPORT là phụ kiện trang trí ngoại thất phát sáng, cho xe của bạn tăng thêm nét thẩm mỹvà hiện đại hơn.",""""""
adayroi.com,https://www.adayroi.com/den-coc-truoc-sau-my-sport-do-p-PRI1118788?offer=PRI1118788_M-QYP,PRI1118788,MY SPORT,Phụ kiện xe đạp,Đèn cóc trước sau MY SPORT (Đỏ),28.000đ,MY SPORT S,"Đèn xe đạp MY SPORT,My Sport Shop,phụ kiện xe,Đèn cóc","- Gắn trên tay lái hoặc trên cọc yên. - Chất liệu nhựa cao cấp. - Không thấm nước và độ sáng cao. Xuất xứ Trung Quốc Kích thước 10 x 5 x 15 (cm) Chất liệu Nhựa cao cấp. Chất liệu nhựa cao cấp Đèn cóc trước sau MY SPORT được sản xuất từ chất liệu nhựa cao cấp, giúp gia tăng sự an toàn khi phải di chuyển vào ban đêm. Sản phẩm có thiết kế đẹp mắt, chắc chắn,dễ dàng lắp đặt vàsử dụng. Sản phẩm dễ dàng lắp đặt và phát sáng tốt Không thấm nước và độ sáng cao Đèn dùng gắn trên tay lái hoặc trên cọc yên, bền bỉ trong mọi thời tiết. Sản phẩm không thấm nước và cho độ sáng cao. Phụ kiện trang trí ngoại thất đẹp cho xe của bạn Đèn vanMY SPORT là phụ kiện trang trí ngoại thất phát sáng, cho xe của bạn tăng thêm nét thẩm mỹvà hiện đại hơn.",""""""
adayroi.com,https://www.adayroi.com/gac-chan-inox-xe-dap-vinh-loi-xam-p-PRI1063114?offer=PRI1063114_M-QWI,PRI1063114,Vĩnh Lợi,Phụ kiện xe đạp,Gác chân inox xe đạp Vĩnh Lợi (Xám),30.000đ,CITI BIKE,"Phụ tùng xe đạp Vĩnh Lợi,gác chân,gác chân xe đạp","- Dùng cho người ngồi sau gác chân. - Chất liệu inox và nhựa bền bỉ. - Dễ dàng lắp đặt. Chất liệu Inox Màu sắc Xám Xuất xứ Việt Nam Quy cách đóng gói Bao nylon. Chất liệu inox và nhựa bền bỉ Gác chân inox xe đạp Vĩnh Lợi là phụ kiệnhữu ích và tiện lợichuyên dụng cho các dòng xe đạp, được làm từ inox và nhựanhẹ, bền đẹp, chịu lực tốt. Sản phẩm dùng cho người ngồi sau gác chân. Thiết kế chắc chắn, an toàn Thiết kếcứng cáp Gác chân được gia công tỉ mỉ, chắc chắn, an toàn.Gác chân có thể gấp gọn khi không sử dụng và mang lại sự thoải mái, an toàn cho người ngồi sau xe đạp. Dễ dàng lắp ráp Thiết kế gác chânđơn giản, dễ lắp đặt, phù hợp với nhiều loại xe.",""""""
adayroi.com,https://www.adayroi.com/bo-den-pin-gan-xe-dap-va-den-chieu-hau-5-led-wj-101-p-PRI592660?offer=PRI592660_M-NEE,PRI592660,USA Store,Phụ kiện xe đạp,Bộ đèn pin gắn xe đạp và đèn chiếu hậu 5 LED WJ-101,31.200đ,USA STORE,Đèn xe đạp USA Store,"- Thiết kế nhỏ gọn, tiện dụng. - Có khả năng chống nước. - Lắp đặt nhanh chóng. Xuất xứ Chính hãng Kích thước 12 x 8 x 8 (cm) Chất liệu Nhựa. Bộ đèn pin gắn xe đạp và đèn chiếu hậu 5 LED WJ-101 có thiết kế nhỏ gọn, dễ lắp đặt, thay thế. Sản phẩm giúp cho những chiếc xe đạp trở nên đa năng, tiện lợi và an toàn hơn. Đèn pin gắn xe đạp Tầm nhìn xa hơn 200m Sử dụng 3 pin AAA, thời gian chiếu sáng 8 giờ liên tục Kích thước đèn gắn xe đạp: 10 x 5 x 5 (cm) Trọng lượng: 150g Đèn chống nước, sử dụng được dưới trời mưa Sản xuấttheo tiêu chuẩn chất lượng ROHS, không ô nhiễm môi trường, không ảnh hưởng sức khỏe khi sử dụng Đèn chiếu hậu xe đạp 5 LED Sử dụng 2 pin AA Số đèn led: 5 Thiết kế nhỏ gọn, chất liệu nhựa tổng hợp an toàn khi sử dụng Đèn chống nước tốt, giúp bạn yên tâm khi đi dưới trời mưa. Màu sắc của đèn nhìn rất bắt mắt Hướng dẫn lắp đặt: dùng 2 móng tay đẩy mạnh khe giữa ốp đen và ốp đỏ (phía đối diện với nút vàng) Kích thước đèn chiếu hậu: 6.5 x 3 x 2.6 (cm) Trọng lượng: 100g ",""""""
adayroi.com,https://www.adayroi.com/den-cot-yen-xe-dap-sac-usb-dc-918-den-p-PRI1244487?offer=PRI1244487_M-QYP,PRI1244487,OEM,Phụ kiện xe đạp,Đèn cốt yên xe đạp sạc USB DC-918 (Đen),48.000đ,MY SPORT S,"Đèn xe đạp OEM,Đèn cốt yên xe đạp sạc USB DC-918,Đèn cốt yên xe đạp","- Dùng để gắn ở yên xe đạp khi đi xe ban đêm. - Khả năng vận hành mạnh mẽ. - Thiết kế nhỏ gọn, dễ dàng lắp đặt. . Khả năng vận hành mạnh mẽ Đèn cốt yên xe đạp sạc USB DC-918 có khả năng vận hành mạnh mẽ, pin sạc qua cổng USB với thời gian sạc chỉ khoảng 2 giờnên không cần quan tâm đến việc phải thay pin thường xuyên. Ánh sáng công suất mạnh 15 lumen an toàn khi đạp xe ban đêm. Pin sạccho thời gian sử dụng lâu, có khả năng chống mưa, chống gỉ sét, tích hợp 3 chức năng: Chiếu sáng, báo tín hiệu trước và sau siêu sáng. Đèn cốt yên xe đạp sạc USB DC-918 Thiết kế nhỏ gọn, dễ dàng lắp đặt Đèn có kích thước nhỏ gọn, trọng lượng nhẹ, tính di động cao,khả năng gắn vừa nhiều cỡ yên xe, từ 12 đến 32mm. Bạn hoàn toàn có thể tự lắp đặt tại nhà một cách nhanh chóng và dễ dàng khi cần. Thiết kế nhỏ gọn, dễ lắp đặt Sản phẩm hữu ích khi đi xe đạp trong điều kiện thiếu sáng Đèn cốt yên xe đạp sạc USB DC-918 dùng để gắn ở yênxe đạp, là một sản phẩm hữu ích cho chiếc xe đạp yêu thích của bạn khi đi trong đêm tối.Ngoài ra, đây còn là phụ kiện trang trí ngoại thất, cho xe của bạn tăng thêm nét thẩm mỹvà hiện đại hơn. Cổng sạc USBvà dây silicone đi kèm Thông số kỹ thuật Thời gian sạc: 2 giờ Chế độ sáng liên tục: 4 giờ Chế độ chớp:8 giờ",""""""
adayroi.com,https://www.adayroi.com/bo-den-led-va-den-chieu-hau-gan-xe-dap-us04462-tang-2-den-led-gan-banh-xe-p-PRI1160853?offer=PRI1160853_M-NEE,PRI1160853,USA Store,Phụ kiện xe đạp,Bộ đèn LED và đèn chiếu hậu gắn xe đạp US04462 (Tặng 2 đèn LED gắn bánh xe),60.000đ,USA STORE,Đèn xe đạp USA Store,"- Tăng tính năng động và thời trang cho xe. - Chất liệu an toàn. - Đèn chiếu hậu xe đạp 5 LED. Xuất xứ Trung Quốc Kích thước 6,5 x 3 x 2,6 (cm) Chất liệu Nhựa Màu sắc Đen, Đỏ. Tăng tính năng động và thời trang cho xe Bạn đã có một chiếc xe đạp để làm bạn đồng hành, sao bạn không trang bị thêm thiết bị chiếu sáng chuyên dụng cho chiếc xe của mình. Bộ đèn LED và đèn chiếu hậu gắn xe đạp US04462 sẽ giúp cho bạn rất nhiều những lúc đạp xe khi trời tối nhờ hệ thống gồm đèn LED với các chế độ sử dụng ánh sáng. Đây có thể xem là một món đồ trang sức làm tăng tính thời trang và năng động cho chiếc xe của bạn. Chất liệu an toàn Bộ đèn được sản xuất và nhập khẩu theo tiêu chuẩn chất lượng ROHS, không ô nhiễm môi trường, không ảnh hưởng sức khỏe khi sử dụng. Đèn LEDtạo ánh sáng có tầm nhìn xa hơn 200m,sử dụng 3 pin AAA, thời gian sử dụng đến 8 giờ (liên tục). Pin của đèndễ dàng mua để thay thế, lắp đặt rất dễ dàng và nhanh chóng, ngoài ra đèn chống được nước, bạn có thể sử dụng bình thường khi đi trong trời mưa. Đèn chiếu hậu xe đạp 5 LED Đèn chiếu hậu có tới 5 bóng đèn LED với thiết kế nhỏ gọn, chất liệu nhựa tổng hợp an toàn khi sử dụng.Đèn chống nước tốt, giúp bạn yên tâm khi đi dưới trời mưa. Màu sắc của đèn nhìn rất bắt mắt.Sử dụng 2 pin AA. Để lắp pin, bạndùng 2 móng tay đẩy mạnh khe giữa ốp đen và ốp đỏ,phía đối diện với nút vàng. ",""""""
adayroi.com,https://www.adayroi.com/mu-bao-hiem-xe-dap-bmx-size-m-hinh-mickey-xanh-duong-p-PRI1244310?offer=PRI1244310_M-QYP,PRI1244310,OEM,Phụ kiện xe đạp,Mũ bảo hiểm xe đạp BMX size M hình Mickey (Xanh dương),Siêu khuyến mại: ,MY SPORT S,"Mũ bảo hiểm xe đạp OEM,nón bảo hiểm BMX,Mũ bảo hiểm xe đạp BMX size M hình Mickey","- Vỏ ngoài làm từ nhựa PC nhập khẩu, chịu va đập tốt. - Thiết kế đẹp, chắc chắn, bên trong lót vải thoáng khí. - Đảm bảo an toàn cho người dùng, giảm thiểu các chấn thương có thể xảy ra. Xuất xứ Trung Quốc Kích thước 26 x 21,5 x 16 (cm). Kích thước vòng đầu: 48 - 55 (cm) Bảo hành 6tháng Size M Màu sắc Xanh dương Kiểu mũ 3/4. Vỏ ngoài làm từ nhựa PC nhập khẩu Mũ bảo hiểm xe đạp BMX size M hình Mickey có lớp vỏ ngoài của mũ bảo hiểm được sản xuất từnhựa PCnhập khẩu chuyên dụng chomũ bảo hiểm, có khảnăng chịu va đập, độ bền rất cao. Chất liệu cứng cáp giúp bảo vệ an toàn cho phần đầu của bạn lúc gặp sự cố khi tham gia giao thông trên đường. Vỏ ngoài làm từ nhựa PC nhập khẩu Mặt trong mũbằng chất liệu mút EPScao cấp Mặt trong mũbằng chất liệu mútEPSép đúc cao cấp, có tính năng chịu lực va đập tốt, độ bền cao. Lớp lót trong bằng vải thoáng khí,tạo cảm giác thoải mái, dễ chịukhi đội.Mũ có nhiều lỗ thông khí, tạo cảm giác thoáng mát cho người sử dụng, hạn chế tình trạng ngứa da đầu và gây bết dính tóc. ​ Thiết kế khoa học, thông thoáng Khóa an toàn chắc chắn Mũ trang bị khóa gài an toàn, chắc chắn và có thể điều chỉnh để vừa vặn với cỡ đầu. Sản phẩmcó trọng lượngnhẹ, mang đến cảm giác thoải mái và tránh nặng nề cho người sử dụng. Thiết kế trang nhã, ấn tượng Mũ bảo hiểm xe đạp BMX size M hình Mickey cócấu tạo gọn nhẹ, tạo cảm giác thoải mái, thông thoáng, phù hợp với khí hậu nhiệt đới và mật độ giao thông dày đặc của Việt Nam.Không những thế sản phẩm còn được thiết kế đẹp mắt, thời trang với kiểu dáng thể thao, mang đến phong cách trẻ trung, cá tính cho người đội. Chiếc mũ thời trang và tiện ích này sẽ góp phần bảo đảm an toàn cho bạn khi tham gia các hoạt động mạo hiểm với xe đạp địa hình, biểu diễn xe đạp, leo núi, trượt ván, patin... Gọn nhẹ, thiết kế độc đáo",""""""
adayroi.com,https://www.adayroi.com/mu-bao-hiem-xe-dap-bmx-size-m-hinh-mickey-den-p-PRI1244308?offer=PRI1244308_M-QYP,PRI1244308,OEM,Phụ kiện xe đạp,Mũ bảo hiểm xe đạp BMX size M hình Mickey (Đen),Siêu khuyến mại: ,MY SPORT S,"Mũ bảo hiểm xe đạp OEM,nón bảo hiểm BMX,Mũ bảo hiểm xe đạp BMX size M hình Mickey","- Vỏ ngoài làm từ nhựa PC nhập khẩu, chịu va đập tốt. - Thiết kế đẹp, chắc chắn, bên trong lót vải thoáng khí. - Đảm bảo an toàn cho người dùng, giảm thiểu các chấn thương có thể xảy ra. Xuất xứ Trung Quốc Kích thước 26 x 21 5 x 16 (cm). Kích thước vòng đầu: 48 - 55 (cm) Bảo hành 6tháng Size M Màu sắc Đen Trọng lượng 260g Kiểu mũ 3/4. Vỏ ngoài làm từ nhựa PC nhập khẩu Mũ bảo hiểm xe đạp BMX size M hình Mickey có lớp vỏ ngoài của mũ bảo hiểm được sản xuất từnhựa PCnhập khẩu chuyên dụng chomũ bảo hiểm, có khảnăng chịu va đập, độ bền rất cao. Chất liệu cứng cáp giúp bảo vệ an toàn cho phần đầu của bạn lúc gặp sự cố khi tham gia giao thông trên đường. Vỏ ngoài làm từ nhựa PC nhập khẩu Mặt trong mũbằng chất liệu mút EPScao cấp Mặt trong mũbằng chất liệu mútEPSép đúc cao cấp, có tính năng chịu lực va đập tốt, độ bền cao. Lớp lót trong bằng vải thoáng khí,tạo cảm giác thoải mái, dễ chịukhi đội.Mũ có nhiều lỗ thông khí, tạo cảm giác thoáng mát cho người sử dụng, hạn chế tình trạng ngứa da đầu và gây bết dính tóc. ​ Thiết kế khoa học, thông thoáng Khóa an toàn chắc chắn Mũ trang bị khóa gài an toàn, chắc chắn và có thể điều chỉnh để vừa vặn với cỡ đầu. Sản phẩmcó trọng lượngnhẹ, mang đến cảm giác thoải mái và tránh nặng nề cho người sử dụng. Thiết kế trang nhã, ấn tượng Mũ bảo hiểm xe đạp BMX size M hình Mickey cócấu tạo gọn nhẹ, tạo cảm giác thoải mái, thông thoáng, phù hợp với khí hậu nhiệt đới và mật độ giao thông dày đặc của Việt Nam.Không những thế sản phẩm còn được thiết kế đẹp mắt, thời trang với kiểu dáng thể thao, mang đến phong cách trẻ trung, cá tính cho người đội. Chiếc mũ thời trang và tiện ích này sẽ góp phần bảo đảm an toàn cho bạn khi tham gia các hoạt động mạo hiểm với xe đạp địa hình, biểu diễn xe đạp, leo núi, trượt ván, patin... Gọn nhẹ, thiết kế độc đáo",""""""
