Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
adayroi.com,https://www.adayroi.com/quat-sac-tiross-ts-917-25w-25w-xanh-p-PRI1102504?offer=PRI1102504_M-RF3,PRI1102504,Tiross,Quạt,Quạt sạc Tiross TS-917 25W 25W ( Xanh ),1.281.000đ,Gia dụng Phú Quý,"Quạt bàn Tiross,Quạt sạc điện Tiross TS-917 (xanh)","- Thiết kế nhỏ gọn, tích hợp vừa quạt gió vừa chiếu sáng. - Quạt có điều khiển từ xa tiện dụng. - Đèn LED bố trí phía trên quạt giúp lan tỏa ánh sáng mọi phía. Xuất xứ Trung Quốc Màu sắc Xanh Thời hạn bảo hành 12tháng Điện áp 220 Công suất 25W Chất liệu dụng cụ nhựa Hướng dẫn bảo quản Để nơi khô thoáng, tránh va đập mạnh Tên gọi chung Quạt sạc Model TS-917 Số cánh 3. Quạt sạc Tiross TS-917được thiết kế với kiểu dáng nhỏ gọn cùng màu sắc nhã nhặn phù hợp với nhiều không gian khácnhau. Với tính năng sạc điện, máy quạt giúp bạn có thể lưu trữ được một lượng điện để dùng cho những lúc mất điện đột ngột. Lồng quạt được thiết kế chắc chắn, đặc biệt an toàn với trẻ nhỏ giúp bạn yên tâm hơn khi sử dụng. Mô tả quạtTiross TS-917 Quạt sạc Tiross TS-917được trang bị hệ thống 12 đèn LED độ sáng cao, rất hữu dụng chiếu sáng cho bạn trong những khi mất điện đột xuất, ngoài ra làm tăng tính thẩm mỹ cho sản phẩm.Cánh và lồng quạt được làm bằng nhựa cao cấp, siêu bền, không độc hại. Mang đến cho bạn sản phẩm an toàn và bền bỉ. Ngoài ra, quạtđược trang bị thêm điều khiển từ xa giúp bạn có thể điều chỉnh dễ dàng hơn, không mất công công di chuyển.",""""""
adayroi.com,https://www.adayroi.com/quat-dao-tran-hatari-ht-c16r1-s-p-351942?offer=351942_101013,351942,Hatari,Quạt,Quạt đảo trần Hatari HT-C16R1(S),1.288.000đ,Shop Gia Dụng Cao Cấp Châu Âu,Quạt trần Hatari,"- Kiểu dáng hiện đại, tiết kiệm điện năng. - Chất liệu chống và chịu lực cao. - Remote điều khiển từ xa. - Có hệ thống tự ngắt chống cháy nổ. Điện áp 220V Thời hạn bảo hành 12tháng Xuất xứ Trung Quốc Điều khiển từ xa Có Hướng dẫn bảo quản Để nơi khô ráo, tránh ẩm Model HT-C16R1(S). Quạt đảo trần Hatari HT-C16R1(S) được thiết kế đặc trưng với lồng mạ sáng bóng, cánh hợp kim tĩnh điện và có điều khiển từ xa tiện dụng. Quạt đảo trần giúp đối lưu không khí, làm thoát nhiệt nhanh, tạo không khí thoáng mát với lưu lượng gió lớn mà quạt thường không thể có được. Quạt có 3 tốc độ, bạn có thể dễ dàng điều chỉnh tốc độ gió theo ý muốn. Quạt đảo trần Thái Lan Hatari HT- C16R1(S) tăng tính an toàn cho người sử dụngvới cầu chìnhiệt, đảm bảo cho thống tự động cắt giảm điện khi quạt gặp sự cố về điện áp. Với trọng lượng 3,8kg, khả năng quay 180 độ, tốc độ quay 1300 vòng/phútnhưng rất êm nhẹ, không gây tiếng ồn sẽ mang đến cho gia đình bạn những giờ thư giãn trong làn gió mát lành.Có hẹn giờ tắt tự động giúp tiết kiệm điện năng. Đây là chức năng khác hẳn với những loại quạt đảo trần thông thường. Vừa tiện dụng vừa tiết kiệm điện năng mà không phải mất công sử dụng đến công tắc.",""""""
adayroi.com,https://www.adayroi.com/quat-dao-tran-co-dieu-khien-hatari-ht-c16r1-s-p-PRI1105378?offer=PRI1105378_M-RF3,PRI1105378,Hatari,Quạt,Quạt đảo trần có điều khiển Hatari HT-C16R1(S),1.289.000đ,Gia dụng Phú Quý,"Quạt trần Hatari,Quạt đảo trần có điều khiển Hatari HT-C16R1(S)","- Kiểu dáng hiện đại, tiết kiệm điện năng. - Chất liệu chống và chịu lực cao. - Remote điều khiển từ xa. - Có hệ thống tự ngắt chống cháy nổ. Điện áp 220V Hướng dẫn bảo quản Để nơi khô ráo, tránh ẩm Model HT-C16R1(S). Quạt đảo trần Hatari HT-C16R1(S) được thiết kế đặc trưng với lồng mạ sáng bóng, cánh hợp kim tĩnh điện và có điều khiển từ xa tiện dụng. Quạt đảo trần giúp đối lưu không khí, làm thoát nhiệt nhanh, tạo không khí thoáng mát với lưu lượng gió lớn mà quạt thường không thể có được. Quạt có 3 tốc độ, bạn có thể dễ dàng điều chỉnh tốc độ gió theo ý muốn. Quạt đảo trần Thái Lan Hatari HT- C16R1(S) tăng tính an toàn cho người sử dụngvới cầu chìnhiệt, đảm bảo cho thống tự động cắt giảm điện khi quạt gặp sự cố về điện áp. Với trọng lượng 3,8 kg, khả năng quay 180 độ, tốc độ quay 1300 vòng/phútnhưng rất êm nhẹ, không gây tiếng ồn sẽ mang đến cho gia đình bạn những giờ thư giãn trong làn gió mát lành.Có hẹn giờ tắt tự động giúp tiết kiệm điện năng. Đây là chức năng khác hẳn với những loại quạt đảo trần thông thường. Vừa tiện dụng vừa tiết kiệm điện năng mà không phải mất công sử dụng đến công tắc.",""""""
adayroi.com,https://www.adayroi.com/quat-tich-dien-sunhouse-sh722-60w-p-PRI207862?offer=PRI207862_KJU,PRI207862,Sunhouse,Quạt,Quạt tích điện Sunhouse SH722 60W,1.293.000đ,SUNHOUSE,"Quạt bàn Sunhouse,Quạt tích điện Sunhouse SH722 60W,quat tich dien sunhouse,quạt tích điện,SH722","- Có bộ phận bảo vệ khi quá tải, đèn báo khi sạc đầy. . - Quạt có 2 tốc độ, sử dụng điện AC & DC. - Kiểu dáng nhỏ gọn, không chiếm diện tích. Xuất xứ Việt Nam Màu sắc Trắng Cao 48.2cm Dài 52.5cm Rộng 41cm Công suất 60W Hướng dẫn sử dụng Sạc đầy điện trước khi sử dụng Model SH722. - Quạt tích điện Sunhouse SH722 với kiểu dáng nhỏ gọn, không chiếm diện tích và dễ dàng sử dụng với 2 tốc độ giúp làm mát hiệu quả. - Thân và cánh quạt sạc làm bằng chất liệu nhựa ABS bền đẹp, chắc chắn, an toàn cho người sử dụng. Thiết kế lồng quạt đan khít, an toàn với trẻ nhỏ. - Khi sạc đầy, quạt cho hiệu quả hoạt động 3.5 giờ với tốc độ cao, 5.5 giờ với tốc độ thấp. Ngoài ra quạt còn được trang bị thêm đèn LED chiếu sáng sử dụng được trong vòng 45 giờ, chức năng bảo vệ pin khi sạc đầy, an toàn và giúp kéo dại tuổi thọ của quạt. - Quạt tích điện có tính tiện dụng cao, rất cần thiết khi nhà cúp điện mà bạn lại không thể chịu được cái nóng oi ả, hay khi đến những nơi không có ổ cắm điện như ngoài vườn, cắm trại ở xa... Thông tin thương hiệu Sunhouse là thương hiệu đi tiên phong trong lĩnh vực sản xuất và kinh doanh đồ gia dụng tại Việt Nam. Ngoài sở hữu nhà máy tại Hàn Quốc, Sunhouse còn đặt nhà máy tại Việt Nam với diện tích hơn 12000m2, sử dụng hoàn toàn dây chuyền sản xuất của Hàn Quốc và đội ngũ nhân viên lành nghề được đào tạo bởi các chuyên gia nước ngoài. Sản phẩm của Sunhouse được sản xuất trên dây chuyền công nghệ hiện đại, cùng kênh phân phối rộng khắp, đáp ứng tối đa nhu cầu về tính thẩm mỹ và sự tiện dụng so với các loại sản phẩm gia dụng hiện có trên thị trường.",""""""
adayroi.com,https://www.adayroi.com/quat-treo-co-dieu-khien-lioa-qt-409klg-ghi-p-2023926?offer=2023926_192009,2023926,LiOA,Quạt,Quạt treo có điều khiển LiOA QT-409KLG (Ghi),850.000đ,Gia dụng Big Home,"Quạt cây LiOA,Quạt đứng có ổ cắm LiOA,Quạt đứng,LiOA","- Thiết kế thông minh. - Tiết kiệm năng lượng. - Sử dụng dễ dàng. Công suất 55W Xuất xứ Việt Nam Khối lượng 3.5kg Phụ kiện đi kèm Điều khiển từ xa  Chất liệu Nhựa Model QT-409KLG Điều khiển từ xa Có Điện áp 220V Màu sắc Trắng, Trắng Thời hạn bảo hành 3năm. Quạt treo có điều khiển LiOA QT-409KLG (Ghi) là dòng quạt điện cao cấpcó độ bền cao và tiết kiệm điện năng. Sản phẩm thiết kế hiện đại,màu sắc trẻ trung bắt mắt, trang bị cầu chì chống cháy, an toàn cho người sử dụng sẽ là người bạn đồng hành với gia đình bạn trong những ngày nắng nóng. Được thiết kế với 3 cánh có phần sải cánh rộng cho lưu lượng gió tản đều, mạnh và xa hơn, thích hợp cho những căn phòng lớn.Quạt có điều khiển từ xa rất tiện lợi để bạn có thể tắt mở hay điều chỉnh các tốc độ gió mà không mất thời gian đến tận nơi để điều chỉnh. Sản phẩm được tích hợpchức năng hẹn giờ từ 0.5- 7.5giờcho bạn chủ động hơn trong việc kiểm soát thời gian hoạt động của quạt. Có 3 mức độ gió khác nhau, phù hợp với nhu cầu sử dụng.",""""""
adayroi.com,https://www.adayroi.com/quat-treo-co-dieu-khien-lioa-qt-409kbl-xanh-p-2023927?offer=2023927_192009,2023927,LiOA,Quạt,Quạt treo có điều khiển LiOA QT-409KBL (Xanh),850.000đ,Gia dụng Big Home,"Quạt cây LiOA,Quạt đứng có ổ cắm LiOA,Quạt đứng,LiOA","- Thiết kế thông minh. - Tiết kiệm năng lượng. - Sử dụng dễ dàng. Công suất 55W Xuất xứ Việt Nam Khối lượng 3.5kg Số cánh 3 Chất liệu Nhựa Model QT-409KBL Điều khiển từ xa Có Điện áp 220V Màu sắc Trắng, Trắng Thời hạn bảo hành 3năm. Quạt treo có điều khiển LiOA QT-409KBL (Xanh)​ là dòng quạt điện cao cấpcó độ bền cao và tiết kiệm điện năng. Sản phẩm thiết kế hiện đại,màu sắc trẻ trung bắt mắt, trang bị cầu chì chống cháy, an toàn cho người sử dụng sẽ là người bạn đồng hành với gia đình bạn trong những ngày nắng nóng. Được thiết kế với 3 cánh có phần sải cánh rộng cho lưu lượng gió tản đều, mạnh và xa hơn, thích hợp cho những căn phòng lớn.Quạt có điều khiển từ xa rất tiện lợi để bạn có thể tắt mở hay điều chỉnh các tốc độ gió mà không mất thời gian đến tận nơi để điều chỉnh. Sản phẩm được tích hợpchức năng hẹn giờ từ 0.5- 7.5giờcho bạn chủ động hơn trong việc kiểm soát thời gian hoạt động của quạt. Có 3 mức độ gió khác nhau, phù hợp với nhu cầu sử dụng.",""""""
adayroi.com,https://www.adayroi.com/quat-treo-co-dieu-khien-lioa-qt-409kwh-trang-p-2023928?offer=2023928_192009,2023928,LiOA,Quạt,Quạt treo có điều khiển LiOA QT-409KWH (Trắng),850.000đ,Gia dụng Big Home,"Quạt cây LiOA,Quạt đứng có ổ cắm LiOA,Quạt đứng,LiOA","- Thiết kế thông minh. - Tiết kiệm năng lượng. - Sử dụng dễ dàng. Công suất 55W Xuất xứ Việt Nam Khối lượng 3.5g Chất liệu Nhựa Model QT-409KWH Hướng dẫn bảo quản Có Điện áp 220V Màu sắc Trắng, Trắng Thời hạn bảo hành 3năm. Quạt treo có điều khiển LiOA QT-409KWH (Trắng) là dòng quạt điện cao cấpcó độ bền cao và tiết kiệm điện năng. Sản phẩm thiết kế hiện đại,màu sắc trẻ trung bắt mắt, trang bị cầu chì chống cháy, an toàn cho người sử dụng sẽ là người bạn đồng hành với gia đình bạn trong những ngày nắng nóng. Được thiết kế với 3 cánh có phần sải cánh rộng cho lưu lượng gió tản đều, mạnh và xa hơn, thích hợp cho những căn phòng lớn.Quạt có điều khiển từ xa rất tiện lợi để bạn có thể tắt mở hay điều chỉnh các tốc độ gió mà không mất thời gian đến tận nơi để điều chỉnh. Sản phẩm được tích hợpchức năng hẹn giờ từ 0.5- 7.5giờcho bạn chủ động hơn trong việc kiểm soát thời gian hoạt động của quạt. Có 3 mức độ gió khác nhau, phù hợp với nhu cầu sử dụng.",""""""
adayroi.com,https://www.adayroi.com/quat-dung-midea-fs40-15qr-55w-den-p-PRI1101821?offer=PRI1101821_092105,PRI1101821,Midea,Quạt,Quạt đứng Midea FS40-15QR 55W (Đen),875.000đ,Xuân Thành,"Quạt cây Midea,Quạt cây điều khiển Midea FS40-15QR","- Thiết kế 5 cánh quạt đường kính 40 cm tạo làn gió trải rộng khắp cả phòng. - Công suất 55 W cho khả năng làm mát cao, chế độ gió siêu êm. - Điều khiển từ xa, thiết kế móc treo Remote. - Màn hình hiển thị LED cao cấp. - 3 mức gió & hẹn giờ 7,5 tiếng. - 3 chế độ gió: gió thường, gió tự nhiên, gió ru ngủ. Công suất 55W Chất liệu dụng cụ nhựa Trọng lượng 6.32kg Xuất xứ Trung Quốc Kích thước 40 x 45,2 x 136,5 (cm) Số cánh 5 Model FS40-15QR Hướng dẫn bảo quản Để nơi khô thoáng, tránh va đập mạnh Điều khiển từ xa Có Điện áp 220V. Quạt đứng Midea FS40-15QR hoạt động mạnh mẽ,tạo gió nhanh và liên tục,làm mát hiệu quả.Đồng thời, với 3 chếđộ gió (gió thường, gió tự nhiên, gió ru ngủ)bạn có thểdễ dàng tùy chỉnh chophù hợp với nhu cầu. Quạt đứng FS40-15QR có kiểu dáng hiện đại, sang trọng Cánh quạt bằng nhựa siêu bền, không chứa chất độc hại với cơ thể. Cánh quạtcó đường kính 40cm, sải cánh rộng,có thể chuyển hướng trái phải, tạo luồng gió có góc thổi rộng khắp căn phòng. 5 cánh quạt sải cánh 40cm Thân quạt chắc chắn và với khả năng tăng, giảm chiều cao linh hoạt, bạn có thể tùy chỉnh độ cao của quạt phù hợp với từng không gian sử dụng khác nhau, giúp làm mát hiệu quả. Dễ dàng điều chỉnh chiều cao quạt Chế độ hẹn giờ tắt thông minh cho phép bạn chọn thời gian tắt quạt, giúp sử dụng quạt tiện lợi, dễ dàng hơn.Bảng điều khiển có đèn LED dễ theo dõi quá trình hoạt động của quạt. Bảng điều khiển đơn giản Người dùng điều chỉnh các chức năng, chế độ quạt dễ dàng dù đang ở bất cứ vị trí nào trong nhà, không cần di chuyển lại gần quạt nhờ thiết kế điều khiển từ xa hiện đại, thao tác đơn giản, chính xác. Điều khiển từ xa tiện lợi Sản phẩm sở hữu thiết kế hiện đại, phù hợp với mọi không gian nội thất như phòng khách, phòng làm việc, phòng học, phòng ngủ, phòng ăn gia đình... Bảng mô tả quạt đứng FS40-15QR ",""""""
adayroi.com,https://www.adayroi.com/quat-sac-tich-dien-da-nang-mini-comet-crf0206-p-1687712?offer=1687712_021016,1687712,Comet,Quạt,Quạt sạc tích điện đa năng mini Comet CRF0206,299.000đ,Hà Thy Mart,"Quạt bàn Comet,Comet CRF0206,quạt sạc Comet ,quạt tích điện comet","- Công suất hoạt động: 3W. - Kích thước lồng quạt: 6 inch. - Điều chỉnh tốc độ 2 chế độ. - Thời gian quạt tốc độ nhanh: 2.5 giờ. - Thời gian sạc: 2-4 giờ. Xuất xứ Trung Quốc Thời hạn bảo hành 12tháng Trọng lượng 0.43kg Công suất 3W Kích thước 209 x 170 x 253 mm Model CRF0206  Số cánh 4 cánh. Thiết kế hiện đại, tiện dụng Quạt sạc tích điện đa năng Comet CRF0206 sở hữu thiết kế hiện đại, màu sắc phối kết hợp hài hòa, phù hợp sử dụng trong mọi không gian. Sản phẩm là thiết bị lý tưởng giúp giải tỏa cơn nóng cho bạn vào những ngày nắng nóng cúp điện. Thời gian sử dụng 2.5 giờ Quạt sạc tích điện Comet CRF0206 sử dụng pin sạc dung lượng 2000mAh có thể sạc xả nhiều lần. Chỉ với một lần sạc, quạt cho khả năng chạy liên tục ở tốc độ cao nhất là 2.5 giờ. Điều chỉnh hướng gió linh hoạt Ngoài ra, quạt cho phép người dùng điều chỉnh hướng gió linh hoạt ở nhiều góc độ khác nhau. Lồng quạt chắc chắn giúp đảm bảo an toàn cho người dùng. Kẹp chân đế chắc chắn, cho phép bạn kẹp bàn dễ dàng để tiết kiệm diện tích.",""""""
adayroi.com,https://www.adayroi.com/quat-hut-am-tran-asia-v04001-45w-trang-p-PRI1010309?offer=PRI1010309_M-QRD,PRI1010309,Asia,Quạt,Quạt hút âm trần Asia V04001 45W (Trắng),317.000đ,HA MINH CUONG,"Quạt thông gió Asia,V04001,Quạt hút âm trần Asia,Quạt hút âm trần Asia V04001,Quạt hút trần,Quạt hút trần Asia V04001,Asia V04001,Quạt hút âm trần Asia V04001 45W (Trắng),Quạt hút âm trần Asia V04001 (Trắng),Quạt hút trần Asia","- Cánh quạt ly tâm với tốc độ vòng quay 1200 vòng/phút. - Mang lại bầu không khí thoáng đãng. - Kích thước chừa lỗ vuông 20 x 20 cm giúp tiết kiệm diện tích không gian. Công suất 45W Màu sắc Trắng Xuất xứ Việt Nam Kích thước 36 x 30 x 23 cm. - Quạt hút âm trần Asia V04001 45W (Trắng) là giải pháp đơn giản mà hiệu quả để thông gió, hút mùi, giảm độ ẩm trong những căn phòng ít không gian mở. Quạt có công suất 45W, hoạt động một chiều mang lại khả năng thông gió hiệu quả. - Cánh quạt ly tâm với tốc độ vòng quay 1200 vòng/phút, mang lại bầu không khí thoáng đãng, mát lành. - Thiết kế dạng âm trần hiện đại, hài hòa với nội thất của căn phòng. Quạt thích hợp sử dụng trong phòng bếp gia đình, cửa hàng, nhà ăn... Kích thước chừa lỗ vuông 20 x 20 cm giúp tiết kiệm diện tích không gian. - Sản phẩm được làm bằng chất liệu nhựa cao cấp, bền đẹp, an toàn khi sử dụng. Thông tin thương hiệu: Asia là một thương hiệu thuộc Công ty cổ phần Quạt Việt Nam, đơn vị chuyên sản xuất và phân phối quạt điện hàng đầu của Việt Nam. Hình thành từ một cơ sở sản xuất nhỏ vào năm 1990, sau hơn 20 năm nỗ lực phấn đấu hết mình, công ty đã từng bước hoàn thiện cơ cấu sản xuất, cũng như xây dựng hoàn chỉnh mạng lưới phân phối trên toàn lãnh thổ Việt Nam và một số quốc gia ở khu vực Châu Á Thái Bình Dương. ",""""""
