Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
adayroi.com,https://www.adayroi.com/toi-den-co-don-kobi-phu-quy-p-PRI1234904?offer=PRI1234904_R73,PRI1234904,Kobi Việt Nam,Thực phẩm chức năng,Tỏi đen cô đơn Kobi Phú Quý, 770.000đ,KOBI SHOP,"Tổng hợp Kobi Việt Nam,tỏi đen,Kobi,tỏi đen cô đơn,tỏi đen việt nam,Tỏi đen một nhánh","• Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. • Giúp giảm xơ cứng động mạch, bảo vệ tim mạch, tăng sức đề kháng, hạn chế lão hóa. • Sản phẩm gồm 2 hộp tỏi đen cô đơn Kobi 250g. • Hạn sử dụng: 24 tháng kể từ ngày sản xuất. Thành phần Tỏi lên men tự nhiên Công dụng Giảm xơ cứng động mạch, bảo vệ tim mạch, tăng sức đề kháng, hạn chế lão hóa Khối lượng 500g. Kobi Phú Quý gồm 2 hộp tỏi đen cô đơn Kobi được đựng trong hộp sang trọng. Tỏi đen cô đơn Kobi được làm từ tỏi lên men tự nhiên 100% giúp ăn ngon miệng, hỗ trợ tiêu hóa thức ăn, tăng cường sức đề kháng, giảm Cholesterol, giảm xơ cứng động mạch, bảo vệ tim mạch, hạn chế quá trình lão hóa da. Sản phẩm dùng cho người bị suy giảm sức đề kháng, người thường xuyên tiếp xúc với môi trường độc hại có nguy cơ nhiễm các gốc tự do, người cao huyết áp, Cholesterol cao. Sản phẩm thiết kế sang trọng và trang nhã, phù hợp làm quà biếu, tặng. Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. Hướng dẫn sử dụng và bảo quản Ăn trực tiếp hoặc chế biến với các món ăn khác Dùng 2 lần/ngày vào trưa và tối, 1 - 2 củ/lần Ăn trước bữa ăn khoảng 15 phút Đối với những người có biểu hiện đau dạ dày nên ăn sau bữa ăn 15 phút Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao Thông tin thương hiệu Công ty Cổ phần Kobi Việt Nam (gọi tắt là Kobi Việt Nam), tiền thân là Công ty TNHH Thương mại Quốc tế Cát Khánh được thành lập tháng 3/2011. Với tầm nhìn dài hạn và quan điểm phát triển bền vững, Kobi Việt Nam tập trung vào việc sản xuất và kinh doanh các sản phẩm thực phẩm chức năng, thực phẩm bảo vệ sức khoẻ có nguồn gốc từ tự nhiên. Với dây chuyền công nghệ tiên tiến từ Nhật Bản, Hàn Quốc... cùng với sự cộng tác mật thiết của các chuyên gia đầu ngành về Công nghệ thực phẩm tại Việt Nam và nước ngoài, Kobi Việt Nam đi vào sản xuất với hy vọng góp phần nhỏ bé của mình vào việc chăm sóc sức khoẻ mọi nhà.",""""""
adayroi.com,https://www.adayroi.com/hong-sam-tam-mat-ong-honeyed-korean-red-ginseng-roots-200g-p-PRI516470?offer=PRI516470_M-OYS,PRI516470,Korea Ginseng,Thực phẩm chức năng,Hồng sâm tẩm mật ong Honeyed Korean Red Ginseng Roots 200g, 790.000đ,VUONG DOAN,"Hồng sâm Korea Ginseng,hồng sâm,hồng sâm tẩm mật ong,hồng sâm hàn quốc,hồng sâm tẩm mật ong Korean Red Ginseng,Sâm tẩm mật ong","• Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. • Thành phần chính chiết xuất hồng sâm Hàn Quốc 6 năm tuổi. • Bồi bổ sức khỏe, hỗ trợ phục hồi trí nhớ, làm đẹp da. Quy cách đóng gói Hộp 8 củ Xuất xứ Hàn Quốc Khối lượng 240g Hạn sử dụng 3 năm kể từ ngày sản xuất Công dụng Hỗ trợ tăng cường sinh lực, bồi bổ cơ thể, chống lão hóa Thành phần Hồng sâm, mật ong, Oligosaccharide. Hồng sâm tẩm mật ong Honeyed Korean Red Ginseng Roots sử dụng hồng sâm 6 năm tuổi được chế biến bằng phương pháp hấp cách thủy, sau đó tẩm mật ong rừng nguyên chất. Hồng sâm có tác dụng hỗ trợ ngăn ngừa chứng suy giảm trí nhớ ở người cao tuổi, tăng cường sức khỏe, ngăn ngừa lão hóa, giúp phụ nữ có được làn da mềm mại, hồng hào. Sản phẩm phù hợp với người bị suy nhược, mệt mỏi, đặc biệt là người cao tuổi, người đang hồi phục sức khỏe hoặc kém tập trung trong học tập, làm việc. Hồng sâm tẩm mật ong với hương vị thơm ngon, dễ ăn, thích hợp với mọi lứa tuổi. Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. Hướng dẫn sử dụng và bảo quản Thái lát mỏng và ăn trực tiếp Hoặc ngâm trong nước ấm rồi sử dụng tùy thích Có thể dùng trực tiếp hoặc sắc với nước Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao Thông tin thương hiệu Korea Ginseng Bio-Science là công ty chuyên sản xuất các sản phẩm nước uống, thực phẩm chức năng bào chế từ nhân sâm, hồng sâm và các loại thảo mộc quý hiếm Hàn Quốc. Với mong muốn mang đến sức khỏe và cuộc sống thoải mái cho mọi người, Korea Ginseng Bio-Science đã không ngừng nghiên cứu, cải tiến quy trình, kỹ thuật sản xuất và cho ra đời nhiều dòng sản phẩm tận dụng tối đa tác dụng tối ưu của hồng sâm, nhân sâm và các loại thảo mộc quý hiếm, thỏa mãn nhu cầu sử dụng của phần lớn người tiêu dùng với giá thành hợp lý và chất lượng đảm bảo. ",""""""
adayroi.com,https://www.adayroi.com/hong-sam-nguyen-cu-tam-mat-ong-honeyed-korean-red-ginseng-roots-8-cu-p-2148506?offer=2148506_203263,2148506,BIO APGOLD,Thực phẩm chức năng,Hồng sâm nguyên củ tẩm mật ong Honeyed Korean Red Ginseng Roots 8 củ, 800.000đ,Onplaza Việt Pháp,"Hồng sâm BIO APGOLD,Hồng sâm,Hồng sâm Hàn Quốc,Hồng sâm tẩm mật ong,Cao hồng sâm,Hồng sâm củ","• Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. • Giúp bồi bổ cơ thể, giảm mệt mỏi, tăng đề kháng, hỗ trợ hạn chế lão hóa. • Hộp 8 củ x 30g. Quy cách đóng gói Hộp Xuất xứ Hàn Quốc Khối lượng 240g Hạn sử dụng 3 năm kể từ ngày sản xuất Công dụng Giúp bồi bổ cơ thể, giảm mệt mỏi, tăng đề kháng, hỗ trợ hạn chế lão hóa Thành phần Chiết xuất nhân sâm đỏ, mật ong.... Hồng sâm nguyên củ tẩm mật ong Honeyed Korean Red Ginseng Roots chứa chiết xuất nhân sâm đỏ, mật ong... giúp bồi bổ cơ thể, giảm mệt mỏi, tăng sức đề kháng, đồng thời hỗ trợ hạn chế lão hóa, tăng sự tỉnh táo. Sản phẩm dùng cho người suy nhược, mệt mỏi, người cao tuổi, người đang hồi phục sức khỏe. Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. Hướng dẫn sử dụng và bảo quản • Ăn trực tiếp hoặc pha với nước sôi • Dùng 1 - 2 lần/ngày, 1 củ/lần • Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao • Để xa tầm tay trẻ em",""""""
adayroi.com,https://www.adayroi.com/mon-qua-suc-khoe-nuoc-hac-hong-sam-900ml-nhap-khau-han-quoc-p-2052009?offer=2052009_197098,2052009,YẾN SÀO KHÁNH HÒA - NHÂN SÂM HÀN QUỐC,Thực phẩm chức năng,Món Quà Sức Khỏe Nước Hắc Hồng Sâm 900ml Nhập Khẩu Hàn Quốc, 810.000đ,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI 127,"Nhà hàng chế biến các món từ Yến Sào YẾN SÀO KHÁNH HÒA - NHÂN SÂM HÀN QUỐC,Nước Hắc Hồng Sâm,Nước Hắc Hồng Sâm Bio,Nước sâm Hàn Quốc",". . Từ lâu Nhân sâm đã được mệnh danh là một thần dược trong “Thần nông bản thảo”. Đứng đầu trong 4 vị thuốc quý của Đông y: sâm, nhung, quế, phụ. Với phương pháp hiện đại, nhân sâm được tinh chế thành hắc hồng sâm khiến cho hàm lượng saponin trong củ sâm đen này được gia tăng từ 10 đến 30 lần, cũng như quá trình chế biến này còn tạo ra thêm được rất nhiều loại saponin khác tốt cho sức khỏe. Với ưu đãi trên Adayroi, Nước Hắc Hồng Sâm 900ml Nhập Khẩu Hàn Quốc là món quà sức khỏe tuyệt vời giành cho bạn và người thân! Nước hắc hồng sâm Bio – Món quà kỳ diệu của thiên nhiên Nước hắc hồng sâm Bio Hàn Quốc là sản phẩm chứa tinh chất cần thiết cho cơ thể. Sự kết hợp hài hòa giữa các loại thảo dược tự nhiên cùng tinh chất Cao hồng sâm Hàn Quốc tạo nên công dụng tuyệt vời cho người sử dụng. Từ những củ nhân sâm 6 năm tuổi chất lượng có hàm lượng dưỡng chất cao và được chọn lọc kĩ càng, trải qua quá trình hấp sấy dưới phương pháp hiện đại, Bio tinh chế thành bạch sâm. Sau đó, bạch sâm khô sẽ được hấp sấy khô với một số thành phần thảo dược liên tục trong 5 ngày và lặp đi lặp lại qua 9 lần, giúp chất lượng và màu sắc dần chuyển từ đỏ sẫm sang đen, hình thành nên Hắc sâm Hàn Quốc. Hắc sâm Hàn Quốc được đánh giá là sản phẩm của công trình khoa học mang tính đột phá của con người mà công trình này có thể khai phá thúc đẩy hết tiềm năng của nhân sâm Hàn Quốc đối với sức khỏe con người. Nước hắc hồng sâm giúp bồi bổ sức khỏe, làm dịu thần kinh, giảm căng thẳng mệt mỏi đầu óc nhờ tác dụng thúc đẩy lưu thông khí huyết, loại bỏ mỡ trong máu tránh tắc nghẽn mạch máu, tăng cường sức đề kháng của cơ thể và các cơ quan để chống lại bệnh tật như: bệnh tiểu đường, huyết áp, mỡ máu, lưu thông khí huyết giúp da dẻ hồng hào, hỗ trợ người già ăn uống ngủ nghỉ tốt hơn. Uống tinh chất hắc hồng sâm Hàn Quốc Bio kết hợp với tập thể dục thể thao sẽ giúp tăng cường sự hấp thụ các chất dinh dưỡng của cơ thể, kích thích sự phát triển hệ thống vận động. Mẫu chai và vỏ hộp sang trọng rất thích hợp để dùng làm quà tặng cho bạn bè, người thân hay chính sếp của bạn. Được sản xuất bởi Koreaginseng Bio - Science Nước Hắc Hồng Sâm 900ml được chiết suất hoàn toàn từ hồng sâm, sản xuất bởi công ty Koreaginseng Bio - Science CO.,LTD. Koreaginseng Bio - Science là công ty chuyên nghiên cứu sản xuất về các loại thực phẩm chức năng hàng đầu Hàn Quốc. Được thành lập từ năm 1998, với tiêu chí chất lượng về sản phẩm, Koreaginseng Bio - Science CO.,LTD luôn sử dụng những nguồn nguyên liệu tốt nhất, kết hợp với công nghệ sản xuất tiên tiến cho ra đời các sản phẩm chất lượng cao đáp ứng đủ tiêu chuẩn FDA và KFDA, nhà máy sản xuất đạt tiêu chuẩn GMP, HACCP. Cao hồng sâm Bio được cô đặc từ sâm nguyên chất được lựa chọn theo đúng tiêu chuẩn khoa học và vệ sinh nên mang lại tác dụng tốt nhất khi sử dụng. Sản phẩm được phân phối bởi Yến Sào Khánh Hòa - Nhân Sâm Hàn Quốc, thuộc Công Ty Cổ Phần Xây Dựng Và Thương Mại 128. Tọa lạc ở 90 Nhân Hòa, Nhân Chính, Thanh Xuân, Hà Nội. Với sản phẩm chất lượng và dịch vụ bán hàng chu đáo, chuyên nghiệp, Yến Sào Khánh Hòa - Nhân Sâm Hàn Quốc là địa chỉ tin cậy được đông đảo khách hàng lựa chọn.",""""""
adayroi.com,https://www.adayroi.com/thuc-pham-chuc-nang-thanh-nhiet-kingphar-12-goi-p-2101174?offer=2101174_C3K,2101174,Kingphar,Thực phẩm chức năng,Thực phẩm chức năng thanh nhiệt Kingphar 12 gói, 38.000đ,KINGPHAR,"Thực phẩm chức năng bổ gan Kingphar,Bột giải nhiệt,Thực phẩm chức năng giải nhiệt,thực phẩm chức năng thanh nhiệt,Kingphar,Thức uống giải nhiệt","• Sản phẩm này không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. • Giúp thanh nhiệt giải độc, mát gan, hỗ trợ giảm nhiệt nóng trong người, đau họng, nhiệt miệng. • Hộp 12 gói x 7g. Quy cách đóng gói Hộp Công dụng Thanh nhiệt giải độc, mát gan, hỗ trợ giảm nhiệt nóng trong người, đau họng, nhiệt miệng Xuất xứ Việt Nam Hạn sử dụng 3 năm kể từ ngày sản xuất Thành phần Cúc hoa, chiết xuất Alyxia Stellata, la hán quả, đạm trúc diệp, Actiso, Vitamin C, B1, B2, B6, PP và phụ gia vừa đủ. Thực phẩm chức năng thanh nhiệt Kingphar sử dụng thành phần chiết xuất từ tự nhiên kết hợp với hương chanh thanh mát giúp thanh nhiệt giải độc, mát gan, hỗ trợ giảm chứng nhiệt như nóng trong người, đau họng, nhiệt miệng, khàn tiếng. Ngoài ra, sản phẩm bổ sung các Vitamin và các nguyên tố vi lượng cho cơ thể hỗ trợ tăng sức đề kháng, bổ sung cho người tăng nhu cầu Vitamin C. Sau khi pha với nước sẽ tạo thành thức uống giải khát, thanh nhiệt có hương vị thơm ngon, dễ uống, thích hợp với nhiều lứa tuổi. Sản phẩm phù hợp với người có chức năng gan suy giảm như viêm gan, xơ gan, gan nhiễm mỡ, chức năng gan kém, người hay uống rượu, bia. Sản phẩm này không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. Hướng dẫn sử dụng và bảo quản Người lớn: Uống 1 gói/lần, 2 - 3 lần/ngày, sau ăn sáng và ăn trưa Trẻ em trên 2 tuổi: Uống 1/2 gói/lần, 2 - 3 lần/ngày, sau ăn sáng và ăn trưa Hòa tan 1 gói trong một cốc nước (150 - 200 ml) chờ tan hết rồi uống Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao Để xa tầm tay trẻ em Thông tin thương hiệu Công ty Kingphar Việt Nam là nhà sản xuất và phân phối tiên phong về các sản phẩm phục vụ cho sức khỏe cộng đồng. Ưu tiên hàng đầu của Kingphar là nghiên cứu sản xuất các sản phẩm chất lượng cao, có hiệu lực đích thực, sử dụng an toàn từ các loại cây cỏ và động vật độc đáo và đặc hữu của Việt Nam nhằm cung cấp cho nhu cầu trong nước và góp phần xuất khẩu ra thị trường quốc tế. Dựa trên các nghiên cứu hiện đại, tiên tiến, kết hợp với các nguyên liệu thiên nhiên, các sản phẩm của Kingphar đang được sử dụng rộng rãi và có hiệu quả ở Bắc Mỹ, Tây Âu, Nhật Bản, Trung Quốc, Ấn Độ...",""""""
adayroi.com,https://www.adayroi.com/keo-chim-sao-kingphar-100-vien-p-2101185?offer=2101185_C3K,2101185,Kingphar,Thực phẩm chức năng,Kẹo chim sáo Kingphar 100 viên, 77.000đ,KINGPHAR,"Bổ sung sức khoẻ Kingphar,Kẹo ngậm ho,Thuốc ngậm ho,Viên ngậm ho,Kingphar","• Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. • Giúp cơ thể tỉnh táo, tăng khả năng tập trung, làm ấm đường hô hấp, làm sạch cổ họng. • Hộp 100 viên. Xuất xứ Việt Nam Quy cách đóng gói Hộp Thành phần Chiết xuất cà phê, sâm đại hành, cao bạch quả, bách bộ, kha tử, xuân tiết, gừng...  Công dụng Giúp cơ thể tỉnh táo, tăng khả năng tập trung, làm ấm đường hô hấp, làm sạch cổ họng Hạn sử dụng 3 năm kể từ ngày sản xuất. Kẹo chim sáo Kingphar chứa chiết xuất cà phê, sâm đại hành, cao bạch quả, bách bộ, kha tử, xuân tiết, gừng... giúp cơ thể tỉnh táo, hỗ trợ làm giảm các triệu chứng buồn ngủ, mệt mỏi, tăng khả năng tập trung. Đồng thời kẹo giúp làm ấm đường hô hấp, làm sạch cổ họng, hỗ trợ làm giảm các triệu chứng ho, cảm lạnh, khản tiếng. Sản phẩm dùng cho người làm việc cần sự tỉnh táo, tập trung, người bị ho, cảm lạnh, khản tiếng. Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. Hướng dẫn sử dụng và bảo quản • Ngậm 1 viên để tan chậm trong miệng trong mỗi 2 giờ • Ngậm tối đa 15 viên/ngày • Ngậm đến khi tan hết hoặc nhai trước khi nuốt • Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao • Để xa tầm tay trẻ em Thông tin thương hiệu Công ty Kingphar Việt Nam là nhà sản xuất và phân phối tiên phong về các sản phẩm phục vụ cho sức khỏe cộng đồng. Ưu tiên hàng đầu của Kingphar là nghiên cứu sản xuất các sản phẩm chất lượng cao, có hiệu lực đích thực, sử dụng an toàn từ các loại cây cỏ và động vật độc đáo và đặc hữu của Việt Nam nhằm cung cấp cho nhu cầu trong nước và góp phần xuất khẩu ra thị trường quốc tế. Dựa trên các nghiên cứu hiện đại, tiên tiến, kết hợp với các nguyên liệu thiên nhiên, các sản phẩm của Kingphar đang được sử dụng rộng rãi và có hiệu quả ở Bắc Mỹ, Tây Âu, Nhật Bản, Trung Quốc, Ấn Độ...",""""""
adayroi.com,https://www.adayroi.com/thuc-pham-chuc-nang-vien-xuong-khop-40-vien-p-2101173?offer=2101173_C3K,2101173,Kingphar,Thực phẩm chức năng,Thực phẩm chức năng Viên Xương Khớp 40 viên, 98.000đ,KINGPHAR,"Thực phẩm chức năng xương khớp Kingphar,Viên bổ xương khớp,Viên bổ khớp,Viên giảm đau khớp,Viên giảm đau xương,Kingphar","• Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. • Giúp dưỡng khớp, phục hồi cấu trúc sụn khớp, thoái hóa khớp. • Lọ 40 viên. Quy cách đóng gói Hộp Xuất xứ Việt Nam Thành phần Glucosamine Sulfat Natri Clorid, Methylsulfonylmethan, sụn vây cá mập, cao độc hoạt, cao thiên niên kiện, cao uy linh tiên, cao đương quy, cốt toái bổ, bạch hoa xà... Công dụng Giúp dưỡng khớp, phục hồi cấu trúc sụn khớp, thoái hóa khớp Hạn sử dụng 3 năm kể từ ngày sản xuất. Thực phẩm chức năng Viên Xương Khớp chứa thành phần Glucosamine Sulfat Natri Clorid, Methylsulfonylmethan, sụn vây cá mập, cao độc hoạt, cao thiên niên kiện, cao uy linh tiên, cao đương quy, cốt toái bổ, bạch hoa xà... có tác dụng dưỡng khớp, giúp phục hồi cấu trúc mô sụn khớp, cải thiện tính vận động linh hoạt của khớp, giảm triệu chứng: đau khớp, thấp khớp, viêm đa khớp, thoái hóa khớp, đau cột sống, viêm khớp dạng thấp, tê bì chân tay. Sản phẩm dùng trong các trường hợp: Bệnh nhân thoái hóa khớp, viêm xương khớp, đau cột sóng, viêm khớp dạng thấp, tê bì chân tay. Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. Hướng dẫn sử dụng và bảo quản • Uống 2 - 3 lần/ngày, 1 viên/lần • Uống trước khi ăn khoảng 1 giờ hoặc sau khi ăn 1 - 2 giờ • Nên sử dụng 3 - 6 tháng để có hiệu quả tốt nhất • Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao • Để xa tầm tay trẻ em Thông tin thương hiệu Công ty Kingphar Việt Nam là nhà sản xuất và phân phối tiên phong về các sản phẩm phục vụ cho sức khỏe cộng đồng. Ưu tiên hàng đầu của Kingphar là nghiên cứu sản xuất các sản phẩm chất lượng cao, có hiệu lực đích thực, sử dụng an toàn từ các loại cây cỏ và động vật độc đáo và đặc hữu của Việt Nam nhằm cung cấp cho nhu cầu trong nước và góp phần xuất khẩu ra thị trường quốc tế. Dựa trên các nghiên cứu hiện đại, tiên tiến, kết hợp với các nguyên liệu thiên nhiên, các sản phẩm của Kingphar đang được sử dụng rộng rãi và có hiệu quả ở Bắc Mỹ, Tây Âu, Nhật Bản, Trung Quốc, Ấn Độ...",""""""
adayroi.com,https://www.adayroi.com/che-vang-loi-sua-kingphar-60-vien-p-2101171?offer=2101171_C3K,2101171,Kingphar,Thực phẩm chức năng,Chè vằng lợi sữa Kingphar 60 viên, 98.000đ,KINGPHAR,"Trà lợi sữa Kingphar,Chè vằng,Trà lợi sữa,Viên uống lợi sữa,Thực phẩm chức năng lợi sữa,Kingphar","• Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. • Giúp lợi sữa, hỗ trợ tăng cường sữa, bổ sung dinh dưỡng cho sữa mẹ. • Lọ 60 viên. Thành phần Chè vằng, hoàng kỳ, đương quy, thông thảo, thục địa, xuyên khung... Xuất xứ Việt Nam Quy cách đóng gói Hộp Công dụng Giúp lợi sữa, hỗ trợ tăng cường sữa, bổ sung dinh dưỡng cho sữa mẹ Hạn sử dụng 3 năm kể từ ngày sản xuất. Chè vằng lợi sữa Kingphar chứa thành phần chè vằng, hoàng kỳ, đương quy, thông thảo, thục địa, xuyên khung... hỗ trợ tăng cường sữa, thể tích sữa và chất lượng sữa, bổ sung dinh dưỡng cho sữa mẹ, đồng thời giúp lợi sữa, kích thích tuyến sữa. Sản phẩm dùng cho phụ nữ cho con bú thiếu sữa, ít sữa, tắc tia sữa, không dùng cho phụ nữ mang thai. Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. Hướng dẫn sử dụng và bảo quản • Uống 2 lần/ngày, 2 viên/lần với nước ấm • Uống trước khi ăn hoặc trước khi cho con bú 1 - 2 giờ • Nên dùng liên tục, hiệu quả sản phẩm phát huy tốt nhất khi người mẹ vẫn ăn uống và ngủ đầy đủ, cho con bú nhiều lần trong ngày • Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao • Để xa tầm tay trẻ em Thông tin thương hiệu Công ty Kingphar Việt Nam là nhà sản xuất và phân phối tiên phong về các sản phẩm phục vụ cho sức khỏe cộng đồng. Ưu tiên hàng đầu của Kingphar là nghiên cứu sản xuất các sản phẩm chất lượng cao, có hiệu lực đích thực, sử dụng an toàn từ các loại cây cỏ và động vật độc đáo và đặc hữu của Việt Nam nhằm cung cấp cho nhu cầu trong nước và góp phần xuất khẩu ra thị trường quốc tế. Dựa trên các nghiên cứu hiện đại, tiên tiến, kết hợp với các nguyên liệu thiên nhiên, các sản phẩm của Kingphar đang được sử dụng rộng rãi và có hiệu quả ở Bắc Mỹ, Tây Âu, Nhật Bản, Trung Quốc, Ấn Độ...",""""""
adayroi.com,https://www.adayroi.com/thuc-pham-chuc-nang-omega-3-6-9-plus-q10-100-vien-p-2101183?offer=2101183_C3K,2101183,Kingphar,Thực phẩm chức năng,Thực phẩm chức năng Omega 3 - 6 - 9 Plus Q10 100 viên, 135.000đ,KINGPHAR,"Dầu cá & Omega Kingphar,Omega 369,Omega 3 6 9,Viên dầu cá omega 3 6 9,Dầu cá,Kingphar","• Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. • Giúp hỗ trợ tăng tiết dịch nhờn, tăng bôi trơn khớp, hạn chế thoái hóa xương khớp. • Lọ 100 viên. Công dụng Giúp hỗ trợ tăng tiết dịch nhờn, tăng bôi trơn khớp, hạn chế thoái hóa xương khớp Hạn sử dụng 3 năm kể từ ngày sản xuất Xuất xứ Việt Nam Quy cách đóng gói Hộp Thành phần Dầu cá, dầu hạt lanh, Vitamin E, Coenzym Q10.... Thực phẩm chức năng Omega 3 - 6 - 9 Plus Q10 chứa dầu cá, dầu hạt lanh, Vitamin E, Coenzym Q10 giúp hỗ trợ chống oxy hóa, hỗ trợ chức năng tim mạch, giảm nguy cơ xơ vữa động mạch, giảm Cholesterol và Trigylceride trong máu. Đối tượng sử dụng • Người có nguy cơ hoặc đang mắc các bệnh về tim mạch, huyết áp, xơ vữa động mạch, người đang gặp phải tình trạng Cholesterol và Triglyceride trong máu cao • Người làm việc nhiều với máy tính, đọc sách báo thường xuyên Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. Hướng dẫn sử dụng và bảo quản • Uống 1 viên/lần, 2 lần/ngày • Uống trước hoặc sau khi ăn 1 - 2 giờ • Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao • Để xa tầm tay trẻ em Thông tin thương hiệu Công ty Kingphar Việt Nam là nhà sản xuất và phân phối tiên phong về các sản phẩm phục vụ cho sức khỏe cộng đồng. Ưu tiên hàng đầu của Kingphar là nghiên cứu sản xuất các sản phẩm chất lượng cao, có hiệu lực đích thực, sử dụng an toàn từ các loại cây cỏ và động vật độc đáo và đặc hữu của Việt Nam nhằm cung cấp cho nhu cầu trong nước và góp phần xuất khẩu ra thị trường quốc tế. Dựa trên các nghiên cứu hiện đại, tiên tiến, kết hợp với các nguyên liệu thiên nhiên, các sản phẩm của Kingphar đang được sử dụng rộng rãi và có hiệu quả ở Bắc Mỹ, Tây Âu, Nhật Bản, Trung Quốc, Ấn Độ...",""""""
adayroi.com,https://www.adayroi.com/thuc-pham-bao-ve-suc-khoe-tinh-bot-nghe-kobi-turmeric-nano-curcumin-30-vien-p-PRI1234924?offer=PRI1234924_R73,PRI1234924,Kobi Việt Nam,Thực phẩm chức năng,Thực phẩm chức năng tinh bột nghệ Kobi Turmeric Nano Curcumin 30 viên, 150.000đ,KOBI SHOP,"Tổng hợp Kobi Việt Nam,tinh bột nghệ,Kobi,viên uống tinh bột nghệ,Viên nghệ,nghệ nano","• Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. • Giúp hỗ trợ giảm triệu chứng viêm loét dạ dày, tá tràng, tăng sức đề kháng, làm đẹp da. • Lọ 30 viên. • Giấy xác nhận nội dung quảng cáo số 00139/2017/XNQC-ATTP. • Hạn sử dụng: 3 năm kể từ ngày sản xuất. . . Thành phần Nano Curcumin, Bioperin... Công dụng Hỗ trợ giảm triệu chứng viêm loét dạ dày, tá tràng, tăng cường sức đề kháng. Công dụng Làm giảm triệu chứng viêm loét dạ dày, tá tràng Tăng cường sức đề kháng, giảm tác dụng phục khi hóa trị, xạ trị Chống oxy hóa, hạn chế lão hóa, làm đẹp da Thành phần Nano Curcumin 250 mg Bioperin 1 mg Phụ liệu: Bột Talc, Magnesi, Stearat, Avicell 101 vừa đủ 1 viên Đối tượng sử dụng Người bị viêm loét dạ dày, hành tá tràng cấp và mãn tính Người đang và sau điều trị bằng hoá chất hay xạ trị Phụ nữ sau sinh, người đang hồi phục sức khoẻ, muốn làm đẹp da, làm đẹp cơ thể Sản phẩm không phải là thuốc, không có tác dụng thay thế thuốc chữa bệnh. Hướng dẫn sử dụng và bảo quản Người lớn và trẻ em trên 12 tuổi: 1 - 2 viên/lần, 2 lần/ngày Trẻ em từ 6 - 12 tuổi: 1 viên/lần, 1 - 2 lần/ngày Nên uống khi đói (trước ăn 30 phút hoặc khoảng 2 giờ sau ăn) Bảo quản nơi khô ráo, thoáng mát, tránh ánh nắng trực tiếp và nhiệt độ cao Thông tin thương hiệu Công ty Cổ phần Kobi Việt Nam (gọi tắt là Kobi Việt Nam), tiền thân là Công ty TNHH Thương mại Quốc tế Cát Khánh được thành lập tháng 3/2011. Với tầm nhìn dài hạn và quan điểm phát triển bền vững, Kobi Việt Nam tập trung vào việc sản xuất và kinh doanh các sản phẩm thực phẩm chức năng, thực phẩm bảo vệ sức khoẻ có nguồn gốc từ tự nhiên. Với dây chuyền công nghệ tiên tiến từ Nhật Bản, Hàn Quốc... cùng với sự cộng tác mật thiết của các chuyên gia đầu ngành về Công nghệ thực phẩm tại Việt Nam và nước ngoài, Kobi Việt Nam đi vào sản xuất với hy vọng góp phần nhỏ bé của mình vào việc chăm sóc sức khoẻ mọi nhà.",""""""
