Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Info
lazada.vn,https://www.lazada.vn/products/nescafe-3in1-ca-phe-socola-10-goi-x-20g-i248088615-s323817241.html?search=1,248088615,NESCAFE,Cà phê,NESCAFÉ 3in1 Cà phê Sôcôla (10 gói x 20g),35.000 ₫,Nestle Vietnam,
lazada.vn,https://www.lazada.vn/products/ca-phe-den-hoa-tan-nescafe-gold-blend-560gram35goi-i249048082-s327406524.html?search=1,249048082,NESCAFE,Cà phê,Cà phê đen hòa tan NesCafe Gold Blend 560gram/35gói,89.000 ₫,Phuong Vi Shop,
lazada.vn,https://www.lazada.vn/products/lamant-ca-phe-hoa-tan-sua-da-i221089126-s277949236.html?search=1,221089126,L'amant Cafe,Cà phê,L'AMANT CÀ PHÊ HÒA TAN - SỮA ĐÁ,55.000 ₫,L'AMANT CAFE ,
lazada.vn,https://www.lazada.vn/products/ca-phe-hoa-tan-say-lanh-nguyen-chat-100-cafe-de-tony-gold-blend-hu-145-gam-i201219035-s251358695.html?search=1,201219035,Café De Tony,Cà phê,Cà Phê Hòa Tan Sấy lạnh Nguyên Chất 100% - Cafe De Tony Gold Blend - Hũ 145 gam,200.000 ₫,Happy Selling,
lazada.vn,https://www.lazada.vn/products/ca-phe-giam-can-idol-slim-coffee-hop-10-goi-thai-lan-i249496021-s328380703.html?search=1,249496021,Idol Slim Coffe,Cà phê,Cà phê giảm cân Idol Slim Coffee ( hộp 10 gói) thái lan,99.000 ₫,ThanhNhànChuyênHàngTháiLAn,
lazada.vn,https://www.lazada.vn/products/ca-phe-rang-xay-nguyen-chat-100-cham-coffee-yeu-thuong-250g-i157378240-s168143610.html?search=1,157378240,No Brand,Cà phê,Cà Phê Rang Xay Nguyên Chất 100% Chậm Coffee - Yêu thương - 250g ,39.000 ₫,Cà phê Chậm,
lazada.vn,https://www.lazada.vn/products/ca-phe-tabongpet-hop-10-goi-nho-x-15g-thai-lan-san-pham-moi-cua-idol-slim-coffee-thai-lan-cai-thien-voc-dang-hieu-qua-ca-phe-idolslim-coffee-mai-lee-i249477850-s328627217.html?search=1,249477850,Idol Slim Coffe,Cà phê,Cà phê TABONGPET (Hộp 10 gói nhỏ x 15g) - Thái Lan (Sản phẩm mới của Idol Slim Coffee) - Thái Lan - Cải thiện vóc dáng hiệu quả - Ca phe IdolSlim Coffee - Mai Lee,139.000 ₫,Mai Lee,
lazada.vn,https://www.lazada.vn/products/combo-03-bao-ca-phe-bot-rang-xay-hang-1-sang-1864-thunder-no1-220g-tong-trong-luong-660g-1864-cafe-i243288703-s311623374.html?search=1,243288703,1864CAFÉ,Cà phê,Combo 03 Bao Cà Phê Bột Rang Xay Hạng 1 Sàng 18/64 Thunder No.1 220g Tổng trọng lượng 660g - 1864 CAFÉ,71.000 ₫,1864CAFE,
lazada.vn,https://www.lazada.vn/products/cafe-bot-robusta-nguyen-chat-100-dac-biet-light-coffee-500gr-i143819165-s148873932.html?search=1,143819165,Light Coffee,Cà phê,Cafe bột Robusta nguyên chất 100% - Đặc Biệt - Light Coffee - 500gr,86.000 ₫,Light Coffee - Cà phê nguyên chất,
lazada.vn,https://www.lazada.vn/products/combo-5-hop-ca-phe-idol-slim-coffee-hop-10-goi-nho-x-15g-thai-lan-ca-phe-giam-can-idolslim-coffee-cafe-giam-can-hieu-qua-i249338988-s328390086.html?search=1,249338988,Idol Slim Coffe,Cà phê,[Combo 5 hộp] Cà phê Idol Slim Coffee (Hộp 10 gói nhỏ x 15g) - Thái Lan - Ca phe giam can IdolSlim Coffee - Cafe giam can hiệu quả,450.000 ₫,ThanhNhànChuyênHàngTháiLAn,
lazada.vn,https://www.lazada.vn/products/ca-phe-bot-robusta-nguyen-chat-100-thuong-hang-light-coffee-500gr-i101828692-s102154222.html?search=1,101828692,Light Coffee,Cà phê,Cà phê bột Robusta nguyên chất 100% thượng hạng - Light Coffee - 500gr,116.000 ₫,Light Coffee - Cà phê nguyên chất,
lazada.vn,https://www.lazada.vn/products/1kg-ca-phe-rang-moc-duc-anh-coffee-thanh-phan-100-robusta-buon-ma-thuot-2-goi-zipper-500gr-dang-bot-dung-pha-phin-i224260498-s282820756.html?search=1,224260498,DUC ANH COFFEE,Cà phê,1kg Cà Phê Rang Mộc DUC ANH COFFEE  thành phần 100% Robusta Buôn Ma Thuột - 2 gói zipper 500gr dạng bột dùng pha phin,149.000 ₫,DUC ANH COFFEE - Cà phê nguyên chất 100%,
lazada.vn,https://www.lazada.vn/products/ca-phe-nguyen-chat-robusta-buon-ma-thuot-rang-moc-goi-zipper-300g-dang-hat-duc-anh-coffee-i236517182-s301898010.html?search=1,236517182,DUC ANH COFFEE,Cà phê,Cà phê nguyên chất Robusta Buôn Ma Thuột - Rang mộc - gói zipper 300g Dạng Hạt - DUC ANH COFFEE ,50.000 ₫,Vật Tư Ngành Cà Phê,
