Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Info
lazada.vn,https://www.lazada.vn/products/ngu-coc-an-sang-nestle-koko-krunch-330g-tang-01-binh-dung-hinh-trung-khung-long-i143792525-s148836919.html?search=1,143792525,Nestlé,Đồ ăn sáng,Ngũ Cốc Ăn Sáng Nestlé Koko Krunch 330g - tặng 01 bình đựng hình trứng khủng long,84.000 ₫,Nestle Vietnam,Nhập khẩu từ Malaysia 
lazada.vn,https://www.lazada.vn/products/mat-ong-rung-tay-nguyen-1-lit-gia-goc-bao-du-lit-i209670844-s261610002.html?search=1,209670844,OEM,Đồ ăn sáng,"Mật Ong Rừng Tây Nguyên 1 Lít (Giá Gốc, Bao Đủ Lít)",120.000 ₫,Nhạt Cà Phê,Cam kết mật ong nguyên chất 100% 
lazada.vn,https://www.lazada.vn/products/sua-meiji-growing-up-formula-800g-i220111861-s276499423.html?search=1,220111861,Meiji,Đồ ăn sáng,SỮA MEIJI GROWING UP FORMULA 800G,416.000 ₫,suavabe (Tp.HCM),"Sữa Meiji 1-3y Growing 800g T8 phù hợp cho trẻ từ 1-3 tuổi, không chỉ chứa các chất dinh dưỡng cơ bản, như protein, chất béo, và carbohydrat, mà còn có các vitamin và khoáng chất mà rất khó có được từ sữa mẹ, sữa bò và thức ăn dạng rắn. Sữa cũng chứa cả axit docosahexaenoic (DHA), nucleotides và fructooligosaccharides, giúp thúc đẩy sự phát triển khỏe mạnh của trẻ trong suốt giai đoạn thơ ấu. "
lazada.vn,https://www.lazada.vn/products/500g-yen-mach-nguyen-cam-nhap-khau-uc-i203484427-s253787109.html?search=1,203484427,OEM Australia,Đồ ăn sáng,500g Yến Mạch Nguyên Cám Nhập khẩu Úc,23.500 ₫,Slim Khỏe Đẹp,Giảm C&acirc;n Si&ecirc;u Tốc với yến mạch l&agrave; phương ph&aacute;p tuyệt vời gi&uacute;p c&aacute;c c&ocirc; n&agrave;ng c&oacute; th&acirc;n h&igrave;nh &ldquo;to qu&aacute; khổ&rdquo; lấy lại v&oacute;c d&aacute;ng thon gọn trong thời gian ngắn 
lazada.vn,https://www.lazada.vn/products/yen-mach-nguyen-hat-quaker-oats-old-fashioned-452-kg-i422386-s508274.html?search=1,422386,Quaker,Đồ ăn sáng,Yến mạch nguyên hạt Quaker Oats Old Fashioned 4.52 kg,205.000 ₫,Giảm Cân Ngoại (Tp.HCM),Yến mạch nguyên hạt 100% tự nhiên 
lazada.vn,https://www.lazada.vn/products/yen-mach-australian-instant-oats-i235373673-s299907129.html?search=1,235373673,Australian Instant Oats,Đồ ăn sáng,Yến mạch Australian Instant Oats,22.000 ₫,66668888,Australian Instant Oats 
lazada.vn,https://www.lazada.vn/products/thung-12-hop-sua-tuoi-tiet-trung-vinamilk-100-khong-duong-1l-hop-giay-i2756769-s3347985.html?search=1,2756769,Vinamilk,Đồ ăn sáng,Thùng 12 Hộp Sữa tươi tiệt trùng Vinamilk 100% Không đường 1L (Hộp giấy),328.617 ₫,VINAMILK,Thơm ngon thuần khiết 
lazada.vn,https://www.lazada.vn/products/ngu-coc-calbee-nhat-ban-date-thang-42019-i168274222-s184139056.html?search=1,168274222,Calbee,Đồ ăn sáng,Ngũ cốc Calbee Nhật Bản date tháng 4.2019,169.000 ₫,ISHI SHOP,Thương hiệu: Calbee 
lazada.vn,https://www.lazada.vn/products/500g-bo-cai-lan-i211191847-s264346419.html?search=1,211191847,Cái Lân,Đồ ăn sáng,500g Bơ Cái Lân,30.000 ₫,BiboShop107,"Bơ thơm thực vật Cái Lân dùng trong làm các loại bánh quy, bánh ngọt, làm bắp rang bơ.. "
lazada.vn,https://www.lazada.vn/products/bot-ngu-coc-hat-oc-cho-hanh-nhan-damtuh-han-quoc-18gam-x-50-goi-i245413417-s314581473.html?search=1,245413417,Korea,Đồ ăn sáng,"Bột ngũ cốc hạt Óc chó, Hạnh nhân DAMTUH Hàn Quốc (18gam x 50 gói)",239.000 ₫,Bách Hóa Nam Chi,hành phần dinh dưỡng gồm: quả óc chó; hạnh nhân; bí ngô; đậu phộng và hạt ý dĩ (Coix) 
