Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
mediamart.vn,https://mediamart.vn/may-photocopy/fuji-xerox/may-photocopy-fuji-xerox-docucentre-s2110-in-mangscancopy.htm,,Fuji Xerox,Máy Photocopy,"Máy Photocopy Fuji Xerox DocuCentre S2110 (In mạng,Scan,Copy)",23.490.000,,," . - Tiết kiệm và thân thiện với môi trường. - Thiết kế hiện đại, nhỏ gọn.. - Hiệu suất lớn, vận hành nhanh, thiết lập đơn giản dễ sử dụng. . . . . Hình ảnh tham khảo: Máy Photocopy Fuji Xerox DocuCentre S2110 (In mạng,Scan,Copy). . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Thông số kỹ thuật: Máy Photocopy Fuji Xerox DocuCentre S2110 (In mạng,Scan,Copy). . . . . . . . . . Thông tin: Máy Photocopy Fuji Xerox DocuCentre S2110 (In mạng,Scan,Copy). . . Tính năng nổi bật của máy photocopy Fuji Xerox DocuCentre S2110 :. . . Hiệu suất vượt trội. Máy photocopy Fuji Xerox DocuCentre S2110 tích hợp sẵn tính năng in hai mặt tự động (bộ đảo bản sao tự động Duplex) và khay nạp giấy tự động (bộ nạp bản gốc tự động DADF) cho phép người dùng Copy/Scan liên tục một tập tài liệu đến 110 tờ, giúp bạn xử lý công việc nhanh chóng và hiệu quả hơn.. . . Vận hành nhanh. Giảm thời gian hoàn tất bản sao chụp đầu tiên. Máy photocopy Xerox S2110 giúp tiết kiệm thời gian chỉ mất 7.4 giây để cho ra bản sao chụp đầu tiên (A4 khổ ngang).. Thời gian khởi động và in nhanh: Thời gian khởi động chưa đến 18 giây. Tiết kiệm tối đa thời gian in/sao chụp.. . . Thân thiện với môi trường. Sự tuân thủ được thế giới công nhận số hạt siêu nhỏ (UFP*) xuất hiện trong quá trình in liên tục giảm đáng kể nhờ việc tối ưu hóa chế độ cài đặt vận hành.. . Máy photocopy Fuji Xerox DocuCentre S2110 thân thiện với môi trường và dễ sử dụng, với chứng nhận ENERY STAR tiêu thụ điện năng thấp và chức năng tiết kiệm điện của nó. Tính năng chuyển máy sang chế độ nghỉ khi không dùng đến nhưng máy vẫn có thể tự động nhận dữ liệu và in.. . . Chức năng sao chụp thẻ ID nhanh chóng. Cho phép sao chụp cả 2 mặt thẻ lên một mặt của tờ giấy. Bạn có thể sao chụp hai thẻ cùng 1 lúc.. . . In và sao chụp trên giấy dày. Máy photocopy Fuji Xerox DocuCentre S2110 in chứng chỉ hay thiệp mừng trên giấy 60-216gsm, có thể tùy chỉnh tính năng in cho hầu hết mọi công việc, giảm nhu cầu thuê ngoài.. . Máy Fuji Xerox DocuCentre S2110 giải pháp cho doanh nghiệp vừa và nhỏ năm 2018. Với sự phát triển không ngừng về công nghệ thì những chiếc máy photocopy không ngừng được cải tiến để đảm bảo nhu cầu sử dụng của các doanh nghiệp, đáp ứng được những đòi hỏi của người sử dụng một cách nhanh chóng và đơn giản. Kéo theo đó là giá thành các sản phẩm sẽ nâng cao để đảm bảo chất lượng điều đó vô hình chung chính là trở ngại cho các doanh nghiệp, đặc biệt là doanh nghiệp vừa và nhỏ.. . . Vậy tại sao máy photocopy DocuCentre S2110 lại là giải pháp cho vấn đề trên?. Câu trả lời đơn giản cho câu hỏi trên chính là những ưu điểm mà máy mang lại. . 1.Tiết kiệm và thân thiện với môi trường. DocuCentre S2110 được sản xuất bởi công nghệ mới nên giá thành đầu tư ban đầu tương đối thấp, rất phù hợp và đảm bảo kinh tế cho các doanh nghiệp vừa và nhỏ. Ngoài ra thiết bị có giá trị TEC đạt 1,1 kWh, là tiêu chuẩn phù hợp với chương trình ENERGY STAR quốc tế góp phần vào việc giảm điện năng tiêu thụ của máy.. Thiết bị được thiết bị được thiết kế thân thiện với môi trường và nơi làm việc, được trang bị công nghệ giúp giảm thiểu hạt cực tím (UFP) đảm bảo sức khỏe cho người sử dụng.. . 2. Thiết kế hiện đại, nhỏ gọn.. Hãng Fuji Xerox đã chế tạo thành công máy với kích thước ""nhỏ gọn"" mang đến tiện ích ""đơn giản"" nhưng ""thông minh"", dễ dàng vận chuyển và sắp xếp trong văn phòng. Đáp ứng mọi nhu cầu của các doanh nghiệp vừa và nhỏ. . . Thiết kế nhỏ gọn của máy DocuCentre 2110. . 3. Hiệu suất lớn, thiết lập đơn giản dễ sử dụng. Với tính năng thông minh, tiện lợi, dễ cài đặt và vận hành, kích thước nhỏ gọn nhưng hiệu suất lớn vẫn có khả năng xử lý khổ giấy A3. Đặc biệt với những tính năng tiêu biểu: In đen trắng 21 tờ/phút, quét màu nội bộ hoặc mạng ngoài, thời gian khởi động ít hơn 18 giây,.... Những tính năng được nâng cấp thêm của máy DocuCentre S2110 giúp nâng cao hiệu quả và sự thuận tiện cho các cơ quan nhà nước, khách sạn, đại lý du lịch, ngân hàng và nhiều mô hình kinh doanh khác.. . . . . Sử dụng đơn giản thân thiện với người dùng máy DocuCentre S2110. . Thông số kỹ thuật máy photocopy Fuji Xerox DocuCentre S2110 :. . . . - Chức năng chuẩn: Copy + In mạng + Scan màu qua cáp cổng USB. . - Tốc độ copy/ in: 21 trang/ phút (A4). . - Bộ nhớ : Tối đa 256 MB. . - 01 khay nạp giấy chính (250 tờ). . - 01 khay giấy tay (100 tờ). . - Bộ nạp và đảo bản gốc (DADF) trữ lượng 110 tờ. . - Bộ đảo bản sao (Duplex). . - Khổ giấy: A5 –A3. . - Thời gian khởi động: 18 giây hoặc ít hơn. . - Thời gian bản chụp đầu tiên: Tối đa 7,4 giây (A4 LEF). . - Độ phân giải copy/in: 600 x 600 dpi. . - Tốc độ scan: 23 trang/ phút (màu và trắng đen). . - Độ phân giải scan :. . + Trắng đen : 600x600dpi, 400x400dpi, 300x300dpi, 200x200dpi.. . + Màu : 400x400dpi, 300x300dpi, 200x200dpi.. . - Scan qua cổng kết nối USB 2.0.. . - Sao chụp liên tục : 999 tờ.. . - Kết nối : USB2.0, Ethernet 100Base-TX/ 10BASE-T.. . - Kích thước : W 595 x D 580 x H 568 mm.. . - Trọng lượng : 32 Kg.. . . . . . . . Tư Vấn Mua Máy photocopy. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-photocopy/ricoh/bo-nap-va-dao-ban-goc-df-2020-ardf-for-ricoh-mp2001spmp2501sp.htm,,RICOH,Máy Photocopy,Bộ nạp và đảo bản gốc DF 2020 ARDF for Ricoh MP2001sp/MP2501sp,11.990.000,,," . DF 2020 ARDF (Auto Reseve Document Feeder). - Bộ nạp & đảo mặt bản gốc tự động 50 tờ. - Dùng cho máy Photocopy RICOH & GESTETNER MP 2001sp, MP 2501sp. . . . . Hình ảnh tham khảo: Bộ nạp và đảo bản gốc DF 2020 ARDF for Ricoh MP2001sp/MP2501sp. . . . . . . . . . . . . . . Thông số kỹ thuật: Bộ nạp và đảo bản gốc DF 2020 ARDF for Ricoh MP2001sp/MP2501sp. . . . . . . . . . Thông tin: Bộ nạp và đảo bản gốc DF 2020 ARDF for Ricoh MP2001sp/MP2501sp. . . DF 2020 ARDF (Auto Reseve Document Feeder). - Bộ nạp & đảo mặt bản gốc tự động 50 tờ. - Dùng cho máy Photocopy RICOH & GESTETNER MP 2001sp, MP 2501sp. - Xuất xứ: chính hãng (đủ CO,CQ kèm của hãng). - Bảo hành: 12 tháng hoặc 40.000 bản chụp tùy điều kiện nào đến trước. . . . . . Tư Vấn Mua Máy photocopy. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-photocopy/sharp/muc-photocopy-sharp-mx237at-for-shap-ar6020d6023d6023n6026n6031n.htm,,Sharp,Máy Photocopy,Mực Photocopy Sharp MX-237AT For Shap AR-6020D/6023D/6023N/6026N/6031N,1.399.000,,, . - Mã mực : Mực Photo Sharp MX-237AT. - Loại mực : đen trắng.. - Dùng cho máy Photo : AR-6018D/6020D/6023D/6026N/6031N (MX-237AT ). - Số bản in: 20.000 trang in tiêu chuẩn... - Xuất xứ: Nhật Bản.. . . . . Hình ảnh tham khảo: Mực Photocopy Sharp MX-237AT For Shap AR-6020D/6023D/6023N/6026N/6031N. . . . . . . . . . . . . . . Thông số kỹ thuật: Mực Photocopy Sharp MX-237AT For Shap AR-6020D/6023D/6023N/6026N/6031N. . . . . . . . . . Thông tin: Mực Photocopy Sharp MX-237AT For Shap AR-6020D/6023D/6023N/6026N/6031N. . . - Mã mực : Mực Photo Sharp MX-237AT. - Loại mực : đen trắng.. - Dùng cho máy Photo : AR-6018D/6020D/6023D/6026N/6031N (MX-237AT ). - Số bản in: 20.000 trang in tiêu chuẩn... - Xuất xứ: Nhật Bản.. . . . . . Tư Vấn Mua Máy photocopy. . . . . . ,""""""
mediamart.vn,https://mediamart.vn/may-photocopy/sharp/bo-nap-dao-2-mat-ban-goc-tu-dong-arrp11-for-shap-ar6020d6023d6023n6026n6031n.htm,,Sharp,Máy Photocopy,Bộ nạp & đảo 2 mặt bản gốc tự động AR-RP11 For Shap AR-6020D/6023D/6023N/6026N/6031N,11.900.000,,, . Bộ nạp & đảo 2 mặt bản gốc tự động AR-RP11 For Shap AR-6020D/6023D/6023N/6026N/6031N. . . . . Hình ảnh tham khảo: Bộ nạp & đảo 2 mặt bản gốc tự động AR-RP11 For Shap AR-6020D/6023D/6023N/6026N/6031N. . . . . . . . . . . . . . . Thông số kỹ thuật: Bộ nạp & đảo 2 mặt bản gốc tự động AR-RP11 For Shap AR-6020D/6023D/6023N/6026N/6031N. . . . . . . . . . Thông tin: Bộ nạp & đảo 2 mặt bản gốc tự động AR-RP11 For Shap AR-6020D/6023D/6023N/6026N/6031N. . . Bộ nạp & đảo 2 mặt bản gốc tự động AR-RP11 For Shap AR-6020D/6023D/6023N/6026N/6031N. . . . . . Tư Vấn Mua Máy photocopy. . . . . . ,""""""
mediamart.vn,https://mediamart.vn/may-photocopy/canon/muc-npg59-muc-cho-may-photocopy-canon-ir20022002n2202n.htm,,Canon,Máy Photocopy,Mực NPG-59 - Mực cho máy Photocopy Canon Ir2002/2002N/2202N,799.000,,," . Loại mực : Laser đen trắng .Hàng chính hãng Canon Việt Nam.. . Dùng cho máy : Photocopy Canon iR2002/2002N/2002G Series , iR2202L, IR2202DN iR2202 series và các dong Photocopy Canon Model 2014 khác . . Dung lượng : 10.200 trang A4, độ phủ 6%.. . . . . Hình ảnh tham khảo: Mực NPG-59 - Mực cho máy Photocopy Canon Ir2002/2002N/2202N. . . . . . . . . . . . . . . Thông số kỹ thuật: Mực NPG-59 - Mực cho máy Photocopy Canon Ir2002/2002N/2202N. . . . . . . . . . Thông tin: Mực NPG-59 - Mực cho máy Photocopy Canon Ir2002/2002N/2202N. . . Loại mực : Laser đen trắng .Hàng chính hãng Canon Việt Nam.. . Dùng cho máy : Photocopy Canon iR2002/2002N/2002G Series , iR2202L, IR2202DN iR2202 series và các dong Photocopy Canon Model 2014 khác. . Dung lượng : 10.200 trang A4, độ phủ 6%.. . . . . . Tư Vấn Mua Máy photocopy. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-photocopy/canon/muc-npg51-muc-cho-may-photocopy-canon-ir252025252530.htm,,Canon,Máy Photocopy,Mực NPG-51 - Mực cho máy Photocopy Canon Ir2520/2525/2530,799.000,,, . Loại mực in: Mực photocopy đen trắng. . Màu sắc: Hộp mực đen. . Mã mực : Canon NPG - 51 Black Toner. . Loại máy in sử dụng : Canon IR 2520/ IR 2525/ IR 2530. . Trọng lượng: 700g. . Dung lượng : In khoảng 14.600 trang (với độ che phủ 5%). . . . . Hình ảnh tham khảo: Mực NPG-51 - Mực cho máy Photocopy Canon Ir2520/2525/2530. . . . . . . . . . . . . . . Thông số kỹ thuật: Mực NPG-51 - Mực cho máy Photocopy Canon Ir2520/2525/2530. . . . . . . . . . Thông tin: Mực NPG-51 - Mực cho máy Photocopy Canon Ir2520/2525/2530. . . Loại mực in: Mực photocopy đen trắng. . Màu sắc: Hộp mực đen. . Mã mực : Canon NPG - 51 Black Toner. . Loại máy in sử dụng : Canon IR 2520/ IR 2525/ IR 2530. . Trọng lượng: 700g. . Dung lượng : In khoảng 14.600 trang (với độ che phủ 5%). . . . . . Tư Vấn Mua Máy photocopy. . . . . . ,""""""
mediamart.vn,https://mediamart.vn/may-photocopy/konica/muc-tn-116-muc-cho-may-photocopy-konica-bizhub215165185195.htm,,Konica,Máy Photocopy,Mực TN 116 - Mực cho máy photocopy Konica Bizhub-215/165/185/195,750.000,,, . Bộ nạp và đảo bản gốc DADF AB1. Dùng cho Canon IR 2520 / 2525 / 2530. Dung lượng 50 tờ. Trọng lượng 12kg. . . . . Hình ảnh tham khảo: Mực TN 116 - Mực cho máy photocopy Konica Bizhub-215/165/185/195. . . . . . . . . . . . . . . Thông số kỹ thuật: Mực TN 116 - Mực cho máy photocopy Konica Bizhub-215/165/185/195. . . . . . . . . . Thông tin: Mực TN 116 - Mực cho máy photocopy Konica Bizhub-215/165/185/195. . . Bộ nạp và đảo bản gốc DADF AB1. Dùng cho Canon IR 2520 / 2525 / 2530. Dung lượng 50 tờ. Trọng lượng 12kg. . . . . . Tư Vấn Mua Máy photocopy. . . . . . ,""""""
mediamart.vn,https://mediamart.vn/may-photocopy/canon/document-feeder-dadf-aa1-bo-nap-dao-2-mat-ban-goc-tu-dong-50-to.htm,,Canon,Máy Photocopy,Document Feeder DADF AA1 Bộ nạp & đảo 2 mặt bản gốc tự động ( 50 tờ),20.000.000,,, . Bộ nạp và đảo bản gốc DADF AA1. Dùng cho Canon IR 2535 /2545. Dung lượng 100 tờ. Trọng lượng 16kg. . . . . Hình ảnh tham khảo: Document Feeder DADF AA1 Bộ nạp & đảo 2 mặt bản gốc tự động ( 50 tờ). . . . . . . . . . . . . . . Thông số kỹ thuật: Document Feeder DADF AA1 Bộ nạp & đảo 2 mặt bản gốc tự động ( 50 tờ). . . . . . . . . . Thông tin: Document Feeder DADF AA1 Bộ nạp & đảo 2 mặt bản gốc tự động ( 50 tờ). . . Bộ nạp và đảo bản gốc DADF AA1. Dùng cho Canon IR 2535 /2545. Dung lượng 100 tờ. Trọng lượng 16kg. . . . . . Tư Vấn Mua Máy photocopy. . . . . . ,""""""
mediamart.vn,https://mediamart.vn/may-photocopy/canon/bo-dao-mat-ban-sao-tu-dongduplex-unit-c1-dung-cho-canon-ir-20022002n2202n.htm,,Canon,Máy Photocopy,Bộ đảo mặt bản sao tự động-Duplex Unit C1 (dùng cho Canon IR 2002/2002N/2202N ),5.990.000,,, . Bộ đảo mặt bản sao tự động-Duplex Unit C1 (dùng cho Canon IR 2002/2002N/2202N ). . . . . Hình ảnh tham khảo: Bộ đảo mặt bản sao tự động-Duplex Unit C1 (dùng cho Canon IR 2002/2002N/2202N ). . . . . . . . . . . . . . . Thông số kỹ thuật: Bộ đảo mặt bản sao tự động-Duplex Unit C1 (dùng cho Canon IR 2002/2002N/2202N ). . . . . . . . . . Thông tin: Bộ đảo mặt bản sao tự động-Duplex Unit C1 (dùng cho Canon IR 2002/2002N/2202N ). . . Bộ đảo mặt bản sao tự động-Duplex Unit C1 (dùng cho Canon IR 2002/2002N/2202N ). . . . . . Tư Vấn Mua Máy photocopy. . . . . . ,""""""
mediamart.vn,https://mediamart.vn/may-photocopy/canon/bo-nap-va-dao-ban-goc-tu-dong-dadf-am1-dung-cho-canon-ir-20022002n2202n.htm,,Canon,Máy Photocopy,Bộ nạp và đảo bản gốc tự động DADF AM1 (dùng cho Canon IR 2002/2002N/2202N ),10.900.000,,," . Bộ nạp và đảo bản gốc tự động DADF AM1 là bộ phận kéo giấy tự động. Nó có nhiệm vụ kéo tập bản gốc đặt trên máy photo, giúp máy có thể copy tự động, do đó nếu không có bộ phận này bạn phải photo thủ công từng tờ một.. . Bộ phận này có thể gọi với một số tên khác như: Bộ đảo mặt bản gốc, bộ nạp bản gốc, bộ đảo chiều bản gốc, bộ nạp giấy,..... . DADF AM1 là bộ nạp bản gốc dành cho máy photocopy Canon iR 2002N và Canon iR 2202N mới ra mắt của Canon.. . . . . Hình ảnh tham khảo: Bộ nạp và đảo bản gốc tự động DADF AM1 (dùng cho Canon IR 2002/2002N/2202N ). . . . . . . . . . . . . . . Thông số kỹ thuật: Bộ nạp và đảo bản gốc tự động DADF AM1 (dùng cho Canon IR 2002/2002N/2202N ). . . . . . . . . . Thông tin: Bộ nạp và đảo bản gốc tự động DADF AM1 (dùng cho Canon IR 2002/2002N/2202N ). . . Thông số cơ bản:. . - Loại: Tự động nạp bản gốc. - Khổ giấy hỗ trợ: A5R, A5, B5R, B5, A4R, A4, B4, A3. - Trọng lượng giấy:. + Khi scan 2 mặt: 52 tới 105 gsm. + Khi scan 1 mặt: 37 tới 128 gsm. - Sức chứa tối đa: 50 tờ (80gsm). - Tốc độ scan tối đa:. + Khi copy (A4, đen trắng, 600dpi): 1 mặt: 22 trang/phút, 2 mặt: 8 trang/phút. + Khi scan: 1 mặt: 23 trang/phút (A4, B/W, 300dpi), 12 trang/phút (màu, 300dpi); 2 mặt: 8 trang/phút (A4, B/W, 300dpi), 4 trang/phút (A4, màu, 300dpi). - Kích thước (Rộng, sâu, cao): 565x520.5x126mm. - Khối lượng: 7kg. . . . . . Tư Vấn Mua Máy photocopy. . . . . . ",""""""
