Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
mediamart.vn,https://mediamart.vn/may-phat-dien/vgp/may-phat-dien-inverter-vgp-vgpgen-3600el-30-33-kva-giat-no-de.htm,,VGP,Máy phát điện,"Máy phát điện Inverter VGP VGPGEN 3600EL, 3.0 - 3.3 KVA, Giật nổ + Đề",26.400.000,,," . - Kiểu : Biến tần kỹ thuật /Sine Wave / Có màn hình LCD. - Loại đầu phát: 4 thì, 1 xi lanh, làm mát bằng quạt gió.. - Dung tích xi lanh: 299 cc, công suất 4,8 HP. Nhớt 0,8l .. - Hệ thống đánh lửa: Transistor / Đề nổ / Giật nổ. - Mức tiêu hao nhiên liệu: 0.3 L/1KW/giờ. - Độ ồn ( cách 7 m ): 48 dB / hoạt động liên tục 7h. - Điện thế xoay chiều 1 pha 220/230V/50hz. - Công suất định mức/ cực đại : 3/3,3KW . 3/3,3KVA. - Hệ số công suất ( cost φ ): 0.999. - Tự ngắt điện khi quá tải. . . . . Hình ảnh tham khảo: Máy phát điện Inverter VGP VGPGEN 3600EL, 3.0 - 3.3 KVA, Giật nổ + Đề. . . . . . . . . . . . . . . Thông số kỹ thuật: Máy phát điện Inverter VGP VGPGEN 3600EL, 3.0 - 3.3 KVA, Giật nổ + Đề. . . . . . . . . . Thông tin: Máy phát điện Inverter VGP VGPGEN 3600EL, 3.0 - 3.3 KVA, Giật nổ + Đề. . . Kiểu dáng hiện đại, bình chứa 13L. Máy phát điện VGPGEN3600EL có kiểu dáng hiện đại với màn hình LCD, bánh xe di chuyển tiện dụng. Dung tích bình chứa 13L đem lại khả năng vận hành lâu dài,phục vụ nhu cầu của người dùng.. . . Phát điện hiệu quả. Máy phát điện có công suất phát điện liên tục là 3.0Kw,công suất lớn nhất đạt 3.3Kw đáp ứng tốt nhu cầu sử dụng của gia đình những ngày mất điện. Hoạt động liên tục trong 8h.. . . Không ồn ào. Máy phát điện được trang bị động cơ 4 thì, 1 xi lanh, làm mát bằng quạt gió, tuổi thọ vận hành lâu dài, bền bỉ. Máy hoạt động với độ ồn 48Db, không gây ảnh hưởng tới sinh hoạt của gia đình.. . . . . . . Tư Vấn Mua Máy phát điện. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-phat-dien/homepro/may-phat-dien-homepro-thailan-2kw-hp2500.htm,,Homepro,Máy phát điện,Máy phát điện Homepro 2KW HP2500,2.990.000,,," . - Công suất liên tục: 2KW/ Công suất tối đa 2.2KW. - Kiểu Điều chỉnh điện áp: AVR / Điện áp: 220-240 V/50HZ. - Loại đầu phát: Từ trường quay, tự kích từ, 2 cực. - Động cơ 4 thì chạy xăng, được làm mát bằng không khí. - Hệ số công suất: 1.0 / Công suất: 4.0HP (Mã lực). - Hệ thống khởi động: Giật nổ / Tiêu hao nhiên liệu: 0.8 lít/1h. . . . . Hình ảnh tham khảo: Máy phát điện Homepro 2KW HP2500. . . . . . . . . . . . . . . Thông số kỹ thuật: Máy phát điện Homepro 2KW HP2500. . . . . . . . . . Thông tin: Máy phát điện Homepro 2KW HP2500. . . Thông số kỹ thuật: Máy Phát điện HOMEPRO-Thailand. . - Loại đầu phát: Từ trường quay, tự kích từ, 2 cực. - Kiểu điều chỉnh điện áp: AVR. - Công suất liên tục: 2.0 KW. - Công suất tối đa: 2.2KW. - Điện áp: 220-240 V/50HZ. - Hệ số công suất: 1.0. - Công suất: 4.0 HP (Mã lực). - Động cơ 4 thì chạy xăng,được làm mát bằng không khí. - Hệ thống khởi động : Giật nổ. - Có chế độ tự ngắt khi chạy quá công suất máy. - Tiêu hao nhiên liệu 0.8Lít/1h. - Loại máy gọn nhẹ, thích hợp cho gia đình.. - Trọng lượng tịnh :41.5.kg. - Thời gian chạy liên tục 12h. - Bảo hành: 12 tháng. . . . . . . . Tư Vấn Mua Máy phát điện. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-phat-dien/elemax/may-phat-dien-elemax-nhat-ban-19kva-shx-2000.htm,,Elemax,Máy phát điện,"Máy phát điện Elemax Nhật Bản 1,9KVA SHX 2000",24.990.000,,," . Hoạt động ổn định, hiệu quả, tiết kiệm nhiên liệu.. . Khởi động kiểu giật nổ, độ ồn thấp, động cơ 4 thì, . . 1 xi lanh, bình xăng lớn có sức chứa 7.7 lít. . Máy gọn nhẹ, dễ di chuyển. . . . . Hình ảnh tham khảo: Máy phát điện Elemax Nhật Bản 1,9KVA SHX 2000. . . . . . . . . . . . . . . Thông số kỹ thuật: Máy phát điện Elemax Nhật Bản 1,9KVA SHX 2000. . . . . . . . . . Thông tin: Máy phát điện Elemax Nhật Bản 1,9KVA SHX 2000. . . Máy phát điện Elemax SHX2000 - máy phát điện Honda xách tay chống ồn nhập khẩu nguyên chiếc của Nhật Bản. - Máy sử dụng động cơ 4 thì Honda GXH100 mạnh mẽ dung tích xi lanh là 98cc, tốc độ quay 4500rpm. Kích thước 560 x 340 x 415 mm. Cung cấp năng lượng cao mà tiêu hao nhiên liệu ít.. - Hệ thống làm mát bằng gió giúp máy vận hành được lâu và liên tục.. - Máy phát điện Elemax SHX2000 có công suất liên tục 1.5kW công suất tối đa là 1.9kw với công suất này cho phép quý khách hàng có thể sử dụng hầu hết các thiết bị điện trong gia đình hay văn phòng trừ điều hòa.. - Với công suất 1.9KW, máy siêu nhỏ gọn chỉ nặng có 21Kg nên Elemax SHX2000 cũng khá phù hợp cho những chuyến phượt hay du lịch dài ngày của quý khách hàng.. - Máy hoạt đông cực êm với độ ồn 63 dB(A) chỉ ngang bằng với độ ồn của 1 máy hủy tài liệu, Sở dĩ máy có độn ồn thấp như vậy là do hệ thống tiêu âm kết hợp với vỏ chống ồn được thiết kế rất ổn.. - Mức tiêu hao nhiêu liệu thấp nhờ trang bị động cơ chính hãng chuẩn quốc tế.. - Tự động điều chỉnh điện áp (AVR). đảm bảo điện áp luôn ổn định và an toàn cho các thiết bị điện của khách hàng.. Bộ AVR máy phát điện hay còn gọi là bộ tự điều chỉnh điện áp, bộ phận này cùng lúc thực hiện các chức năng cơ bản:. . . Máy phát điện Elemax SHX2000. . - Điều chỉnh điện áp máy phát điện: Với chức năng này bộ AVR nó có thể tiến hành theo dõi điện áp đầu ra của máy phát điện, đồng thời so sánh với một điện áp tham chiếu.. . - Giới hạn tỉ số điện áp: Khi máy phát điện được khởi động bộ điều chỉnh điện áp tự động sẽ có khuynh hướng tăng dòng kích thích lên sao cho đủ điện áp đầu ra như tham chiếu theo giá trị đặt hoặc điện áp lưới. Đồng thời bộ điều chỉnh điện áp tự động cũng phải luôn theo dõi tỷ số này để điều chỉnh dòng kích thích cho phù hợp, mặc dù điện áp máy phát chưa đạt đến điện áp tham chiếu.. . - Điều khiển công suất vô công của máy phát điện: Ngoài việc theo dõi và điều khiển điện áp, còn phải theo dõi và điều khiển dòng điện vô công có thể hiểu là điều khiển dòng kích thích khi công suất vô công và điện áp lưới có sự thay đổi, sao cho mối liên hệ giữa điện áp máy phát, điện áp lưới và công suất vô công phải là mối liên hệ hợp lý.. . - Bù trừ điện áp suy giảm trên đường dây: Muốn giảm bớt tác hại của hệ thống do quá trình vận hành máy phát điện gây ra. do Bộ điều áp phải dự đoán được khả năng sụt giảm của đường dây, và tạo ra điện áp bù trừ cho độ sụt giảm đó.. . Với nhũng mô tả trên giúp máy phát điện Elemax SHX2000 luôn phù hợp với hộ gia đình các văn phòng nhỏ, các cửa hàng kinh doanh nhỏ. và siêu tiết kiệm nhiên liệu. . . . . . Tư Vấn Mua Máy phát điện. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-phat-dien/elemax/may-phat-dien-elemax-nhat-ban-1kva-shx-1000.htm,,Elemax,Máy phát điện,Máy phát điện Elemax Nhật Bản 1KVA SHX 1000,19.990.000,,," . Hoạt động ổn định, hiệu quả, tiết kiệm nhiên liệu.. . Khởi động kiểu giật nổ, độ ồn thấp, động cơ 4 thì, . . 1 xi lanh, bình xăng lớn có sức chứa 3.8 lít. . Máy gọn nhẹ, dễ di chuyển. . . . . Hình ảnh tham khảo: Máy phát điện Elemax Nhật Bản 1KVA SHX 1000. . . . . . . . . . . . . . . Thông số kỹ thuật: Máy phát điện Elemax Nhật Bản 1KVA SHX 1000. . . . . . . . . . Thông tin: Máy phát điện Elemax Nhật Bản 1KVA SHX 1000. . . Máy phát điện Elemax SHX1000 Inverter - máy phát điện Honda xách tay chống ồn, tiết kiệm nhiên liệu, nhập khẩu nguyên chiếc từ Nhật Bản. - Công nghệ tiên tiến : máy phát điện xoay chiều đa cực (Multi-Pole Alternator) với động cơ tốc độ cao được thiết kế nhỏ, gọn.. - Sử dụng động cơ 4 thì Honda GXH50 (Honda 4-stroke Engine) : động cơ đa chức năng Honda đạt tiêu chuẩn công nghiệp về độ bền cao và ổn định trên toàn thế giới.. . - Thời gian làm việc dài : dung tích bình xăng lớn cho phép động cơ làm việc lâu hơn mà không cần phải nạp nhiên liệu thường xuyên.. - Khả năng di động : dòng máy này đặc biệt dễ dàng di chuyển.. - Ngưỡng âm thấp : điểm duy nhất được thiết kế đối với chế độ yên lặng của SHX1000 đó là cung cấp mức ngưỡng âm thấp khi chạy với 3/4 tải. Chỉ trừ trường hợp quá tải thì mới chuyển sang Power mode.. - Trọng lượng nhẹ : SHX1000 chỉ nặng 13,6kg - nhỏ hơn một nửa so với các dòng máy phát tương tự.. - Dung tích xi lanh là 98cc, tốc độ quay 4500rpm. Kích thước 465 x 265 x 380 mm. Cung cấp năng lượng cao mà tiêu hao nhiên liệu ít.. - Hệ thống làm mát bằng gió giúp máy vận hành được lâu và liên tục.. - Với công suất 1000W, máy siêu nhỏ gọn chỉ nặng có 13,6 Kg nên Elemax SHX1000 cũng khá phù hợp cho những chuyến phượt hay du lịch dài ngày của quý khách hàng.. - Máy phát điện Elemax SHX1000 có công suất liên tục 0.9kW công suất tối đa là 1.0kw với công suất này cho phép quý khách hàng có thể sử dụng chống cháy 1 vài thiết bị điện khi bị mất điện đột ngột.. - Máy hoạt đông cực êm với độ ồn 58 dB(A) chỉ ngang bằng với độ ồn của 1 máy hủy tài liệu, Sở dĩ máy có độn ồn thấp như vậy là do hệ thống tiêu âm kết hợp với vỏ chống ồn được thiết kế rất ổn.. - Mức tiêu hao nhiêu liệu thấp nhờ trang bị động cơ chính hãng chuẩn quốc tế.. - Tự động điều chỉnh điện áp (AVR). đảm bảo điện áp luôn ổn định và an toàn cho các thiết bị điện của khách hàng.. - Bộ AVR máy phát điện hay còn gọi là bộ tự điều chỉnh điện áp, bộ phận này cùng lúc thực hiện các chức năng cơ bản:. - Điều chỉnh điện áp máy phát điện: Với chức năng này bộ AVR nó có thể tiến hành theo dõi điện áp đầu ra của máy phát điện, đồng thời so sánh với một điện áp tham chiếu.. - Giới hạn tỉ số điện áp: Khi máy phát điện được khởi động bộ điều chỉnh điện áp tự động sẽ có khuynh hướng tăng dòng kích thích lên sao cho đủ điện áp đầu ra như tham chiếu theo giá trị đặt hoặc điện áp lưới. Đồng thời bộ điều chỉnh điện áp tự động cũng phải luôn theo dõi tỷ số này để điều chỉnh dòng kích thích cho phù hợp, mặc dù điện áp máy phát chưa đạt đến điện áp tham chiếu.. - Điều khiển công suất vô công của máy phát điện: Ngoài việc theo dõi và điều khiển điện áp, còn phải theo dõi và điều khiển dòng điện vô công có thể hiểu là điều khiển dòng kích thích khi công suất vô công và điện áp lưới có sự thay đổi, sao cho mối liên hệ giữa điện áp máy phát, điện áp lưới và công suất vô công phải là mối liên hệ hợp lý.. - Bù trừ điện áp suy giảm trên đường dây: Muốn giảm bớt tác hại của hệ thống do qúa trình vận hành máy phát điện gây ra. do Bộ điều áp phải dự đoán được khả năng sụt giảm của đường dây, và tạo ra điện áp bù trừ cho độ sụt giảm đó.. Với những mô tả trên giúp máy phát điện Elemax giá rẻ SHX1000 luôn phù hợp với hộ gia đinh các văn phòng nhỏ, các cửa hàng kinh doanh nhỏ. và siêu tiết kiệm nhiên liệu.. . . . . . . Tư Vấn Mua Máy phát điện. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-phat-dien/honda/may-phat-dien-honda-22kva-ekb-2900.htm,,Honda,Máy phát điện,"Máy phát điện Honda 2,2KVA EKB 2900",10.990.000,,," . Hoạt động ổn định, hiệu quả, tiết kiệm nhiên liệu.. . Khởi động kiểu giật nổ, độ ồn nhỏ hơn 75dB, động cơ 4 thì, . . 1 xi lanh, bình xăng lớn có sức chứa 15 lít. . Máy gọn nhẹ, dễ di chuyển. . . . . Hình ảnh tham khảo: Máy phát điện Honda 2,2KVA EKB 2900. . . . . . . . . . . . . . . Thông số kỹ thuật: Máy phát điện Honda 2,2KVA EKB 2900. . . . . . . . . . Thông tin: Máy phát điện Honda 2,2KVA EKB 2900. . . . . . . . Tư Vấn Mua Máy phát điện. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-phat-dien/galaxy/may-phat-dien-galaxy-22-kw-ghn2500k.htm,,Galaxy,Máy phát điện,Máy phát điện Galaxy 2.2 KW GHN2500K,2.990.000,,," . - Công suất liên tục : 2.0 KW, Công suất tối đa : 2.2KW. . - Nhiên liệu : Xăng, Khởi động : Giật nổ. . - Số lượng ổ cắm : 1, Màu sắc : Vàng. . - Thể tích bình đựng xăng : 15L. . . . . Hình ảnh tham khảo: Máy phát điện Galaxy 2.2 KW GHN2500K. . . . . . . . . . . . . . . Thông số kỹ thuật: Máy phát điện Galaxy 2.2 KW GHN2500K. . . . . . . . . . Thông tin: Máy phát điện Galaxy 2.2 KW GHN2500K. . . . . . Công suất (KVA). . 2.2. . . . Tần số(Hz). . 50HZ. . . . Số pha. . 1 Pha. . . . Dung tích xilanh. . 0.389. . . . Hệ số công suất. . 1. . . . Hệ thống truyền động. . Đai. . . . Nhiên liệu. . Xăng. . . . Hệ thống khởi động. . Bằng tay. . . . Kích thước (mm). . 720x540x590. . . . Trọng lượng (kg). . 87. . . . . . . . . Tư Vấn Mua Máy phát điện. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-phat-dien/sanda/may-phat-dien-sanda-22kw-sd3200r.htm,,SANDA,Máy phát điện,"Máy phát điện SANDA 2,2KW SD3200R",6.490.000,,," . Hoạt động ổn định, hiệu quả, tiết kiệm nhiên liệu.. . Khởi động kiểu giật nổ, độ ồn nhỏ hơn 75dB, động cơ 4 thì, . . 1 xi lanh, bình xăng lớn có sức chứa 15 lít. . Máy gọn nhẹ, dễ di chuyển. . . . . Hình ảnh tham khảo: Máy phát điện SANDA 2,2KW SD3200R. . . . . . . . . . . . . . . Thông số kỹ thuật: Máy phát điện SANDA 2,2KW SD3200R. . . . . . . . . . Thông tin: Máy phát điện SANDA 2,2KW SD3200R. . . 1. Giới thiệu Máy phát điện Mini Đài Loan Sanda 2.2KW SD3200R. Máy phát điện mini Sanda 2.2KW SD3200R rất phù hợp với quy mô sử dụng điện trong gia đình. Máy sử dụng công nghệ Đài Loan nên ưu điểm là giá thành rẻ, chạy ổn định, đáp ứng tốt nhu cầu của các thiết bị trong nhà như: đèn, quạt, nồi cơm điện, ti vi.. . . 2. Đặc điểm nổi trội. . – Giá thành hợp lý. . – Máy có công suất 2,2KW đảm bảo chạy được hầu hết các thiết bị trong nhà, trừ điều hòa.. . – Bình nhiên liệu lên tới 15 lít giúp máy chạy được liên tục trong thời gian dài. . – Chân đế cao su chống rung. Hệ thống chống ồn, giảm thiểu độ ồn xuống dưới 70db. . – Có trang bị đồng hồ báo hiệu điện thế, Actomat tự động ngắt khi chạy quá công suất. . – Hệ thống đèn báo dầu máy giúp khách hàng biết khi nào lên thay dầu máy.. . – Vỏ máy bằng kim loại chắc chắn, có bao bọc bảo vệ.. . – Bình lọc nhiên liệu giúp tách nước và rác.. . – Máy sử dụng động cơ 4 thì dùng xăng, chạy êm, tiếng ồn nhỏ, không có khói, tốt hơn nhiều so với các dòng máy động cơ 2 kì. . . 3. Hướng dẫn sử dụng. . Trước khi khởi động máy:. . – Kiểm tra mức dầu nhờn của cacte dầu. . – Kiểm tra sự rò rỉ ở hệ thống nhiên liệu, hệ thống bôi trơn, hệ thống làm mát. . – Kiểm tra xem cầu dao tổng có ở vị trí cắt mạch không. . – Đưa núm đlều chỉnh kích thích về vị trí điện áp thấp nhất. . – Kiểm tra mức nhiên liệu và nước làm mát, nhiên liệu phải được lắng lọc và phải xả cặn ở bình chứa nhiên liệu. . – Hãy đặt máy phát điện cách xa cửa sổ, cửa chính, ống thông khí – những nơi có thể đưa khí CO vào trong nhà.. . – Để tránh bị điện giật, hãy giữ cho máy phát điện luôn khô và không dùng khi trời mưa hoặc ẩm ướt. . . Khi chạy máy phát điện:. . – Bắt đầu phát điện của bạn không tải, sau đó áp dụng tải trọng từng bước. Việc tăng tải máy cũng phải làm từ từ tránh cho nhiệt độ máy tăng lên đột ngột.. . – Không bao giờ cố gắng cấp điện cho căn nhà bằng cách cắm máy phát điện vào ổ cắm trên tường, cách làm đó gọi là “nạp ngược”. Việc này có thể làm cho thợ sửa chữa hoặc hàng xóm cùng sử dụng một máy biến thế bị điện giật.Cách an toàn duy nhất để nối máy phát điện với hệ thống dây dẫn trong nhà là mời một thợ điện có chuyên môn tới lắp đặt một công tắc chuyển nguồn. . – Trước khi tiếp nhiên liệu cần tắt máy, vì xăng dầu đổ vào động cơ đang nóng có thể gây cháy.. . . Sau khi sử dụng:. . – Một hai tuần nên khởi động lại máy từ 5 – 10 phút dù không sử dụng thường xuyên. . – Từ 50 – 100 giờ chạy máy đầu tiên phải kiểm tra mức nhớt, nước, độ căng dây đai quạt gió. . – Sau 500 giờ chạy máy, kiểm tra và vệ sinh sạch hệ thống làm mát, thay mới dầu nhớt, lọc nhớt. . . 4. Thông số kỹ thuật. . – Model : 3200r (khởi động tay). . – Công suất : 2.2kw. . – Điện áp : 220V-50hz. . – Dung tích bình xăng : 15 lít. . – Trọng lượng : 45kg. . – Kích thước : 61.5x47x47(cm). . . . . . Tư Vấn Mua Máy phát điện. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-phat-dien/kama/may-phat-dien-chay-dau-kama-55kva-kde-6500tn.htm,,Kama,Máy phát điện,"Máy phát điện chạy dầu Kama 5,5KVA KDE 6500TN",27.900.000,,," . - Công suất Liên tục 5 KVA – Dự phòng 5 KVA. . - Nhiên liệu Diesel. . - Điện thế 3 Pha. . - Bộ đề Có. . - Vỏ Cách âm. . . . . Hình ảnh tham khảo: Máy phát điện chạy dầu Kama 5,5KVA KDE 6500TN. . . . . . . . . . . . . . . Thông số kỹ thuật: Máy phát điện chạy dầu Kama 5,5KVA KDE 6500TN. . . . . . . . . . Thông tin: Máy phát điện chạy dầu Kama 5,5KVA KDE 6500TN. . . . . . Model. . KDE 6500TN. . . . Công suất liên tục (kVA). . 5. . . . Công suất dự phòng (kVA). . 5. . . . Tần số. . 50HZ. . . . Điện thế. . 220V. . . . Hệ thống khởi động. . Đề nổ bằng điện. . . . Trọng lượng (kg). . 165. . . . . . . . . . Tư Vấn Mua Máy phát điện. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-phat-dien/honda/may-phat-dien-honda-22-kw-shi-3000.htm,,Honda,Máy phát điện,"Máy phát điện Honda 2,2 KW SHi 3000",14.990.000,,," . Hoạt động ổn định, hiệu quả, tiết kiệm nhiên liệu.. . Khởi động kiểu giật nổ, độ ồn nhỏ hơn 75dB, động cơ 4 thì, . . 1 xi lanh, bình xăng lớn có sức chứa 15 lít. . Sản phẩm được bảo hành 12 tháng chính hãng. . Máy gọn nhẹ, dễ di chuyển. . Bạn nên xem : . Kinh nghiệm sử dụng máy phát điện. . . . . Hình ảnh tham khảo: Máy phát điện Honda 2,2 KW SHi 3000. . . . . . . . . . . . . . . . . . Thông số kỹ thuật: Máy phát điện Honda 2,2 KW SHi 3000. . . . . . . . . . Thông tin: Máy phát điện Honda 2,2 KW SHi 3000. . . Máy phát điện Honda SHI3000 có công suất liên tục là 2.0kW và công suất tối đa là 2.2kw. Công suất này cho phép chạy được hầu hết các thiết bị điện trong gia đình trừ điều hòa với mức tiêu hao nhiên liệu thấp.. . Hệ thống tiêu âm kết hợp với bô giảm thanh được thiết kế ổn định khiến máy hoạt động êm ái cũng như độ ồn của máy giảm tuyệt đối. Với đơn vị đo độ ồn 75 dB(A) tức là đứng xa 7m chúng ta không thể nghe thấy tiếng ồn.. . Tự động điều chỉnh điện áp (AVR) đảm bảo điện áp luôn ổn định và an toàn cho các thiết bị điện của quý khách. Các chức năng cơ bản của AVR:. - Điều chỉnh điện áp máy phát điện: Với chức năng này bộ AVR có thể tiến hành theo dõi điện áp đầu ra của máy, đồng thời so sánh với một điện áp tham chiếu.. - Giới hạn tỉ số điện áp: Khi máy phát điện được khởi động bộ điều chỉnh điện áp tự động sẽ có khuynh hướng tăng dòng kích thích lên sao cho đủ điện áp đầu ra theo giá trị đặt hoặc điện áp lưới. Đồng thời bộ điều chỉnh điện áp tự động cũng phải luôn theo dõi tỷ số này để điều chỉnh dòng kích thích cho phù hợp.. - Điều khiển công suất vô công của máy phát điện: theo dõi và điều khiển dòng điện vô công, điều khiển dòng kích thích khi công suất vô công và điện áp lưới có sự thay đổi, đảm bảo mối liên hệ hợp lý giữa điện áp của máy phát, điện áp lưới và công suất vô công.. - Bù trừ điện áp suy giảm trên đường dây: giảm bớt tác hại của hệ thống do quá trình vận hành máy phát điện gây ra, dự đoán khả năng sụt giảm của đường dây và tạo ra điện áp bù trừ cho độ sụt giảm đó.. - Với những lợi ích trên giúp máy phát điện Honda SHI3000 là lựa chọn hàng đầu với các hộ gia đinh, văn phòng và cửa hàng kinh doanh nhỏ bởi lượng tiêu thụ điện vừa phải khi mất điện.. . . . . . . . . . Tư Vấn Mua Máy phát điện. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/may-phat-dien/goldsun/may-phat-dien-goldsun-gg-gkm3501.htm,,Goldsun,Máy phát điện,MÁY PHÁT ĐIỆN GOLDSUN GG-GKM3501,3.990.000,,, . - Hãng sản xuất Goldsun. - Công suất 3KW. - Kiểu Giật nổ. - Động cơ 4 thì - 1 xi lanh. - Dung tích bình xăng 15 lít. - Tự động điều chỉnh điện áp. - Bảo hành 12 tháng. . . . . Hình ảnh tham khảo: MÁY PHÁT ĐIỆN GOLDSUN GG-GKM3501. . . . . . . . . . . . . . . Thông số kỹ thuật: MÁY PHÁT ĐIỆN GOLDSUN GG-GKM3501. . . . . . . . . . . Tư Vấn Mua Máy phát điện. . . . . . ,""""""
