Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
mediamart.vn,https://mediamart.vn/dau-dia/sony/dau-dvd-sony-dvp-sr760.htm,,Sony,Đầu đĩa,Đầu DVD Sony DVP-SR760,1.290.000,,," . - Tương thích nhiều loại đĩa và định dạng giải trí . (DVD+RW/+R/+R DL, DVD-RW/-R/-R DL, CD-R/RW . Xvid Home, JPEG, MP3, WMA, AAC, Linear PCM). . - Ngõ kết nối HDMITM. . - Nâng cấp tín hiệu DVD lên 1080p. . - Công nghệ PhotoTV HD. . - Phát nội dung phim/nhạc/hình ảnh trên USB. . - Chất lượng hình ảnh vượt trội với Xvid Home. . - Thiết kế chống bụi giúp tăng độ bền mắt đọc. . - Kích thước nhỏ gọn, phù hợp với phòng khách hiện đại. . . . . . . Hình ảnh tham khảo: Đầu DVD Sony DVP-SR760. . . . . . . . . . . . . . . . . . Thông số kỹ thuật: Đầu DVD Sony DVP-SR760. . . . . . . . . . . Tư Vấn Mua Đầu đĩa. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/dau-dia/acnos/dau-karaoke-hdmi-acnos-sk399hdd.htm,,Acnos,Đầu đĩa,Đầu Karaoke HDMI Acnos SK399HDD,1.690.000,,," . - Hát chung với đĩa DVD, đầu DVD HDD Karaoke cập nhật bài hát tự động qua máy tính. - Ổ đĩa cứng HDD Karaoke có thể linh động kết nối / tháo rời- Ngõ ra HDMI v1.3 độ nét cao, chuyên dụng cho tivi LCD.. - Khả năng nâng cấp hình ảnh (scale-up) lên độ nét cao Full HD 1080P.. - Cổng USB 2.0 tốc độ cao (lên đến 480Mb/s), nghe nhạc xem phim không bị giật hình.. - Đọc các loại đĩa thông dụng DVD/(S)VCD/CD/MP3/MP4/Photo (gồm cả đĩa EVD/MP5/MPEG-10/CD-G/...). - Đọc các định dạng đĩa quang DVD9, DVD5, DVD-ROM, DVD+RW, DVD+R, DVD-RW, DVD-R, CD-RW, CD-R, CD-ROM, CD-DA, .... - Công nghệ mắt đọc không kén đĩa, hỗ trợ đọc các đĩa trầy xước lệch chuẩn.. - Đọc các loại file phim, hình, nhạc (multi-media) phổ biến JPG/MP3/WMA/AAC/AVI/VOB/MPEG-4/.... - Remote đa năng, đầy đủ ký tự A-Z tiện dụng, kết hợp hoàn hảo với chức năng tìm theo tên viết tắt cho phép chọn nhanh bài hát yêu thích. - Hệ thống chấm điểm chuyên nghiệp.. . - Ngõ vào: USB 2.0 (high-speed host) / Chấm điểm chuyên nghiệp (SCORE IN).. - Ngõ ra: HDMI (v1.3 – 1080P) / Component (YPbPr) / S-Video / Video - Analog Audio 5.1 / OPTICAL - Stereo Audio L/R.. - Kích thước thùng carton (RxCxS): 480x305x140mm. . . . . Hình ảnh tham khảo: Đầu Karaoke HDMI Acnos SK399HDD. . . . . . . . . . . . . . . Thông số kỹ thuật: Đầu Karaoke HDMI Acnos SK399HDD. . . . . . . . . . . Tư Vấn Mua Đầu đĩa. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/dau-dia/vitek/dau-karaoke-vi-tinh-6-so-vitek-ck230hdmi.htm,,Vitek,Đầu đĩa,Đầu Karaoke vi tính 6 số Vitek CK230HDMI,1.590.000,,," . - Hãng sản xuất: Vitek -VTB. - Xuất xứ: Liên doanh. - Đọc đa dạng đĩa và nhiều định dạng phim, âm thanh và hình ảnh: DVD, VCD, SVCD, CD, MP3, MP4, JPEG…. - Định dạng phim, hình ảnh và âm thanh qua cổng USB: VOB, AVI, MP4, WAV, MP3, JPEG, BIPMAP…. - Ngõ ra Video: AV, C.video, S video, Component, HDMI. - Ngõ ra Audio : Stereo, Ngõ ra Optical, ngõ ra Coaxial. - Bảo hành: 12 tháng. . . . . Hình ảnh tham khảo: Đầu Karaoke vi tính 6 số Vitek CK230HDMI. . . . . . . . . . . . . . . Thông số kỹ thuật: Đầu Karaoke vi tính 6 số Vitek CK230HDMI. . . . . . . . . . Thông tin: Đầu Karaoke vi tính 6 số Vitek CK230HDMI. . . . Đầu Karaoke thế hệ mới, công nghệ âm thanh FaIV với chất lượng âm thanh sống động như đang được thể hiện trên sân khấu thực. Chất lượng cao, giá cả thật sự kinh tế. Phù hợp với mọi đối tượng sử dụng gia đình. Hãy là ngôi sao của gia đình bạn với Karaoke Vitek-VTB.. . . Kiểu dáng chuyên nghiệp, mạnh mẽ.. . Ngõ HDMI truyền tín hiệu chất lượng cao.. . Hơn 5.500 bài hát Việt. Thêm 130 bài hát có lời ca sỹ.. . Chip âm thanh chuyên nghiệp.. . Âm thanh cao cấp 32bit. Công nghệ FaIV âm thanh sân khấu. . Model 5 và 6 số. . Ngôn ngữ bài hát: English/ Việt Nam. . Chọn/ đặt bài hát lên tới 99 bài. . Điều chỉnh: Temple / Key / Melody. . Giao tiếp ngõ USB. . Chọn bài hát theo ngôn ngữ, bài hát, alphabel, thể loại, tác giả.. . Giao diện tiếng Việt. . Đọc đa dạng đĩa và nhiều định dạng phim, âm thanh và hình ảnh: DVD, VCD, SVCD, CD, MP3, MP4, JPEG… "". . Phát nhiều định dạng phim, hình ảnh và âm thanh qua cổng USB: VOB, AVI, MP4, WAV, MP3, JPEG, BIPMAP…"". . Nguồn điện : 100~240VAC 50/60Hz. . Công suất : <15W. . Trọng lượng : 2,8Kg. . Ngõ ra Video: AV, C.video, S video, Component, HDMI. . Hệ : PAL/NTSC. . Ngõ ra Audio : Stereo, Ngõ ra Optical, ngõ ra Coaxial. . Micro : 2 ngõ vào trên mặt trước. . . . . . . . . . Tư Vấn Mua Đầu đĩa. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/dau-dia/arirang/dau-karaoke-arirang-ar36.htm,,Arirang,Đầu đĩa,Đầu karaoke Arirang AR-36,1.100.000,,," . - Loại Đầu Đĩa Karaoke 5 số đọc các loại đĩa thông dụng DVD/VCD/CD. - Công Nghệ Mắt Đọc Laser, Chấm Điểm Thông Minh, Chức Năng Hát Bè. - Kết Nối Cổng USB ,Cổng Component , Ngõ ra S-Video. . . . . Hình ảnh tham khảo: Đầu karaoke Arirang AR-36. . . . . . . . . . . . . . . Thông số kỹ thuật: Đầu karaoke Arirang AR-36. . . . . . . . . . . Tư Vấn Mua Đầu đĩa. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/dau-dia/paramax/dau-karaoke-paramax-ls5000.htm,,Paramax,Đầu đĩa,Đầu karaoke Paramax LS5000,7.990.000,,," . . . . Hình ảnh tham khảo: Đầu karaoke Paramax LS5000. . . . . . . . . . . . . . . . . . . . . Thông số kỹ thuật: Đầu karaoke Paramax LS5000. . . . . . . . . . Thông tin: Đầu karaoke Paramax LS5000. . . LS-5000 là đầu karaoke cao cấp của thương hiệu PARAMAX, được ưu ái trang bị những công nghệ tốt nhất cho chất lượng trình diễn đỉnh cao cùng nhiều tính năng thông minh lần đầu tiên xuất hiện, số lượng bài hát dẫn đầu thị trường với trên 12.500 bài gồm nhiều thể loại nhạc karaoke độc đáo như RealSound. TM. ...Bên cạnh đó, khách hàng có thể thỏa thích sưu tầm và tải về hàng chục ngàn bài hát MV đang được ưa chuộng hiện nay.. . Đầu karaoke PARAMAX LS-5000 là kết quả của một dự án công phu kéo dài gần 5 năm, theo đó PARAMAX đã cùng các nhạc sĩ nổi tiếng của Việt Nam phối hợp với nhóm kỹ sư và chuyên gia âm thanh hàng đầu đến từ TJ Media - tập đoàn số 1 thế giới về công nghệ karaoke đến từ Hàn Quốc, ứng dụng những công nghệ và trang thiết bị tốt nhất thế giới để cho ra đời dòng sản phẩm đầu karaoke hoàn toàn mới gồm LS-5000 và LS-3000.. . Với tiêu chí “Đầu karaoke hi-end đầu tiên tại Việt Nam”, PARAMAX LS-5000 có chất lượng trình diễn xuất sắc chưa từng xuất hiện trên thị trường, tích hợp nhiều tính năng độc đáo và số lượng bài hát dẫn đầu gồm nhiều thể loại, được cập nhật liên tục... nhằm đáp ứng trọn vẹn kỳ vọng của người tiêu dùng Việt về một đầu karaoke đỉnh cao. LS-5000: CHẠM NGƯỠNG ĐỈNH CAO. . . Các bài hát RealSoundTM. . RealSound™ là một thể loại nhạc karaoke hoàn toàn mới chưa từng xuất hiện trên thị trường, theo đó âm thanh từ các nhạc cụ độc đáo như guitar, saxophone, sáo trúc, đàn bầu, đàn tranh... được thu trực tiếp khi các nghệ nhân trình diễn “live”, sáng tạo bởi TJ Media - tập đoàn số 1 thế giới về công nghệ karaoke đến từ Hàn Quốc - đối tác chiến lược của Paramax Corporation.. . . Các bài hát có tiếng bè - Chorus. . Những bài hát có tiếng bè của đầu karaoke PARAMAX được thu âm với một trong những nhóm bè nổi tiếng nhất Việt Nam, dưới sự chỉ huy của đạo diễn âm nhạc dày dặn kinh nghiệm. Ứng dụng thông minh Sing Smart. . Sing Smart là ứng dụng thông minh cho phép bạn trải nghiệm các tính năng vượt trội của đầu karaoke PARAMAX LS-5000 trên chính chiếc smartphone hoặc tablet của mình dễ dàng hơn bao giờ hết.. . . Công nghệ Wifi-Direct. . Đầu karaoke PARAMAX LS-5000 được trang bị công nghệ Wifi-Direct. Với chuẩn kết nối này, chiếc điện thoại thông minh của bạn hoàn toàn thay thế tay điều khiển truyền thống (remote) ngay cả khi không có kết nối internet.. . . Chọn bài hát bằng giọng nói. Đầu karaoke PARAMAX LS-5000 được trang bị tính năng Voice Command - Chọn bài hát bằng giọng nói trực tiếp trên smartphone, tablet... cực kỳ tiện dụng và sành điệu.. . . Số lượng bài hát dẫn đầu thị trường. . Đầu karaoke PARAMAX LS-5000 có số lượng bài hát dẫn đầu thị trường với trên 12.500 bài đầy đủ bản quyền cùng chất lượng âm nhạc xuất sắc, đa dạng các thể loại và được cập nhật liên tục. Bên cạnh đó, khách hàng có thể thỏa thích sưu tầm và tải về hàng chục nghìn bài hát MV đang được ưa chuộng hiện nay.. . . Đầu karaoke PARAMAX LS-5000 sở hữu:. . • 740 bài hát RealSound™ lần đầu tiên ra mắt thị trường Việt Nam. . • Trên 400 bài tân cổ giao duyên chọn lọc với đầy đủ thời lượng. . • 930 bài hát Chorus được thu âm với nhóm bè nổi tiếng Việt Nam. . • Gần 450 bài hát tiếng Anh có bản quyền đầu tiên tại Việt Nam. . • 1255 bài hát Remix sôi động đang được yêu thích hiện nay. . Thông số kỹ thuật:. . Tương thích với ổ cứng. 2TB, 3TB, 4TB, 5TB, 6TB. . Điện áp sử dụng. AC100V ~ 240V, 50/60Hz. . Công suất tiêu thụ. 20W. . Đáp tuyến tần số. 20Hz ~ 20kHz ± 3dB. . Tỷ lệ tín hiệu trên nhiễu. 75dB. . Ngõ ra hình ảnh. Chuẩn Full-HD 1080p, HDMI ver 1.2. . Trọng lượng sản phẩm. 3,4 Kg (chưa tính ổ cứng HDD). . Kích thước sản phẩm. 420(R) x 127(C) x 260(S)mm. . . . . . Tư Vấn Mua Đầu đĩa. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/dau-dia/sony/dau-dvd-sony-dvp-sr170.htm,,Sony,Đầu đĩa,Đầu DVD Sony DVP-SR170,749.000,,," . - Tương thích nhiều loại đĩa và định dạng giải trí (DVD+RW/+R/+R DL, DVD-RW/-R/-R DL, CD-R/RW Xvid Home, JPEG, MP3, WMA, AAC, Linear PCM). . - Chất lượng hình ảnh vượt trội với Xvid Home. . - Thiết kế chống bụi giúp tăng độ bền mắt đọc. . - Kích thước nhỏ gọn, phù hợp với phòng khách hiện đại. - Âm thanh WMA, MP3. - Video JPEG, Xvid, , MPEG-1. - Xuất xứ Trung Quốc. - Bảo hành 12 tháng. . . . . . . Hình ảnh tham khảo: Đầu DVD Sony DVP-SR170. . . . . . . . . . . . . . . . . . . . . Thông số kỹ thuật: Đầu DVD Sony DVP-SR170. . . . . . . . . . . Tư Vấn Mua Đầu đĩa. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/dau-dia/acnos/dau-karaoke-hdmi-acnos-sk5200hdmi.htm,,Acnos,Đầu đĩa,Đầu Karaoke HDMI Acnos SK5200HDMI,1.990.000,,," . - Mặt kim loại nhôm, Màu sắc: đen. . - Điện áp sử dụng : 110/220 VAC – 60/50Hz (auto-volt).. . - Ngõ vào: USB 2.0 (high-speed host) / Chấm điểm chuyên nghiệp (SCORE IN).. . - Ngõ ra: HDMI (v1.3 – 1080P) / Component (YPbPr) / S-Video / Video – Digital Audio COAXIAL / OPTICAL – Stereo Audio L/R.. . - Chipset âm thanh Karaoke: SAM2533 + sound bank Karaoke hoà nhạc. . - Kích thước thùng carton (RxCxS) : 480x345x170mm. . - Cân nặng: 4,5 kg. . . . . Hình ảnh tham khảo: Đầu Karaoke HDMI Acnos SK5200HDMI. . . . . . . . . . . . . . . . . . Thông số kỹ thuật: Đầu Karaoke HDMI Acnos SK5200HDMI. . . . . . . . . . Thông tin: Đầu Karaoke HDMI Acnos SK5200HDMI. . . Chi tiết sản phẩm:. . Đầu karaoke ACNOS SK 5200 HDMI. là. Dòng DVD Karaoke vi tính Star MIDI Plus HDMI cao cấp, tích hợp các công nghệ trình diễn âm thanh và hình ảnh hàng đầu. Ngõ ra HDMI v1.3 cho TV LCD, cổng USB 2.0 tốc độ cao. Tổng hợp âm karaoke Dream Sound SAM2533/SAM2195 chuyên dụng cho khả năng tái tạo âm nhạc siêu đẳng, kèm giọng ca hàng loạt ca sĩ ngôi sao. Bộ remote đa năng, đầy đủ ký tự A-Z tiện dụng, kết hợp hoàn hảo với chức năng tìm theo tên viết tắt (chỉ cần nhập ký tự đầu) cho phép chọn nhanh bài hát yêu thích. Đầy đủ các chức năng Karaoke 5 số và 6 số kết hợp, cập nhập nhạc nhanh, phân tích giọng hát, chấm điểm chuyên nghiệp. Công nghệ mắt đọc không kén đĩa, thiết kế hiện đại chuyên dụng cho phòng hát Karaoke cao cấp.. . Đặc tính sản phẩm:. . - Ngõ ra HDMI v1.3 độ nét cao, chuyên dụng cho tivi LCD.. - Khả năng nâng cấp hình ảnh (scale-up) lên độ nét cao Full HD 1080P.. - Cổng USB 2.0 tốc độ cao (lên đến 480Mb/s), nghe nhạc xem phim không bị giật hình.. - Chipset tổng hợp âm chuyên dụng cho Karaoke cho chất lượng âm thanh hoàn hảo. - Sử dụng tổng hợp âm (sound synthesizer) SAM2533 với ngân hàng âm thanh (sound bank) Karaoke chuyên dụng cho các buổi hoà nhạc. - Đọc các loại đĩa thông dụng DVD/(S)VCD/CD/MP3/MP4/Photo (gồm cả đĩa EVD/MP5/MPEG-10/CD-G/…). - Đọc các định dạng đĩa quang DVD9, DVD5, DVD-ROM, DVD+RW, DVD+R, DVD-RW, DVD-R, CD-RW, CD-R, CD-ROM, CD-DA, …. - Công nghệ mắt đọc không kén đĩa, hỗ trợ đọc các đĩa trầy xước lệch chuẩn.. - Đọc các loại file phim, hình, nhạc (multi-media) phổ biến JPG/MP3/WMA/AAC/AVI/VOB/MPEG-4/…. - Thiết kế sang trọng: mặt máy làm bằng vật liệu nhôm cao cấp, đèn LED hiển thị rực rỡ. - Bộ điều khiển từ xa (remote) cao cấp.. - Font chữ sắc nét, giao diện chuyên dụng cho Tivi LCD.. - Đầy đủ chức năng Karaoke vi tính 5 số và 6 số kết hợp.. - Chức năng “Hát Với Ngôi Sao” với hàng ngàn bài hát ca sĩ ngôi sao hàng đầu.. - Bộ remote đa năng, đầy đủ ký tự A-Z tiện dụng, kết hợp hoàn hảo với chức năng tìm theo tên viết tắt (chỉ cần nhập ký tự đầu) cho phép chọn nhanh bài hát yêu thích. . - Hệ thống cài đặt, hiển thị câu chào. - Hệ thống chấm điểm chuyên nghiệp. . . . . . Tư Vấn Mua Đầu đĩa. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/dau-dia/sony/dau-dvd-sony-dvp-sr370.htm,,Sony,Đầu đĩa,Đầu DVD Sony DVP-SR370,949.000,,," . - Tương thích nhiều loại đĩa và định dạng giải trí. . - Chất lượng hình ảnh vượt trội với Xvid Home. . - Thiết kế chống bụi giúp tăng độ bền mắt đọc. . - Kích thước nhỏ gọn, phù hợp với phòng khách hiện đại. - Âm thanh WMA, MP3. - Video JPEG, Xvid, , MPEG-1. - Xuất xứ Trung Quốc. - Bảo hành 12 tháng. . . . . . . Hình ảnh tham khảo: Đầu DVD Sony DVP-SR370. . . . . . . . . . . . . . . Thông số kỹ thuật: Đầu DVD Sony DVP-SR370. . . . . . . . . . . Tư Vấn Mua Đầu đĩa. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/dau-dia/vtb/dau-karaoke-vi-tinh-6-so-vtb-ck120.htm,,VTB,Đầu đĩa,Đầu Karaoke vi tính 6 số VTB CK120,900.000,,," . - Đầu máy Karaoke Vi Tính . . - Đa ngôn ngữ . . - Midi Karaoke 6 số. . - Chức năng chấm điểm. - Đọc đa dạng đĩa và nhiều định dạng phim, âm thanh và hình ảnh: DVD, VCD, SVCD, CD, MP3, MP4, JPEG…. - Phát nhiều định dạng hình ảnh và âm thanh qua cổng USB:WMA, WAV, MP3, JPEG, BIPMAP.... - Sử dụng được bộ nhớ ngoài. . - Công suất tiêu thụ lớn nhất: 15W. . - Kích thước: 472x265x142 mm. . . . . . . Hình ảnh tham khảo: Đầu Karaoke vi tính 6 số VTB CK120. . . . . . . . . . . . . . . Thông số kỹ thuật: Đầu Karaoke vi tính 6 số VTB CK120. . . . . . . . . . . Tư Vấn Mua Đầu đĩa. . . . . . ",""""""
mediamart.vn,https://mediamart.vn/dau-dia/vtb/dau-karaoke-vtb-ck270hdmi.htm,,VTB,Đầu đĩa,Đầu karaoke VTB CK270HDMI,1.490.000,,," . - Kiểu dáng chuyên nghiệp, mạnh mẽ. . - Hơn 8000 bài hát Việt và hàng chục ngàn bài hát nước ngoài.. . - Âm thanh cao cấp 32bit. Công nghệ FAVI âm thanh sân khấu. . - Model 5 và 6 số. . - Ngôn ngữ bài hát: English/ Việt Nam. . - Chọn/ đặt bài hát lên tới 99 bài. . - Điều chỉnh: Temple / Key / Melody. . - Giao tiếp ngõ USB. . - Chọn bài hát theo ngôn ngữ, bài hát, alphabel, thể loại, tác giả.. . - Giao diện tiếng Việt / Tiếng Anh. . - Đọc đa dạng đĩa và nhiều định dạng phim, âm thanh và hình ảnh: DVD, VCD, SVCD, CD, MP3, MP4, JPEG… "". . - Phát nhiều định dạng hình ảnh và âm thanh qua cổng USB:WMA, WAV, MP3, JPEG, BIPMAP…"". . - Có âm thanh tiếng vỗ tay sau khi bật bảng chấm điểm. . - Tìm kiếm bài hát nhanh bằng cách nhập ký hiệu đầu tiên của tên bài hát. . - Tìm nhanh tên bài hát trên màn hình. . . . . Hình ảnh tham khảo: Đầu karaoke VTB CK270HDMI. . . . . . . . . . . . . . . Thông số kỹ thuật: Đầu karaoke VTB CK270HDMI. . . . . . . . . . Thông tin: Đầu karaoke VTB CK270HDMI. . . - Kiểu dáng chuyên nghiệp, mạnh mẽ. . - Hơn 8000 bài hát Việt và hàng chục ngàn bài hát nước ngoài.. . - Âm thanh cao cấp 32bit. Công nghệ FAVI âm thanh sân khấu. . - Model 5 và 6 số. . - Ngôn ngữ bài hát: English/ Việt Nam. . - Chọn/ đặt bài hát lên tới 99 bài. . - Điều chỉnh: Temple / Key / Melody. . - Giao tiếp ngõ USB. . - Chọn bài hát theo ngôn ngữ, bài hát, alphabel, thể loại, tác giả.. . - Giao diện tiếng Việt / Tiếng Anh. . - Đọc đa dạng đĩa và nhiều định dạng phim, âm thanh và hình ảnh: DVD, VCD, SVCD, CD, MP3, MP4, JPEG… "". . - Phát nhiều định dạng hình ảnh và âm thanh qua cổng USB:WMA, WAV, MP3, JPEG, BIPMAP…"". . - Có âm thanh tiếng vỗ tay sau khi bật bảng chấm điểm. . - Tìm kiếm bài hát nhanh bằng cách nhập ký hiệu đầu tiên của tên bài hát. . - Tìm nhanh tên bài hát trên màn hình. . . . . . Tư Vấn Mua Đầu đĩa. . . . . . ",""""""
