Domain,Url,Product_id,1,2,3,4,5
sendo.vn,https://www.sendo.vn/sau-rieng-say-100g-10930466.html/,10930466,0,0,0,0,0
sendo.vn,https://www.sendo.vn/hat-sen-say-gion-500gr-12595447.html/,12595447,0,0,0,0,2
sendo.vn,https://www.sendo.vn/1kg-chuoi-say-vun-mieng-to-gion-ngon-mua-2kg-tang-3-bich-trang-tron-12366504.html/,12366504,1,1,0,0,2
sendo.vn,https://www.sendo.vn/cha-la-kho-nguyen-canh-cua-isreal-hop-500g-hang-loai-1-bao-ngon-12781181.html/,12781181,0,0,0,2,3
sendo.vn,https://www.sendo.vn/rong-bien-rang-gion-mix-tep-kho-tui-nho-35g-9733544.html/,9733544,0,0,0,2,8
sendo.vn,https://www.sendo.vn/rong-bien-rang-me-tui-25g-9733659.html/,9733659,0,0,3,10,15
sendo.vn,https://www.sendo.vn/me-tach-hat-tem-xanh-chua-ngot-dac-san-thai-lan-200g-12464059.html/,12464059,0,0,0,1,0
sendo.vn,https://www.sendo.vn/chuoi-say-te-hung-500g-9652923.html/,9652923,0,0,0,3,4
sendo.vn,https://www.sendo.vn/nam-viet-quat-craisins-my-360k-10872382.html/,10872382,0,0,0,0,0
sendo.vn,https://www.sendo.vn/mit-say-loai-1-hang-xuat-khau-tui-0-5kg-9090115.html/,9090115,0,0,1,1,4
sendo.vn,https://www.sendo.vn/vai-say-thanh-ha-loai-1-qua-to-deu-1kg-10433622.html/,10433622,0,0,3,0,2
sendo.vn,https://www.sendo.vn/hoa-qua-say-te-hung-500g-12379294.html/,12379294,0,0,0,0,2
sendo.vn,https://www.sendo.vn/chuoi-say-kho-da-lat-250g-10991088.html/,10991088,1,0,0,1,2
sendo.vn,https://www.sendo.vn/10hu-rong-bien-say-toi-90gr-hu-8244040.html/,8244040,0,0,0,1,0
sendo.vn,https://www.sendo.vn/rong-bien-chay-toi-ot-combo-5-hu-moi-hu-70gr-6122504.html/,6122504,0,1,2,6,14
sendo.vn,https://www.sendo.vn/1kg-ngo-mi-lam-bap-rang-bo-nhu-o-rap-chieu-phim-10432148.html/,10432148,0,0,0,1,0
sendo.vn,https://www.sendo.vn/vai-thieu-luc-ngan-say-kho-loai-1-1kg-10924827.html/,10924827,1,0,0,2,4
sendo.vn,https://www.sendo.vn/combo-na-rung-tao-meo-chi-hang-12358197.html/,12358197,0,0,0,0,0
sendo.vn,https://www.sendo.vn/500gr-chuoi-say-kho-11946770.html/,11946770,0,0,0,0,0
sendo.vn,https://www.sendo.vn/1kg-chuoi-say-vun-to-gion-ngon-mua-2kg-tang-3-bich-trang-tron-12458680.html/,12458680,0,0,0,1,1
sendo.vn,https://www.sendo.vn/sale-combo-2kg-chuoi-say-khong-duong-11135982.html/,11135982,0,0,0,0,2
sendo.vn,https://www.sendo.vn/hoa-dau-biec-100gr-10405366.html/,10405366,0,0,1,0,6
sendo.vn,https://www.sendo.vn/nam-viet-quat-say-kho-100gr-nguyen-lieu-lam-banh-11167023.html/,11167023,0,0,0,0,1
