Domain,Url,Product_id,Rating,Comment,Review Time,Bought Time
sendo.vn,https://www.sendo.vn/hat-sen-say-gion-500gr-12595447.html/,12595447,5,Sản phẩm giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm xuất sắc. Đóng gói hàng rất kỹ và chắc chắn. Shop phục vụ cực kỳ nhiệt tình. <br/> ,2018-12-02 11:22:00,
sendo.vn,https://www.sendo.vn/hat-sen-say-gion-500gr-12595447.html/,12595447,5,"Ô mai ngon quá , tiếc không có hạt sen ,",2018-11-28 17:20:00,
sendo.vn,https://www.sendo.vn/1kg-chuoi-say-vun-mieng-to-gion-ngon-mua-2kg-tang-3-bich-trang-tron-12366504.html/,12366504,2,bi nat nhieu.,2018-12-05 09:25:00,
sendo.vn,https://www.sendo.vn/1kg-chuoi-say-vun-mieng-to-gion-ngon-mua-2kg-tang-3-bich-trang-tron-12366504.html/,12366504,5,"mít ngon,tuy nhien co vài mieng bi dai. chuối thi giòn tất.",2018-12-03 23:03:00,
sendo.vn,https://www.sendo.vn/1kg-chuoi-say-vun-mieng-to-gion-ngon-mua-2kg-tang-3-bich-trang-tron-12366504.html/,12366504,5,Sản phẩm tốt vượt mong đợi,2018-11-29 11:54:00,
sendo.vn,https://www.sendo.vn/1kg-chuoi-say-vun-mieng-to-gion-ngon-mua-2kg-tang-3-bich-trang-tron-12366504.html/,12366504,5,"khá nhiều, có điều hơi ẩm thì phải, tuy nhiên đóng gói đẹp kĩ",2018-11-28 07:39:00,
sendo.vn,https://www.sendo.vn/cha-la-kho-nguyen-canh-cua-isreal-hop-500g-hang-loai-1-bao-ngon-12781181.html/,12781181,4,"Giao hàng nhanh, giá cả hợp lí",2018-11-30 16:58:00,
sendo.vn,https://www.sendo.vn/cha-la-kho-nguyen-canh-cua-isreal-hop-500g-hang-loai-1-bao-ngon-12781181.html/,12781181,5,Sản phẩm tốt vượt mong đợi,2018-11-27 04:18:00,
sendo.vn,https://www.sendo.vn/cha-la-kho-nguyen-canh-cua-isreal-hop-500g-hang-loai-1-bao-ngon-12781181.html/,12781181,5,hang giao nhan dung mau.ok,2018-11-24 14:28:00,
sendo.vn,https://www.sendo.vn/cha-la-kho-nguyen-canh-cua-isreal-hop-500g-hang-loai-1-bao-ngon-12781181.html/,12781181,4,Sản phẩm đúng mô tả,2018-11-21 13:16:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-gion-mix-tep-kho-tui-nho-35g-9733544.html/,9733544,5,"quá ngon, nhưng ít quá, nhai 1 cái hết bịt",2018-12-01 07:32:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-gion-mix-tep-kho-tui-nho-35g-9733544.html/,9733544,5,Sản phẩm tốt vượt mong đợi,2018-10-22 21:46:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-gion-mix-tep-kho-tui-nho-35g-9733544.html/,9733544,5,"San pham tot, rat hai long. Gia khuyen mai qua re",2018-10-19 16:40:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-gion-mix-tep-kho-tui-nho-35g-9733544.html/,9733544,4,ngon nha,2018-10-19 15:06:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-gion-mix-tep-kho-tui-nho-35g-9733544.html/,9733544,5,Sản phẩm tốt vượt mong đợi,2018-09-26 22:05:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-gion-mix-tep-kho-tui-nho-35g-9733544.html/,9733544,5,Sản phẩm tốt vượt mong đợi,2018-09-08 12:16:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-gion-mix-tep-kho-tui-nho-35g-9733544.html/,9733544,4,Sản phẩm đúng mô tả,2018-08-26 22:19:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-gion-mix-tep-kho-tui-nho-35g-9733544.html/,9733544,5,tốt,2018-06-19 12:08:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-gion-mix-tep-kho-tui-nho-35g-9733544.html/,9733544,5,"Rong biển ngon, thơm, vừa vị. Sẽ ủng hộ shop tiếp",2018-06-01 16:08:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-me-tui-25g-9733659.html/,9733659,3,"rong biển chỉ được cái giòn nhưng không có vị gì hết, lạt quá lạt",2018-11-29 15:09:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-me-tui-25g-9733659.html/,9733659,5,sp okay.,2018-11-20 18:07:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-me-tui-25g-9733659.html/,9733659,5,Sản phẩm tốt vượt mong đợi,2018-11-16 19:15:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-me-tui-25g-9733659.html/,9733659,5,"vị ổn, giòn, hơi còn dầu một chút",2018-10-27 11:32:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-me-tui-25g-9733659.html/,9733659,4,Sản phẩm đúng mô tả,2018-10-26 06:30:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-me-tui-25g-9733659.html/,9733659,3,Sản phẩm gần giống mô tả,2018-10-24 18:32:00,
sendo.vn,https://www.sendo.vn/rong-bien-rang-me-tui-25g-9733659.html/,9733659,4,Sản phẩm đúng mô tả,2018-10-24 13:01:00,
