Domain,Url,Product_id,1,2,3,4,5
sendo.vn,https://www.sendo.vn/vi-da-bo-nam-nguyen-mieng-co-clipkem-hop-loai-dung-13362826.html/,13362826,0,0,0,2,6
sendo.vn,https://www.sendo.vn/da-bo-thatvi-dung-da-bo-nam-bao-hanh-12t-cam-ket-chat-luongvi012-16002376.html/,16002376,1,0,0,0,4
sendo.vn,https://www.sendo.vn/bop-nam-vi-nam-bop-vi-nam-sevjink-kieu-dung-vi-090-8291547.html/,8291547,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-nam-da-bo-mini-mau-den-hs2126-10281706.html/,10281706,0,0,0,0,0
sendo.vn,https://www.sendo.vn/bop-nam-vi-nam-bop-vi-nam-vi-119-9845986.html/,9845986,0,0,0,1,1
sendo.vn,https://www.sendo.vn/vi-nguyen-con-2-mat-da-ca-sau-mau-den-dan-tay-10824609.html/,10824609,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-2-mat-ban-tay-ca-sau-5-ngon-9851506.html/,9851506,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-ca-sau-nguyen-con-2-mat-dan-vien-nau-do-10581692.html/,10581692,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-dung-2-mat-da-ca-sau-mau-den-10754771.html/,10754771,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-ban-tay-2-mat-da-ca-sau-mau-nau-dan-tay-9798450.html/,9798450,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-hai-gap-da-chan-da-dieu-mau-xanh-navi-10418797.html/,10418797,0,0,0,0,0
sendo.vn,https://www.sendo.vn/clutch-da-ca-sau-kt-12-22-10627601.html/,10627601,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-hai-mat-da-ca-sau-gai-lung-mau-nau-ca-sau-go-vap-11385221.html/,11385221,0,0,0,0,2
sendo.vn,https://www.sendo.vn/vi-nguyen-con-2-mat-ca-sau-dan-tay-9342542.html/,9342542,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-dung-giay-to-xe-logo-hyundai-13083696.html/,13083696,0,0,1,0,2
sendo.vn,https://www.sendo.vn/vi-nam-cam-tay-nam-jeep-10109554.html/,10109554,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-da-bo-t111-kieu-dang-thoi-trang-12832915.html/,12832915,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-dung-giay-dang-kiem-13256078.html/,13256078,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-nam-bop-tien-nam-vi-cam-tay-nam-11923360.html/,11923360,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-da-bo-vien-chi-nhieu-mau-hs2128-29-30-8406628.html/,8406628,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-cam-tay-da-bo-thoi-trang-4u-ft191-10295785.html/,10295785,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-dung-da-bo-4u-thoi-trang-f149-10597899.html/,10597899,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-dung-da-bo-4u-thoi-trang-fb188-9775891.html/,9775891,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-da-bo-phoi-mau-ca-tinh-4u-f107d-6130990.html/,6130990,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-da-bo-lich-lam-4u-fa162-6152318.html/,6152318,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-da-bo-nam-tinh-4u-f151-6152202.html/,6152202,0,0,0,0,1
sendo.vn,https://www.sendo.vn/bop-nam-huy-hoang-sang-trong-mau-nau-6244203.html/,6244203,0,0,0,0,0
sendo.vn,https://www.sendo.vn/bop-nam-huy-hoang-sang-trong-mau-den-6244017.html/,6244017,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-da-bo-cao-cap-4u-f144-5738054.html/,5738054,0,0,0,0,0
sendo.vn,https://www.sendo.vn/bop-nam-huy-hoang-dan-vien-mau-den-6264824.html/,6264824,0,0,0,0,1
sendo.vn,https://www.sendo.vn/bop-nam-huy-hoang-soc-ngang-mau-den-6263315.html/,6263315,1,0,1,4,5
sendo.vn,https://www.sendo.vn/bop-vi-nam-da-bo-handmade-noi-bat-4u-f129-8689317.html/,8689317,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-da-bo-handmade-sang-trong-4u-f083-6594403.html/,6594403,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-da-bo-don-gian-sang-trong-4u-f108-6624050.html/,6624050,0,0,0,1,1
sendo.vn,https://www.sendo.vn/vi-nam-ngang-kieu-dang-sang-trong-4u-f115-6639897.html/,6639897,0,0,0,0,0
sendo.vn,https://www.sendo.vn/bop-nam-huy-hoang-da-tran-kieu-dung-mau-trang-6307703.html/,6307703,0,0,0,0,0
sendo.vn,https://www.sendo.vn/bop-nam-da-tran-huy-hoang-kieu-dung-mau-den-6307482.html/,6307482,0,0,0,0,0
sendo.vn,https://www.sendo.vn/bop-nam-da-tran-huy-hoang-mau-nau-6307430.html/,6307430,0,0,0,0,1
sendo.vn,https://www.sendo.vn/bop-nam-da-tran-huy-hoang-mau-da-nguyen-thuy-6307225.html/,6307225,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-da-bo-ruot-canh-gian-form-nho-4u-fa173-7528895.html/,7528895,0,0,0,0,0
sendo.vn,https://www.sendo.vn/bao-da-vi-da-dung-moc-treo-chia-khoa-tien-loi-16129508.html/,16129508,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-ban-tay-ca-sau-1-mat-nau-do-ca-sau-go-vap-0906743774-11198037.html/,11198037,0,0,0,0,4
sendo.vn,https://www.sendo.vn/vi-nam-da-ca-sau-mau-nau-dat-eh2240-11099980.html/,11099980,0,0,0,0,0
sendo.vn,https://www.sendo.vn/bop-nam-14086670.html/,14086670,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-da-bo-nam-dap-van-ca-sau-dang-dung-14085460.html/,14085460,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-namcard-da-bo-nhieu-mau-eh9101-02-03-11457342.html/,11457342,0,0,1,0,3
sendo.vn,https://www.sendo.vn/vi-nam-da-ca-sau-dan-vien-gu-chan-mau-den-eh2716-11113650.html/,11113650,0,0,0,0,1
sendo.vn,https://www.sendo.vn/bop-vi-nam-dung-da-pu-flancoo-sp787-4996576.html/,4996576,1,0,1,0,0
sendo.vn,https://www.sendo.vn/sieu-sale-vi-nam-da-cao-cap-sieu-ben-sieu-sin-co-day-keo-tien-loi-vi-nam-day-keo-13895330.html/,13895330,5,4,20,23,134
sendo.vn,https://www.sendo.vn/bop-vi-nam-dung-da-pu-flancoo-as020-6069824.html/,6069824,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-da-nam-cam-tay-kangaroo-kingdoom-khoa-doi-cao-cap-6810033.html/,6810033,0,0,0,0,0
sendo.vn,https://www.sendo.vn/bop-vi-nam-dung-da-pu-flancoo-as109-8220934.html/,8220934,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-da-bo-nam-dap-van-ca-sau-dang-dung-14086107.html/,14086107,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-nam-da-bo-nhap-khau-8054-jona-12623680.html/,12623680,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-da-nam-han-quoc-hq2-11387558.html/,11387558,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-nam-da-bo-nhieu-mau-sh2101-02-03-8380285.html/,8380285,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-da-nam-thoi-trang-11387401.html/,11387401,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-da-nam-thoi-trang-11387375.html/,11387375,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-bop-nam-cao-cap-tang-ngay-sap-sv-tri-gia-80k-5362585.html/,5362585,0,1,0,0,0
sendo.vn,https://www.sendo.vn/vi-gu-nguyen-con-2-mat-ca-sau-dan-vien-ca-sau-go-vap-12780352.html/,12780352,0,0,0,0,2
sendo.vn,https://www.sendo.vn/vi-dung-2-mat-da-ban-tay-ca-sau-nau-do-ca-sau-go-vap-0906743774-11269310.html/,11269310,0,0,0,0,4
sendo.vn,https://www.sendo.vn/vi-tien-da-in-hinh-100-usd-loai-tot-4012340.html/,4012340,0,0,1,0,0
sendo.vn,https://www.sendo.vn/vi-da-nu-11754425.html/,11754425,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-nam-hinh-tien-100-usd-12281527.html/,12281527,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-han-quoc-12000470.html/,12000470,0,0,0,0,2
sendo.vn,https://www.sendo.vn/vi-namcard-da-bo-mau-nau-7947857.html/,7947857,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-cam-tay-nam-cao-cap-vi-da-clutch-nam-tus06-12824257.html/,12824257,0,0,1,0,2
sendo.vn,https://www.sendo.vn/bop-nam-cam-tay-bop-nam-cam-tay-bop-nam-cam-tay-bop-nam-cam-tay-13758618.html/,13758618,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-re-vi-nam-re-bop-nam-re-bop-tien-re-11636850.html/,11636850,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-vi-nam-vi-nam-vi-nam-vi-nam-vi-nam-13976888.html/,13976888,0,0,0,0,2
sendo.vn,https://www.sendo.vn/bop-vi-nam-dung-vai-bo-flancoo-sp764-4958027.html/,4958027,0,1,0,1,6
sendo.vn,https://www.sendo.vn/vi-da-nam-vi-da-nam-vi-da-nam-vi-da-nam-vi-da-nam-vi-da-nam-13759415.html/,13759415,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-dai-nam-vi-nam-cam-tay-bop-nam-dep-bop-nam-gia-re-13123945.html/,13123945,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-dep-bop-nam-dep-vi-nam-gia-re-vi-nam-da-bo-11841196.html/,11841196,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-dai-nam-12306151.html/,12306151,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-da-cam-tay-11068145.html/,11068145,0,0,0,1,1
sendo.vn,https://www.sendo.vn/bop-nam-da-bo-bop-nam-da-bo-12895343.html/,12895343,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-da-nam-vi-da-nam-12907460.html/,12907460,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-nam-da-ca-sau-vi-nam-da-ca-sau-vi-nam-da-ca-sau-11466424.html/,11466424,0,2,0,0,0
sendo.vn,https://www.sendo.vn/vi-dai-nam-vi-dai-nam-vi-dai-nam-vi-dai-nam-vi-dai-nam-13759184.html/,13759184,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-da-nam-sang-trong-12000267.html/,12000267,4,0,2,9,17
sendo.vn,https://www.sendo.vn/vi-nam-cam-tay-vi-dai-nam-vi-da-nam-bop-nam-cam-tay-bop-dai-nam-bop-nam-dep-13758528.html/,13758528,0,0,0,0,0
sendo.vn,https://www.sendo.vn/bop-nam-da-bo-that-11694654.html/,11694654,0,0,0,0,0
sendo.vn,https://www.sendo.vn/vi-11191899.html/,11191899,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-nam-da-mem-11810836.html/,11810836,0,0,0,0,1
sendo.vn,https://www.sendo.vn/vi-cam-tay-clutch-nam-sang-trong-12440212.html/,12440212,0,0,0,0,0
