Domain,Url,Product_id,Rating,Comment,Review Time,Bought Time
tiki.vn,https://tiki.vn/mu-bao-hiem-asia-mt168-size-l-den-p4654261.html?src=category-page-8594.24832.11906&2hi=1,4654261,4,"màu của kính. shop ơi. cho hỏi kính nón này là kính gì???? ( kính trắng, kính khói, hay kính tráng gương.)",2018-12-13 17:49:00,
tiki.vn,https://tiki.vn/mu-bao-hiem-asia-mt168-size-l-den-p4654261.html?src=category-page-8594.24832.11906&2hi=1,4654261,5,"Cực kì hài lòng. tui mun mua 1caj nhu nay ,nhug so no nhọ k vua đầu ,voi caj rộng wa ,
co loaj nao vừa k lon cug k nhọ k vay",2018-10-07 12:40:07,
tiki.vn,https://tiki.vn/mu-bao-hiem-3-4-co-kinh-m134-p6327087.html?src=category-page-8594.24832.11906&2hi=0,6327087,5,Đánh giá. Sản phẩm tốt. Giao hàng nhanh. Tiki rất tốt. Ok rất thích mua sắm trên tiki,2018-12-22 13:46:55,2018-12-11 05:57:56
tiki.vn,https://tiki.vn/mu-bao-hiem-3-4-co-kinh-m134-p6327087.html?src=category-page-8594.24832.11906&2hi=0,6327087,5,Size sp. Có size khác không? Nếu sp không vừa(nhỏ) hơn thì s ạ?,2018-11-26 10:14:09,
tiki.vn,https://tiki.vn/mu-bao-hiem-3-4-co-kinh-m134-p6327087.html?src=category-page-8594.24832.11906&2hi=0,6327087,3,Bình thường. để là kính tráng gương nhưng mà là kính khói trà.   .,2018-10-25 08:30:14,2018-10-20 03:53:41
tiki.vn,https://tiki.vn/mu-bao-hiem-kinh-trong-tem-napoli-n40-n40-do-kt-do-p1229363.html?src=category-page-8594.24832.11906&2hi=0,1229363,3,"Sp đẹp, giao hàng cẩn thận, size mũ khá nhỏ. Sp khá đẹp, giao hàng cẩn thận nhưng size L khá nhỏ đeo không vừa, k biết Tiki có hỗ trợ đổi size lớn không nhỉ???",2018-10-03 03:24:25,2018-09-28 07:38:30
tiki.vn,https://tiki.vn/non-bao-hiem-1-2-dau-tem-v2-mau-do-napoli-n077-do-kt-kinh-chan-gio-size-l-p881838.html?src=category-page-8594.24832.11906&2hi=0,881838,2,Không hài lòng. Màu sắc mũ bảo hiểm nhận được không đúng màu trong ảnh  mũ bảo hiểm mình chọn,2018-04-06 13:18:33,2018-03-17 14:38:52
tiki.vn,https://tiki.vn/non-bao-hiem-1-2-dau-tem-v2-mau-do-napoli-n077-do-kt-kinh-chan-gio-size-l-p881838.html?src=category-page-8594.24832.11906&2hi=0,881838,5,Cực kì hài lòng. Nón đẹp như mong muốn. Giao hàng đúng hẹn và thân thiện. Xin cảm ơn,2017-12-02 10:50:50,2017-11-28 14:07:52
tiki.vn,https://tiki.vn/non-bao-hiem-1-2-dau-tem-v2-mau-do-napoli-n077-do-kt-kinh-chan-gio-size-l-p881838.html?src=category-page-8594.24832.11906&2hi=0,881838,1,"Sai thôgn tin sản phẩm. Tiêu đề 1 kiểu, màu thực tế 1 kiểu khác làm mình đặt nhầm màu, cuối cùng vì đổi trả rắc rối mà giá trị sp ko cao nên cho người khác dùng luôn",2017-12-01 02:01:17,2017-11-17 07:42:07
tiki.vn,https://tiki.vn/mu-bao-hiem-3-4-ntmax-x1-ntmax-vo-den-mo-lot-den-size-l-p809796.html?src=category-page-8594.24832.11906&2hi=0,809796,2,Không hài lòng.. Sản phẩm dán keo không kỉ. Bị tróc keo. Viền khác với hình. Thất vọng,2018-01-31 06:54:44,2018-01-25 09:05:32
tiki.vn,https://tiki.vn/non-bao-hiem-3-4-dau-napoli-mau-trang-n099-kbm-trang-kinh-bay-mau-size-l-p884140.html?src=category-page-8594.24832.11906&2hi=0,884140,2,"Nón chật, đội đau hết cả đầu. Dù giao ở TpHCM nhưng vẫn chậm hơn dự kiến một ngày. Sản phẩm y như hình, đóng gói cẩn thận. Mỗi tội nón chật, đội được 2p là đau hết cả đầu.",2017-10-08 07:37:10,2017-10-03 12:58:39
tiki.vn,https://tiki.vn/mu-bao-hiem-fullface-asia-mt136-size-l-tem-rua-p6085029.html?src=category-page-8594.24832.11906&2hi=0,6085029,2,"Không hài lòng. Mình đã nhận được hàng, sau đó mình kiểm tra thì size trên nón là XL, còn trên đơn hàng là size L, hơi thất vọng về cách kiểm tra đơn hàng của Tiki, trước đây mình đã luôn tin tưởng mua hàng của Tiki, mong nhận được sự phản hồi.",2018-11-12 07:19:16,2018-11-09 10:27:18
tiki.vn,https://tiki.vn/non-bao-hiem-asia-105ka-chinh-hang-p5088891.html?src=category-page-8594.24832.11906&2hi=0,5088891,1,"giao hàng không như hình, đổi trả hàng quá mất thời gian, hơn nửa tháng kể từ ngày yêu cầu đổi vẫn chưa đc. giao hàng không như hình, đổi trả hàng quá mất thời gian, hơn nửa tháng kể từ ngày yêu cầu đổi vẫn chưa đc",2018-11-17 16:33:51,2018-10-28 12:09:17
tiki.vn,https://tiki.vn/non-bao-hiem-asia-105ka-chinh-hang-p5088891.html?src=category-page-8594.24832.11906&2hi=0,5088891,1,Quá tệ. Mũ quá chật với người có vòng đầu bình thường. Kính quá khó để sử dụng. Không đáng đồng tiền.,2018-10-06 07:14:51,2018-10-04 04:45:27
tiki.vn,https://tiki.vn/mu-bao-hiem-napoli-tem-bo-cap-mau-do-n039-red-kt-kinh-trong-size-l-p782889.html?src=category-page-8594.24832.11906&2hi=0,782889,3,"Giao Hàng Hơi Lâu. Mũ về hình thức khá ổn, êm . So với giá tiền thì không có gì để chê . Giao hàng cần xem xét lại nhanh hơn chút nữa ( 7-9 ngày mới có hàng lâu quá)",2018-12-31 08:02:37,2018-12-24 00:22:03
