Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
tiki.vn,https://tiki.vn/du-ca-nhan-tiross-ts1516-p3218623.html?src=category-page-1883.2223&2hi=1,3218623,Tiross,"Ngoài trời, sân vườn",,220.000 ₫,Tiki Trading,," Dù Cá Nhân Tiross TS1516 gồm màu nâu, màu tím nhạt, màu tím đậm, màu đen, có kiểu dáng, màu sắc sang trọng theo phong cách Châu Âu. Với chức năng mở tự động bạn có thể rất thuận tiên khi phải đi ra ngoài vào trời mưa. Khung mạ bằng Nikel. Tay cầm bằng gỗ cao cấp. Dù làm bằng chất liệu cao cấp, không bị thấm nước khi trời mưa. Kích thước sản phẩm nhỏ gọn, tiện dụng để đem theo khi ra ngoài, đi làm, du lịch... ",""""""
tiki.vn,https://tiki.vn/may-phun-rua-ap-luc-cao-karcher-k-3450-tang-bo-dau-cha-va-binh-xit-2-643-033-0-p526597.html?src=category-page-1883.2223&2hi=1,526597,Karcher,"Ngoài trời, sân vườn",,4.549.000 ₫,Tiki Trading,," Máy Phun Rửa Áp Lực Cao Karcher K 3450 có thiết kế dạng súng bắn nước thông minh, di chuyển trên 2 bánh xe, được sản xuất theo tiêu chuẩn cao của Đức. Kèm theo máy là các phụ kiện tiêu chuẩn như: hai bánh xe, súng phun, dây phun cao áp 4 m, đầu phun xoáy giúp loại bỏ bụi bẩn cứng đầu và bộ lọc nước giúp bảo vệ bơm chống lại sự xâm nhập của các hạt bụi bẩn. Bánh xe vận hành nhẹ nhàng, ngăn phụ kiện ống tiện lợi trên máy và súng kích hoạt được thiết kế giúp vận hành dễ dàng. Đặc điểm nổi bật: Móc cáp rộng cho phép xếp gọn dây cáp trực tiếp trên thiết bị Toàn bộ các thiết bị máy phun rửa cao áp Karcher đều tích hợp chức năng hút chất tẩy rửa Thiết bị kèm theo gồm: Đầu phun xoáy Ống áp lực cao, 6m Kết nối chất tẩy rửa, bình chứa Bộ lọc nước tích hợp màng lưới mịn Đầu nối ống tưới vườn A3/4'' Hiệu suất làm việc: Diện tích làm sạch: 20m2/h Áp lực làm việc: 120 bar Lưu lượng nước: 420 l/h Công suất: 1700W Hướng dẫn sử dụng: Lối đi lát gạch bị bám rêu: Giữ cho tia nước chứa áp lực theo phương thẳng đứng với bề mặt gạch lót và từ từ làm sạch từ một góc của khu vực phủ đầy rêu đến nơi khác với khoảng cách chừng 20 đến 30 cm. Xe cộ: loại bỏ chất bẩn thô với tia nước cao áp, sau đó phun chất tẩy rửa Karcher lên lưới tản nhiệt và kính chắn gió; phun chất tẩy rửa chuyên dụng lên vành bánh xe; phủ lên xe chất tẩy rửa hoặc bọt xà phòng đặc biệt với chất rửa xe Karcher và tiếp tục làm việc; quét chiếc xe của bạn với bàn chải điện từ trên xuống dưới để tối ưu hóa công dụng của chất tẩy rửa. Sân thượng: Thiết bị chà sàn T-Racer của Karcher đảm bảo kết quả làm sạch tối ưu với thao tác nhẹ nhàng, thậm chí trên những khu vực rộng lớn. Sự kết hợp sáng tạo của các cánh quạt điều chỉnh được độ cao và hai vòi phun cao áp tạo ra một hiệu ứng như thủy phi cơ cho phép T-Racer lơ lửng trên mặt đất. Lớp bảo vệ tích hợp che chắn các cánh quạt và vòi phun cao áp khỏi hư hỏng do những viên đá nhỏ. Thiết bị này mang lại một hiệu suất làm sạch cao hơn và kết quả làm sạch đồng nhất. Các vỏ ngăn bùn bắn, do đó đảm bảo cho bạn và tường tránh bị văng bẩn khi đang vận hành thiết bị. Máy móc làm vườn: bụi đất có thể bị loại bỏ một cách hiệu quả khỏi cây cối và chậu hoa, mai, xẻng, cào, xe cút kít, v.v... khi sử dụng máy phun rửa áp lực cao Karcher. Với các phụ kiện cao cấp như vòi phun tùy chỉnh áp lực - Vario Power và vòi phun đa chức năng - Multi Power kết hợp của máy phun rửa áp lực cao, công việc dọn vệ sinh sân vườn sẽ trở nên thú vị và dễ dàng hơn bao giờ hết! Đồ đạc & nội thất trong vườn: Dễ dàng tẩy sạch các vết bẩn cứng đầu bám lâu ngày do ô nhiễm không khí hoặc ảnh hưởng của mùa đông trước đó - khi sử dụng máy phun rửa áp lực cao kết hợp phụ kiện vệ sinh sân vườn cao cấp. Bàn chải chuyên dùng và chất tẩy rửa Kärcher được khuyên dùng để lám sạch các bụi bẩn cứng đầu nhất. Cửa chớp: Trước khi vệ sinh, đóng cửa chớp. Cài đặt áp lực phun ở mức thấp và tiến hành phun chất tẩy rửa. Bắt đầu ở phần thấp nhất của cửa chớp. Hãy để các chất tẩy rửa làm việc trong một vài phút để các chất bẩn bong ra hoàn toàn. Loại bỏ các bụi bẩn hòa tan với bàn chải và cuối cùng rửa lại bằng tia cao áp. ",""""""
tiki.vn,https://tiki.vn/ao-mua-canh-doi-vai-du-linh-cao-cap-1m4-p3149827.html?src=category-page-1883.2223&2hi=0,3149827,OEM,"Ngoài trời, sân vườn",Áo mưa cánh dơi vải dù lính cao cấp 1m4,138.000 ₫,Chất,," Điểm nổi bật: - Áo mưa cánh dơi vải dù họa tiết lính 1m4 là sản phẩm vô cùng cần thiết và hữu ích, khiến bạn thoải mái ra phố mà không cần e ngại những cơn mưa bất chợt. Đây là vật dụng cần phải có trong cốp xe bạn vào mùa mưa. - Chất liệu vải dù bền đẹp, chống thấm nước hiệu quả, nhanh khô, dễ dàng gấp gọn, có thiết kế áo trùm kèm mũ dây rút kín đáo, gọn gàng, không gây vướng víu, cản trở khi điểu khiển xe máy, đồng thời che chắn tốt, bảo vệ bạn khỏi bùn đất, nước mưa. - Thiết kế cánh dơi tà rộng có thể sử dụng cho một người hay hai người khi đi xe máy, hoặc dùng để trùm cả balô, là vật dụng cực hữu ích khi đi dã ngoại. Họa tiết quân đội hết sức cá tính, mạnh mẽ, màu sắc hiện đại, phong cách. Thông tin sản phẩm: - Tên sản phẩm: Áo mưa cánh dơi vải dù họa tiết lính 1m4 - Chất liệu: Vải dù - Xuất xứ: Việt Nam - Trọng lượng: 700 gram - Size: 1m4 ",""""""
tiki.vn,https://tiki.vn/may-bom-bong-bong-p2255961.html?src=category-page-1883.2223&2hi=0,2255961,OEM,"Ngoài trời, sân vườn",Máy Bơm Bong Bóng,251.000 ₫,7giftshop,," Thông số kỹ thuật: Công suất: 600w Màu sắc: Hồng Hai vòi chính để bơm bóng Hai vòi phụ là phụ kiện để gắn vào vòi lớn để bơm bóng cỡ nhỏ Công tắc: On/Off. Quan trọng: Nguồn điện sử dụng: là dòng điện xoay chiều 220V – 240V Không nên sử dụng liên tục máy bơm quá 2 tiếng ( làm máy bơm quá nóng và dễ gây hư hỏng máy bơm) Tránh xa tầm tay trẻ em Nên để máy ở nơi thông thoáng, không bít kín các cổng thông gió và vòi bơm. Chú ý: Luôn chú ý giám sát khi bơm được sử dụng Không đặt hay sử dụng bơm ở những nơi ẩm ướt Không để cát, đá nhỏ bị hút vào vòi bơm và cổng thông gió khi sử dụng bơm Không để mắt trước vòi bơm của máy Không để tay hay ngón tay bịt kín các vòi bơm cũng như cổng thông gió Hướng dẫn sử dụng: Cắm dây cắm vào ổ điện Để cuống quả bóng vào vòi bơm, nhấn để bơm và nhả ra khi muốn dừng lại Để bơm liên tục, các bạn bật công tắc ON và để dừng lại, các bạn bật công tắc OFF Ghi chú: – Ký hiệu “-” trên công tắc: ON ; ký hiệu “O” trên công tắc: OFF – Các bạn nên bơm 2 quả một lần bằng cách nhấn vào vòi bơm, không nên sử dụng cách bơm liên tục vì dễ làm giảm tuổi thọ của máy. ",""""""
tiki.vn,https://tiki.vn/o-du-che-nang-che-mua-chong-tia-uv-giao-mau-ngau-nhien-p7097695.html?src=category-page-1883.2223&2hi=0,7097695,OEM,"Ngoài trời, sân vườn","Ô dù che nắng, che mưa chống tia UV ( Giao Màu Ngẫu Nhiên )",235.000 ₫,Shop Táo Vàng,, ,""""""
tiki.vn,https://tiki.vn/voi-phun-xit-da-nang-yakyo-15m-p2154115.html?src=category-page-1883.2223&2hi=0,2154115,Yakyo,"Ngoài trời, sân vườn",Vòi phun - xịt đa năng Yakyo 15M,1.372.000 ₫,Yakyo Việt Nam,," Điểm nổi bật -Vòi tưới đa năng với 09 chế độ phun xịt dễ dàng điều chỉnh. Vòi tưới còn có van điều chỉnh lưu lượng nước. - Vòi xịt nước tự động đa năng giúp nước được tưới đều từ rễ tới ngọn giúp cây giàu sức sống và trở nên xanh mướt hơn. - Dùng để rửa xe, tưới cây, vệ sinh nhà cửa. - Đầu vòi phun nước điều chỉnh được mức nước phun ra phù hợp cho từng mục đích sử dụng. - Thuận tiện trong việc di chuyển. - Là sản phẩm không thể thiếu cho mỗi gia đình. So với các loại vòi và ống nước thông thường, lượng nước xả của Vòi xịt tự động đều nên bạn có thể tận dụng hết lượng nước được xả, giúp tiết kiệm nước ở mức tối đa. Trong mỗi hộ gia đình có điều kiện về không gian thường lựa chọn những chậu cây cảnh như vật trang trí cho gần gũi với thiên nhiên. Ưu điểm vượt trội giúp cho việc rửa xe, tưới sân vườn, vệ sinh nhà cửa,… trở nên dễ dàng và tiện lợi hơn bao giờ hết. Chất liệu nhẹ và bền bỉ Với chất liệu bền và siêu nhẹ có độ co giãn cao, chịu được áp lực nước cao gấp 3 lần so với các sản phẩm khác, Bên trong được làm bằng cao su dẻo dai có khả năng giãn nở. chịu được va đập từ bên ngoài mà không làm cho sản phẩm bị hư hại. Sản phẩm còn có độ bền cao với vỏ nhựa ABS bên ngoài siêu bền chống chịu được các thời tiết khắc nghiệt ở nước ta, từ đó giúp sản phẩm sử dụng lâu dài, giúp bạn tiết kiệm chi phí khi lựa chọn sản phẩm. Vòi phun đa năng TP – B02 -15M có thiết kế nhỏ gọn giúp tiết kiệm không gian trong ngôi nhà của bạn cùng màu sắc bắt mắt sẽ tạo cho người sử dụng cảm giác thân thiện với môi trường, đây chắc chắn là một sản phẩm tiện ích rất đáng để bạn tin dùng. Vệ sinh nhà cửa, tưới cây, rửa xe, những việc làm tưởng chừng đơn giản nhưng lại chiếm khá nhiều thời gian và công sức của bạn. Bạn có thể thuê người làm hoặc sử dụng dịch vụ bên ngoài. Nhưng việc tự tay mình cùng gia đình chăm sóc cho các vật dụng trong ngôi nhà thân yêu làm bạn cảm thấy ý nghĩa và gần gũi với gia đình hơn. Chăm sóc cây cảnh, dọn dẹp nhà cửa, nấu nướng và rửa những chiếc xe sạch sẽ luôn là những công việc không thể thiếu mỗi dịp cuối tuần của gia đình bạn? Chiếc Vòi phun nước đa năng sẽ giúp bạn giải quyết một phần không nhỏ những công việc này. Mua vòi phun nước đa năng ở đâu? Giá tốt mua vòi phun nước đa năng ở đâu? vòi phun nước tưới cây ở hcm? voi phun nuoc tang ap ở đâu? mua voi phun nuoc tuoi rau ở đâu? voi phun nuoc ap suat cao mua ở đâu? ở đâu bán vòi phun nước áp lực? muốn mua voi phun nuoc cao ap thì mua ở đâu? vòi phun nước bể cảnh mua ở đâu? bán vòi phun nước cao áp? vòi phun nước đa năng dùng có tốt không? bán vòi phun nước đa năng tai ha noi? dây + vòi phun nước đa năng ở đau bán? vòi phun nước co giãn có bền không? vòi phun nước giãn nở dùng có tốt không? mua voi phun nuoc gia re o dau? mua vòi phun nước hà nội? hcm mua vòi phun nước giãn nở ở đâu? voi phun nuoc tu dong co gian o dau ba ria vung tau? vòi phun nước rửa xe mua ở đâu? voi phun nuoc san vuon hn? vòi phun nước tưới cỏ mua ở đâu? voi phun nuoc tieu canh? vòi phun nước yakyo có tốt không?… Đó là một số câu hỏi thường gặp mà rất nhiều khách hàng bắt đầu sử dụng đều thắc mắc. Nhưng bạn hoàn toàn yên tâm về sản phẩm của chúng tôi. ",""""""
tiki.vn,https://tiki.vn/du-ca-nhan-tiross-ts1518-hoa-tiet-p3442245.html?src=category-page-1883.2223&2hi=1,3442245,Tiross,"Ngoài trời, sân vườn",,234.000 ₫,Tiki Trading,," Dù Cá Nhân Tiross TS1518 Họa Tiết gồm màu tím, màu đen, màu hồng, có kiểu dáng, họa tiết chấm bi và sao sang trọng theo phong cách Châu Âu. Với chức năng mở tự động bạn có thể rất thuận tiên khi phải đi ra ngoài vào trời mưa. Khung mạ inox. Tay cầm bằng gỗ cao cấp. Dù làm bằng chất liệu cao cấp, không bị thấm nước khi trời mưa. Kích thước sản phẩm nhỏ gọn, tiện dụng để đem theo khi ra ngoài, đi làm, du lịch... ",""""""
tiki.vn,https://tiki.vn/binh-xit-phun-suong-tuoi-nuoc-dudaco-202-2l-p1685937.html?src=category-page-1883.2223&2hi=0,1685937,Dudaco,"Ngoài trời, sân vườn",Bình Xịt Phun Sương Tưới Nước Dudaco 202 (2L),68.800 ₫,Hoàng Lâm Phong Thủy,," Bình Xịt Phun Sương Tưới Nước Dudaco 202 có béc phun bằng nhựa cao cấp được sản xuất bằng công nghệ tự động, có thể điều chỉnh phun xòe, phún tia xa rất tiện lợi. Sản phẩm có ron phốt cao su không bị ảnh hưởng bởi hoá chất và lò xo bằng thép cứng gia nhiệt, độ đàn hồi cao. Vỏ làm bằng chất liệu nhựa cao cấp, chịu lực tốt, không dễ nứt vỡ khi có va chạm trong quá trình sử dụng. Chất liệu này không chứa các hóa chất gây hại, đảm bảo an toàn cho sức khỏe người dùng. Đặc biệt, nhờ được làm bằng chất liệu nhựa nền có tính năng chống bám bẩn cao, giúp bạn dễ dàng chùi rửa và vệ sinh sản phẩm sau mỗi lần sử dụng, bạn cũng có thể dùng với cần phun nối dài. Bình phun có kích thước nhỏ gọn, bạn có thể dùng để tưới cây treo trước hành lang, các loại cây, hoa có thân leo đều được. Sản phẩm với màu sắc tươi sáng, là dụng cụ cần thiết không thể thiếu với những bạn yêu thích nghệ thuật trồng và chăm sóc cây cảnh. ",""""""
tiki.vn,https://tiki.vn/vitamin-b1-chuyen-ki-ch-ra-re-va-hoa-cho-cay-canh-va-phong-lan-chai-250ml-p6405645.html?src=category-page-1883.2223&2hi=0,6405645,OEM,"Ngoài trời, sân vườn",Vitamin B1 chuyên kích ra rễ và hoa cho cây cảnh và phong lan (chai 250ml),69.000 ₫,mầm Xanh,," Thành phần: Vitamin B1: 2.500ppm; N: 20%; P 2 O 5 : 20%; K 2 O: 15%; Ca: 200ppm; Fe: 400ppm; Mn: 450ppm; Zn: 350ppm; Cu: 300ppm; Mg: 200ppm; B: 200ppm; Mo: 10ppm; Co: 5ppm. pH: 6-7; Tỷ trọng: 1,46 Công dụng: - Ra rễ mạnh, tạo bộ rễ tốt với nhiều rễ mập mạp, hút được nhiều dưỡng chất. - Nảy nhiều chồi, chồi mập mạnh, lá xanh tốt. - Phát hoa dài, hoa to, màu sắc đẹp, lấu tàn. Cách dùng: Pha 8-10ml cho bình 8 lít nước. - Phun đều lên trên và dưới mặt dưới lá, phun vào rễ và các giá thể. Phun định kỳ 5-7 ngày 1 lần. - Riêng với các loại Hoa kiểng, pha 8-10ml cho 1 bình xịt 8 lít nước. Phun định kỳ 15 ngày/lần. Lưu ý: Lắc đều trước khi dùng. Phun sáng sớm hoặc chiều mát. Có thể pha chung với thuốc trừ sâu. Bảo quản nơi khô mát. Để xa tầm tay trẻ em. Không để lẫn với thực phẩm và thức ăn gia súc. Ngưng phun trước khi thu hoạch 7 ngày. Quy cách đóng gói: 250ml/chai ",""""""
tiki.vn,https://tiki.vn/dong-ho-ap-luc-nuoc-loai-5-kg-cm2-p5439665.html?src=category-page-1883.2223&2hi=0,5439665,OEM,"Ngoài trời, sân vườn",Đồng hồ áp lực nước loại 5 kg / cm2,97.000 ₫,CỬA HÀNG BÉC TƯỚI,," Đường kính mặt đồng hồ: 63 mm = 2,5"" Áp lực tối đa: 5 kg / cm2 = 4,9 bar = 72,5 PSI Chân nối ren ngoài 13 mm = 1/4"" Kiểu kết nối: Chân đứng Độ chính xác: +/- 1.6% Vỏ thép sơn tĩnh điện màu đen Kèm theo nối cà rá bằng đồng ren ngoài 21 mm và ren trong 13 mm Là thiết bị không thể thiếu trong hệ thống nước, dùng để kiểm tra hệ thống nước có đủ áp hay có bị rò rỉ thất thoát nước hay không. ",""""""
