Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
tiki.vn,https://tiki.vn/giuong-don-kent-go-soi-ibie-p2635785.html?src=category-page-1883.2150&2hi=0,2635785,IBIE,Nội thất,Giường Đơn Kent Gỗ Sồi IBIE,6.990.000 ₫,IBIE Furniture,," Giường Đơn Kent Gỗ Sồi IBIE mang phong cách Vintage, đặc trưng bởi những đường cạnh mạnh mẽ, những đôi chân bằng gỗ thịt chắc khỏe. Giường được làm từ gỗ sồi trắng Mỹ cao cấp nhập khẩu, sơn phủ PU kỹ càng, bóng đẹp. Kết cấu bát thép chắc chắn, sử dụng lâu bền. Là một trong những thiết kế mang đậm tính truyền thống, giường gỗ sồi Kent đơn đặc trưng bởi những đường cạnh cong và thẳng mạnh mẽ, những đôi chân bằng gỗ thịt chắc khỏe. Sẽ là hoàn hảo khi đặt chiếc giường này trong những phòng ngủ mang hơi hướng Vintage bởi tính thực dụng và thẩm mỹ của nó. Giường được làm từ gỗ sồi trắng Mỹ cao cấp nhập khẩu, đã qua xử lý chống cong vênh mối mọt và sơn phủ PU kỹ càng, bóng đẹp. Các thành phần kết cấu bằng bát thép chắc chắn và dễ dàng lắp đặt. Bộ nan giường di động được nâng đỡ bởi những thanh sắt hộp vô cùng vững chắc, không sợ rung lắc hay kêu cọt kẹt trong suốt quá trình sử dụng. ",""""""
tiki.vn,https://tiki.vn/tu-sach-cao-seychelles-go-soi-ibie-osbtseyo-trang-100-x-35-cm-p6880049.html?src=category-page-1883.2150&2hi=0,6880049,IBIE,Nội thất,Tủ Sách Cao Seychelles Gỗ Sồi Ibie OSBTSEYO - Trắng (100 x 35 cm),8.990.000 ₫,IBIE Furniture,," Tủ Sách Cao Seychelles Gỗ Sồi Ibie OSBTSEYO - Trắng (100 x 35 cm) được sơn màu trắng xám thanh lịch và đẹp mắt với chi tiết bắt chéo ấn tượng ở hai mặt bên. Đồng thời, đây cũng là thiết kế tiêu biểu thuộc bộ sưu tập Seychelles của chúng tôi, được làm từ chất liệu gỗ sồi trắng Mỹ đạt chất lượng tốt nhất. Các mặt kệ dày dặn, có khả năng chịu lực cực tốt, không bị cong vênh hay nứt gãy theo thời gian. Bên dưới là ngăn kéo rộng rãi, được chế tác thủ công áp dụng kỹ thuật ghép nối truyền thống góp phần nâng cao chất lượng của sản phẩm. ",""""""
tiki.vn,https://tiki.vn/ban-an-seychelles-go-soi-ibie-dteseyo-trang-p6879963.html?src=category-page-1883.2150&2hi=0,6879963,IBIE,Nội thất,Bàn Ăn Seychelles Gỗ Sồi Ibie DTESEYO - Trắng,5.190.000 ₫,IBIE Furniture,," Bàn Ăn Seychelles Gỗ Sồi Ibie DTESEYO - Trắng mang kiểu dáng thanh lịch, với màu nâu tự nhiên ở mặt bàn, kết hợp hài hòa màu sơn trắng xám tuyệt đẹp ở bốn chân mang lại cảm giác sang trọng cho phòng ăn của gia đình. Được làm từ chất liệu gỗ sồi trắng Mỹ nhập khẩu, đạt chất lượng tốt nhất, thể hiện ở bốn chân bàn chắc chắn, vững chãi. Thiết kế mang đặc trưng của bộ sưu tập Seychelles hiện đại, chắc hẳn sẽ làm hài lòng sự lựa chọn những đồ nội thất trong ngôi nhà của bạn. ",""""""
tiki.vn,https://tiki.vn/tu-chen-thap-st-ives-loai-nho-go-soi-ibie-dscssstio-xam-100-x-42-cm-p6879805.html?src=category-page-1883.2150&2hi=0,6879805,IBIE,Nội thất,Tủ Chén Thấp St.Ives Loại Nhỏ Gỗ Sồi Ibie DSCSSSTIO - Xám (100 x 42 cm),6.290.000 ₫,IBIE Furniture,," Tủ Chén Thấp St.Ives Loại Nhỏ Gỗ Sồi Ibie DSCSSSTIO - Xám (100 x 42 cm) là chiếc tủ đa năng phù hợp với bất kì căn phòng nào từ nhà ăn, đến phòng khách và phòng ngủ. Có rất nhiều kho lưu trữ được cung cấp ở hai ngăn tủ cánh và hai ngăn kéo rộng rãi. Tủ sẽ là nơi cất giữ những chiếc khăn trải bàn và đồ dùng bếp núc như giá, đũa, chén… sẵn sàng để phục vụ cho bữa ăn, hoặc có thể dùng để lưu giữ đồ chơi và các vật dụng khác được tổ chức trong phòng khách. Thiết kế với các kết cấu ghép mộng cực kì chính xác và từ chất liệu gỗ sồi trắng Mỹ nhập khẩu cao cấp góp phần nâng cao chất lượng và độ bền theo thời gian. Các sản phẩm thuộc bộ sưu tập St Ives được thiết kế phù hợp, mang đặc trưng riêng với lớp sơn màu xám nhẹ nhàng. Kết hợp hài hòa tương phản với màu nâu tự nhiên và màu bạc của tay cầm kim loại tạo cảm giác thanh lịch và hiện đại cho ngôi nhà. ",""""""
tiki.vn,https://tiki.vn/bo-ke-3-thanh-ngang-kego-kg21-40-50-60-cm-xanh-la-p719838.html?src=category-page-1883.2150&2hi=1,719838,KEGO,Nội thất,,199.000 ₫,Kệ Gỗ Trang Trí KEGO,," Bộ Kệ 3 Thanh Ngang KEGO KG21 được thiết kế với kiểu dáng hiện đại, đơn giản nhưng vẫn trẻ trung và sang trọng. Thiết kế mặt kệ hình chữ nhật, bạn sẽ dễ dàng đặt bộ kệ ở mọi góc của căn phòng mà bạn thích. Bộ Kệ 3 Thanh Ngang KEGO KG21 được dùng để trưng bày các vật dụng trang trí, tải trọng tối đa của sản phẩm lên đến 4kg. Với khả năng chịu được lực và vật nặng tốt, bạn có thể dễ dàng sắp xếp vật dụng trong nhà mà không phải quá lo lắng bị rơi vỡ đồ đạc. Được thiết kế gồm 3 thanh với kích thước từ nhỏ đến lớn, bạn có thể biến những thanh ngang thành kệ sách, kệ để nhà bếp hay kệ bày trang trí phòng khách. Ngoài ra bạn còn có thể sắp xếp các thanh gỗ lại theo những vị trí khác nhau, góp phần tạo nên sự độc đáo mới lạ cho ngôi nhà của bạn. Sản phẩm được làm từ chất liệu MDF Loại A, cùng với loại sơn phủ bóng giúp cho sản phẩm thêm đẹp, góp phần tô điểm góc nhà bạn. Nhờ vào thiết kế đơn giản, bạn có thể thỏa sức sáng tạo của bản thân theo ý thích cho căn phòng thêm sinh động. ",""""""
tiki.vn,https://tiki.vn/ban-cafe-ngoai-troi-mat-da-tron-p7640412.html?src=category-page-1883.2150&2hi=0,7640412,OEM,Nội thất,Bàn cafe ngoài trời mặt đá tròn,4.000.000 ₫,Vườn An Nam,," Bàn cafe ngoài trời mặt đá tròn BGCTD: Chất liệu: sơn nhôm sơn tĩnh điện, mặt đá hoa cương Chân bàn làm từ vật liệu nhôm đúc; có thể tháo rời từng bộ phận khi vận chuyển Mặt bàn bằng đá hoa cương trắng rất bền khi sử dụng ngoài trời Trọng lượng bàn: 35kg Kích thước: L700 x W700 x H730 Bạn có thể dễ dàng kết hợp mẫu bàn này với nhiều loại ghế khác nhau ",""""""
tiki.vn,https://tiki.vn/rem-cua-nhat-ban-myu-dai-140-x-ngang-150cm-p3639605.html?src=category-page-1883.2150&2hi=1,3639605,ODA,Nội thất,,259.000 ₫,ODA CURTAIN,," Rèm Cửa Nhật Bản Myu với họa tiết caro, tông màu trắng đục mang đến sự mộc mạc, tao nhã. Được may bằng 100% polyester bền đẹp, dày chắc. Chất liệu vải chống nhăn tốt, chống kéo giãn và không bị phai màu khi giặt, cho thời gian sử dụng lâu dài. Không cho ánh nắng tràn vào phòng tạo cảm giác mát mẻ, dễ chịu. Từ bên ngoài sẽ không thể thấy được bên trong phòng bạn tăng tính riêng tư thoải mái. Sở hữu thiết kế tinh tế theo với các đường may tỉ mỉ, góp phần tô điểm cho không gian sống thêm sang trọng, thanh lịch. Cắt tia UV 89%: Ngăn không cho tia UV tiếp xúc và gây hại cho da. Chặn Nhiệt > 50%: Chặn nhiệt nóng bên ngoài tràn vào phòng và ngăn nhiệt lạnh trong phòng thoát ra ngoài giúp tiết kiệm điện năng của máy điều hòa. Móc treo điều chỉnh độ cao (adjust hook): Có thể điều chỉnh độ cao lên xuống 5cm giúp phù hợp hơn với khung cửa nhà bạn. ",""""""
tiki.vn,https://tiki.vn/ghe-nhan-vien-f049c-xam-p6838013.html?src=category-page-1883.2150&2hi=0,6838013,OEM,Nội thất,Ghế Nhân Viên F049C (Xám),690.000 ₫,FINE FURNITURE,," Ghế Fine đã được khách hàng tin dùng vì uy tín và chất lượng sản phẩm. Fine cung cấp đủ các loại GHẾ VĂN PHÒNG cho phòng giám đốc, ghế trưởng phòng, ghế nhân viên, ghế phòng họp, ghế phòng chờ, ghế phòng game – Internet, ghế quầy bar và các loại ghế phục vụ nhu cầu khác. Chất liệu: Khung ghế bằng hợp kim và nhựa PP cao cấp. Sản phẩm đa dạng sẽ là thiên đường để các bạn chọn được sản phẩm ưng ý. ĐẶC ĐIỂM + Lưng vuông 2 trong 1, bọc vải bố chuyên dùng. + Tay ghế cánh én được làm từ nhựa pp đen bóng rất đẹp. + Người ngồi có thể dễ dàng thay đổi độ cao ghế bằng cách nhấc nhẹ cần gạt bên tay phải. + Chân ghế dành cho nhân viên được ép tự nhựa pp đen, có bánh xe để người sử dụng có thể di chuyển linh hoạt. + Có thể tháo ráp tay, hoặc thay đổi phụ kiện ghế, tùy sở thích của bạn. + Kích thước (cm): W49 x D53 x R100 Cam kết: - Giao hàng chính hãng và lắp ráp tận nhà với đội ngủ nhân viên lành nghề - Dịch vụ sau bán hàng tốt, giải quyết mọi thắc mắc trong 3 ngày làm việc. Xuất xứ : Fine Home Furniture Việt Nam. Bảo hành: 12 tháng lỗi kỹ thuật (lỗi sản xuất) ",""""""
tiki.vn,https://tiki.vn/sofa-vai-chu-l-goc-phai-juno-randolph-326-x-171-x-63-cm-xam-p9147728.html?src=category-page-1883.2150&2hi=0,9147728,Juno Sofa,Nội thất,Sofa Vải Chữ L Góc Phải Juno Randolph 326 x 171 x 63 cm (Xám),34.950.000 ₫,juno sofa,," Chất liệu vải và nệm mút cao cấp Sofa vải chữ L góc phải Juno Randolph 326 x 171 x 63 cm được bọc vải bền đẹp, dày chắc. Chất liệu vải mềm cùng nệm mút D40 có độ cứng và đàn hồi vừa phải, mang đến cảm giác êm ái, thoải mái khi ngồi. Phần khung được làm bằng gỗ cứng chắc, bền đẹp. Chất liệu gỗ đã trải qua quá trình xử lý chống ẩm mốc, mối mọt, không bị biến dạng, cong vênh trong quá trình sử dụng. Chất liệu bền đẹp, nệm ngồi êm ái Cấu tạo chắc chắn, an toàn Sản phẩm sở hữu kiểu dáng hiện đại và tiện ích với mặt ghế rộng rãi nên bạn có thể ngồi duỗi chân hay nằm đều được. Chân sofa chống trượt và chịu được trọng lượng lớn, đảm bảo an toàn khi ngồi. Khả năng cân bằng và ổn định tốt giúp ghế đứng vững trên các mặt phẳng, không bị chông chênh, rung lắc. Sofa có lưng tựa dày để bạn thoải mái nghỉ ngơi sau những giờ làm việc căng thẳng hoặc khi đọc sách, xem tivi thư giãn. Thiết kế sang trọng Sản xuất theo công nghệ hiện đại Sofa vải chữ L góc phải Juno Randolph 326 x 171 x 63 cm được sản xuất tại Việt Nam theo công nghệ hiện đại. Sản phẩm sở hữu thiết kế tinh tế với màu sắc thanh lịch, góp phần mang đến phong cách sang trọng, hiện đại cho không gian sống của bạn. Sản phẩm phù hợp với nhiều không gian nội thất khác nhau như: phòng khách, phòng ngủ, văn phòng làm việc, sảnh chờ công ty, nhà hàng, khách sạn, quán cà phê Phù hợp với nhiều không gian nội thất khác nhau ",""""""
tiki.vn,https://tiki.vn/sofa-ni-don-juno-v9-sf02-v1-90-x-80-x-90-cm-xanh-ghi-p9147457.html?src=category-page-1883.2150&2hi=0,9147457,Juno Sofa,Nội thất,Sofa Nỉ Đơn Juno V9.SF02/V1 90 x 80 x 90 cm (Xanh ghi),3.500.000 ₫,juno sofa,," Khung ghế cấu tạo bằng gỗ chất lượng cao Sofa nỉ đơn Juno V9.SF02/V1 90 x 80 x 90 cm (Xanh ghi) với phần khung được làm bằng chất liệu gỗ cứng cáp, chắc chắn, có khả năng chịu lực tốt, không bị cong vênh hay hư hỏng khi sử dụng. Chất liệu gỗ chất lượng đã trải qua quá trình xử lý chống ẩm mốc, mối mọt, do đó đảm bảo độ bền lâu dài theo thời gian. Chân ghế vững chắc, đệm ngồi êm ái dễ chịu Sản phẩm thuộc dòng ghế sofa 1 chỗ với mặt ngồi và lưng tựa rộng rãi kết hợp cùng tay vịn vừa tầm, góp phần mang đến sự thoải mái và dễ chịu tối đa cho người ngồi. Chân ghế bằng gỗ được thiết kế với kết cấu chắc chắn, giúp ghế đứng được vững chãi hơn, hạn chế tối đa tình trạng rung lắc hay ngã đổ trong quá trình sử dụng Phù hợp với nhiều phong cách nội thất khác nhau Sofa nỉ đơn V9.SF03/V1 90 x 80 x 80 cm (Xanh rêu) được thiết kế gọn gàng, tinh tế, phù hợp với nhiều không gian nội thất khác nhau như: phòng khách, phòng ngủ, văn phòng làm việc, sảnh chờ công ty, nhà hàng, khách sạn, quán cà phê góp phần mang đến phong cách sang trọng, hiện đại cho không gian sống của bạn. ",""""""
