Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
tiki.vn,https://tiki.vn/bom-dap-chan-da-nang-o-to-xe-may-2-xi-lanh-p2039363.html?src=category-page-8594.24832.6045&2hi=1,2039363,Honor,"Phụ kiện, Phụ tùng ô tô",Bơm đạp chân đa năng ô tô xe máy 2 xi lanh,249.000 ₫,KOTACAVN,," ĐẶC ĐIỂM NỔI BẬT An toàn khi bơm bơm chân đa năng 2 xilanh được thiết kế vỏ bọc cao su tại chân đế bơm, giúp tăng khả năng ma sát, đảm bảo an toàn tuyệt đối mỗi khi bơm, không những thế nó còn giúp giảm sức lực trong quá trình bơm. Bơm rất dễ sử dụng, có độ bền cao, bạn có thể gấp gọn gàng mang theo một cách dễ dàng và thuận tiện, cho bạn cảm giác yên tâm trên mọi nẻo đường. Đồng hồ đo áp suất chính xác Ngoài ra, đồng hồ đo áp suất được trang bị theo bơm có độ chính xác cao, giúp bạn xác định lượng hơi có trong lốp để bơm an toàn hơn và chính xác hơn; thông thường lượng hơi trong lốp là 2.4 Bar. Với nút xả được bố trí trên bơm,bạn có thể xả hơi ra một cách dễ dàng khi bạn lỡ tay bơm căng quá. Bơm đa năng bơm chân đa năng 2 xilanh còn có kèm theo một vài van bơm, bạn có thể bơm lốp xe máy, xe đạp, bóng, xuồng, ca nô… rất tiện dụng THÔNG TIN SẢN PHẨM - Hai xi lanh giúp bơm khỏe hơn - Độ dày xi lanh: 1mm - Ống khí TPU - Chất liệu: ABS; khung thép ",""""""
tiki.vn,https://tiki.vn/bo-2-guong-cau-loi-360-do-gan-guong-chieu-hau-o-to-xe-hoi-p3499371.html?src=category-page-8594.24832.6045&2hi=0,3499371,OEM,"Phụ kiện, Phụ tùng ô tô","Bộ 2 Gương Cầu Lồi 360 Độ Gắn Gương Chiếu Hậu Ô Tô, Xe hơi",89.000 ₫,YEBISU VIET NAM,," Bộ 2 Gương Cầu Lồi 360 Độ Gắn Gương Chiếu Hậu Ô Tô, Xe hơi Bộ 2 Gương Cầu Lồi 360 Độ Gắn Gương Chiếu Hậu Ô Tô, Xe hơi . Gương chiếu hậu có sẵn trên xe, tầm nhìn hẹp, hạn chế lái xe quan sát. Lắp thêm gương cầu lồi loại nhỏ giúp lái xe mở rộng tầm nhìn, tạo tâm lý tự tin hơn khi lái. Thông tin sản phẩm Tên Sản Phẩm : Bộ 2 gương cầu lồi xóa điểm mù xe ô tô, xe hơi Màu Sắc: Bạc sang trọng Kích Thước : đường kính 50mm Chất liệu : Nhựa kế hợp thủy tinh cao cấp Đặc điểm nổi bật Gương cầu lồi có khả năng xóa bỏ những điểm mù mà gương chiếu hậu ô tô không bao quát được hết Gương cầu lồi ô tô gắn trên đế khớp cầu có thể điều chỉnh xoay đổi góc nghiêng 360 độ cho phù hợp với mục đích quan sát. Có gương cầu lồi thì sẽ tiện lợi giúp quan sát được góc rộng xóa điểm mù, và gương chính sẽ không cần phải thay đổi nhiều. Tiện lợi khi quan sát được bánh sau khi lùi xe. Gương cầu lồi được gắn lên gương chiếu hậu ô tô bằng chất liệu dính chắc chắn, nhanh chóng. Vật liệu thủy tinh tráng gương bạc chịu được nhiệt độ thời tiết môi trường ",""""""
tiki.vn,https://tiki.vn/bo-2-guong-phu-cau-loi-gan-guong-chieu-hau-chuyen-dung-cho-xe-o-to-4-5-cho-den-p2902831.html?src=category-page-8594.24832.6045&2hi=1,2902831,OEM,"Phụ kiện, Phụ tùng ô tô",Bộ 2 Gương Phụ Cầu Lồi Gắn Gương Chiếu Hậu Chuyên Dụng Cho Xe Ô Tô 4 - 5 Chỗ (Đen),34.000 ₫,Carsun USA,," Thông tin sản phẩm Tên sản phẩm : Bộ 2 gương phụ gắn gương chiếu hậu xe ô tô (cho xe 4-5 chỗ) Thành phần : Kính quang học , nhựa PVC Màu sắc: Trắng , Đen Đường kính : 4 (cm) Trọng lượng: 100(g) Cách lắp : Lột giấy ở miếng dính của gương rồi dán vào góc kính chiếu hậu là xong Xuất xứ: Hồng Kông - Trung Quốc Gương chiếu hậu là loại gương được gắn trên xe hơi nói chung và trên một số phương tiện giao thông khác. Đây là loại gương được thiết kế để cho phép người lái xe có thể quan sát phía sau, đảm bảo an toàn khi điều khiển. Hiện nay, để nâng cao độ an toàn cho tài xế, các nhà sản xuất đã thiết kế ra gương phụ gắn gương chiếu hậu nhằm mở rộng trường quan sát và góc nhìn lớn hơn so với gương chính của xe, giúp người lái xe điều khiển phương tiện an toàn hơn. Thao tác tháo lắp đơn giản Tăng tầm quan sát ",""""""
tiki.vn,https://tiki.vn/bo-2-gang-tay-lau-rua-xe-sieu-mem-tham-hut-tot-chuyen-dung-cho-o-to-xe-may-mau-ngau-nhien-p2900861.html?src=category-page-8594.24832.6045&2hi=0,2900861,OEM,"Phụ kiện, Phụ tùng ô tô",Bộ 2 găng tay lau rửa xe siêu mềm thấm hút tốt chuyên dụng cho ô tô xe máy (Màu ngẫu nhiên),149.000 ₫,Bách Hóa Tuyết Nhi,," Thông tin sản phẩm Tên sản phẩm : Bộ 2 găng tay siêu thấm lau chùi đa năng Hướng dẫn sử dụng : Luồn tay vào găng tay, nhúng nước hoặc để khô, ẩm để lau Tính năng : Dùng để lau rửa vệ sinh ô tô xe máy và các vật dụng trong gia đình Màu sắc : Nhiều màu Chất liệu : Vải siêu thấm , mềm mại Xuất xứ : Hồng Kông Kích Thước : - Dài : 23 (cm) - Rộng : 20 (cm) Găng tay chuyên dụng lau rửa ô tô xe máy được thiết kế tiện dụng giúp làm sạch mọi ngóc ngách một cách dễ dàng và nhanh chóng mà các loại khăn lau hay găng tau thông thường không thể làm được. - Găng tay thấm hút tốt, mau khô . Làm từ chất liệu siêu mềm, không làm xước sơn ,kính . Thiết kế nhỏ gọn, tiện lợi - Dễ dàng làm sạch sau khi sử dụng .Chuyên dùng lau chùi nội ngoại thất xe hơi , xe máy ... dưới dạng khô hoặc ướt - Bảo quản nơi khô ráo, thoáng mát ",""""""
tiki.vn,https://tiki.vn/may-bom-lop-va-hut-bui-o-to-chuyen-dung-p6693947.html?src=category-page-8594.24832.6045&2hi=0,6693947,OEM,"Phụ kiện, Phụ tùng ô tô",Máy bơm lốp và hút bụi ô tô chuyên dụng,578.996 ₫,Đồng Hồ Thông Minh Trẻ Em,," - Thiết kế với nhiều loại đầu hút khác nhau giúp cho việc hút bụi trở lên thật dễ dàng; với đầu nối dài nó có thể len lỏi vào mọi ngõ ngách trên xe, thổi bay mọi loại bụi bẩn. - Đặc biệt với dây dẫn dài rất thuận tiện cho việc di chuyển khi bạn cần hút bụi xung quanh xe. - Đầu hút thiết kế dạng chổi hỗ trợ tối đa khi bạn muốn hút ghế, thảm trên xem. - Đặc biệt với dây dẫn dài rất thuận tiện cho việc di chuyển khi bạn cần hút bụi xung quanh xe. - Công suất lên đến 400w. Máy hút bụi đa năng 4 chức năng cùng 1 lúc là sự kết hợp vô cùng thông minh với công nghệ mới nhất hiện nay. Ngoài tính năng và công dụng vô cùng hữu ích máy hút bụi còn khẳng định điểm mạnh vượt trội của mình ở kiểu dáng sang trọng, thiết kế sắc nét và tinh tế nhưng lại rất gọn nhẹ. Các thao tác sử dụng đơn giản dễ dàng, bất kỳ ai cũng có thể sử dụng mà không cần phải có người trợ giúp hay hướng dẫn. 1. HÚT BỤI - Công suất lên đến 400w và được thiết kế với nhiều loại đầu hút khác nhau giúp cho việc hút bụi trở lên thật dễ dàng; với đầu nối dài nó có thể len lỏi vào mọi ngõ ngách trên xe, thổi bay mọi loại bụi bẩn; Đầu hút thiết kế dạng chổi hỗ trợ tối đa khi bạn muốn hút ghế, thảm trên xem. - Đặc biệt với dây dẫn dài rất thuận tiện cho việc di chuyển khi bạn cần hút bụi xung quanh xe. 2. BƠM LỐP - Chỉ cần 3 phút để bạn bơm đầy lốp khi lốp xe bị hết hơi giữa đường. - Sở hữu nó rồi dù bạn đi đâu cũng hoàn toàn tự tin mà không cần phải lo lắng đến vấn đề về lốp. Xe hết hơi ư,chuyện đó giờ nhỏ thôi, dù trời tối. ",""""""
tiki.vn,https://tiki.vn/combo-boc-ghe-cho-xe-hoi-chat-lieu-vai-sieu-dep-cho-2-ghe-truoc-xe-hoi-va-3-ghe-sau-cua-xe-hoi-p6895955.html?src=category-page-8594.24832.6045&2hi=0,6895955,OEM,"Phụ kiện, Phụ tùng ô tô",Combo bọc ghế cho xe hơi chất liệu vải siêu đẹp cho 2 ghế trước xe hơi và 3 ghế sau của xe hơi,469.000 ₫,Zippy Store Nguyễn Chí Thanh,," Bọc ghế gồm 9 bộ: Mũ trùm 5 chỗ: 28 * 26cm Ghế trước chỗ ngồi 2 chỗ: 118 * 56cm 1 tựa lưng ba: 135 * 76cm 1 hàng ghế ba: 135 * 55cm Đóng gói: túi dây kéo PE Trọng lượng: 0,68kg Kích cỡ đóng gói: 28 * 26 * 10cm Chất liệu : vải ",""""""
tiki.vn,https://tiki.vn/bo-4-khau-trang-bao-ho-loc-bui-vi-khuan-3m-9001a-p1378119.html?src=category-page-8594.24832.6045&2hi=1,1378119,3M,"Phụ kiện, Phụ tùng ô tô",Bộ 4 Khẩu Trang Bảo Hộ Lọc Bụi Vi Khuẩn 3M 9001A,65.000 ₫,Công ty TNHH Thương Mại Đầu Tư Minh Thành Đông Dương,," Bộ 4 Khẩu Trang Bảo Hộ Lọc Bụi Vi Khuẩn 3M 9001A là lựa chọn tối ưu cho những người làm trong các môi trường có nhiệt độ và độ ẩm cao, thời gian mang mặt nạ lâu, nhất là các môi trường đúc chảy kim loại, phòng lab, nông nghiệp, hóa dầu, những nơi có sự hiện diện của bụi và hóa chất, hơi hữu cơ. Sản phẩm có cấu tạo van thở ra 3M™ Cool Flow™ làm tăng sự khô thoáng và thoải mái khi sử dụng, miếng điều chỉnh độ khít trên sống mũi dùng điều chỉnh để khít với nhiều đối tượng người dùng và không để lại vết khi đeo trong thời gian dài. Khẩu trang có trọng lượng nhẹ, thoải mái và thuận tiện, đạt tiêu chuẩn NIOSH 42 CFR84N95. Màng lọc tiên tiến với các sợi tích điện ngăn bụi, giúp lọc tối thiểu 90% các hạt bụi có kích thước từ 0,3 micromet trở lên (*). Thanh kim loại trên mũi có thể điều chỉnh tạo độ khít của khẩu trang với gương mặt, tăng khả năng bảo vệ ",""""""
tiki.vn,https://tiki.vn/may-hut-bui-cam-tay-o-to-p6840241.html?src=category-page-8594.24832.6045&2hi=0,6840241,OEM,"Phụ kiện, Phụ tùng ô tô",Máy hút bụi cầm tay ô tô,570.000 ₫,Shop Táo Vàng,," Công suất vượt trội 650W Thông số kỹ thuật: Điện áp : 220 V Công suất : 650 W Trọng lượng : 1,7kg Chiều dài dây : 5-6m ĐẶC ĐIỂM NỔI TRỘI TẠO LÊN SỰ KHÁC BIỆT MÁY HÚT BỤI CẦM TAY Ô TÔ Thiết kế sang trọng, nhỏ gọn và dể dàng di chuyển mọi nơi trong ô tô hoặc nhà cửa Sản phẩm được thiết kế với đầu hút bụi nhỏ, dài 6cm có thể dễ dàng chui sâu vào mọi ngõ ngách trong ô tô cả những nơi khó xử lý nhất. Sản phẩm có cây nối dài hút sàn nhà hiệu quả giúp lau nhà một cách nhanh chóng và tiện lợi tiết kiệm thời gian tối đa ",""""""
tiki.vn,https://tiki.vn/bo-2-cuon-bang-keo-cuong-luc-dan-do-choi-xe-hoi-3m-4229p-p1254613.html?src=category-page-8594.24832.6045&2hi=1,1254613,3M,"Phụ kiện, Phụ tùng ô tô",Bộ 2 Cuộn Băng Keo Cường Lực Dán Đồ Chơi Xe Hơi 3M 4229P,109.000 ₫,Duc Thanh Auto,," Bộ 2 Cuộn Băng Keo Cường Lực Dán Đồ Chơi Xe Hơi 3M 4229P có độ đàn hồi tốt, chịu được rung động, khả năng kết dính cao, sử dụng trong lắp ráp khung, bộ phận nội ngoại thất ô tô, bảng hiệu, két sắt, phù hợp các bề mặt thép không gỉ, ABS, PVC,… Keo dính ô tô hai mặt 3M 4229 thuộc băng dính hai mặt acrylic, loại xốp acrylic bề mặt. Có lực dính và phân tán tuyệt vời, 3M4229 cho điều kiện môi trường khác nhau và có sức dẻo tuyệt vời Việc sử dụng các sản phẩm tốt nhất, thời gian bền nhất, toàn bộ quá trình sản xuất có thể được hệ thống đơn giản, sử dụng rộng rãi ở thành phần phù hợp và kết nối bên ngoài ô tô. ",""""""
tiki.vn,https://tiki.vn/suc-rua-dong-co-xe-may-liqui-moly-engine-flush-shooter-oil-circuit-flush-and-clean-20597-80ml-p1254729.html?src=category-page-8594.24832.6045&2hi=0,1254729,Liqui Moly,"Phụ kiện, Phụ tùng ô tô",Súc Rửa Động Cơ Xe Máy Liqui Moly Engine Flush Shooter Oil Circuit Flush And Clean 20597 (80ml),65.000 ₫,Duc Thanh Auto,," Súc Rửa Động Cơ Xe Máy Liqui Moly Engine Flush Shooter Oil Circuit Flush And Clean 20597 tẩy rửa các chất bẩn bám lâu ngày trong động cơ mà quá trình thay dầu không thể sạch hết Tái tạo hiệu suất hoạt động của động cơ Kéo dài tuổi thọ của động cơ, góp phần tiết kiệm nhiên liệu ",""""""
