Domain,Url,Product_id,Rating,Comment,Review Time,Bought Time
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,1,"Rất không hài lòng. Cân ko chính xác. Nhảy số liên tục:((
Thất vọng quá",2018-07-23 09:47:35,2018-05-29 14:49:29
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,1,Rất không hài lòng. Cân hỏng chưa được thu hồi. Mong tiki sớm thu hồi.,2018-04-10 13:42:26,2018-03-25 13:55:13
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,5,"chất lượng đảm bảo. Tiki giao hàng nhanh, chất lượng của cân đảm bảo, số chênh lệch không lớn lắm, đảm bảo theo dõi cân nặng của cá nhân cơ bản tốt.",2018-02-23 02:47:37,2017-12-27 11:32:47
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,1,Rất không hài lòng. cân rất tệ mỗi lần cân là thông số khác nhau. kiểu dáng thì ok nhưng chất lượng không có,2017-12-12 08:13:14,2017-07-12 08:44:35
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,3,"Cân không chính xác, mỗi lần lại là 1 số khác nhau. Cân không chính xác. em cân thử thì 1 lần 46.6, 1 làn 44,3 xong 1 lần cuối nhẩy lên 47. Ngoài ra, các đồ nhẹ tầm vài cân thì k cân được, cân k nhảy số. Thất vọng quá, nên em đang nhờ tiki nhận lại hàng.",2017-12-04 10:59:05,2017-12-03 09:09:10
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,3,Bình thường. Cân hay bị chập chờn và sai số +(-1)kg trong nhiều lần thử,2017-12-02 12:43:16,2017-09-04 16:33:02
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,tốt. sài thì tốt thật mà lúc hết pin cái là ko bít mua ở đâu luôn,2017-10-27 16:03:42,
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,"Hài lòng. Cân đẹp, kiểu dáng sang trọng. Chênh lệch giữa 2 lần cân chừng 0.1 kg thôi à. Mẹ mình rất hài lòng luôn í.",2017-10-25 04:40:49,2017-10-16 07:10:51
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,5,Cực kì hài lòng. cân tốt đáng đồng tiền nhưng mới mua nên k piét sài lâu k;)),2017-10-13 18:20:24,2017-08-19 05:29:34
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,5,"Sản phẩm sử dụng ổn định. Mình đã mua cân này cho đến này là khoảng 1,5 năm và vẫn đang sử dụng khá tốt, hoạt động bình thường và pin khá bền.

Mặt kính dù nhìn hình có vẻ mỏng manh nhưng thực tế lại khá chắc chắn, có vài lần mình sơ ý đẩy hoặc vấp khiến cân lúc lắc nhưng vẫn bền và không bị vỡ.

Nhìn chung với tầm giá này mà chất lượng như vậy thì rất là hài lòng",2017-10-11 03:23:51,2016-03-06 05:16:15
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,3,"Hàng tạm được. tạm tạm, nón BH và bộ phận bảo về đầu gối, khớp tay ko chắc chắn.",2017-09-19 03:12:50,2017-07-17 09:20:38
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,"Hài lòng. Cân lần thứ 2 mới đúng kg, lần đầu chênh lệch với lần 2 0,5kg",2017-09-08 08:19:57,2017-08-20 02:51:44
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,5,Dùng tốt. Mới chỉ thay pin một lần. Bền. Gọn. Cẩn thận vì bằng gương là chính.,2017-09-07 15:31:31,2015-09-01 08:13:39
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,"Cân đẹp, chính xác. Cân có độ chính xác cao, thiết kế đẹp. bằng thủy tinh nhưng không chắc chắn lắm, chân đế dễ vênh nếu đứng lên không cẩn thận.",2017-08-06 07:38:47,2017-07-07 12:14:07
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,Chưa chuẩn. Cân thiếu thừa kg nhiều quá nói chung là không chuẩn,2017-07-13 06:27:03,2016-03-03 13:59:25
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,"Rất hài lòng. Lúc đầu đọc một số nhận xét mình cũng ngại nhưng với việc chăm sóc khách hàng tốt của Tiki mình quyết định mua để xem sao vì mình nghỉ nếu có vấn đề có thể đổi trả. 

Kết quả như mình mong đợi, cân đẹp và chính xác. Mình thường dùng để cân em bé ở nhà (mình bồng cân và trừ bì là mình) thấy chính xác. 

Hàng giao đúng thời gian, gói cẩn thận",2016-12-27 03:35:06,2016-10-10 15:36:30
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,2,"Thất vọng. Về quy cách đóng gói thì tiki làm rất cẩn thận, nhưng khi mình mở hộp để xem sản phẩm thì vô cùng thất vọng, sản phẩm bị lỗi nặng , bề mặt tấm kính dán bị lệch dẫn đến việc khi bước lên cân hay bị bấp bênh , mất thẩm mỹ . Tiki nên cẩn thận hơn trong việc kiểm tra sản phẩm, tránh giao những sản phẩm lỗi cho khách hàng ",2016-11-26 03:46:44,2016-11-24 11:41:49
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,5,"Cân tốt, đẹp, chính xác. Thấy mọi người nhận xét về cân này nhiều nên mình cũng đã mua dùng. 1 cái cho mình và 1 cho chị. Mình thấy cân đẹp, dễ sử dụng, mà đúng nữa. Cân nhiều lần vẫn cho kết quả đúng, không bị lệch. Giá phải chăng. Bạn nào lăn tăn về sản phẩm nữa thì hãy yên tâm nhé. Khá nhiều người kiểm chứng rồi. Cảm ơn Tiki :)",2016-06-20 04:29:56,2016-06-13 03:43:42
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,5,"cân tốt. Tôi đã nhận được hàng từ tiki ngày hôm qua.
Cân sử dụng tốt và chính xác, số hiện lên rất nhạy.
Giá bán phù hợp với sản phẩm so với các trang website khác. 
Sẽ tiếp tục ủng hộ tiki trong thời gian tới.
Tiki giao hàng nhanh và đóng gói cẩn thận.

Cám ơn nhiều",2016-06-17 10:55:20,2016-06-14 01:50:06
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,5,"Bao tốt. Đầu tiên là nhận xét về Tiki: giao hàng bao nhanh,  anh giao hàng cho mình đẹp trai cực ý,  giao hàng rất có tâm. Hàng bao gói kĩ đến nỗi  mình mở ra hết 5 phút :)).  Hàng bên trong cũng cực kì mới
Sản phẩm thì rất chất lượng nhé,  ko phải chất lượng  khi xét trên giá tiền đâu. Tại mình có xem qua comment của mấy bạn đã mua rồi mới quyết định có mua hay không.  Thấy nhiều bạn bảo cân sai,  nhưng mình thấy cân rất chuẩn,  cân 2 lần,  rồi mình bê thêm cái laptop đứng lên,  nó cộng đúng y chang khối lượng của cái laptop. Mình thấy sản phẩm này rất đáng được ủng hộ. Rất nên mua :)))",2016-06-02 12:00:12,2016-06-01 16:29:42
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,5,"Mình rất hài lòng. Trước mom của mình có mua cân trên tiki rồi. Giá thật sự rất rẻ hơn so với nhiều nơi, tuy nhiên chất lượng sản phẩm và dịch vụ cũng rất tốt, mình rất hài lòng về sản phẩm này, giúp mình kiểm soát được cân nặng sức khỏe cho mình và cả gia đình, hôm nay mình mua thêm 1 cái nữa cho em gái mình, cho 5 tiki và sản phẩm này 5 sao nhé. Hihi.",2016-05-19 20:32:33,2016-05-19 20:48:02
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,3,"Ổn. Khi nhận được sản phẩm này, mình thật bất ngờ vì bề mặt khá rộng so với mình tưởng tượng. Loại cân này có mặt kính khá là dày nữa, chắc chắn khi đứng lên cân chứ không như một số cân khác là mặt kính hơi mỏng.
Độ chênh lệch là từ 0.5 - 1 kg.
Điểm yếu của sản phẩm này là không thể cân được các vật dụng có trọng lượng nhỏ.",2016-05-18 01:32:52,2016-05-09 02:54:21
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,"Tốt. . Đây là cân sức khỏe đầu tiên mình mua trên Tiki. Tiki đóng gói và giao hàng kĩ càng nên mình khá yên tâm. Vì là cân điện tử, xuất xứ Trung Quốc nên khi mua về xài mình cũng hơi lo về chất lượng. Cảm nhận của mình khi sử dụng là chắc chắn, nhẹ, khi cân, màn hình điện tử sẽ sáng lên nên có thể sử dụng ngay cả trong tối, ít ánh sáng. Nói chung mình thấy khá ổn về cân điện tử này. ",2016-05-18 00:10:19,2015-11-11 15:35:33
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,"Cân chính xác. Nhiều bạn bảo cân không chính xác nhưng mình thấy chính xác đó chứ
Nhiều người nhà mình đã thử 
Cân tiện dụng, đứng lên chờ 3s là đúng đến từng gam
Tiki gói thàng cẩn thận. Có kèm mác hàng dễ vỡ
Chưa có gì để phàn nàn
sẽ ủng hộ nhiều sản phẩm hơn từ tiki",2016-04-25 01:24:38,2016-04-11 03:12:27
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,3,"Cân đẹp, đóng hộp cẩn thận nhưng cân không chính xác lắm!. Mình thấy cân điện tử giá ổn, lại đẹp nên đặt mua. Nhận hàng thấy khá hài lòng về mẫu mã, tiki đóng trong hộp lại còn thêm lớp bọc cẩn thận nữa. Nhưng có điều cân không chính xác lắm! Lên cân ban đầu là 44,9kg, bước xuống lên lại lại lên 45,4kg. :).Em trai mình lên cân là 58kg, rồi bế em cún  lên cân thì là 66,8kg, đến lúc cho một mình em cún lên thì có 8,3kg.",2016-03-18 12:47:50,2015-12-20 10:49:35
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,3,"Tạm ổn. Mình khá hài lòng với chiếc cân sức khỏe thế này, cầm lên rất nhẹ nên khá tiện dụng khi mang đi nơi khác, nhưng hơi dễ vỡ nên cần phải bảo quản kĩ. Ngoài ra, mỗi lần dùng cân thì có hơi sai lệch cân nặng 1 chút (mình cân thử rồi ngay sau đó bước lên cân lại thì xuất hiện số cân nặng khác nhau), nhưng với giá thành rẻ thì như vậy cũng khá ổn rồi.",2016-03-15 06:24:39,2016-03-07 05:49:03
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,"Ổn. Cân khá chắc chắn dù mặt kính hơi mỏng, cân nhìn đẹp và chính xác. Kích thước và trọng lượng gọn nhẹ, rất dễ sử dụng. Tuy nhiên là pin nhỏ như pin đồng hồ nên hơi khó tìm chỗ mua pin thay thế. Nhưng nói chung là chất lượng ổn, giá cả hợp lý.",2016-03-13 04:29:24,
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,"Tốt . Mình mua sản phẩm nửa năm trước. Khi nhận sp, mình hài lòng về cách đóng gói và chất lượng dịch vụ của tiki. 
Cân đo rất tiện lợi, chính xác, tiết kiệm pin. 
Tuy nhiên, Cân sẽ rất dễ vỡ nếu không cẩn thận khi để trong nhà.
Nhờ nó mà mình có thể kiểm soát cân nặng cho cả nhà 

",2016-02-14 11:50:32,2015-07-28 06:23:16
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,3,"Tốt,tiện lợi. Cân nhỏ tiện lợi sử dụng thuận tiện trong gia đình để cân sức khỏe , sử dụng thường xuyên để cân đo rất tốt có thể,nhưng số cân hình như không được chuẩn cho lắm,nhưng nếu theo thì có thể xem theo tỉ lệ chênh lệch được dù sao với số tiền như vậy chất lượng như trên cũng khá ổn",2016-01-04 10:12:19,2015-12-28 09:32:26
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,"Đẹp. Mặt cân bằng kính cường lực nên nhìn rất trang nhã và đẹp mắt. Độ to vừa phải với hai bàn chân của mình nên khi cân cũng thấy thoải mái. Từ khi mua cân mình rất thường xuyên cân, mỗi lần cân cũng k thay đổi gì. Còn chuẩn hay không thì mình chưa thử.",2015-12-28 07:41:19,2015-12-15 15:52:51
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,4,"Khá được. Ban đầu đọc nhận xét cũng thấy đắn đo xem có mua không! Khi mua về thấy cân cũng chính xác, cân lại hai lần thì không bị nhảy số. Tuy nhiên mặt cân bằng kính chịu lực, nên mấy người nặng ký cứ đứng lên là sợ bị vỡ. Nên đứng ở giữa cân, đứng bè ra hai bên là sẽ bị sai số khá lớn! 
Tuy nhiên, cân với giá cả như vậy là tốt rồi, Ai cũng ngạc nhiên vì giá rẻ! Mới mua không rõ bền hay không, nhưng có lúc cân bật không lên, hú hồn luôn!",2015-12-09 01:34:23,2015-12-01 07:52:37
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,2,"Hơi thất vọng...  Nói chung thì cách đóng gói khá cẩn thận, giá rẻ và mẫu mã thì đơn giản, cũng đẹp.  Nhưng mình thấy chất lượng thì nên xem lại. Lần đầu leo lên đo cũng thấy khá là chính xác đấy, nhưng cỡ chừng 10 phút trèo lên lại thì giảm hẳn luôn 1 kí rưỡi. Mình nghĩ chắc giá rẻ nên chất lượng như vậy cũng được. Thế mà khoảng mấy tiếng sau, lại lục đục đi cân thì... ôi trời ơi, nó cho mình xuống hẳn 44 kí!! Sai số quá nhiều. Không chỉ thế, pin cũng khá là lèo bèo, giật lên, giật xuống rồi ngủm luôn. Chịu không nổi em nó, mình mới gọi cho Tiki để trả hàng, mà mấy hổm rày mình chẳng thấy ai xuống cả. Chán...!!",2015-12-06 16:58:01,2015-10-29 17:01:21
