Domain,Url,Product_id,1,2,3,4,5
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-gl-14-005-p428732.html?src=category-page-1520.2307&2hi=1,428732,3,4,12,46,35
tiki.vn,https://tiki.vn/may-cao-rau-flyco-fs-873vn-p540117.html?src=category-page-1520.2307&2hi=1,540117,6,1,2,7,13
tiki.vn,https://tiki.vn/may-do-huyet-ap-bap-tay-microlife-3nz1-1p-p442271.html?src=category-page-1520.2307&2hi=1,442271,1,1,2,5,15
tiki.vn,https://tiki.vn/can-suc-khoe-dien-tu-laica-ps1050-p438079.html?src=category-page-1520.2307&2hi=1,438079,0,1,3,8,8
tiki.vn,https://tiki.vn/can-dien-tu-mat-kinh-beurer-gs-14-p442830.html?src=category-page-1520.2307&2hi=1,442830,0,0,0,2,2
tiki.vn,https://tiki.vn/may-do-huyet-ap-bap-tay-beurer-bm-35-p442668.html?src=category-page-1520.2307&2hi=1,442668,0,1,0,1,4
tiki.vn,https://tiki.vn/goi-massage-co-den-hong-ngoai-co-dieu-khien-beurer-mg147-p453556.html?src=category-page-1520.2307&2hi=0,453556,0,0,0,1,3
tiki.vn,https://tiki.vn/que-thu-phat-hien-thai-som-powertest-3mm-p2324117.html?src=category-page-1520.2307&2hi=1,2324117,0,0,0,0,1
tiki.vn,https://tiki.vn/bo-giac-hoi-khong-dung-lua-duy-thanh-ygh05-p1581117.html?src=category-page-1520.2307&2hi=1,1581117,0,0,0,0,0
tiki.vn,https://tiki.vn/can-suc-khoe-va-phan-tich-co-the-tanita-bc-543-p402709.html?src=category-page-1520.2307&2hi=0,402709,0,0,0,0,1
tiki.vn,https://tiki.vn/may-do-huyet-ap-bap-tay-microlife-a2-classic-p984294.html?src=category-page-1520.2307&2hi=1,984294,0,0,0,0,1
tiki.vn,https://tiki.vn/may-xong-mui-hong-khi-dung-mabis-compmist-usa-p2086187.html?src=category-page-1520.2307&2hi=1,2086187,0,0,0,1,1
tiki.vn,https://tiki.vn/may-do-huyet-ap-aoberst-man-hinh-lcd-co-lon-cong-nghe-duc-hang-nhap-khau-p2833259.html?src=category-page-1520.2307&2hi=1,2833259,0,0,0,0,1
tiki.vn,https://tiki.vn/may-xong-mui-hong-beurer-ih26-p3756885.html?src=category-page-1520.2307&2hi=0,3756885,0,0,0,0,1
tiki.vn,https://tiki.vn/dem-chong-lo-loet-imedicare-iam-8p-singapore-p2577919.html?src=category-page-1520.2307&2hi=1,2577919,0,0,0,0,1
tiki.vn,https://tiki.vn/hop-muoi-nha-dam-rua-mui-dr-green-30-goi-chinh-hang-p5891667.html?src=category-page-1520.2307&2hi=1,5891667,0,0,0,0,1
tiki.vn,https://tiki.vn/may-tri-viem-mui-di-ung-medisana-medino-pro-p470319.html?src=category-page-1520.2307&2hi=0,470319,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-khi-mau-va-nhip-tim-ca-nhan-pin-sac-ket-noi-usb-beurer-po80-p453235.html?src=category-page-1520.2307&2hi=1,453235,0,0,0,0,0
tiki.vn,https://tiki.vn/can-tre-em-dien-tu-laica-ps3001-p401776.html?src=category-page-1520.2307&2hi=1,401776,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-bap-tay-omron-hem-7130-100610695-p435322.html?src=category-page-1520.2307&2hi=1,435322,1,0,1,1,1
tiki.vn,https://tiki.vn/nhiet-ke-thong-minh-xiaomi-mijia-hang-chinh-hang-p2396605.html?src=category-page-1520.2307&2hi=1,2396605,0,0,0,0,0
tiki.vn,https://tiki.vn/may-xong-mui-hong-omron-ne-c801-100424827-p435370.html?src=category-page-1520.2307&2hi=1,435370,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-chuom-nong-fashy-germay-boc-len-mau-xam-p3653277.html?src=category-page-1520.2307&2hi=0,3653277,0,0,0,0,0
tiki.vn,https://tiki.vn/nhiet-ke-dien-tu-hong-ngoai-lanaform-ir-la090112-p879608.html?src=category-page-1520.2307&2hi=0,879608,0,0,0,0,0
tiki.vn,https://tiki.vn/dai-ho-tro-co-bung-orbe-h1-trang-p7721163.html?src=category-page-1520.2307&2hi=0,7721163,0,0,0,0,0
tiki.vn,https://tiki.vn/can-suc-khoe-thong-minh-yunmai-p2949493.html?src=category-page-1520.2307&2hi=0,2949493,0,0,0,0,0
tiki.vn,https://tiki.vn/may-tri-lieu-lam-tre-hoa-sau-cho-da-mat-beurer-fc-100-p442901.html?src=category-page-1520.2307&2hi=1,442901,0,0,0,0,0
tiki.vn,https://tiki.vn/nhiet-ke-dien-tu-laica-th3302-p657387.html?src=category-page-1520.2307&2hi=0,657387,0,0,0,0,0
tiki.vn,https://tiki.vn/ghe-massage-tokuyo-tc-711-do-den-p1026627.html?src=category-page-1520.2307&2hi=0,1026627,0,0,0,0,0
tiki.vn,https://tiki.vn/dung-cu-bam-mong-777-ma-bac-bl-621ys-c-p539493.html?src=category-page-1520.2307&2hi=1,539493,0,0,0,0,0
tiki.vn,https://tiki.vn/dem-bao-ve-co-chan-cao-cap-qsupport-ankle-support-xam-size-l-p4367347.html?src=category-page-1520.2307&2hi=0,4367347,0,0,0,0,0
tiki.vn,https://tiki.vn/dem-bao-ve-co-chan-cao-cap-qsupport-ankle-support-xam-size-s-p4367351.html?src=category-page-1520.2307&2hi=0,4367351,0,0,0,0,0
tiki.vn,https://tiki.vn/goi-co-tia-hong-ngoai-xa-cao-cap-qsupport-q0030c002s-xam-size-s-p4367299.html?src=category-page-1520.2307&2hi=0,4367299,0,0,0,0,0
tiki.vn,https://tiki.vn/gang-tay-hong-ngoai-xa-cao-cap-qsupport-q0094gt0m-den-size-m-p4367355.html?src=category-page-1520.2307&2hi=0,4367355,0,0,0,0,0
tiki.vn,https://tiki.vn/gang-tay-hong-ngoai-xa-cao-cap-qsupport-q0094gt0l-den-size-l-p4367353.html?src=category-page-1520.2307&2hi=0,4367353,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-bap-tay-microlife-a100-p2768153.html?src=category-page-1520.2307&2hi=0,2768153,0,0,0,0,0
tiki.vn,https://tiki.vn/que-thu-duong-huyet-g30-dung-cho-may-g30a-fora-25-que-hop-p4757163.html?src=category-page-1520.2307&2hi=0,4757163,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-dien-tu-co-tay-beurer-bc44-p442626.html?src=category-page-1520.2307&2hi=0,442626,0,0,0,0,0
tiki.vn,https://tiki.vn/nhiet-ke-dien-tu-hong-ngoai-da-chuc-nang-uright-td-1115-p635893.html?src=category-page-1520.2307&2hi=0,635893,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-chuyen-nghiep-tu-dong-and-tm-2655p-p8145401.html?src=category-page-1520.2307&2hi=0,8145401,0,0,0,0,0
tiki.vn,https://tiki.vn/may-hut-am-beurer-le60-p3756879.html?src=category-page-1520.2307&2hi=0,3756879,0,0,0,0,0
tiki.vn,https://tiki.vn/can-suc-khoe-camry-br2019-h62-p415692.html?src=category-page-1520.2307&2hi=0,415692,0,0,1,0,0
tiki.vn,https://tiki.vn/cay-danh-cam-cao-gio-sung-bo-chau-phi-ccg04-10-x-1-5-cm-p4316427.html?src=category-page-1520.2307&2hi=0,4316427,0,0,0,0,0
tiki.vn,https://tiki.vn/dai-co-cung-dyna-p9671851.html?src=category-page-1520.2307&2hi=0,9671851,0,0,0,0,0
tiki.vn,https://tiki.vn/goi-co-tia-hong-ngoai-xa-cao-cap-qsupport-q0030coo1xl-xam-nhat-size-xl-p4367305.html?src=category-page-1520.2307&2hi=0,4367305,0,0,0,0,0
tiki.vn,https://tiki.vn/nuoc-oxy-gia-vp-3-loc-10-chai-p6336357.html?src=category-page-1520.2307&2hi=0,6336357,0,0,0,0,0
tiki.vn,https://tiki.vn/coc-uong-nuoc-laica-hi6012-p159439.html?src=category-page-1520.2307&2hi=1,159439,0,0,0,0,0
tiki.vn,https://tiki.vn/con-90-do-vp-1000ml-p6336395.html?src=category-page-1520.2307&2hi=0,6336395,0,0,0,0,0
tiki.vn,https://tiki.vn/goi-ngu-ngon-giam-dau-vai-gay-pt-p7275501.html?src=category-page-1520.2307&2hi=0,7275501,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-nong-do-oxy-trong-mau-spo2-va-nhip-tim-beurer-po40-p1986105.html?src=category-page-1520.2307&2hi=0,1986105,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-co-tay-tu-dong-and-ub-511-p8145343.html?src=category-page-1520.2307&2hi=0,8145343,0,0,0,0,0
tiki.vn,https://tiki.vn/dai-that-lung-orbe-lumbabel-ghi-xam-p7721121.html?src=category-page-1520.2307&2hi=0,7721121,0,0,0,0,0
tiki.vn,https://tiki.vn/dem-massage-tich-hop-kem-tren-o-to-tokuyo-th-593-p1026599.html?src=category-page-1520.2307&2hi=0,1026599,0,0,0,0,0
tiki.vn,https://tiki.vn/vo-y-khoa-got-chan-dieu-tri-suy-gian-tinh-mach-novamed-p8090544.html?src=category-page-1520.2307&2hi=0,8090544,0,0,0,0,0
tiki.vn,https://tiki.vn/nep-co-cung-orbe-vang-hong-p7721081.html?src=category-page-1520.2307&2hi=0,7721081,0,0,0,0,0
tiki.vn,https://tiki.vn/dai-that-lung-hop-kim-nhom-orbe-den-p7721130.html?src=category-page-1520.2307&2hi=0,7721130,0,0,0,0,0
tiki.vn,https://tiki.vn/ao-cot-song-lung-ao-chong-gu-novamed-p8698090.html?src=category-page-1520.2307&2hi=0,8698090,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-chuom-nong-fashy-germany-boc-tho-cam-p2452233.html?src=category-page-1520.2307&2hi=0,2452233,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-chuom-fashy-germany-ao-phao-xanh-ngoc-p2452247.html?src=category-page-1520.2307&2hi=0,2452247,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-chuom-ao-phao-fashy-germany-xanh-duong-p2452229.html?src=category-page-1520.2307&2hi=0,2452229,0,0,0,0,0
tiki.vn,https://tiki.vn/nhiet-ke-hinh-thu-sika-kd702-giao-mau-ngau-nhien-p552405.html?src=category-page-1520.2307&2hi=1,552405,2,2,0,1,2
tiki.vn,https://tiki.vn/may-massage-bung-buheung-mk-207-p423543.html?src=category-page-1520.2307&2hi=1,423543,0,1,1,0,0
tiki.vn,https://tiki.vn/can-suc-khoe-ariranglife-ar-s18i-p5009029.html?src=category-page-1520.2307&2hi=1,5009029,1,0,0,1,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-co-tay-microlife-bp-3bj1-4d-p442321.html?src=category-page-1520.2307&2hi=0,442321,0,1,0,0,0
tiki.vn,https://tiki.vn/vo-y-khoa-phong-ngua-suy-tinh-mach-dang-dui-ho-ngon-relaxsan-basic-art-960a-mau-da-p4463211.html?src=category-page-1520.2307&2hi=0,4463211,1,0,0,0,0
tiki.vn,https://tiki.vn/bo-2-nhiet-ke-dien-tu-microlife-mt16k1-p2789833.html?src=category-page-1520.2307&2hi=0,2789833,1,0,0,0,0
tiki.vn,https://tiki.vn/bo-nem-chong-loet-cho-nguoi-gia-va-nguoi-benh-seabird-sb-100-p5476455.html?src=category-page-1520.2307&2hi=0,5476455,1,0,0,0,0
tiki.vn,https://tiki.vn/may-massage-mat-tokuyo-ts-181-p1026605.html?src=category-page-1520.2307&2hi=1,1026605,1,0,0,0,0
tiki.vn,https://tiki.vn/que-thu-danh-cho-may-do-duong-huyet-beurer-gl40-test-gl40-p442702.html?src=category-page-1520.2307&2hi=0,442702,1,0,0,0,0
tiki.vn,https://tiki.vn/tui-chuom-fashy-germany-hinh-trai-tim-do-p2452243.html?src=category-page-1520.2307&2hi=0,2452243,1,0,0,0,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-co-rossmax-gb102-p3580777.html?src=category-page-1520.2307&2hi=0,3580777,0,0,0,0,0
tiki.vn,https://tiki.vn/can-dien-tu-camry-eb9383-s748-p424183.html?src=category-page-1520.2307&2hi=1,424183,1,0,0,0,1
tiki.vn,https://tiki.vn/may-do-huyet-ap-bap-tay-khong-co-adapter-beurer-bm45-moi-p416637.html?src=category-page-1520.2307&2hi=1,416637,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-dien-tu-co-tay-citizen-ch-657-p401731.html?src=category-page-1520.2307&2hi=0,401731,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-dien-tu-bap-tay-citizen-ch-453ac-p401697.html?src=category-page-1520.2307&2hi=0,401697,0,0,0,0,0
tiki.vn,https://tiki.vn/que-thu-duong-huyet-omron-danh-cho-may-111-va-112-p2789875.html?src=category-page-1520.2307&2hi=0,2789875,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-dien-tu-bap-tay-citizen-ch-452ac-p401625.html?src=category-page-1520.2307&2hi=0,401625,0,0,0,0,0
tiki.vn,https://tiki.vn/vo-y-khoa-chong-gian-tinh-mach-comprezon-ad-toi-dau-goi-p9671838.html?src=category-page-1520.2307&2hi=0,9671838,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-chuom-nong-lanh-da-nang-mat-troi-mau-ngau-nhien-p6971469.html?src=category-page-1520.2307&2hi=0,6971469,1,0,0,0,1
tiki.vn,https://tiki.vn/hop-chia-thuoc-7-ngay-tashuan-ts-5111-p4679785.html?src=category-page-1520.2307&2hi=0,4679785,0,0,0,0,0
tiki.vn,https://tiki.vn/may-phun-am-beurer-lb44-p3756875.html?src=category-page-1520.2307&2hi=0,3756875,0,0,0,0,0
tiki.vn,https://tiki.vn/goi-co-orbe-ghi-p7721088.html?src=category-page-1520.2307&2hi=0,7721088,0,0,0,0,0
tiki.vn,https://tiki.vn/vo-y-khoa-chong-gian-tinh-mach-comprezon-ag-loai-1-toi-ben-p9671871.html?src=category-page-1520.2307&2hi=0,9671871,0,0,0,0,0
tiki.vn,https://tiki.vn/que-thu-duong-huyet-medismart-sapphire-plus-hop-50-que-p5079917.html?src=category-page-1520.2307&2hi=1,5079917,0,0,0,0,0
tiki.vn,https://tiki.vn/bon-ngam-chan-massage-laica-pc1301-y-trang-xanh-p3546933.html?src=category-page-1520.2307&2hi=0,3546933,0,0,0,0,0
tiki.vn,https://tiki.vn/may-massage-beauty-body-p2773949.html?src=category-page-1520.2307&2hi=1,2773949,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-duong-huyet-u-right-td-4267-p4115377.html?src=category-page-1520.2307&2hi=0,4115377,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-chuom-dau-goi-o-care-p4889095.html?src=category-page-1520.2307&2hi=0,4889095,0,0,0,0,0
tiki.vn,https://tiki.vn/chai-xit-lam-lanh-starbalm-ha-lan-150ml-p3919913.html?src=category-page-1520.2307&2hi=1,3919913,0,0,0,0,0
tiki.vn,https://tiki.vn/dem-dien-beurer-p7865956.html?src=category-page-1520.2307&2hi=0,7865956,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-huyet-ap-bap-tay-omron-hem-7121-cong-nghe-intellisense-moi-tu-dong-hoan-toan-nhat-p4463983.html?src=category-page-1520.2307&2hi=0,4463983,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-chuom-lanh-nhanh-noi-dia-nhat-ban-p8291359.html?src=category-page-1520.2307&2hi=1,8291359,0,0,0,0,0
tiki.vn,https://tiki.vn/can-suc-khoe-thong-minh-ihealth-hs4-p9362746.html?src=category-page-1520.2307&2hi=1,9362746,0,0,0,0,0
tiki.vn,https://tiki.vn/dai-goi-dan-im-p2789865.html?src=category-page-1520.2307&2hi=0,2789865,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-duong-huyet-mo-mau-gut-benecheck-p4463157.html?src=category-page-1520.2307&2hi=0,4463157,0,0,0,0,0
tiki.vn,https://tiki.vn/may-do-duong-huyet-vivachek-eco-p4769605.html?src=category-page-1520.2307&2hi=0,4769605,0,0,0,0,0
tiki.vn,https://tiki.vn/dai-ho-tro-bung-sego-p9671783.html?src=category-page-1520.2307&2hi=0,9671783,0,0,0,0,0
tiki.vn,https://tiki.vn/dung-cu-danh-cam-cao-gio-sung-trau-cao-cap-ccg09-rang-luoc-da-i-9-5-x-5-cm-p4316437.html?src=category-page-1520.2307&2hi=0,4316437,0,0,0,0,0
tiki.vn,https://tiki.vn/vo-tat-y-khoa-dui-dieu-tri-suy-gian-tinh-mach-chan-jobst-relief-chuan-ap-luc-20-30mmhg-p4704655.html?src=category-page-1520.2307&2hi=0,4704655,0,0,0,0,0
tiki.vn,https://tiki.vn/goi-co-tia-hong-ngoai-xa-cao-cap-qsupport-q0030a18l-caro-xam-size-l-p4367285.html?src=category-page-1520.2307&2hi=0,4367285,0,0,0,0,0
