Domain,Url,Product_id,1,2,3,4,5
tiki.vn,https://tiki.vn/combo-giay-truot-patin-os-banh-xe-phat-sang-mu-bao-hiem-bao-ho-chan-tay-p2441297.html?src=category-page-1975&2hi=0,2441297,0,0,0,2,4
tiki.vn,https://tiki.vn/giay-the-thao-nu-biti-s-hunter-x-2k18-dsuh00500den-midnight-black-ii-p5204891.html?src=category-page-1975&2hi=1,5204891,0,0,1,10,87
tiki.vn,https://tiki.vn/giay-the-thao-nu-biti-s-hunter-x-2k18-dsuh00100den-stardust-night-p2403857.html?src=category-page-1975&2hi=1,2403857,1,1,2,8,47
tiki.vn,https://tiki.vn/giay-the-thao-nam-biti-s-hunter-liteknit-iii-pine-green-dsm068233reu-xanh-reu-p897413.html?src=category-page-1975&2hi=1,897413,1,3,5,23,99
tiki.vn,https://tiki.vn/tham-tap-gym-va-yoga-tpe-2-lop-zera-6mm2l-6mm-tim-p707405.html?src=category-page-1975&2hi=1,707405,8,1,6,9,15
tiki.vn,https://tiki.vn/giay-the-thao-nu-biti-s-biti-s-hunter-core-2k18-dswh00300den-charcoal-black-p2404013.html?src=category-page-1975&2hi=1,2404013,0,0,0,8,18
tiki.vn,https://tiki.vn/giay-the-thao-nam-biti-s-hunter-collection-shades-of-dark-cooler-you-x-dark-dust-black-dsm068333xad-p1733115.html?src=category-page-1975&2hi=1,1733115,4,2,1,13,39
tiki.vn,https://tiki.vn/giay-the-thao-nu-biti-s-hunter-x-2k18-dsuh00100xnh-blue-moon-p2403917.html?src=category-page-1975&2hi=1,2403917,0,0,0,1,17
tiki.vn,https://tiki.vn/giay-leo-nui-da-ngoai-unisex-cao-cap-n-5677-sportslink-p4365111.html?src=category-page-1975&2hi=1,4365111,0,0,0,7,16
tiki.vn,https://tiki.vn/tham-yoga-yg-xanh-la-p421860.html?src=category-page-1975&2hi=1,421860,1,1,5,30,9
tiki.vn,https://tiki.vn/tham-yoga-4mm-promat-giao-mau-ngau-nhien-p604945.html?src=category-page-1975&2hi=1,604945,7,10,14,23,21
tiki.vn,https://tiki.vn/giay-the-thao-nu-biti-s-hunter-collection-shades-of-dark-cooler-you-x-dark-olive-green-dsw056733reu-xanh-reu-p1752901.html?src=category-page-1975&2hi=1,1752901,0,0,1,4,15
tiki.vn,https://tiki.vn/bang-phi-tieu-kim-cham-2-mat-45cm-va-6-phi-tieu-sportslink-p614577.html?src=category-page-1975&2hi=1,614577,3,2,9,13,7
tiki.vn,https://tiki.vn/tham-yoga-yg-den-p421859.html?src=category-page-1975&2hi=1,421859,2,0,4,10,6
tiki.vn,https://tiki.vn/banh-tap-65-tron-p127943.html?src=category-page-1975&2hi=1,127943,0,0,0,2,10
tiki.vn,https://tiki.vn/giay-the-thao-nu-biti-s-hunter-collection-trial-collaboration-tribal-orange-dsw057333cam-cam-p1753465.html?src=category-page-1975&2hi=1,1753465,0,0,1,3,8
tiki.vn,https://tiki.vn/ta-tap-tay-nhua-vn-4kg-sportslink-xanh-p583348.html?src=category-page-1975&2hi=1,583348,0,0,0,0,2
tiki.vn,https://tiki.vn/kim-bop-tay-the-luc-chu-a-fd1616-p293380.html?src=category-page-1975&2hi=1,293380,3,1,2,5,8
tiki.vn,https://tiki.vn/day-nhay-muay-boxing-kickboxing-sportlink-2m6-p708544.html?src=category-page-1975&2hi=1,708544,0,0,0,3,4
tiki.vn,https://tiki.vn/giay-the-thao-nam-biti-s-hunter-x2-premium-dsm069033kem-p2257841.html?src=category-page-1975&2hi=0,2257841,0,1,0,2,4
tiki.vn,https://tiki.vn/tham-tap-yoga-tpe-2-lop-zera-8mm-2l-xam-xam-p842288.html?src=category-page-1975&2hi=1,842288,0,0,1,1,2
tiki.vn,https://tiki.vn/vot-bong-ban-double-fish-df-4ac-p383246.html?src=category-page-1975&2hi=1,383246,1,0,0,2,4
tiki.vn,https://tiki.vn/tui-dung-giay-the-thao-2-ngan-gymlink-sportslink-xanh-den-p2499239.html?src=category-page-1975&2hi=0,2499239,0,0,0,0,2
tiki.vn,https://tiki.vn/combo-doi-vot-cau-long-rcsb-3-qua-cau-long-lht-rcsb3-den-p1007885.html?src=category-page-1975&2hi=1,1007885,0,0,0,0,2
tiki.vn,https://tiki.vn/vong-mung-2-5m-le30-p452021.html?src=category-page-1975&2hi=1,452021,1,1,1,2,2
tiki.vn,https://tiki.vn/giay-the-thao-nu-biti-s-hunter-x2-premium-dsw057433nau-p2257889.html?src=category-page-1975&2hi=1,2257889,0,0,1,1,3
tiki.vn,https://tiki.vn/tham-yoga-pu-hoa-van-relax-2-da-6mm-p1077732.html?src=category-page-1975&2hi=1,1077732,1,1,3,3,6
tiki.vn,https://tiki.vn/tham-tap-yoga-phu-dat-tk8-xanh-dam-8mm-p778547.html?src=category-page-1975&2hi=1,778547,0,0,3,2,4
tiki.vn,https://tiki.vn/hop-1-doi-nut-bit-tai-chong-nuoc-mack-s-aqua-block-1112-p1662749.html?src=category-page-1975&2hi=1,1662749,0,0,0,0,1
tiki.vn,https://tiki.vn/giay-sneaker-nu-fine-hot-trend-fine-chu-m-chat-dep-hapu-p3357707.html?src=category-page-1975&2hi=0,3357707,0,0,1,1,1
