Domain,Url,Product_id,1,2,3,4,5
tiki.vn,https://tiki.vn/tinh-bot-nghe-vcurmin-vien-khoa-hoc-cong-nghe-100g-p1710677.html?src=category-page-1520.2322&2hi=1,1710677,3,1,2,4,68
tiki.vn,https://tiki.vn/thuc-pham-chuc-nang-tra-giam-can-thao-moc-vy-tea-15-goi-p5096651.html?src=category-page-1520.2322&2hi=1,5096651,0,0,0,0,9
tiki.vn,https://tiki.vn/thuc-pham-chuc-nang-tra-dong-trung-ha-thao-biofun-p5894379.html?src=category-page-1520.2322&2hi=0,5894379,0,0,0,0,9
tiki.vn,https://tiki.vn/thuc-pham-chuc-nang-mat-ong-thien-nhien-honeyboy-500ml-p558298.html?src=category-page-1520.2322&2hi=1,558298,0,1,0,2,8
tiki.vn,https://tiki.vn/thuc-pham-chuc-nang-vien-tang-can-thao-moc-slimming-care-yummy-lieu-trinh-28-ngay-p922919.html?src=category-page-1520.2322&2hi=0,922919,0,0,1,1,4
tiki.vn,https://tiki.vn/thuc-pham-chuc-nang-omega-3-6-9-bo-nao-tang-tri-nho-sang-mat-p2386485.html?src=category-page-1520.2322&2hi=1,2386485,0,0,0,0,3
tiki.vn,https://tiki.vn/vien-uong-bo-sung-noi-tiet-nu-hyper-evening-primrose-oil-180-vien-p3279001.html?src=category-page-1520.2322&2hi=0,3279001,0,0,0,0,3
tiki.vn,https://tiki.vn/thuc-pham-chuc-nang-mat-gan-giai-ruou-alcofree-rmv-ff-af3-loc-3-chai-x-50ml-p654647.html?src=category-page-1520.2322&2hi=1,654647,0,0,1,0,3
tiki.vn,https://tiki.vn/keo-hac-sam-han-quoc-300g-p1944849.html?src=category-page-1520.2322&2hi=1,1944849,1,0,1,0,2
tiki.vn,https://tiki.vn/bo-sung-canxi-giup-ngan-ngua-han-che-loang-xuong-hang-my-p2039765.html?src=category-page-1520.2322&2hi=0,2039765,0,0,0,0,2
tiki.vn,https://tiki.vn/hop-10-goi-thuc-pham-chuc-nang-giai-ruou-nhat-ban-shugoshin-dang-hop-6-vien-goi-p7811189.html?src=category-page-1520.2322&2hi=0,7811189,0,0,0,0,2
tiki.vn,https://tiki.vn/kem-lam-mo-seo-nc-anzela-c-10g-p431763.html?src=category-page-1520.2322&2hi=1,431763,1,0,7,3,1
tiki.vn,https://tiki.vn/thuc-pham-chuc-nang-lam-dep-da-va-bo-sung-collagen-ancola-14-goi-x-7g-p7073085.html?src=category-page-1520.2322&2hi=1,7073085,0,0,0,0,2
tiki.vn,https://tiki.vn/thuc-pham-chuc-nang-vien-uong-sua-ong-chua-costar-royal-jelly-1450mg-hop-100-vien-p409951.html?src=category-page-1520.2322&2hi=1,409951,1,1,0,1,2
