Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
tiki.vn,https://tiki.vn/ao-co-lo-nam-ta13-p4087631.html?src=category-page-914.915.8335&2hi=1,4087631,OEM,Trang phục nam,,75.000 ₫,Lala Luxury,," Áo cổ lọ nam Chất liệu thun cotton 4 chiều ,có nhiều màu nhiều size Phù hợp cho mọi lứa tuổi ,mặc khi đi chơi hay đi làm đều đẹp ",""""""
tiki.vn,https://tiki.vn/quan-jean-nam-qq62-hang-dep-muidoi-p3557243.html?src=category-page-914.915.8335&2hi=0,3557243,OEM,Trang phục nam,,190.000 ₫,Muidoi,," Quần Jean Nam qq62 Hàng Đẹp Muidoi với thiết kế mới thời trang hơn, mang lại sự tự tin tối đa cho người mặc trước những người xung quanh. Quần may bằng vải denim nên rất mềm và thoải mái khi mặc, đảm bảo sẽ không hề cảm thấy gò bó ngay cả khi di chuyển nhiều. Dáng quần jean ống côn trẻ trung ôm body tạo nên form cực chuẩn cho người mặc 4 túi quần lớn rất thuận tiện cho việc đựng smart phone hoặc ví cỡ bự. Màu sắc chuẩn được nhuộm kỹ đến hai lần giúp hạn chế tối đa việc phai màu khi sử dụng. Vài ảnh chụp cận cảnh để làm rõ thêm sự sắc nét của từng đường may, sớ vải. Hướng dẫn chọn size Size 28 (Từ 43 - 50kg Cao Dưới 1m72) Vòng bụng 79cm Size 29 (Từ 50 - 55kg Cao Dưới 1m73) Vòng bụng 80cm Size 30 (Từ 55 - 59kg Cao Dưới 1m74) Vòng bụng 81cm Size 31 ( Từ 60- 64kg Cao Dưới 1m74) Vòng bụng 83cm Size 32 (Từ 65 - 70kg Cao Dưới 1m74) Vòng bụng 85cm Size 33 (Từ 70 - 73kg Cao Dưới 1m74) Vòng bụng 87cm Size 34 (Từ 74 - 78kg Cao Dưới 1m74) Vòng bụng 89cm ",""""""
tiki.vn,https://tiki.vn/quan-jeans-nam-cotton-slimfit-vinh-tien-jean-17-xanh-den-dam-p1354867.html?src=category-page-914.915.8335&2hi=0,1354867,Thời Trang Vĩnh Tiến,Trang phục nam,,485.000 ₫,vinhtienshop,," Quần Jeans Nam Cotton Slimfit Vĩnh Tiến JEAN 17 có thiết kế đơn giản, trẻ trung, cùng chất liệu cao cấp, đem lại nét năng động và thời trang cho cánh mày râu mỗi khi kết hợp với các trang phục khác. Quần được may từ jean thun co giãn nhẹ, không còn cảm giác thô và cứng, đem lại sự thoải mái, dễ chịu khi vận động trong mọi hoạt động hằng ngày. Thiết kế quần form ôm, 5 túi cổ điển theo phong cách đơn giản, không cầu kì với đường may vô cùng tỉ mỉ, tinh tế. Quần được tạo điểm nhấn với chi tiết viền vàng giúp cho tổng thể trang phục thêm hiện đại, thời trang. Nhờ vào thiết kế trẻ trung cùng màu sắc jeans truyền thống quần dễ dàng phối hợp cùng các loại áo,... phù hợp diện đi làm, đi học, đi chơi hay đi dạo,... Hướng dẫn chọn size: Size Size 29 Size 30 Size 31 Size 32 Size 33 Size 34 Vòng bụng (cm) 74.6 77 79.6 82 84.6 87 Vòng mông (cm) 94 96.6 99 101.6 104 106.6 Đũng trước 0 cạp (cm) 20.5 21 21.5 22 22.5 23 Đũng sau (cm) 31.5 32 32.5 33 33.5 34 Dài quần (cm) 104 105 106 107 107 108 ",""""""
tiki.vn,https://tiki.vn/quan-short-jeans-nam-a91-jeans-thoi-trang-001-msrbs001dk-xanh-dam-p2698499.html?src=category-page-914.915.8335&2hi=1,2698499,A91 JEANS,Trang phục nam,,315.000 ₫,A91 JEANS,," Quần Short Jeans Nam A91 JEANS Thời Trang 001 MSRBS001DK - Xanh Đậm có tông màu thanh lịch, hiện đại giúp bạn dễ dàng kết hợp với áo Sơ Mi, áo Thun, áo Tanktop để dạo phố hay dã ngoại cùng bạn bè vào dịp cuối tuần. Form ôm nhẹ tạo cảm giác thoải mái khi vận động mà không hề gây hầm bí. Chất liệu Jeans pha thun có tính năng bền màu vượt trội, hạn chế bị nhăn nhàu hay xù lông sau khi giặt. Đường may gia công tỉ mỉ và chắc chắn, chống bung đứt. Thông số sản phẩm: Vòng eo x Vòng mông x Chiều dài: Size 28 (80 x 98 x 52 cm) Size 30 (84 x 106 x 52 cm) Size 32 (88 x 108 x 54 cm) Size 34 (92 x 110 x 56 cm) Size 36 (96 x 112 x 56 cm) Size 38 (102 x 118 x 57 cm) ",""""""
tiki.vn,https://tiki.vn/ao-t-shirt-unisex-dotilo-captain-america-b220-p8474506.html?src=category-page-914.915.8335&2hi=0,8474506,DOTILO,Trang phục nam,,299.000 ₫,DOTILO,," Áo T-shirt Unisex Dotilo CAPTAIN AMERICA - b220 có thiết kế áo cổ tròn phối tay ngắn giúp tự tin thể hiện phong cách cá tính, mạnh mẽ. Chất liệu áo thun 100% cotton xuất Nhật co giãn kết hợp công nghệ dệt 3D mặc nhẹ, mát, khử mùi hôi tốt. Đường may móc xích đôi tinh tế giúp sản phẩm bền đẹp. Kích thước hình in tối đa khổ A3 với công nghệ in DTG hiện đại cho hình ảnh sắc nét. Hướng dẫn chọn size ",""""""
tiki.vn,https://tiki.vn/ao-thun-unisex-mirako-touken-ranbu-04-tsurumaru-trang-p4061969.html?src=category-page-914.915.8335&2hi=0,4061969,Mirako,Trang phục nam,,199.000 ₫,MIRAKO,," Áo Thun Unisex Mirako Touken Ranbu 04-TsurUmaru - Trắng được may từ chất liệu vải thun co dãn tốt, mềm mịn và tạo cảm giác thoải mái khi mặc. Kiểu dáng thời trang, trẻ trung với thiết kế độc đáo mang đến phong cách năng động và cá tính cho bạn. Có thể kết hợp cùng nhiều kiểu quần, và các loại phụ kiện thời trang, thích hợp diện đi làm, đi học hoặc đi dạo phố cùng bạn bè. Đường may tỉ mỉ, chắc chắn, tạo cảm giác khỏe khắn cho người mặc. Hình in sắc nét, form áo ôm vừa vặn. Hướng dẫn chọn size: Size Vòng Ngực (cm) Độ Dài Áo (cm) Cân Nặng (kg) Chiều Cao (m) S 85 61 40 - 50 1.45 - 1.525 M 95 67 50 - 60 1.525 - 1.6 L 105 70 60 - 70 1.60 - 1.675 XL 115 73 70 - 80 1.675 - 1.75 XXL 125 76 80 - 90 1.75 - 1.825 ",""""""
tiki.vn,https://tiki.vn/ao-cardigan-len-nam-new01-zavans-p3498611.html?src=category-page-914.915.8335&2hi=0,3498611,OEM,Trang phục nam,,243.000 ₫,ZAVANS shop,," Áo Cardigan Len Nam New01 Phong Cách Hàn Quốc Zavans có thiết kế dáng áo khoác nhẹ, form body cho mùa thu se lạnh Áo len dài tay, form suông vừa vặn, tạo cảm giác thoải mái phong cách khi mặc. Kiểu áo mang tính ứng dụng cao, có thể kết hợp cùng các cùng quần jeans dài, quần âu khi đi làm, đi chơi, hoặc phối cùng quần short đơn giản khi dạo phố, du lịch… Hướng dẫn chọn size: Size M L XL XXL XXXL Cân nặng (kg) Dưới 55 55 - 65 65 - 75 75 - 80 Trên 80 ",""""""
tiki.vn,https://tiki.vn/ao-thun-nam-in-hinh-youtube-everest-aoknam396-xanh-p1634513.html?src=category-page-914.915.8335&2hi=0,1634513,Everest,Trang phục nam,,69.000 ₫,Everest,," Áo Thun Nam In Hình YouTube Everest AokNAM396 (Xanh) với thiết kế áo cổ tròn phối tay ngắn đơn giản mang đến cho bạn nam phong cách khỏe khoắn, năng động. Đặc biệt với họa tiết nổi bật trước ngực tạo nhấn trẻ trung, ấn tượng là một item không thể thiếu trong tủ quần áo của bạn. Form áo suông, vừa vặn giúp tôn lên những đường nét săn chắc, mạnh mẽ của phái mạnh đồng thời mang đến sự thoải mái khi vận động, di chuyển. Áo được gia công kỹ lưỡng đường may chắc chắn, tỉ mỉ giúp bạn yên tâm trong suốt quá trình sử dụng. Ngoài ra, kiểu dáng áo đơn giản dễ phối với các loại quần jean, kaki mang đến phong cách nam tính, mạnh mẽ đặc biệt có thể thích hợp mix cùng với quần short, quần thun khi đi dạo, tập thể thao hay ở nhà. Hướng dẫn chọn size: Size XS S M L XL XXL XXXL Cân nặng <40 kg 38 - 46 kg 47 - 54 kg 55 - 62 kg 63 - 72 kg 73 - 81 kg 85 - 95 kg Chiều cao <1m50 1m45 - 1m58 1m55 - 1m65 1m63 - 1m74 1m65 - 1m77 1m68 - 1m82 ",""""""
tiki.vn,https://tiki.vn/ao-thun-dai-tay-tap-gym-cao-cap-1009-zavans-p7821438.html?src=category-page-914.915.8335&2hi=0,7821438,ZAVANS,Trang phục nam,,162.000 ₫,ZAVANS shop,," Áo Thun Nam Cộc Tay Tập Gym Cao Cấp 1009 ZAVANS với thiết kế trẻ trung, độc đáo cho các bạn khoe cá tính sôi nổi. Chất liệu vải polyester với đặc tính độ đàn hồi cao, thấp hút mồ hôi và khô nhanh mang lại sự thoải mái, thoáng mát, phù hợp với các hoạt động trong phòng tập thể dục. Áo ba lỗ tập gym nam cao cấp ZAVANS 1001 chất liệu co giãn thấp hút mồ hôi là sự lựa chọn hàng đầu cho những bạn sử dụng trong tập GYM và thể thao, .... ",""""""
tiki.vn,https://tiki.vn/ao-thun-nam-everest-aoknam35-trang-p1625469.html?src=category-page-914.915.8335&2hi=0,1625469,Everest,Trang phục nam,,69.000 ₫,Everest,," Áo Thun Nam Everest AoKNAM35 - Trắng đến từ thương hiệu Everest sẽ giúp bạn dễ dàng phối hợp với nhiều trang phục và phong cách khác nhau. Hình in trên áo là điểm nhấn trẻ trung cho những chàng trai năng động, cá tính. Áo thun đơn giản luôn là item không thể thiếu trong tủ quần áo của các chàng, cùng nhiều màu sắc nổi bật áo thun in sẽ giúp bạn dễ dàng phối hợp với nhiều trang phục và phong cách khác nhau. Bạn sẽ cảm thấy tự do và phóng khoáng khi khoác lên mình chiếc áo thun này. Áo thun cổ tròn thiết kế bởi đội ngũ stylist chuyên nghiệp. Áo có thiết kế đơn giản, chất liệu thấm hút tốt mang đến cho bạn cảm giác khô thoáng, dễ chịu mang đến vẻ sành điệu, năng động và trẻ trung cho bạn. Nổi bật bởi chất liệu mềm mát, đây sẽ là trang phục không thể thiếu cho bộ sưu tập thời trang của bạn. Với chiếc áo phông nam này, bạn trai có thể mặc phối hợp cùng áo sơ mi, áo thun hay vest để tạo nhiều style thời trang cho phái nam độc đáo, cá tính cho riêng mình, các bạn có thể mặc đi chơi, dạo phố, picnic, du lịch cùng với bạn bè, người thân hay các buổi hẹn hò thật lãng mạn và ấn tượng cùng người ấy. Hướng dẫn chọn size: Size Cân nặng (kg) Chiều ngang ngực (cm) Chiều dài áo (cm) Chiều ngang vai (cm) XS 30 - 40 41 56 35 S 40 - 50 42 62 37 M 50 - 60 46 66 40 L 60 - 70 48 69 43 XL 70 - 80 51 72 46 XXL 80 - 90 55 74 47 XXXL 90 - 100 57 76 49 ",""""""
