Domain,Url,Product_id,1,2,3,4,5
tiki.vn,https://tiki.vn/balo-laza-bltk247-30-x-42-cm-xam-tang-kem-tui-deo-cheo-laza-txtk349-den-p917926.html?src=category-page-914.6000&2hi=1,917926,1,0,0,0,2
tiki.vn,https://tiki.vn/combo-balo-tui-du-lich-ronal-cb06-cmtx18bl85-den-soc-xanh-la-p1667329.html?src=category-page-914.6000&2hi=1,1667329,0,0,0,1,0
tiki.vn,https://tiki.vn/balo-birdybag-supermini-p4514271.html?src=category-page-914.6000&2hi=0,4514271,0,0,0,0,3
tiki.vn,https://tiki.vn/tui-du-lich-xep-gon-tn0180-do-p1724123.html?src=category-page-914.6000&2hi=1,1724123,0,0,0,0,3
tiki.vn,https://tiki.vn/tui-xach-dung-phu-kien-dien-thoai-va-do-ca-nhan-tx03-p11132429.html?src=category-page-914.6000&2hi=0,11132429,0,0,0,0,3
tiki.vn,https://tiki.vn/balo-quai-nhom-xach-cao-cap-praza-bl161-43-x-31-cm-xam-p2132759.html?src=category-page-914.6000&2hi=1,2132759,0,0,0,0,3
tiki.vn,https://tiki.vn/balo-thoi-trang-di-hoc-chong-gu-lung-be-gai-mau-hong-size-42-cm-x-32cm-p4789315.html?src=category-page-914.6000&2hi=0,4789315,0,0,0,0,3
tiki.vn,https://tiki.vn/tui-keo-du-lich-macat-tb38-p2538137.html?src=category-page-914.6000&2hi=1,2538137,0,0,0,0,3
tiki.vn,https://tiki.vn/balo-laptop-15-6-ronal-bl88-xam-logo-bo-p1948555.html?src=category-page-914.6000&2hi=1,1948555,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-trong-tron-hoa-tiet-hoa-dutti-no-10-30-x-20-cm-p974491.html?src=category-page-914.6000&2hi=1,974491,0,0,1,1,0
tiki.vn,https://tiki.vn/balo-laza-bltk279-xam-44-x-13-cm-p604854.html?src=category-page-914.6000&2hi=1,604854,0,1,4,6,9
tiki.vn,https://tiki.vn/vali-du-lich-lock-lock-travel-zone-ltz994lbtsa-20-xanh-duong-p949055.html?src=category-page-914.6000&2hi=1,949055,0,0,0,4,5
tiki.vn,https://tiki.vn/balo-classical-glado-bll006re-30-x-42-cm-do-p891984.html?src=category-page-914.6000&2hi=0,891984,0,0,0,2,3
tiki.vn,https://tiki.vn/balo-sonoz-l-equilibre-46-x-28-cm-p2151855.html?src=category-page-914.6000&2hi=1,2151855,0,1,0,0,5
tiki.vn,https://tiki.vn/tui-chong-soc-sieu-gon-cho-macbook-laptop-qx-tcsqxvodo-11-hong-p1512961.html?src=category-page-914.6000&2hi=0,1512961,0,0,0,0,1
tiki.vn,https://tiki.vn/balo-sonoz-le-park-croix-b6017-32-x-40-cm-xanh-dam-p1008379.html?src=category-page-914.6000&2hi=1,1008379,0,0,0,0,1
tiki.vn,https://tiki.vn/combo-balo-kem-vi-thoi-trang-botusi-mc-dol-p3647975.html?src=category-page-914.6000&2hi=1,3647975,0,0,0,0,1
tiki.vn,https://tiki.vn/balo-laptop-qx1404-15-ghi-p1290907.html?src=category-page-914.6000&2hi=1,1290907,1,1,1,0,0
tiki.vn,https://tiki.vn/balo-classical-glado-bll006ba-30-x-42-cm-den-p893152.html?src=category-page-914.6000&2hi=0,893152,0,0,0,2,3
tiki.vn,https://tiki.vn/tui-deo-cheo-lata-hn15-da-bo-dam-p468676.html?src=category-page-914.6000&2hi=1,468676,0,0,0,3,13
tiki.vn,https://tiki.vn/vali-nhua-deo-trip-pp103-xanh-ngoc-p1694105.html?src=category-page-914.6000&2hi=0,1694105,0,0,0,1,1
tiki.vn,https://tiki.vn/balo-ronal-bl87-in-tron-wash-42-x-32-cm-den-phoi-xam-p960705.html?src=category-page-914.6000&2hi=1,960705,0,0,0,1,1
tiki.vn,https://tiki.vn/tui-dung-phu-kien-co-vua-elecom-bma-gp05rd-165-x-30-mm-p4061627.html?src=category-page-914.6000&2hi=0,4061627,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-xach-hanh-ly-laza-tx371-p7363039.html?src=category-page-914.6000&2hi=1,7363039,0,0,2,2,15
tiki.vn,https://tiki.vn/balo-sonoz-le-park-noir-f-blanc2017-32-x-42-cm-p1044476.html?src=category-page-914.6000&2hi=0,1044476,0,0,0,4,3
tiki.vn,https://tiki.vn/balo-nu-thoi-trang-naza-t60089den-31-x-33-cm-den-p2004657.html?src=category-page-914.6000&2hi=0,2004657,1,0,0,0,1
tiki.vn,https://tiki.vn/balo-miha-mhbl02-24-x-28-cm-den-p989793.html?src=category-page-914.6000&2hi=1,989793,0,0,0,0,0
tiki.vn,https://tiki.vn/ba-lo-nam-haras-hr015-xam-p783525.html?src=category-page-914.6000&2hi=1,783525,0,0,0,2,1
tiki.vn,https://tiki.vn/balo-laptop-coolbell-7010-15-den-p1735699.html?src=category-page-914.6000&2hi=1,1735699,0,0,0,0,1
tiki.vn,https://tiki.vn/tui-trong-tron-dutti-no-10-30-x-20-cm-tim-p974489.html?src=category-page-914.6000&2hi=1,974489,0,0,0,0,0
tiki.vn,https://tiki.vn/vi-clutch-du-tiec-kim-tuyen-knt-bac-knt05-p572419.html?src=category-page-914.6000&2hi=1,572419,0,0,0,0,2
tiki.vn,https://tiki.vn/balo-solo-urban-code-endeavor-15-6-ubn740-den-xam-p1305087.html?src=category-page-914.6000&2hi=1,1305087,0,0,0,0,2
tiki.vn,https://tiki.vn/balo-simplecarry-k5-45-x-14-cm-p2229635.html?src=category-page-914.6000&2hi=1,2229635,0,0,0,0,2
tiki.vn,https://tiki.vn/cap-da-nang-van-phong-cms-p4497755.html?src=category-page-914.6000&2hi=0,4497755,0,0,0,0,0
tiki.vn,https://tiki.vn/vali-chong-trom-trip-pc911-size-70-do-p2058127.html?src=category-page-914.6000&2hi=0,2058127,1,0,1,0,0
tiki.vn,https://tiki.vn/balo-praza-bl156xam-38-x-28-cm-xam-phoi-vang-tang-moc-khoa-p795179.html?src=category-page-914.6000&2hi=1,795179,1,0,2,2,4
tiki.vn,https://tiki.vn/tui-deo-cheo-nam-laza-txtk357-xanh-den-p685060.html?src=category-page-914.6000&2hi=1,685060,1,3,4,5,21
tiki.vn,https://tiki.vn/tui-vai-tote-living-blue-xinhstore-31-x-35-cm-den-p2028467.html?src=category-page-914.6000&2hi=1,2028467,2,1,2,5,20
tiki.vn,https://tiki.vn/tui-chong-soc-macbook-laptop-qx-tcsqx-xam-dam-p1310793.html?src=category-page-914.6000&2hi=1,1310793,0,0,1,3,2
tiki.vn,https://tiki.vn/combo-2-tui-dung-giay-day-rut-chong-tham-tot-giao-mau-ngau-nhien-gr001-p4229193.html?src=category-page-914.6000&2hi=1,4229193,1,0,0,0,0
tiki.vn,https://tiki.vn/balo-arte-school-bag-p6656367.html?src=category-page-914.6000&2hi=1,6656367,0,0,0,0,0
tiki.vn,https://tiki.vn/balo-praza-bl158d-32-x-43-cm-den-p999879.html?src=category-page-914.6000&2hi=1,999879,0,0,1,0,0
tiki.vn,https://tiki.vn/balo-may-tinh-bopai-p3446301.html?src=category-page-914.6000&2hi=0,3446301,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-du-lich-macat-db1-do-56-x-30-cm-do-p796071.html?src=category-page-914.6000&2hi=1,796071,0,0,0,0,0
tiki.vn,https://tiki.vn/combo-balo-phat-sang-ohazo-hinh-chu-nghe-nhac-tang-cap-sac-dien-thoai-p5174107.html?src=category-page-914.6000&2hi=0,5174107,0,0,0,0,0
tiki.vn,https://tiki.vn/balo-vai-di-hoc-thoi-trang-phong-cach-han-quoc-xanh-30-x-45cm-p2078619.html?src=category-page-914.6000&2hi=0,2078619,0,0,0,0,0
tiki.vn,https://tiki.vn/balo-simplecarry-a-city-44-x-16-cm-p2229661.html?src=category-page-914.6000&2hi=1,2229661,0,1,1,1,0
tiki.vn,https://tiki.vn/tui-chong-soc-laptop-15-6-inch-nhieu-ngan-tien-dung-xanh-p5996327.html?src=category-page-914.6000&2hi=0,5996327,0,0,0,0,0
tiki.vn,https://tiki.vn/balo-du-lich-phuot-cao-cap-35l-bl23-p4902563.html?src=category-page-914.6000&2hi=0,4902563,0,0,0,0,0
tiki.vn,https://tiki.vn/cap-cong-so-macat-vip1-42-x-34-cm-xanh-navy-p2646927.html?src=category-page-914.6000&2hi=1,2646927,0,0,0,0,0
tiki.vn,https://tiki.vn/balo-laptop-thoi-trang-glado-bll014-den-p2142781.html?src=category-page-914.6000&2hi=1,2142781,0,0,0,0,0
tiki.vn,https://tiki.vn/tui-xach-coolbell-cb503den-15-den-phoi-xam-p1702603.html?src=category-page-914.6000&2hi=1,1702603,0,0,0,0,0
tiki.vn,https://tiki.vn/ba-lo-ket-hop-tui-deo-vai-nu-thoi-trang-2-trong-1-hot-hanama-bt6610-p9668051.html?src=category-page-914.6000&2hi=0,9668051,0,0,0,0,0
tiki.vn,https://tiki.vn/balo-nu-balo-hoc-sinh-sinh-vien-thoi-trang-tang-kem-khoa-gau-de-thuong-p4843923.html?src=category-page-914.6000&2hi=0,4843923,0,0,1,0,0
tiki.vn,https://tiki.vn/combo-5-bao-passport-trong-suot-dung-ho-chieu-loai-day-3-ngan-p10239742.html?src=category-page-914.6000&2hi=0,10239742,0,0,0,0,0
