Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
tiki.vn,https://tiki.vn/xe-may-dien-thong-minh-vinfast-klara-phien-ban-acquy-axit-chi-xanh-p7397361.html?src=category-page-8594.6070&2hi=0,7397361,Vinfast,Xe điện,Xe Máy Điện Thông Minh Vinfast Klara Phiên Bản Acquy Axit Chì - Xanh,25.000.000 ₫,SKYTT- XE MÁY ĐIỆN VINFAST,," Thiết kế năng động, hiện đại Xe Máy Điện Thông Minh Vinfast Klara Phiên Bản Acquy Axit Chì sở hữu một thiết kế tràn đầy những đường nét cong dứt khoát, mạnh mẽ cùng vóc dáng cứng cáp nhưng vẫn gọn gàng, năng động, đâu đó ở Klara toát ra hơi hướng của một tác phẩm điêu khắc đương đại. Phương tiện di chuyển cá nhân ưu việt cho thế hệ trẻ thành đạt và hiện đại. Mặt trước được làm đơn giản với đèn pha ngũ giác khá lớn, các chi tiết mềm và gọn. Bên dưới là logo VinFast đặt gọn gàng. Thân xe với những nét nhấn mạnh mẽ, dứt khoát cùng thiết kế chia mảng lớn cho một cái nhìn cứng cáp, hiện đại. Cốp xe rộng rãi, chứa đủ 2 mũ bảo hiểm và laptop. Động cơ mạnh mẽ Vành xe kích thước 14 inch. Xe sẽ dùng động cơ của Đức hoặc do hãng làm chủ công nghệ, tốc độ tối đa 50-70 km/h. Thông số kỹ thuật khác ĐỘNG CƠ LOẠI ĐỘNG CƠ Động cơ một chiều không chổi than (BLDC) tích hợp trong bánh sau BỘ ĐIỀU KHIỂN Bộ điều khiển động cơ BLDC, hiệu suất cao, dòng tối đa 35A, phanh tái sinh TỐC ĐỘ THIẾT KẾ Dưới 50 km/h HỆ THỐNG ẮC-QUY LI-ION LOẠI ẮC-QUY Ắc-quy chì a-xít kín khí, 5 bình nối tiếp DUNG LƯỢNG TỐI ĐA 21 Ah DUNG LƯỢNG TIÊU CHUẨN 20 Ah TRỌNG LƯỢNG TRUNG BÌNH 35 kg THỜI GIAN SẠC TIÊU CHUẨN 8 giờ (80% SOC) 10 giờ (95% SOC) 12 giờ (100% SOC) THỜI GIAN SẠC TỐI ĐA 12 giờ 15 phút LOẠI SẠC Sạc ắc-quy chì a-xít kèm theo xe do VINFAST cung cấp TRUYỀN ĐỘNG BỘ TRUYỀN ĐỘNG Dẫn động trực tiếp HỆ THỐNG KHUNG/GIẢM XÓC/PHANH GIẢM XÓC TRƯỚC-SAU Có PHANH TRƯỚC Đĩa PHANH SAU Đĩa KÍCH THƯỚC CƠ BẢN KHOẢNG CÁCH TRỤC BÁNH TRƯỚC-SAU 1300 mm DÀI X RỘNG X CAO 1910 x 685 x 1130 mm KHOẢNG SÁNG GẦM 125 mm CHIỀU CAO YÊN 760 mm KÍCH THƯỚC VÀNH XE Vành trước 14”, vành sau 12” THỂ TÍCH KHOANG CHỨA ĐỒ DƯỚI YÊN 22 l TRỌNG LƯỢNG XE VÀ ẮC-QUY LI-ION 116kg HỆ THỐNG CHIẾU SÁNG ĐÈN PHA TRƯỚC Halogen ĐÈN XI NHAN, ĐÈN HẬU LED ",""""""
tiki.vn,https://tiki.vn/xe-dap-dien-bmx-22-inch-p811691.html?src=category-page-8594.6070&2hi=0,811691,BMX,Xe điện,Xe Đạp Điện BMX 22 Inch,8.500.000 ₫,Thế Giới Xe Chạy Điện,," Bánh trước với vành tăm cổ điển Xe đạp điện Bmx 22 Inch có bánh trước được thiết kế theo kiểu dáng vành tăm cổ điển, với thắng cơ an toàn ở tâm, giảm sóc trước êm ái và lốp cao su có ruột 22inch thông dụng. Giỏ được làm từ nhựa mềm độ bền cao Giỏ xe được làm từ nhựa mềm cao cấp, được bắt chắc chắn phía trước thân xe, với diện tích rộng giúp người sử dụng dễ dàng cất dữ các đồ dùng khác nhau. Tay lái thông minh Tay lái được thiết kế thông minh với 3 nấc tốc độ, được đặt ở khoảng cách hợp lý giúp người điều khiển dễ dàng vận hành xe, tăng giảm tốc độ theo nhu cầu sử dụng. Để chân và bản đạp Thiết kế để chân và bàn đạp song song, đặt ở khoảng cách phù hợp để người sử dụng dễ dàng lựa chọn chế độ vận hành của xe. Bình ắc quy được đặt phía dưới yên xe Xe đạp điện Bmx 22 inch sử dụng bình ắc quy được đặt phía dưới yên trước của xe, với công suất 500W / 1 lần sạc giúp cung cấp năng lượng cho toàn bộ chiếc xe trong quá trình vận hành. Động cơ và bánh sau Động cơ lớn ở tâm bánh sau được sản xuất theo công nghệ Châu Âu, với công suất 250W giúp xe dễ dàng tăng tốc, vận hành ổn định, ít tiêu hao năng lượng. Thông số kỹ thuật khác Chiều dài x rộng x cao 1850 x 680 x 1120 mm Cỡ lốp trước (47 - 456) 22 x 1.75 Cỡ lốp sau (47 - 456) 22 x 1.75 Động cơ 250W, 3 pha, một chiều không chổi than Công suất lớn nhất / số vòng quay 250KW / v / ph Cách thức thao tác Tự động Quãng đường di chuyển 40 - 50km/1lần sạc Vận tốc tối đa 30 - 40km/h Trọng lượng toàn bộ 167kg Số người cho phép chỡ 2 người Bảo vệ tụt áp 41v Ắc quy 48v - 12a Sạc điện 06 - 08h Board 250W Tay ga Làm việc ở 3 chế độ Lốp Không săm Đèn pha Hoạt động ở một chế độ Phanh trước Phanh kiểu tang trống Phanh sau Phanh kiểu tang trống Phân bổ bánh sau 23kg Phân bổ bánh trước 14kg Tiêu thụ năng lương/1 lần sạc 576W Điện áp 220V - 50hz Lượng điện tiêu hao cho 1 lần sạc ≤ 0.5 kw Leo dốc 30 o Điện áp động cơ 48V ",""""""
tiki.vn,https://tiki.vn/yen-xe-dap-dien-kich-thuoc-24-x-22-cm-p9797124.html?src=category-page-8594.6070&2hi=0,9797124,OEM,Xe điện,Yên xe đạp điện kích thước 24 x 22 cm,179.000 ₫,SPORTSWORLD,, Dành cho xe đạp điện Yên với kích thước to Kích thước: 24 x 22 x 7 cm Trọng lượng 679gr ,""""""
tiki.vn,https://tiki.vn/xe-may-dien-thong-minh-vinfast-klara-phien-ban-acquy-axit-chi-do-p8417737.html?src=category-page-8594.6070&2hi=0,8417737,Vinfast,Xe điện,Xe Máy Điện Thông Minh Vinfast Klara Phiên Bản Acquy Axit Chì - Đỏ,25.000.000 ₫,VINFAST - VIET GROUP,," Thiết kế năng động, hiện đại Xe Máy Điện Thông Minh Vinfast Klara Phiên Bản Acquy Axit Chì sở hữu một thiết kế tràn đầy những đường nét cong dứt khoát, mạnh mẽ cùng vóc dáng cứng cáp nhưng vẫn gọn gàng, năng động, đâu đó ở Klara toát ra hơi hướng của một tác phẩm điêu khắc đương đại. Phương tiện di chuyển cá nhân ưu việt cho thế hệ trẻ thành đạt và hiện đại. Mặt trước được làm đơn giản với đèn pha ngũ giác khá lớn, các chi tiết mềm và gọn. Bên dưới là logo VinFast đặt gọn gàng. Đèn pha Full LED Đầu xe là sự kết hợp của thiết kế khí động học mềm mại và dàn đèn pha full LED trẻ trung, phá cách. Mặt nạ phía trước vươn cao như cánh chim cho dáng xe thanh thoát, nhẹ nhàng. Thân xe với những nét nhấn mạnh mẽ, dứt khoát cùng thiết kế chia mảng lớn cho một cái nhìn cứng cáp, hiện đại. Đuôi xe cùng dàn đèn LED và thiết kế ôm gọn đem lại cảm giác đầy đặn và hiện đại. Cốp xe rộng rãi, chứa đủ 2 mũ bảo hiểm và laptop. Động cơ mạnh mẽ Vành xe kích thước 14 inch. Xe sẽ dùng động cơ của Đức hoặc do hãng làm chủ công nghệ, tốc độ tối đa 50-70 km/h. Smart eScooter Đồng hồ điện tử kích thước lớn hiển thị các thông số cơ bản của xe. Klara có khả năng kết nối với smartphone để thực hiện một số thao tác điều khiển hoặc giám sát xe. Một chạm để mở và khoá Klara ngay trên smartphone, tìm xe bằng định vị toàn cầu. Thông số kỹ thuật khác ĐỘNG CƠ LOẠI ĐỘNG CƠ Động cơ một chiều không chổi than (BLDC) tích hợp trong bánh sau BỘ ĐIỀU KHIỂN Bộ điều khiển động cơ BLDC, hiệu suất cao, dòng tối đa 35A, phanh tái sinh TỐC ĐỘ THIẾT KẾ Dưới 50 km/h HỆ THỐNG ẮC-QUY LI-ION LOẠI ẮC-QUY Ắc-quy chì a-xít kín khí, 5 bình nối tiếp DUNG LƯỢNG TỐI ĐA 21 Ah DUNG LƯỢNG TIÊU CHUẨN 20 Ah TRỌNG LƯỢNG TRUNG BÌNH 35 kg THỜI GIAN SẠC TIÊU CHUẨN 8 giờ (80% SOC) 10 giờ (95% SOC) 12 giờ (100% SOC) THỜI GIAN SẠC TỐI ĐA 12 giờ 15 phút LOẠI SẠC Sạc ắc-quy chì a-xít kèm theo xe do VINFAST cung cấp TRUYỀN ĐỘNG BỘ TRUYỀN ĐỘNG Dẫn động trực tiếp HỆ THỐNG KHUNG/GIẢM XÓC/PHANH GIẢM XÓC TRƯỚC-SAU Có PHANH TRƯỚC Đĩa PHANH SAU Đĩa KÍCH THƯỚC CƠ BẢN KHOẢNG CÁCH TRỤC BÁNH TRƯỚC-SAU 1300 mm DÀI X RỘNG X CAO 1910 x 685 x 1130 mm KHOẢNG SÁNG GẦM 125 mm CHIỀU CAO YÊN 760 mm KÍCH THƯỚC VÀNH XE Vành trước 14”, vành sau 12” THỂ TÍCH KHOANG CHỨA ĐỒ DƯỚI YÊN 22 l TRỌNG LƯỢNG XE VÀ ẮC-QUY LI-ION 116kg HỆ THỐNG CHIẾU SÁNG ĐÈN PHA TRƯỚC Halogen ĐÈN XI NHAN, ĐÈN HẬU LED ",""""""
tiki.vn,https://tiki.vn/xe-dap-dien-asama-ebk-ry2001-p6215595.html?src=category-page-8594.6070&2hi=0,6215595,Asama,Xe điện,Xe Đạp Điện Asama EBK RY2001,10.350.000 ₫,MARTIN 107,," Cấu tạo bền bỉ, chắc chắn Xe đạp điện Asama EBK RY2001 có kiểu dáng nhỏ gọn, dễ dàng di chuyển trên đường phố đông đúc, đem lại nhiều tiện ích khi sử dụng. Sản phẩm còn góp phần mang đến phong cách năng động, cá tính cho người dùng, góp phần tiết kiệm chi phí và bảo vệ môi trường. Thiết kế xe ấn tượng, trẻ trung với khung thép có kết cấu chắc chắn. Bên ngoài được phủ một lớp sơn tĩnh điện cao cấp, có độ bền cao cùng khả năng chống trầy xước tốt, đồng thời có thể chịu được tác động khắc nghiệt của môi trường. Trang bị giảm xóc và chịu tải tốt Phần trước được thiết kế theo kiểu dáng cổ điển với vành nhôm tấm siêu nhẹ. Thiết kế yên rời theo kiểu dáng yên xe đạp trước đây, được làm từ đệm cao su, nhựa cao cấp và bọc ngoài cùng bằng da nhân tạo, góp phần tạo nên sự thoải mái khi ngồi. Giỏ xe rộng đựng được nhiều vật dụng Giỏ xe bằng nhựa rộng rãi được bắt chắc chắn vào khung xe phía trước giúp người sử dụng cất được nhiều đồ đạc, đồng thời tạo điểm nhấn cho chiếc xe đạp điện. Khu vực để chân được thiết kế với diện tích nhỏ, nằm ở khoảng cách hợp lý. Hai bên được bố trí thêm bàn đạp song song tạo sự thoải mái cho người điều khiển khi vận hành xe trong thời gian dài. Thông số kỹ thuật khác ",""""""
tiki.vn,https://tiki.vn/xe-dap-dien-48v-12a-nijia-terra-motors-6398-den-cam-p1025371.html?src=category-page-8594.6070&2hi=0,1025371,Terra Motors,Xe điện,Xe Đạp Điện 48V - 12A Nijia Terra Motors 6398 - Đen Cam,10.500.000 ₫,Đại Lý Xe Điện vn,," Giỏ xe với thiết kế thời trang Xe Đạp Điện 48V - 12A Nijia Terra Motors 6398 có giỏ xe được thiết kế thời trang, được làm từ chất liệu nhựa cao cấp có độ bền cao, giúp người sử dụng có thể cất giữ được nhiều đồ dùng và có nắp đậy được trang bị ổ khóa để đảm bảo an toàn Đèn pha và đèn xi nhan Xe đạp điện Nijia Terra Motors có đèn pha lớn được thiết kế hình tròn có khản năng chiếu sáng tốt trong các điều kiện anh sáng khác nhau. Đền xi nhan được trang bị song song hai bên đèn pha với độ sang cao và vi trí dễ quan sát. Để chân tiết kiệm diện tích Xe đạp điện Nijia Terra Motors có để chân tiết kiệm diện tích và thiết kế phù hợp với cơ thể người dùng tại thị trường Việt Nam. Hai bên để chân là bàn đạp tạo sự lựa chọn cho người điều khiển khi sử dụng chiếc xe. Yên xe dai và êm ái Xe đạp điện Terra Motors có mặt yên xe dài và độ êm ái cao được làm từ các chát liệu cao cấp như: Da nhân tạo, nệm cao su, nhựa tổng hợp. Phía dưới yên là bình ắc quy được giấu khóe leo và đẹp mắt. Chân chông nghiêng và chân chông giữa Xe đạp điện Nijia Terra Motors có chân chông nghiêng và chân chông giữa tạo sự lựa chọn cho người sử dụng có thể có định chiếc xe một cách dễ dang và an toàn nhất có thể. Động cơ và các tình năng Xe đạp điện Nijia Terra Motors có động cơ 350W ở bánh sau và rất nhiều tính năng khac đi kềm như vành đúc 16 ich, thăng cơ, khóa càng và giảm xóc êm ái chịu lực lên đến 120 kg. Thông số kỹ thuật khác THÔNG TIN CHUNG Hãng sản xuất Terra Motors Xuất xứ Việt Nam và Trung Quốc NGOẠI HÌNH Chiều dài x rộng x cao 1640mm x 650mm x 1000mm Chiều dài cơ sở 1120mm Cỡ lốp trước 16 x 3.0 Cớ lốp sau 16 x 3.0 TÍNH NĂNG Động cơ 250w, 3 pha, một chiều không chổi than Công suất lớn nhất/sô vòng quay 250kw/v/ph Cách thức thao tác Tự động Quãng đường di chuyển 40 - 50km/1lần sạc Vận tốc tối đa 30 - 40km/h Trọng lượng toàn bộ 170kg Số người cho phép chớ 2 người Bảo vệ tụt áp 41v PHỤ KIỆN XE Ắc quy 48v - 12a Sạc điện 06- 08h Board 250W Khung Thép chắc chắn - Sơn tĩnh điện Giỏ xe Rộng rãi Gương Không Khóa 2 bộ Sổ bảo hành 1 cuốn Tay ga Làm việc ở 3 chế độ Lốp Không săm Đèn pha Hoạt động ở một chế độ Phanh trước Phanh kiểu tang trống Phanh sau Phanh kiểu tang trống THÔNG TIN KHÁC Trọng lượng xe 40kg Phân bổ bánh trước 17kg Phân bổ bánh sau 23kg Tiêu thụ năng lương/1 lần sạc 576w Điện áp 220v - 50hz Lượng điện tiêu hao cho 1 lần sạc ≤ 0.5 kw Leo dốc 300 Điện áp động cơ 48V ",""""""
tiki.vn,https://tiki.vn/xe-dap-dien-terra-motors-pride-plus-p7135471.html?src=category-page-8594.6070&2hi=0,7135471,TERRA,Xe điện,Xe Đạp Điện Terra Motors Pride Plus,10.945.000 ₫,Thế Giới Xe Chạy Điện,," Thiết kế thời trang Xe Đạp Điện Terra Motors Pride Plus sở hữu thiết kế thời trang với phong cách trẻ trung, với công nghệ Nhật Bản, team nước phủ bóng sang trong và cách phối mau tinh tế. Tất cả được kết hợp với nhau để tạo nên một chiếc xe mang đầy đủ các tinh hoa của xe đạp, làm tôn lên phong cách và cá tính của người sử dụng. Ngoài thiếu kế tuyệt với xe còn được trang bị công nghệ khóa chống trôm điều khiển từ xa giúp người dùng có thể báo vệ chiếc xe của mình một cách dễ dàng. Bánh trước với vành đúc hợp kim Sản phẩm có bánh trước với vành đúc hợp kim gang 18inh, với thiết kế 5 chấu trẻ trung được trang trí bằng các dải màu đen. Ở tâm của bánh xe là thắng cơ an toàn, giúp người sử dụng có thể dễ dàng làm chủ tốc độ của xe trong quá trình vận hành, đồng bộ hoàn toàn với tay lái, giúp người sử dụng dễ dàng làm chủ tốc độ. Bao quanh bánh xe là lốp cao su có ruột thông dụng, dễ dàng thay thế và khả năng tiếp xúc cao với các dạng bề măt. Cụm bánh trước được nối với thân trước thông qua cặp giảm sóc êm ái, được phát triển và thừa kế từ công nghệ sản xuất giảm sóc cho xe gắn máy. Công suất 250W Xe đạp điện được trang bị động cơ 250W mạnh mẽ, được sản xuất theo tiêu chuẩn công nghệ của Terra Motors một thương hiệu Quốc tế đến từ Nhật Bản. Động cơ được đồng bộ với bộ điều khiển, khóa nguồn và tay ga giúp người sử dụng dễ dàng vận hành. Động cơ được đặt ở tâm bánh sau giúp giảm ma sát, giảm hao phí, tăng tốc nhanh và vận hành ổn định. Bình ắc quy đặt phía dưới yên trước Xe sử dụng bình ắc quy công suất 48V-12A được đặt ngay phía dưới yên xe, có công suất tối đa lên đến 560W có thể giúp xe vận hành quãng đường 50km cho một lần sạc đầy. Bình ắc quy được trang trí với bộ team hoàn toàn mới mang phong cách trẻ trung, nhưng cũng không kém phần sang trọng. Bình ắc quy được cố đinh với thân xe thông qua một ổ khóa, giúp bình ắc quy không bị xộc xệch khi vận hành và bảo vệ bình ắc quy an toàn khi để xe ở các khu vực công cộng. Giỏ xe từ hợp kim thép Giỏ xe được làm từ hợp kim thép không rỉ và chắc chắn, được gắn với thân xe thông qua hai điểm tiếp xúc chắc chắn, có thể tháo lắp dễ dàng khi cần thiết. Phía trên giỏ xe là nắp đậy để bảo vệ an toàn cho đồ dùng được để bên trong, phía trước là g cố định giúp đóng mớ dễ dàng và cố định nắp giỏ trong quá trình vận hành. ",""""""
tiki.vn,https://tiki.vn/xe-may-dien-vespa-sufat-6270-do-p1025377.html?src=category-page-8594.6070&2hi=0,1025377,SUFAT,Xe điện,Xe Máy Điện Vespa SUFAT 6270 - Đỏ,15.000.000 ₫,Thế Giới Xe Chạy Điện,," Bánh trước với vành đúc hợp kim Xe Máy Điện Vespa SUFAT 6270 có bánh trước được thiết kế với vành đúc hợp kim có độ bền cao, kiểu dáng thể thao, khỏe mạnh, bán kính bánh xe 12inch giúp chiếc xe dễ dàng di chuyển qua mọi địa hình.. Đèn pha phía trước có thiết kế độc đáo Xe máy điện sử dụng đèn pha được thiết kế độc đáo, với phong cách hai đèn hiện đại, có thể hoạt động ở hai chế độ chiếu sáng và khản năng chiếu sáng trên 100m trong điều kiện ánh sáng yếu. Để chân rộng với độ an toàn cao Xe máy điện Detech Espero Z3 được bố trí để chân rộng rãi, với g chống trơn trượt bên trên, có khoảng cách hợp lý, tạo sự thoải mái tối đa cho người sử dụng xe trong qua trình vận hành xe. Để chân tiện lợi Xe máy điện Detech Espero Z3 được trang bị để chân thông minh, nằm ở vi trí trọng tâm của xe, được làm từ thép chắc chắn, với hai loại chân chống đúng và chân chống nghiêng. Yên xe liền cao cấp Xe máy điện sử dụng yên xe liền được làm từ các chất liệu cao cấp, với thiết kế kiểu dáng sang trọng, có thể ngồi được 2 người cùng một lúc, tạo cảm giác thoải mái cho người sử dụng khi ngồi. Động cơ mạnh mẽ 1000W Xe máy điện Detech Espero Z3 có động cơ mạnh mẽ có công suất lên đến 1000W, giúp chiếc xe đạt vận tốc tối đa lên đến 50km/h, giảm hao phí ở mức thấp nhất và chống nước tuyệt đối. Thông số kỹ thuật khác THÔNG TIN CHUNG Hãng sản xuất Espero Xuất xứ Việt Nam và Trung Quốc Số chứng nhận 0043/VAQ06-01/17-01 Mã số khung RPEY5EKPE?A3????? NGOẠI HÌNH Chiều dài x rộng x cao 1790mm x 770mm x 1100mm Chiều dài cơ sở 1290mm Cỡ lốp trước 90/90-12 Cớ lốp sau 110/70-12 TÍNH NĂNG Động cơ 800w, 3 pha, một chiều không chổi than Công suất lớn nhât/tốc độ quay 800w/v/ph Cách thức thao tác Tự động Quãng đường di chuyển 60 - 70km/1lần sạc Vận tốc tối đa 40 - 50km/h Khản năng chở nặng 227kg Số người cho phép chớ 2 người Bảo vệ tụt áp 51v PHỤ KIỆN XE Ắc quy 60v - 20a Sạc điện 10 - 12h Board 800W Khung Thép chắc chắn - Sơn tĩnh điện Cốp xe Rộng rãi, có khóa Gương Một cặp Khóa 2 bộ Sổ bảo hành 1 cuốn Tay ga Làm việc ở một chế độ Lốp Không săm Đèn pha Hoạt động ở hai chế độ Phanh trước Phanh đĩa Phanh sau Phanh kiểu tang trống THÔNG TIN KHÁC Trọng lượng xe 110kg Phân bổ bánh trước 50kg Phân bổ bánh sau 60kg Tiêu thụ năng lương/1 lần sạc 1200w Điện áp 220v - 50hz Lượng điện tiêu hao cho 1 lần sạc ≤ 0.5 kw Leo dốc 300 Điện áp động cơ 60V ",""""""
tiki.vn,https://tiki.vn/xe-dap-dien-ngocha-n3-6367-den-p1025345.html?src=category-page-8594.6070&2hi=0,1025345,NGOCHA,Xe điện,Xe Đạp Điện NGOCHA N3 6367 - Đen,10.000.000 ₫,Thế Giới Xe Chạy Điện,," Bánh trước là vành đúc hợp kim Xe Đạp Điện NGOCHA N3 6367 có bánh trước là vành đúc hợp kim với độ bền cao, thắng cơ ở trọng tâm xe có thể điều chỉnh tốc độ, phuộc trước êm ái và bánh có ruột 16inch thông dụng. Giỏ xe lớn và chắc chắn Xe đạp điện Ngọc Hà N3 sử dụng giỏ xe được làm từ kim loại chắc chắn, có diện tích rộng để có thể cất được nhiều đồ dùng và có nắp đậy đẻ bảo vệ. Đầu đèn với nhiều chức năng Xe đạp điện Ngọc Hà N3 sử dụng đầu đèn được thiết kế đẹp mắt với nhiều chức nang như đèn pha để chiếu sáng, mặt đồng hồ thông bao mức năng lượng, khóa nguồn và khản nang chống nước tuyệt đối. Để chân với kiểu dang xe tay ga Xe đạp điện Ngọc Hà N3 có để chân lơn được thiết kế theo kiểu xe Honda tay ga với kích thước, khoảng cách và thiết kế dành riêng cho người Việt Nam. Động cơ và giảm xóc sau Xe đạp điện Ngọc Hà N3 có bánh sau được làm từ vành đúc hợp kim bao quanh động cơ với công suất 350W có chức năng chuyển đông cho xe, giảm xóc sau êm ái có thể chịu tải lên đến 120kg. Thông số kỹ thuật khác THÔNG TIN CHUNG Hãng sản xuất Ngọc Hà Xuất xứ Việt Nam và Trung Quốc Số chứng nhận 012/VAQ14-01/15-00 NGOẠI HÌNH Chiều dài x rộng x cao 1740mm x 680mm x 990mm Chiều dài cơ sở 1220mm Cỡ lốp trước 18 x 2.50 Cớ lốp sau 18 x 2.50 TÍNH NĂNG Động cơ 240w, 3 pha, một chiều không chổi than Công suất lớn nhất/sô vòng quay 240kw/v/ph Cách thức thao tác Tự động Quãng đường di chuyển 40 - 50km/1lần sạc Vận tốc tối đa 20 - 30km/h Trọng lượng toàn bộ 170kg Số người cho phép chớ 2 người Bảo vệ tụt áp 41v PHỤ KIỆN XE Ắc quy 48v - 12a Sạc điện 06- 08h Board 240W Khung Thép chắc chắn - Sơn tĩnh điện Giỏ xe Rộng rãi Gương Không Khóa 2 bộ Sổ bảo hành 1 cuốn Tay ga Làm việc ở 3 chế độ Lốp Không săm Đèn pha Hoạt động ở một chế độ Phanh trước Phanh kiểu tang trống Phanh sau Phanh kiểu tang trống THÔNG TIN KHÁC Trọng lượng xe 39kg Phân bổ bánh trước 15kg Phân bổ bánh sau 24kg Tiêu thụ năng lương/1 lần sạc 576w Điện áp 220v - 50hz Lượng điện tiêu hao cho 1 lần sạc ≤ 0.5 kw Leo dốc 300 Điện áp động cơ 48V ",""""""
tiki.vn,https://tiki.vn/xe-may-dien-pega-bike-trans-p2013077.html?src=category-page-8594.6070&2hi=0,2013077,Pega,Xe điện,Xe Máy Điện Pega Bike Trans,14.500.000 ₫,PEGA - HKBIKE,," Thiết kế hiện đại, cá tính Xe Máy Điện Pega Bike Trans với bộ tem 3D cực chất và cực đắt đỏ, lấy cảm hứng từ siêu phẩm Transformer, và tính năng vượt trội chắc chắn sẽ khiến bạn thích thú và bị thu hút ngay từ cái nhìn đầu tiên. Pega Bike Trans đánh dấu lần đầu tiên xe máy điện có thể đi được 100 km 1 lần sạc. Nếu như bạn đã từng biết đến và ngỡ ngàng với quãng đường đi vượt trội trên các dòng xe điện khác của PEGA, 75km 1 lần sạc thì bạn sẽ phải ngả mũ thán phục với sản phẩm này cùng khả năng di chuyển lên đến 100km. Quãng đường này chắc chắn đã đủ ấn tượng để thuyết phục được những người dùng khó tính nhất. Bộ tem Transformer 3D khác biệt cực chất Nếu như bạn đã lỡ say đắm kiểu dáng và phong cách sang trọng của phiên bản PEGA X-men Plus thì chắc chắn không thể rời mắt với siêu xe điện Pega Bike Trans bởi bộ tem 3D cực đỉnh, cực chất và cực đắt. Bộ tem được lấy cảm hứng từ những siêu chiến binh robot trong Transformer, dũng mãnh, bền bỉ và gai góc. Tem 3D của Pega Bike Trans được sản xuất với máy móc công nghệ cao và yêu cầu chất lượng màu khắt khe, để đạt được hình ảnh nét nhất, màu sắc chân thực nhất và chất nhất. 4 bộ tem tương ứng với 4 chiến binh robot dũng mãnh. Động cơ 1200W mạnh mẽ “Cấu hình” cao ngất ngưởng không thể gặp được ở bất cứ đâu với động cơ 1200W mạnh mẽ, lao dốc băng băng chính là lợi thế đáng nể của Pega Bike Trans so với các dòng xe điện thông thường trên thị trường. Nếu 1 lần được trải nghiệm “siêu xe” này, chắc hẳn bạn sẽ không còn muốn sở hữu bất kỳ một dòng xe nào khác bởi cảm giác lái mạnh mẽ, chắc chắn và rất lướt. Cùng với công nghệ chống nước tiên tiến độc quyền, bạn sẽ không còn phải lo sợ khi đi trên đường gặp trời mưa hay khi rửa xe. Xe đi được tới 100km cho 1 lần sạc, tiết kiệm điện tối đa và tiện lợi cho người sử dụng. Đồng hồ hiển thị chính xác Hiển thị chính xác các thông tin về tình trạng xe, báo lỗi bộ phận,... Người dùng dễ dàng chủ động xử lý lỗi, đảm bảo an toàn khi sử dụng phương tiện. Chìa khóa điện tử Chống trộm cao cấp, khởi động xe từ xa chỉ với một nút bấm. Đặc biệt âm báo của hệ thống điện tử không gây chói tai như các âm báo của dòng thị trường khác. Phanh đĩa trước cực chất Pega Bike Trans trang bị phanh đĩa trước cao cấp chỉ dùng trên xe máy tay ga chạy xăng giá đắt, và vượt trội hơn nhiều so với xe máy điện trên thị trường hiện nay. Với yếu tố này, Pega Bike Trans ngoài việc không thể phủ nhận là cực kỳ an toàn cho người sử dụng, mà còn mang lại tính thẩm mỹ cao, toát lên độ “chất” của xe. Lốp không săm Lốp không săm vốn là linh kiện được trang bị trên xe máy tay ga chạy xăng đắt tiền, và không thể không có trên Xe Máy Điện Pega Bike Trans Với lốp không săm, Pega Bike Trans mang tới trải nghiệm lái cân đối, chắc xe, và cực kỳ an toàn trong điều kiện đường mưa ướt, đường xấu. Giảm xóc êm ái, giảm thiểu những chấn động nhỏ nhất, đảm bảo tải trọng an toàn đến 180kg. Thông số kỹ thuật Thông tin chung Vận hành Tay ga, đạp trợ lực Cách thức thao tác Tự động Quãng đường đi được mỗi lần sạc 100 km/ 1 lần sạc (trong điều kiện tiêu chuẩn) Vận tốc 50km/h Kích thước Dài x Rộng x Cao 1700 x 720 x 1400 mm Chiều cao yên xe 760mm Khoảng cách trục bánh xe 1150mm Đường kính bánh xe Bánh trước: 90 | Bánh sau: 90 x12 Bánh sau: 18"" x 2,5"" Ắc quy Loại ắc quy 60V-20Ah Sạc điện Tự động ngắt khi đầy Nhà cung cấp sạc Bosch Việt Nam Thời gian sạc 6-8h Động cơ công suất 1200W Điện áp động cơ 60V với bản 5 bình Điện áp vào 220V - 50Hz Trọng lượng Trọng lượng xe 90kg Tải trọng 230kg Thông tin khác Đèn chiếu sáng trước Bóng sợi đốt 35W Bộ điều tốc PEGA/PG-6020 Nhà cung cấp điều tốc Bosch Việt Nam Mô men lớn nhất N.m Bảo vệ quá dòng 35A Chìa khóa chống trộm Có Xi nhan báo rẽ trái phải Có Mặt đồng hồ điện tử Có ",""""""
