Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Tags,Info,Others
tiki.vn,https://tiki.vn/xe-robot-bien-hinh-dieu-khien-tu-xa-doki-size-25-giao-mau-ngau-nhien-p996119.html?src=category-page-2549.5250&2hi=1,996119,DOKI,Đồ chơi,Xe Robot Biến Hình Điều Khiển Từ Xa DoKi - Size 25 (Giao Mẫu Ngẫu Nhiên),209.000 ₫,Shop Doki,," Xe Robot Biến Hình Điều Khiển Từ Xa DoKi - Size 25 là món quà đáng yêu dành cho bé giúp bé tăng khả năng học hỏi, khám phá và nhận biết thế giới xung quanh. Được làm từ chất liệu nhựa ABS không chứa BPA độc hại, an toàn cho sức khỏe của bé. Bộ sản phẩm bao gồm: 1 mô hình xe, 1 điều khiển từ xa, sạc pin. Với thiết kế độc đáo dành riêng cho trẻ nhỏ, bé yêu sẽ vô cùng thích thú khi được sở hữu bộ đồ chơi này này. Bé sẽ có những giờ vừa chơi vừa học thật bổ ích. Hệ thống điều khiển từ xa giúp xe dễ dàng tiến - lùi, rẽ trái - rẽ phải và xoay 360 độ. Mô hình xe dễ dàng lắp ráp thành robot giúp bé phát huy trí tưởng tượng phong phú và tính sáng tạo. Bố mẹ có thể hoàn toàn yên tâm về chất lượng vì sản phẩm được làm từ chất liệu cao cấp và uy tín. Sản phẩm không những mang đến nhiều lợi ích cho bé mà còn an toàn cho sức khỏe. Xe sử dụng 3 pin AA, có sạc pin, điều khiển 2 pin AA. ",""""""
tiki.vn,https://tiki.vn/boardgame-bai-meo-no-nsfw-p619337.html?src=category-page-2549.5250&2hi=1,619337,BoardgameVN,Đồ chơi,Boardgame Bài Mèo Nổ NSFW,135.000 ₫,BoardgameVN,," Boardgame Bài Mèo Nổ NSFW là cuộc chiến sinh tồn cho những chú mèo của bạn, tránh bomb hay sẽ bi nổ tung. Hãy thật khéo léo né bomb nhé. Dựa trên những thẻ bài với những nhân vật có hình ảnh rất ""ngố"", vô cùng vui nhộn, cách chơi vô cùng đơn giản nhưng không kém phần thú vị, chỉ bằng một vài thẻ bài có thể khiến bạn cười không ngớt. Số người chơi: 2-5 người (nếu 2 bộ có thể chơi đến 9 người). Cách chơi là bạn sử dụng những lá bài đặt xuống mặt bàn và thay phiên rút những lá bài trên chồng bài rút cho đến khi một người nào đó rút phải lá Exploding Kitten. Khi đó, người rút phải lá bài đó sẽ bị nổ. Họ bị chết ngay và rời khỏi game. Trò chơi tiếp tục cho đến khi chỉ còn lại một người, và người đó là người chiến thắng. ",""""""
tiki.vn,https://tiki.vn/boardgame-bai-meo-no-mo-rong-1-defending-expansion-p619333.html?src=category-page-2549.5250&2hi=1,619333,BoardgameVN,Đồ chơi,Boardgame Bài Mèo Nổ Mở Rộng 1 - Defending Expansion,30.000 ₫,BoardgameVN,," Boardgame Bài Mèo Nổ Mở Rộng 1 - Defending Expansion là bản mở rộng của Mèo nổ - Exploding Kitten chuyên về phòng thủ. Giúp cho trận chiến sống còn không bị nổ banh xác giữa các chú mèo gay cấn hơn. Bao gồm 14 lá chức năng mới như Đổi Chiều, Thay đổi tương lai,... hứa hẹn sẽ mang lại những pha đảo ngược tình thế ngoạn mục. Bản mở rộng phải kết hợp với bản Mèo Nổ gốc để chơi. Luật chơi của game xoay quanh lá bài ""Exploding Kitten"" (Mèo Phát Nổ) nằm trong số 56 lá. 4 người chơi sẽ lần lượt rút bài theo lượt và ai rút phải Exploding Kitten trước sẽ thua cuộc. Tất nhiên trong số 56 lá bài sẽ có những quân giúp bạn tránh khỏi số phận bị ""nổ tung"" như loại bài Defuse (Tháo Gỡ) giúp vô hiệu hóa Exploding Kitten, hoãn lượt đi và đẩy nó sang cho người chơi khác hay nhìn trước 3 quân đầu tiên trong xấp bài nhằm tính toán chiến thuật... ",""""""
tiki.vn,https://tiki.vn/boardgame-bai-meo-no-mo-rong-3-imploding-expansion-p619335.html?src=category-page-2549.5250&2hi=1,619335,BoardgameVN,Đồ chơi,Boardgame Bài Mèo Nổ Mở Rộng 3 - Imploding Expansion,50.000 ₫,BoardgameVN,," Boardgame Bài Mèo Nổ Mở Rộng 3 - Imploding Expansion là b ản mở rộng của Mèo nổ - Exploding Kitten thêm quả bomb nổ chậm gay cấn và khốc liệt hơn rất nhiều. Bao gồm 20 lá chức năng mới trong đó có lá Imploding - Nổ Trong khiến tiết tấu cuộc chơi kịch tính hơn. Imploding Kittens cũng tăng số người chơi tối đa lên 6 người. Bản mở rộng phải kết hợp với bản Mèo Nổ gốc để chơi. Luật chơi của game xoay quanh lá bài ""Exploding Kitten"" (Mèo Phát Nổ) nằm trong số 56 lá. 4 người chơi sẽ lần lượt rút bài theo lượt và ai rút phải Exploding Kitten trước sẽ thua cuộc. Tất nhiên trong số 56 lá bài sẽ có những quân giúp bạn tránh khỏi số phận bị ""nổ tung"" như loại bài Defuse (Tháo Gỡ) giúp vô hiệu hóa Exploding Kitten, hoãn lượt đi và đẩy nó sang cho người chơi khác hay nhìn trước 3 quân đầu tiên trong xấp bài nhằm tính toán chiến thuật... ",""""""
tiki.vn,https://tiki.vn/long-den-trung-thu-tiki-p904812.html?src=category-page-2549.5250&2hi=1,904812,Tiki.vn,Đồ chơi,Lồng Đèn Trung Thu Tiki,19.000 ₫,Tiki Trading,," Bộ hoàn chỉnh Lồng Đèn Trung Thu Tiki gồm có: lồng đèn, thanh nhựa, dây treo lồng đèn, đèn led 7 màu, băng keo 2 mặt theo chuẩn và hướng dẫn ráp đèn. Chất liệu giấy: 2 tấm giấy Ivory định lượng 250 (hiệu giấy Pamenang) in offset 4 màu 1 mặt. Thanh nhựa tròn (chất liệu nhựa PP) có đường kính 4mm và chiều dài 25cm. 1 cuộn băng keo 2 mặt (theo mẫu): bản 0,8cm, dài 1m. 1 sợi dây cột lồng đèn màu trắng dài 40cm. Đèn led 7 màu (theo mẫu) có pin sẵn trong đèn. Đèn led này chịu được nhiệt độ lạnh 6-8 độ C và độ ẩm 50%. Sản phẩm được bỏ bao bì OPP. Lồng Đèn Trung Thu Tiki là vật dụng không thể thiếu cho một mùa Tết trung thu ấm áp và đầy ý nghĩa cho các bé. ",""""""
tiki.vn,https://tiki.vn/mo-hinh-lego-city-xe-buggy-60145-81-manh-ghep-p568715.html?src=category-page-2549.5250&2hi=1,568715,LEGO,Đồ chơi,Mô Hình Lego City - Xe Buggy 60145 (81 Mảnh Ghép),399.000 ₫,TOMCITYVN,," Mô Hình Lego City - Xe Buggy 60145 (81 Mảnh Ghép) gồm 81 chi tiết giúp bé sẵn sàng để đi thám hiểm vùng sa mạc với siêu xe tốc độ Buggy. Sản phẩm là món đồ chơi trí tuệ và vận động hấp dẫn mà ba mẹ không thể bỏ qua để dành tặng cho bé yêu nhà mình. Chế tạo hoàn toàn từ chất liệu nhựa nguyên sinh ABS cao cấp cho độ bền và chống biến dạng khi va đập hoàn hảo. Chất liệu này không chứa BPA, các mảnh ghép được bo tròn tỉ mỉ nên tuyệt đối an toàn với sức khỏe của bé. Gồm 81 chi tiết giúp bé sẵn sàng để đi thám hiểm vùng sa mạc với siêu xe tốc độ Buggy. Phương tiện mạnh mẽ này với lồng xe mở, bánh xe khổng lồ và động cơ lớn phía sau. Trong suốt quá trình lắp ráp, bé sẽ tập tính kiên trì, nhẫn nại và hiểu được giá trị lao động từ mô hình mà bé tạo ra. Sau khi bé chơi xong, ba mẹ có thể hướng dẫn bé xếp và cất gọn gàng mô hình vào trong hộp để lần sau bé thoải mái lắp ghép, tạo hình mô hình mới mà không thiếu chi tiết nào. Qua đó, bé cũng học tập được thói quen sống ngăn nắp và gọn gàng hơn. ",""""""
tiki.vn,https://tiki.vn/do-choi-forkids-o-an-quan-fks-009-p481956.html?src=category-page-2549.5250&2hi=1,481956,Forkids,Đồ chơi,Đồ Chơi Forkids - Ô Ăn Quan FKS-009,29.000 ₫,Tiki Trading,," Đồ Chơi Forkids - Ô Ăn Quan FKS-009 Đồ Chơi Forkids - Ô Ăn Quan FKS-009 là một trò chơi truyền thống đã có từ lâu đời, rất hấp dẫn đối với lứa tuổi nhi đồng và thanh thiếu niên. Trò chơi có tính giải trí rất cao và mang đến rất nhiều điều hấp dẫn, thú vị. Nhưng hơn hết, thông qua quá trình chơi, để là người chiến thắng, bé phải liên tục quan sát và phán đoán, từ khả năng tư duy logic của bé sẽ càng trở nên nhanh nhạy hơn. Thông tin sản phẩm Trò chơi truyền thống lâu đời Trò chơi ô ăn quan là trò chơi truyền thống đã có từ lâu đời, rất hấp dẫn đối với lứa tuổi nhi đồng và thanh thiếu niên. Ngày xưa người chơi thường vẽ bàn chơi xuống nền gạch ngoài sân và chơi bằng sỏi. Nay với Đồ Chơi Forkids - Ô Ăn Quan FKS-009, các bé có thể có ngay bàn chơi Ô ăn quan để chơi ở trong nhà, đồng thời còn có thể gấp gọn lại để bao quản hoặc mang theo khi đi xa. Sản phẩm bao gồm: Bàn chơi: Bàn chơi ô ăn quan được kẻ thành một hình chữ nhật rồi chia hình chữ nhật đó thành 12 ô vuông, mỗi bên có 6 ô đối xứng nhau gọi là ô quân. Ở hai đầu hình chữ nhật là hình bán nguyệt gọi là ô quan. Quân chơi: gồm 2 loại quan và quân. Quan thì có kích thước lớn hơn quân, số lượng gồm có 2 quan và bố trí ở 2 ô bán nguyệt. Quân thì kích thước nhỏ hơn, gồm có 60 quân và chia đều cho 12 ô. Người chơi: thường gồm hai người chơi. Ngoài ra, mặt sau là bộ ô ăn quan 5 ô, các bé có thể chơi ở bàn chơi tuỳ thích. Rèn luyện khả năng phán đoán, tính toán nhanh Trò chơi kết thúc khi: - Hai quan cùng bị ăn hết - Nếu một trong hai người chơi không đủ quân để dải khi tất cả quân bên ô của mình bị ăn hết. Chính vì vậy, thông qua quá trình chơi, khả năng quan sát và phán đoán của người chơi sẽ càng trở nên nhanh nhạy. Đặc biệt, người chơi còn phải liên tục tính số quân của mình và của đội bạn, từ đó, tốc độ tính nhẩm và tư duy logic cũng trở của bé cũng sẽ nhanh hơn. Chất liệu cao cấp, an toàn Đồ Chơi Forkids - Ô Ăn Quan FKS-009 được làm từ chất liệu nhựa cao cấp, an toàn, không ảnh hưởng đến sức khoẻ người sử dụng và thân thiện với môi trường. Chất liệu bền, sắc màu đẹp mắt, không trầy xước, dễ lau chùi và không chịu nhiều tác động từ môi trường. ",""""""
tiki.vn,https://tiki.vn/do-choi-go-mo-hinh-forkids-bo-100-hinh-khoi-sac-mau-vt3p-0059-p424427.html?src=category-page-2549.5250&2hi=1,424427,Forkids,Đồ chơi,Đồ Chơi Gỗ Mô Hình Forkids Bộ 100 Hình Khối Sắc Màu VT3P-0059,379.000 ₫,Tiki Trading,, 550000 ,""""""
tiki.vn,https://tiki.vn/sach-vai-sabe-mot-ngay-toi-truong-hong-p1347171.html?src=category-page-2549.5250&2hi=1,1347171,Sách Vải Sabe,Đồ chơi,Sách Vải Sabe Một Ngày Tới Trường (Hồng),325.000 ₫,Sách vải Sabe,," Sách Vải Sabe Một Ngày Tới Trường (Hồng) là sản phẩm làm bằng chất liệu vải có chức năng như một đồ chơi lại có nhiều kiến thức cho bé học tập. Ở mỗi trang sách có hình to ở trung tâm, là điểm nhấn của trang, các chi tiết to phù hợp với bàn tay chưa khéo léo của các bé và tránh việc bé bỏ vào miệng. Sử dụng các màu sắc cơ bản mà thị giác bé nhận biết được như: đen, trắng, đỏ, xanh da trời…. Kích thích giác quan qua việc sờ vào các chi tiết trên trang sách. Sách giúp giảm thời lượng bé tiếp xúc với những thiết bị điện tử iphone, ipad gây ảnh hưởng xấu đến mắt và phát triển não bộ. Bên cạnh đó bé được luyện kỹ năng vận động, tinh luyện sự khéo léo của đôi bàn tay, kích thích hoạt động não bộ. Kiến thức học được từ sách: Học về thời tiết bằng tiếng anh Phân biệt ngày đêm, học về ngày trong tuần Sử dụng phòng tắm, vệ sinh thân thể Học về trang phục, nghề nghiệp Làm quen với lớp học Nấu ăn, rửa bát, học cách sử dụng tủ lạnh Học về th ",""""""
tiki.vn,https://tiki.vn/mo-hinh-3d-cubicfun-taiwan-traditional-theatre-w3163h-p421854.html?src=category-page-2549.5250&2hi=1,421854,CubicFun,Đồ chơi,Mô hình 3D CubicFun – Taiwan Traditional Theatre W3163h,71.250 ₫,Happiness Angel,," Mô hình 3D CubicFun – Taiwan Traditional Theatre W3163h Mô hình 3D CubicFun – Taiwan Traditional Theatre W3163h – Nhà hát truyền thống ở đất nước Đài Loan sẽ là một trong những địa điểm tham quan kiến trúc lý tưởng của du khách khi đặt chân đến vùng đất này. Sử dụng kết cấu xây dựng bề mặt bằng gạch trơn, tích hợp thêm 1 cửa hàng tiện lợi ở góc phải là những điểm đặc biệt của nhà hát này. Các bé sẽ có cơ hội dùng 34 mảnh ghép để tạo dựng cho mình 1 nhà hát truyền thống Đài Loan khi chơi cùng Mô hình 3D CubicFun – Taiwan Traditional Theatre W3163h . Thông tin sản phẩm Chất liệu xốp EPS và giấy an toàn, cao cấp Chất liệu sử dụng trong Mô hình 3D CubicFun – Taiwan Traditional Theatre W3163h là loại xốp EPS và giấy cao cấp có độ bền, không phai màu và dễ tách rời khi lắp ráp. Chất liệu này đạt tiêu chuẩn En71 của châu Âu và ASTM của Mỹ nên an toàn với sức khỏe của bé và thân thiện với môi trường. Xây dựng nhà hát truyền thống của Đài Loan bằng 34 mảnh ghép Mô hình 3D CubicFun – Taiwan Traditional Theatre W3163h sẽ cho các bé 1 chuyến du lịch văn hóa khi đến với nhà hát truyền thống của Đài Loan. Không sử dụng những nước sơn bóng bẩy, toàn bộ bề mặt của nhà hát này được bao phủ lớp gạch thô với gam màu đỏ đặc trưng tạo nên sự ấn tượng, độc đáo. Tầng thượng của tòa kiến trúc được bao quanh 1 hàng lan can màu bạc đầy tinh tế, trang nhã. Các bé sẽ thích thú khi sử dụng 32 mảnh ghép 2D để thử tài xây dựng nên hình tượng kiến trúc ấn tượng của Đài Loan này. Giúp bé phát triển tư duy và sự kiên nhẫn để bé học tập tốt hơn Mô hình 3D CubicFun – Taiwan Traditional Theatre W3163h có mức độ khó 3 ★phù hợp sử dụng cho các bé từ 3 tuổi trở lên. Khi tìm tòi cách để lắp ráp các miếng ghép hình, bé sẽ học được cách tập trung trí não, kiên nhẫn và sáng tạo tốt hơn. Sự phối hợp tay – mắt cũng được cải thiện khi bé chơi cùng mô hình này. Ngoài ra, khả năng tương tác giao tiếp và làm việc nhóm cũng được hoàn thiện khi bé chơi mô hình cùng người thân, bạn bè. Sản phẩm thích hợp sử dụng cho bé từ 3 tuổi trở lên. ",""""""
