Domain,Url,Product_id,Time,Rating,Comment
yes24.vn,https://www.yes24.vn/to-thuy-tinh-luminarc-diwali-12cmd7361-p1463696.html,1463696,2018-06-30_09-43-15,5,"Tô nhỏ xinh và chắc chắn, tô hơi lớn hơn chén ăn cơm (nên phù hợp để đựng các món mà cần đồ dùng to hơn chén nhưng nhỏ hơn tô bình thường)"
yes24.vn,https://www.yes24.vn/chen-thuy-tinh-luminarc-ikumi-12cm-p1909035.html,1909035,2018-08-03_19-02-18,5,"sản phẩm đẹp giống hình, chất lượng tốt"
yes24.vn,https://www.yes24.vn/chen-thuy-tinh-luminarc-ikumi-12cm-p1909035.html,1909035,2018-04-05_14-05-27,5,"Chén đẹp như hình mẫu, kích thước hơi nhỏ so với thông tin quảng cáo."
yes24.vn,https://www.yes24.vn/binh-dung-nuoc-the-thao-herevin-750ml-161500-mau-trang-p1693578.html,1693578,2018-08-04_11-11-23,5,Bình màu trắng rất đẹp
yes24.vn,https://www.yes24.vn/binh-dung-nuoc-the-thao-herevin-750ml-161500-mau-trang-p1693578.html,1693578,2017-11-10_10-33-10,5,"Bình màu trắng rất đẹp, nhựa sáng, hơi bóng, nhìn khá sang mặc dù là đồ nhựa"
yes24.vn,https://www.yes24.vn/binh-giu-nhiet-400ml-locklock-one-hand-tumbler-lhc4028r-p1897663.html,1897663,2018-02-09_19-14-37,5,Tin dùng lock & lock yên tâm yên tâm
yes24.vn,https://www.yes24.vn/hop-thuy-tinh-glass-food-container-1100ml-glasslock-mcrb110-p1808847.html,1808847,2018-11-07_15-05-14,5,"Hàng đẹp, made in Korea nhé, dày dặn hơn Lock & lock. Thanks Yes nhé"
yes24.vn,https://www.yes24.vn/hop-thuy-tinh-glass-food-container-1100ml-glasslock-mcrb110-p1808847.html,1808847,2017-12-15_15-02-55,5,Đã nhận. Hộp to thủy tinh cứng cáp
yes24.vn,https://www.yes24.vn/hop-thuy-tinh-glass-food-container-1100ml-glasslock-mcrb110-p1808847.html,1808847,2017-05-18_15-32-43,5,Đã nhận hàng giao nhanh
yes24.vn,https://www.yes24.vn/hop-com-kova-1l-mau-xanh-duong-tclb-p989779.html,989779,2018-08-20_14-00-32,5,"Giao hàng nhanh, màu sắc đẹp, hài lòng"
yes24.vn,https://www.yes24.vn/hop-com-kova-1l-mau-xanh-duong-tclb-p989779.html,989779,2018-08-14_10-37-06,5,"màu đẹp, sp giống hình. nhưng do chất nhựa nên sp dễ bám mùi"
yes24.vn,https://www.yes24.vn/hop-com-kova-1l-mau-xanh-duong-tclb-p989779.html,989779,2015-08-12_19-47-33,5,"sản phẩm đẹp quá, rất hài lòng về cả chất lượng và màu sắc"
yes24.vn,https://www.yes24.vn/hop-com-kova-1l-mau-xanh-la-tclg-p989778.html,989778,2018-11-25_13-15-28,5,"Giao hàng nhanh, hộp đẹp, chất lượng,"
yes24.vn,https://www.yes24.vn/hop-com-kova-1l-mau-xanh-la-tclg-p989778.html,989778,2018-11-24_05-54-44,5,Hộp chắc chắn hài lòng
yes24.vn,https://www.yes24.vn/hop-com-kova-1l-mau-xanh-la-tclg-p989778.html,989778,2018-08-30_20-58-53,5,"Hộp cơm rất chắc chắn, dùng được microwave. Giá ok lại đang khuyến mại."
