Domain,Url,Product_id,1,2,3,4,5
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1934600&page=5,1934600,0,0,0,0,23
yes24.vn,https://www.yes24.vn/vien-uong-ho-tro-xuong-puritans-pride-chelated-calcium-magnesium-zinc-100-vien-4290-p1715105.html,1715105,1,0,0,0,0
yes24.vn,https://www.yes24.vn/thuoc-cung-cap-vitamin-va-khoang-chat-lab-well-multi-vitas-60-vien974811-p1529719.html,1529719,0,0,0,0,2
yes24.vn,https://www.yes24.vn/glucosamine-dang-nuoc-joint-movement-glucosamine-liquid-480ml-p1965496.html,1965496,0,0,0,0,1
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1715124&page=14,1715124,0,0,3,2,62
yes24.vn,https://www.yes24.vn/thuc-pham-bo-sung-tang-ky-optimum-nutrition-serious-mass-chocolate-6lbs-p1857541.html,1857541,0,0,0,0,2
yes24.vn,https://www.yes24.vn/thuc-pham-bo-sung-tang-ky-optimum-nutrition-serious-mass-chocolate-12lbs-p1857545.html,1857545,0,0,0,0,1
yes24.vn,https://www.yes24.vn/bo-5-sam-nhung-bo-than-gold-giup-tang-cuong-sinh-luc-cho-ca-nam-va-nu-30-vienx5-p1865716.html,1865716,0,0,0,0,2
yes24.vn,https://www.yes24.vn/tinh-chat-lam-dep-chong-lao-hoa-adiva-collagen-gold-hop-14-lox30ml-p1889421.html,1889421,0,0,0,0,2
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1905933&page=2,1905933,0,0,0,0,6
yes24.vn,https://www.yes24.vn/tui-hat-hanh-nhan-my-500gr-p1915672.html,1915672,0,0,0,0,1
yes24.vn,https://www.yes24.vn/bo-2-tui-hat-hanh-nhan-my-500gr-p1915673.html,1915673,0,0,0,0,1
yes24.vn,https://www.yes24.vn/thuc-pham-chuc-nang-vien-uong-bo-sung-vitamin-e-giup-ngan-ngua-lao-hoa-omexxel-e400-30-vien-p1906354.html,1906354,0,0,0,0,1
yes24.vn,https://www.yes24.vn/hop-30-vien-keo-nhai-tang-cuong-tri-nao-bo-sung-omega-3-dha-pnkids-p1907254.html,1907254,0,0,0,1,0
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1907248&page=2,1907248,0,0,0,0,6
yes24.vn,https://www.yes24.vn/hop-30-vien-keo-dinh-duong-bo-sung-vitamin-cho-be-trai-pn-kids-p1907244.html,1907244,0,0,0,1,0
yes24.vn,https://www.yes24.vn/combo-2-hop-thuc-pham-chuc-nang-ho-tro-sun-khop-ngan-ngua-thoai-hoa-khop-omexxel-arthri-30-vienhop-arthiri2h-p1895424.html,1895424,0,0,0,0,1
yes24.vn,https://www.yes24.vn/bo-4-arginine-bo-gan-sam-nhung-bo-than-tang-suc-ben-sinh-ly-hop-60-vienx2-lo30-vienx2-p1865724.html,1865724,0,0,0,0,1
yes24.vn,https://www.yes24.vn/bo-2-thuc-pham-bao-ve-suc-khoe-lactomax-plus-kich-thich-an-ngon-hop-30-goix2-hop-p1865695.html,1865695,0,0,0,1,1
yes24.vn,https://www.yes24.vn/ho-tro-xuong-khop-glucosamine-hcl-15000mg-costar-120-vien-p1818728.html,1818728,0,0,0,0,3
yes24.vn,https://www.yes24.vn/sun-ca-map-shark-cartilage-750mg-costar-365-vien-p1818726.html,1818726,0,0,0,0,1
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1818725&page=2,1818725,0,0,1,0,9
yes24.vn,https://www.yes24.vn/vien-uong-giam-mo-mau-giam-nguy-co-mac-benh-tim-mach-ho-tro-nguoi-bi-tieu-duong-puritans-pride-cholest-wise-120-vien-hsd-62018-p1819133.html,1819133,0,0,0,0,1
yes24.vn,https://www.yes24.vn/vien-uong-bo-gan-puritans-pride-milk-thistle-41-extract-1000-mg-silymarin-180-vien-1946-p1819130.html,1819130,0,0,0,0,2
yes24.vn,https://www.yes24.vn/vien-uong-giam-can-slimfit-usa-2016-30-vien-p1818325.html,1818325,0,0,0,0,2
yes24.vn,https://www.yes24.vn/vien-uong-giam-can-beful-slim-usa-hop-30-vien-p1818324.html,1818324,0,0,0,0,1
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1818339&page=2,1818339,0,0,0,0,9
yes24.vn,https://www.yes24.vn/kem-duong-da-vung-mat-carlmark-botanica-eye-contour-gel-15ml-p1818336.html,1818336,0,0,0,0,1
yes24.vn,https://www.yes24.vn/kem-duong-trang-da-chong-lao-hoa-carlmark-bio-nano-whitening-and-moisturising-cream-50ml-p1818335.html,1818335,0,0,0,0,1
yes24.vn,https://www.yes24.vn/hop-3-lo-carlmark-bionano-concentrated-liquid-collagen-100-10ml-x-3-p1818334.html,1818334,0,0,0,0,1
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1818740&page=2,1818740,0,0,0,0,7
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1818738&page=5,1818738,0,0,0,0,22
yes24.vn,https://www.yes24.vn/nhau-thai-cuu-costar-placenta-baby-sheep-essential-15000mg-lo-p1818730.html,1818730,0,0,0,0,2
yes24.vn,https://www.yes24.vn/nhau-thai-cuu-costar-placenta-baby-sheep-essential-15000mg-hop-p1818729.html,1818729,0,0,0,0,3
yes24.vn,https://www.yes24.vn/vien-uong-sua-ong-chua-60-vienhop-1500mg-alltimes-care-platinum-royal-jelly-vitagreen-vtg01-p1746518.html,1746518,0,0,0,0,2
yes24.vn,https://www.yes24.vn/vien-uong-bo-toc-da-mong-puritans-pride-hair-skin-nails-one-per-day-formula-30-vien-50779-p1770979.html,1770979,0,0,0,0,1
yes24.vn,https://www.yes24.vn/vien-uong-giam-beo-tinh-chat-xoai-chau-phi-life-extension-integralean-african-mango-irvingia-30-vien-1294-hsd-82017-p1770978.html,1770978,0,0,0,0,1
yes24.vn,https://www.yes24.vn/vien-uong-bo-gan-puritans-pride-milk-thistle-41-extract-1000-mg-silymarin-90-vien-1944-p1770977.html,1770977,0,0,0,0,4
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1714974&page=3,1714974,0,0,0,0,12
yes24.vn,https://www.yes24.vn/vien-bo-sung-suc-khoe-tuoi-thanh-nien-puritans-pride-mega-vita-min-120-vien-10072-hsd-42018-p1714972.html,1714972,0,0,0,0,5
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1714971&page=3,1714971,0,0,0,0,14
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1714970&page=2,1714970,0,0,0,0,6
yes24.vn,https://www.yes24.vn/vien-uong-bo-sung-sat-puritans-pride-ferous-gluconate-28mg-iron-100-vien-1200-p1714968.html,1714968,0,0,0,0,4
yes24.vn,https://www.yes24.vn/vien-uong-dep-da-ho-tro-dong-mau-puritans-pride-vitamin-k-100mcg-100-vien-3070-p1714967.html,1714967,0,0,0,0,5
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1714966&page=5,1714966,0,0,1,0,22
yes24.vn,https://www.yes24.vn/vien-uong-bo-sung-vitamin-e-puritans-pride-vitamin-e400-iu-50-vien-50858-p1714965.html,1714965,0,0,0,0,4
yes24.vn,https://www.yes24.vn/vien-uong-tang-cuong-sinh-luc-nam-gioi-alltimes-care-kangaroo-6000mgatc002-p1599227.html,1599227,0,0,0,0,4
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1634557&page=3,1634557,0,0,1,0,10
yes24.vn,https://www.yes24.vn/super-collagen-730ml-nhat-bandd0098-p1634553.html,1634553,0,0,0,0,1
yes24.vn,https://www.yes24.vn/thuc-pham-bao-ve-suc-khoe-tao-spirulina-va-linh-chi-10-goi-x-10gscn_4-p1691757.html,1691757,0,0,0,0,2
yes24.vn,https://www.yes24.vn/thuc-pham-bao-ve-suc-khoe-tao-spirulina-va-linh-chi-20goi-x-10gscn4-p1691756.html,1691756,0,0,0,0,3
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1691754&page=2,1691754,1,0,0,0,5
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1691751&page=2,1691751,0,0,0,1,8
yes24.vn,https://www.yes24.vn/vien-uong-ngan-ngua-thieu-mau-puritans-pride-folic-acid-800mg-250-vien-2843-p1714959.html,1714959,0,0,0,0,4
yes24.vn,https://www.yes24.vn/vien-uong-giup-ngu-ngon-puritans-pride-extra-strength-melatonin-5mg-60-vien-29623-p1714983.html,1714983,0,0,0,0,3
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1714980&page=2,1714980,0,0,0,0,7
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1714979&page=2,1714979,0,0,0,0,8
yes24.vn,https://www.yes24.vn/vien-uong-cho-nguoi-cao-tuoi-puritans-pride-abc-plus-senior-multivitamin-60-vien-7190-p1714976.html,1714976,0,0,0,1,2
yes24.vn,https://www.yes24.vn/vien-uong-tang-cuong-suc-khoe-cho-nam-gioi-puritans-pride-ultra-man-50-plus-daily-multi-60-vien-17311-p1714975.html,1714975,0,0,0,0,1
yes24.vn,https://www.yes24.vn/vien-uong-bo-sung-vitamin-d-puritans-pride-sunvite-highpotency-vitamin-d3-1000iu-100-vien-15605-p1714964.html,1714964,0,0,0,0,2
yes24.vn,https://www.yes24.vn/thuc-uong-bo-sung-vitamin-59ml-nhom-b-puritans-pride-bcomplex-sublingual-liquid-2871-p1714962.html,1714962,0,0,0,0,1
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1714987&page=5,1714987,0,0,0,0,24
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1714986&page=3,1714986,0,0,0,1,13
yes24.vn,https://www.yes24.vn/vien-uong-tinh-chat-nghe-puritans-pride-turmeric-800mg-100-vien-51441-p1714995.html,1714995,0,0,0,0,4
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1714957&page=3,1714957,0,0,1,0,10
yes24.vn,https://www.yes24.vn/vien-uong-bo-sung-vitamin-pp-puritans-pride-niacin-100mg-100-vien-1480-p1714956.html,1714956,0,0,0,0,4
yes24.vn,https://www.yes24.vn/Product/GetProductComment?productNo=1715103&page=3,1715103,0,0,0,0,13
yes24.vn,https://www.yes24.vn/vien-uong-chiet-xuat-nhua-cay-thong-do-puritans-pride-pycnogenol-30mg-30-vien-7130-p1715102.html,1715102,0,0,0,0,1
yes24.vn,https://www.yes24.vn/dau-gan-ca-tuyet-na-uy-norwegian-cod-liver-oil-415-mg-100-vien-puritans-pride-1150-p1715097.html,1715097,0,0,0,0,3
