Domain,Url,Product_id,Brand,Category,Model,Price,Seller,Info
yes24.vn,https://www.yes24.vn/may-xay-sinh-to-shake-and-take-p1924878.html,1924878,NGS Gold,Điện máy,Máy xay sinh tố Shake And Take,"284,000đ",CTY TNHH GIAO NHẬN VC QT TÂN BIỂN VÀNG," Giới thiệu sản phẩm Máy xay sinh tố Shake And Take  Máy xay sinh tố Shake 'N Take 2 cối là sản phẩm gia dụng tiện ích đang được các bà nội trợ tin dùng nhất hiện nay. Với máy xay sinh tố Shake N Take bạn sẽ có những ly sinh tố hoa quả thơm ngon bổ dưỡng chỉ trong giây lát. Với thiết kế nhỏ gọn 2 cối vừa để xay và thay cốc đựng chiếc máy xay mini Shake N Take giúp bạn có thể mang đi bất cứ nơi đâu bạn muốn! - Máy Shake N Take tuy thiết kế nhỏ gọn nhưng động cơ của máy rất khỏe giúp bạn xay các loại hoa quả một cách nhanh chóng.Đồng thời với 2 cối có nắp đậy giúp bạn có thể thay thế làm chiếc cốc đựng rất tiện dụng     Lưỡi xay sắc bén Máy xay sinh tố Shake 'n Take  trang bị động cơ khỏe, tốc độ xay nhanh sẽ dễ dàng tạo cho bạn 1 ly sinh tố hoa quả thơm ngon, bổ dưỡng. Lưỡi xay bằng inox không gỉ, ít bị mài mòn, chịu lực tốt, đảm bảo khả năng xay nhuyễn mịn thực phẩm một cách nhanh chóng.   Thiết kế trang nhã, gọn nhẹ   Cối xay nhựa bền đẹp Thân máy bằng nhựa nhẹ, bền bỉ. Cối xay và cũng là chiếc bình đựng sinh tố được làm bằng nhựa cao cấp, dễ làm sạch. Chân đế chống trượt giúp máy vận hành êm ái hơn và đứng vững vàng trên mặt bàn ngay cả khi đang hoạt động.  Chức năng xay sinh tố và xay khô Máy xay sinh tố Shake 'n Take có chức năng đa dạng: xay sinh tố và xay khô. Bộ sản phẩm sở hữu thiết kế đẹp mắt với màu sắc và kiểu dáng trang nhã. Đặc biệt, sau khi xay hoa quả bạn có thể thay nắp và biến nó thành một chiếc bình đựng nước tiện dụng để mang đi khắp mọi nơi.   Tính năng hiện đại "
yes24.vn,https://www.yes24.vn/vat-ly-tri-lieu-4-mieng-dan-perfect-p1973597.html,1973597,Perfect,Điện máy,Vật lý trị liệu 4 miếng dán Perfect,"83,000đ",CTY TNHH TM VÀ DV XNK MAI HƯƠNG," Giới thiệu sản phẩm Vật lý trị liệu 4 miếng dán Perfect  Bộ sản phẩm gồm: 1 máy, 4 miếng dán gel điện cực, 2 miếng lót gel điện cực, 1 dây nối điện cực, 1 sách hướng dẫn sử dụng, 1 bộ sạc Đau nhức, căng cơ, suy nhược cơ thể... là những triệu chứng thường gặp ở cả người già và người trẻ do máu huyết lưu thông bị tắt nghẽn, do tác động môi trường và làm việc quá sức, bế tắt nguyệt đạo ... Máy massage trị liệu 4 miếng dán của Health Herald ra đời sẽ giúp bạn đánh tan cơn mệt mỏi, đau nhức để tận hưởng cảm giác sảng khoái, làm việc hăng say, vui chơi thỏa thích mà không lo bị những cơn đau nhức hành hạ nữa.      Với các tính năng nổi bật:  Châm cứu, Đấm bóp, Xoa bóp, Giác hơi, Co cơ, Bấm huyệt, Làm giảm cân, Tăng hệ miễn dịch dựa trên nguyên lý về kinh mạch của Y học cổ truyền Phương Đông, sinh điện, vật lý và thực hành lâm sàng...Máy massage trị liệu 4 miếng dán Health Herald có tác dụng hỗ trợ điều trị các bệnh : cảm, đau bao tử, táo bón, đau bụng, đột quỵ và bán thân bất toại, cao huyết áp, nhức đầu, viêm khớp dạng thấp, cứng cổ, triệu chứng đau, viêm khớp vai-cánh tay, đau lưng, căng cơ vùng thắt lưng mãn tính,  thoái hóa đốt sống cổ, kinh huyệt bất thường, rối loạn hoạt động tình dục ở nam... Bế tắt nguyệt đạo là nguyên nhân dẫn đến đau nhức cơ thể. Từ lâu châm cứu đã được biết đến như một liệu pháp châm cứu, khai thông huyệt đạo phổ biến. Tuy nhiên những cây kim nhỏ đâm vào cơ thể nhiều người cảm thấy sợ đau.      Ngày nay, áp dụng những kỹ thuật châm cứu tiên tiến nhất, máy massage xung điện 4 miếng dán ra đời có chức năng bấm huyệt bằng những luồng xung điện tác dụng lên cơ thể đập tan những cơn đau nhanh chóng mà không lo sợ những cây kim đó nữa. Phương pháp thật đơn giản bạn có thể làm tại nhà.  Những người lớn tuổi thường xuyên bị nhức mỏi do tác dụng của việc lao động lau năm tích tụ, do thời tiết thay đổi thất thường thì máy massge này sẽ là món quà ý nghĩa, một vật báu giúp các cụ thoát khỏi những cơn đau triền miên kéo dài qua năm tháng.... "
yes24.vn,https://www.yes24.vn/noi-chien-khong-dau-mishio-mk40-4l-p1974333.html,1974333,Mishio,Điện máy,Nồi chiên không dầu Mishio MK40 (4L),"960,000đ",CTY TNHH TM VÀ DV XNK MAI HƯƠNG," Giới thiệu sản phẩm Nồi chiên không dầu Mishio MK40 (4L)  Nồi Chiên Mishio MK40 dung tích 4L được thiết kế với kiểu dáng hiện đại, tinh tế với gam màu đen sang trọng. Phần thân nồi được sử dụng chất liệu nhựa ABS cao cấp với khả năng chịu lực, chịu nhiệt tốt, mà vẫn an toàn cho sức khỏe người sử dụng. Lòng nồi được chế tạo từ thép không gỉ phủ lớp chống dính, có khả năng thu nhiệt và giữ nhiệt tốt hơn những loại thông thường, đồng thời chống bám dính tạo điều kiện để thực phẩm được chín đều, lưu giữ hương vị và thành phần dinh dưỡng có trong thực phẩm.                "
yes24.vn,https://www.yes24.vn/noi-com-dien-mishio-mkx20-12l-p1974348.html,1974348,Mishio,Điện máy,Nồi cơm điện Mishio MK-X20 (1.2L),"269,000đ",CTY TNHH TM VÀ DV XNK MAI HƯƠNG," Giới thiệu sản phẩm Nồi cơm điện Mishio MK-X20 (1.2L)  Nồi cơm điện Mishio MK-X20 (1.2L) thiết kế tinh tế với tông màu trắng kèm hoa văn trang trí góp phần tô điểm cho không gian bếp thêm sinh động, đẹp mắt.         Chất liệu cao cấp Lòng nồi được làm bằng hợp kim nhôm phủ men chống dính giúp cơm sau khi nấu không bị bám dính vào thành nồi hay cháy dưới đáy nồi dễ dàng lấy ra để chùi rửa, vệ sinh sau khi sử dụng.  Công nghệ đun nóng ở đáy nồi Nồi cơm điện Mishio MK-X20 (1.2L) với mâm nhiệt ở đáy nồi, ứng dụng công nghệ nấu hiện đại nhiệt tỏa đều xung quanh. "
yes24.vn,https://www.yes24.vn/may-lam-toi-den-mishio-mk10-5l-p1974336.html,1974336,Mishio,Điện máy,Máy làm tỏi đen Mishio MK10 (5L),"768,000đ",CTY TNHH TM VÀ DV XNK MAI HƯƠNG," Giới thiệu sản phẩm Máy làm tỏi đen Mishio MK10 (5L)  Tỏi đen giống như là thực phẩm chức năng có rất nhiều dụng tốt trong việc phòng chống các căn bệnh nguy hiểm như: tai biến, bệnh đường huyết, mỡ trong máu, tim mạch, viêm gan, sơ gan... Vì vậy tỏi đen sau lên men có trạng thái và mùi vị cũng khác hẳn so với tỏi tươi: màu đen, tép tỏi mềm dẻo, vị ngọt, hương thơm. Nhưng để chế biến từ tỏi tươi thành tỏi đen phải mất một khoảng thời gian dài để ủ nhiệt và lên men đến 45-60 ngày mà tỷ lệ thành công lại rất thấp. Do đó người ta đã tác chế ra Nồi làm tỏi đen Mishio MK-10 với thiết kế tinh tế hiện đại, chỉ cần một nút nhấn điều chỉnh quá trình làm ra tỏi đen sẽ diễn ra tự động chỉ trong vòng 14 ngày mang đến tỷ lệ thành công đến 99%, bạn có thể yên tâm chờ đợi mà không cần canh chừng nhiều như những cách làm truyền thống.    "
yes24.vn,https://www.yes24.vn/may-say-trai-cay-mishio-mk12-p1974343.html,1974343,Mishio,Điện máy,Máy sấy trái cây Mishio MK12,"794,000đ",CTY TNHH TM VÀ DV XNK MAI HƯƠNG," Giới thiệu sản phẩm Máy sấy trái cây Mishio MK12  Máy sấy trái cây Mishio MK-12 có khả năng sấy khô được trái cây, rau củ, dược liệu, thịt lợn, thịt bò, gia cầm, hải sản… Tùy vào thời gian sấy mà máy sấy khô hoa quả, thực phẩm có thể sấy dẻo, sấy giòn, sấy dai hoặc sấy hết nước đối với loại trái cây mọng.       Với máy sấy thực phẩm, các thực phẩm sau khi sấy khô vẫn giữ nguyên hương vị, màu sắc, mùi thơm và vitamin sau khi được sấy khô trong một thời gian dài. Nếu bạn thích ăn các loại thực phẩm sấy khô thì máy sấy hoa quả sẽ là sự lựa chọn tuyệt vời. Chính tay bạn sẽ làm ra những món ăn sấy khô ngon, bổ dưỡng cho người thân và bạn bè.       Máy sấy hoa quả MK-12 có 5 khay sấy riêng biệt 5 khay sấy được làm bằng nhựa chịu nhiệt an toàn cho sức khỏe. Bạn có thể dùng cả 5 khay sấy hoặc ít hơn tùy theo số lượng thực phẩm hay hoa quả cần sấy.       Các khay sấy có thể tháo rời, bạn dễ dàng vệ sinh và bảo quản máy. Các khay sấy sau khi sử dụng có thể xếp chồng lên nhau gọn gàng, thuận tiện trong việc di chuyển và cất giữ. Ngoài ra, máy có hệ thống bảo vệ quá tải nhiệt, nên rất an toàn cho người sử dụng.       Máy sấy trái cây Mishio MK-12 với hệ thống điều hòa nhiệt tiên tiến với nhiệt độ tùy chỉnh từ 30ºC – 75ºC, bạn có thể sấy nhiều loại trái cây, thực phẩm khác nhau với thời gian khác nhau.                Hướng dẫn sử dụng  Cho hoa quả sau khi đã rửa sạch thái lát hoa quả (với những loại hoa quả to) hoặc tách nhỏ (với những dạng quả theo chùm hoặc có vỏ) và đặt vào trong khay sấy. Sau đó, đóng nắp và cắm điện, chỉ trong một khoảng thời gian ngắn, hoa củ quả đã được tách nước, chỉ còn lại chất bột, đường và xơ, một dạng thực phẩm rất có lợi cho tiêu hóa và sức khỏe của gia đình bạn.  Lưu ý: Số hoa quả cần sấy không nên vượt quá 3/4 bề mặt của khay và 1/4 độ dày của khay.         "
yes24.vn,https://www.yes24.vn/may-nuong-banh-my-4-khay-ariete-mod-015604-xanh-la-cay-p1973787.html,1973787,ARIETE,Điện máy,Máy nướng bánh mỳ 4 khay Ariete MOD. 0156/04 Xanh lá cây,"2,504,000đ",YES24 DIENMAY," Giới thiệu sản phẩm Máy nướng bánh mỳ 4 khay Ariete MOD. 0156/04 Xanh lá cây  Bữa sáng của bạn sẽ trở nên bổ dưỡng và đơn giản hơn khi trong căn bếp nhà bạn sở hữu 1 chiếc máy nướng bánh mì tiện ích. Máy nướng bánh mì 4 khay Ariete MOD 0156 giúp làm nóng, nướng bánh mỳ, bánh sanwich nhanh chóng, cho bữa sáng đầy dinh dưỡng mà không cần tốn nhiều công sức. Chức năng đa dạng Lò nướng bánh mì 4 khay Ariete MOD. 0156 có công suất 1600W hoạt động mạnh mẽ và ổn định, giúp nướng bánh nhanh chóng, tiết kiệm thời gian và điện năng. Máy giúp làm nóng, nướng bánh mì, bánh sandwich nhanh chóng, cho bữa sáng đầy dinh dưỡng mà không cần tốn nhiều công sức. Ngoài nướng bánh mì, sandwich... máy còn có chức năng hâm nóng và rã đông rất tiện ích. Dễ sử dụng Bốn khay nướng bánh giúp bạn nướng được nhiều hơn chỉ trong một lần, nhanh chóng và đơn giản. Núm điều chỉnh nhiệt độ và các nút chức năng được bố trí ngay phía trước để bạn dễ dàng thao tác. Lò nướng còn được thiết kế thêm khay chứa vụn bánh tiện lợi, giúp người dùng dễ dàng tháo rời để vệ sinh. Thiết kế trang nhã theo phong cách cổ điển Sản phẩm sở hữu thiết kế tinh tế với kiểu dáng và màu sắc trang nhã, đậm chất cổ điển, góp phần mang đến phong cách ấn tượng cho không gian bếp nhà bạn. Lò nướng có kích thước nhỏ gọn, không chiếm nhiều diện tích nên bạn dễ dàng sắp xếp ở mọi vị trí. Đặc điểm nổi bật - Bốn khay nướng bánh giúp bạn nướng được nhiều hơn chỉ trong một lần - Có khay chứa vụn bánh tiện lợi - Giúp làm nóng, nướng bánh mì, bánh sandwich nhanh chóng - Thiết kế trang nhã theo phong cách cổ điển             Thông số sản phẩm • Chất liệu: thép không gỉ • Công suất: 1370 - 1630W • Thân kim loại cao cấp • Chức năng: Huỷ | Rã đông | Làm nóng • 6 cấp độ nướng • Khay hứng vụn bánh • Đế chống trượt • Kích thước: 319 x 289 x 205 mm. Khay nướng bánh: 139 x 38 mm • Thương hiệu Italy • Sản xuất tại Trung Quốc • Bảo hành 12 tháng  <iframe width=""700"" height=""394"" src=""https://www.youtube.com/embed/w7QIgm9tQgk"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>    Thông tin thương hiệu Ariete được thành lập vào năm 1964 ở thành phố Florence, Ariete là thương hiệu lâu đời, nổi tiếng không những ở Italia mà trên toàn thế giới trong lĩnh vực điện gia dụng.  Công nghệ cải tiến không ngừng và thiết kế thanh lịch là những giá trị cốt lõi trong từng sản phẩm của Ariete. Các dòng sản phẩm của Ariete sở hữu những tính năng tiên tiến, đáp ứng tất cả nhu cầu của khách hàng "
yes24.vn,https://www.yes24.vn/may-vat-ly-tri-lieu-4-mieng-dan-p1973766.html,1973766,NGS Gold,Điện máy,Máy Vật Lý Trị Liệu 4 Miếng Dán,"119,000đ",CTY TNHH GIAO NHẬN VC QT TÂN BIỂN VÀNG," Giới thiệu sản phẩm Máy Vật Lý Trị Liệu 4 Miếng Dán  MÁY VẬT LÝ TRỊ LIỆU 4 MIẾNG DÁN  Máy Massage Trị Liệu 4 Miếng Dán Health Herald có thiết kế nhỏ gọn, cơ động mạnh mẽ giúp bạn massage hàng ngày tạo cảm giác thư thái, thoải mái và hỗ trợ trị liệu một số căn bệnh về xương khớp thông thường.  Sản phẩm massage giúp bạn có thể giảm nhiều loại cơn đau khác nhau bao gồm: Đau lưng, đau thần kinh tọa, đau do chơi thể thao, bong gân, hầu hết các chấn thương liên quan đến cơ bắp.  **Hỗ trợ trị liệu Với các tính năng nổi bật:  Châm cứu , Đấm bóp , Xoa bóp , Giác hơi , Co cơ , Bấm huyệt, Làm giảm cân, Tăng hệ miễn dịch dựa trên nguyên lý về kinh mạch của Y học cổ truyền Phương Đông, sinh điện, vật lý và thực hành lâm sàng Máy Massage Trị Liệu 4 Miếng Dán Health Herald sẽ giúp hỗ trợ điều trị các bệnh : cảm, đau bao tử, táo bón, đau bụng, đột quỵ và bán thân bất toại, cao huyết áp, nhức đầu, viêm khớp dạng thấp, cứng cổ, triệu chứng đau, viêm khớp vai-cánh tay, đau lưng, căng cơ vùng thắt lưng mãn tính, thoái hóa đốt sống cổ, kinh huyệt bất thường, rối loạn hoạt động tình dục ở nam... Với Máy Massage Trị Liệu 4 Miếng Dán Health Herald, bạn sẽ được tận hưởng cảm giác sảng khoái, làm việc hăng say, vui chơi thỏa thích mà không lo bị những cơn đau nhức hành hạ nữa.  **Thiết kế tân tiến Máy Massage Trị Liệu 4 Miếng Dán Health Herald có đa tính năng:  Châm cứu - Đấm bóp - Xoa bóp - Giác hơi - Co cơ - Bấm huyệt - Làm giảm cân - Tăng hệ miễn dịch giúp bạn dễ dàng chọn lựa sử dụng để phù hợp với nhu cầu của mình.  Có sách hướng dẫn chi tiết bằng 2 ngôn ngữ Việt – Anh.  Màn hình mặc định là tiếng việt bạn có thể đổi sang tiếng anh bắng cách nhấn nút ENGNIET.  Màn hình LCD lớn, rõ ràng: thời gian điều trị, 8 chức năng, 15 mức độ.  Vận hành bằng dòng điện DC 4.5V, 3 pin 3A rất an toàn trong quá trình sử dụng.  Thông tin kỹ thuật: Nguồn điện sử dụng: DC 4.5V hay 3 Pin 3A( 7V)  Tần số:1-330 Hz Điện năng tiêu thụ: Ít hơn 180 mw  Kích thước: 153mm x 70mm x2.8 mm  Thương hiệu: Health Herald Màu sắc: trắng Chất liệu: nhựa. Trọng lượng: 70g "
yes24.vn,https://www.yes24.vn/may-danh-sua-tu-dong-pha-tra-sua-matcha-va-pha-tra-sua-lipton-kahchan-ep2178-p1546560.html,1546560,Kahchan,Điện máy,"Máy đánh sữa tự động ,pha trà sữa Matcha và pha trà sữa lipton - Kahchan EP2178","2,100,000đ",Công ty TNHH KANCHAN," Giới thiệu sản phẩm Máy đánh sữa tự động ,pha trà sữa Matcha và pha trà sữa lipton - Kahchan EP2178  Máy đánh sữa tạo bọt Kahchan EP2178 là một trong những sản phẩm đa năng và thông minh nhất trên thị trường hiện nay. Với tính năng ưu việt và thiết kế phù hợp dành cho những người không có nhiều thời gian như Phụ nữ Nội trợ, Nhân viên văn phòng, và phù hợp với những người thích tìm hiểu và yêu thích đồ uống đa dạng và dinh dưỡng. Với Kahchan EP2178, bạn có thể làm được những thức uống sau : Cà phê Capuchino, Sữa trứng, Cà phê trứng, Ca cao sữa nóng, Siro sữa .. thậm chí bạn có thể dùng vào việc hâm nóng sữa cho em bé! Các chức năng chính:    Pha và hâm sữa cho bé trong 1 phút   Dùng làm cacao sữa nóng; cacao sữa đá; cacao nóng; cacao đá; cappuccino; Latte ... trong 50s   Dùng tạo bọt sữa; làm nóng sữa; pha trà sữa như: trà sữa lipton; trà sữa macha; trà sữa thái...trà sữa nóng va trà sũa đá   Chế biến cafe sữa trứng trong 1 phút                                                     Quà tặng kèm theo : ( số lượng có hạn)     "
yes24.vn,https://www.yes24.vn/hop-ham-nong-ariranglife-13l-elals2012-1764375-p1764375.html,1764375,ArirangLife,Điện máy,Hộp hâm nóng ArirangLife 1.3L EL-ALS2012 - 1764375,"341,000đ",CÔNG TY CỔ PHẦN ALO360.COM," Giới thiệu sản phẩm Hộp hâm nóng ArirangLife 1.3L EL-ALS2012 - 1764375  THÔNG TIN SẢN PHẨM  Tên sản phẩm: Hộp hâm nóng ArirangLife EL-ALS2012 Công suất: 200W Tự ngắt khi cạn nước hoặc có sự cố, rất an toàn khi sử dụng! Làm nóng nhanh chỉ từ 3-5 phút, nóng nhanh, nóng đều như vừa mới nấu. Chất liệu: nhựa PP cấp thực phẩm - rơi không vỡ, inox 304 - tháo rời, dễ cọ rửa làm sạch. Dung lượng: 1.3 Lít Điện áp: AC220V 50Hz Kích thước hộp màu: 235*220*192 mm Trọng lượng: 1.07 kg Sản phẩm được kiểm định và cấp chứng nhận đạt quy chuẩn Kỹ thuật Quốc gia về An toàn vệ sinh thực phẩm tại trung tâm Quatest 3 Bảo hành chính hãng 12 tháng      Bộ sản phẩm hộp cơm hâm nóng 1 tầng ArirangLIFE gồm có:  02 Khay đựng thức ăn được làm bằng Inox 304 cao cấp 01 Nắp đậy khay. 01 Nắp đậy hộp cơm có khóa gài chắc chắn. 01 Khay hấp trứng. 01 Cốc đo nước. 01 Đế hâm nóng. 01 Dây nguồn. 01 Hướng dẫn sử dụng 01 Phiếu bảo hành chính hãng                                              "
